Exit stations,Entry stations->,,SUNDAY,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	29 , 	29 , 	13 , 	91 , 	14 , 	23 , 	17 , 	16 , 	12 , 	25 , 	17 , 	9 , 	7 , 	6 , 	2 , 	1 , 	4 , 	6 , 	3 , 	3 , 	4 , 	2 , 	5 , 	4 , 	87 , 	45 , 	138 , 	80 , 	44 , 	33 , 	8 , 	9 , 	8 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	9 , 	29 , 	6 , 	1 , 	3 , 	7 , 	3 , 	6 , 	3 , 	5 , 	893 ,,,,,,,,,,,
OR, 	1 , 	1 , 	0 , 	2 , 	6 , 	1 , 	9 , 	10 , 	4 , 	2 , 	3 , 	12 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	9 , 	4 , 	8 , 	4 , 	7 , 	11 , 	2 , 	103 , 	40 , 	76 , 	88 , 	21 , 	7 , 	3 , 	3 , 	2 , 	-   , 	-   , 	-   , 	0 , 	2 , 	1 , 	1 , 	36 , 	3 , 	-   , 	8 , 	1 , 	1 , 	2 , 	2 , 	2 , 	495 ,,,,,,,,,,,
RR, 	5 , 	7 , 	5 , 	4 , 	7 , 	2 , 	17 , 	27 , 	27 , 	4 , 	10 , 	13 , 	3 , 	3 , 	2 , 	1 , 	0 , 	2 , 	15 , 	20 , 	23 , 	15 , 	15 , 	19 , 	6 , 	160 , 	80 , 	147 , 	209 , 	93 , 	36 , 	15 , 	6 , 	9 , 	1 , 	0 , 	2 , 	3 , 	9 , 	3 , 	4 , 	70 , 	6 , 	2 , 	7 , 	3 , 	1 , 	4 , 	1 , 	9 ," 	1,126 ",,,,,,,,,,,
OW, 	8 , 	6 , 	4 , 	7 , 	16 , 	14 , 	14 , 	19 , 	19 , 	13 , 	30 , 	19 , 	8 , 	11 , 	6 , 	3 , 	2 , 	3 , 	4 , 	3 , 	5 , 	3 , 	1 , 	8 , 	22 , 	300 , 	136 , 	342 , 	361 , 	155 , 	72 , 	19 , 	19 , 	13 , 	5 , 	5 , 	11 , 	3 , 	4 , 	2 , 	6 , 	51 , 	6 , 	5 , 	8 , 	3 , 	3 , 	5 , 	2 , 	5 ," 	1,783 ",,,,,,,,,,,
EM, 	106 , 	177 , 	126 , 	168 , 	416 , 	142 , 	242 , 	197 , 	209 , 	147 , 	158 , 	134 , 	124 , 	124 , 	74 , 	81 , 	71 , 	131 , 	161 , 	168 , 	229 , 	145 , 	142 , 	217 , 	425 , 	182 , 	16 , 	119 , 	192 , 	198 , 	245 , 	164 , 	152 , 	186 , 	60 , 	95 , 	518 , 	64 , 	95 , 	50 , 	76 , 	200 , 	198 , 	115 , 	61 , 	50 , 	127 , 	134 , 	15 , 	93 ," 	7,712 ",,,,,,,,,,,
MT, 	65 , 	89 , 	65 , 	76 , 	188 , 	60 , 	129 , 	122 , 	135 , 	96 , 	95 , 	61 , 	89 , 	86 , 	34 , 	31 , 	30 , 	41 , 	70 , 	84 , 	94 , 	54 , 	54 , 	109 , 	193 , 	13 , 	58 , 	21 , 	68 , 	137 , 	186 , 	108 , 	161 , 	149 , 	44 , 	44 , 	165 , 	22 , 	55 , 	30 , 	52 , 	194 , 	96 , 	46 , 	43 , 	23 , 	61 , 	63 , 	10 , 	38 ," 	4,030 ",,,,,,,,,,,
PL, 	114 , 	172 , 	78 , 	98 , 	270 , 	108 , 	181 , 	162 , 	199 , 	165 , 	218 , 	122 , 	116 , 	150 , 	68 , 	69 , 	62 , 	66 , 	103 , 	93 , 	127 , 	73 , 	65 , 	129 , 	338 , 	85 , 	19 , 	137 , 	98 , 	357 , 	417 , 	228 , 	366 , 	352 , 	126 , 	65 , 	254 , 	38 , 	106 , 	80 , 	118 , 	546 , 	197 , 	66 , 	62 , 	36 , 	70 , 	99 , 	18 , 	80 ," 	7,364 ",,,,,,,,,,,
CC, 	94 , 	160 , 	93 , 	133 , 	257 , 	147 , 	234 , 	212 , 	156 , 	132 , 	220 , 	118 , 	122 , 	115 , 	81 , 	60 , 	65 , 	81 , 	126 , 	119 , 	155 , 	86 , 	72 , 	205 , 	391 , 	170 , 	114 , 	134 , 	148 , 	282 , 	331 , 	206 , 	197 , 	371 , 	97 , 	59 , 	273 , 	39 , 	107 , 	100 , 	120 , 	234 , 	344 , 	63 , 	32 , 	29 , 	64 , 	146 , 	15 , 	73 ," 	7,377 ",,,,,,,,,,,
16, 	39 , 	41 , 	19 , 	39 , 	84 , 	50 , 	102 , 	81 , 	78 , 	63 , 	65 , 	31 , 	22 , 	22 , 	9 , 	13 , 	12 , 	13 , 	23 , 	25 , 	25 , 	16 , 	18 , 	58 , 	122 , 	161 , 	132 , 	461 , 	369 , 	48 , 	50 , 	69 , 	92 , 	118 , 	50 , 	18 , 	40 , 	9 , 	14 , 	30 , 	47 , 	153 , 	54 , 	11 , 	20 , 	5 , 	13 , 	21 , 	6 , 	14 ," 	3,070 ",,,,,,,,,,,
24, 	45 , 	34 , 	15 , 	22 , 	50 , 	28 , 	56 , 	60 , 	44 , 	49 , 	54 , 	36 , 	16 , 	15 , 	9 , 	12 , 	8 , 	10 , 	20 , 	13 , 	18 , 	8 , 	10 , 	36 , 	76 , 	187 , 	136 , 	525 , 	378 , 	51 , 	44 , 	49 , 	83 , 	77 , 	38 , 	8 , 	20 , 	4 , 	17 , 	30 , 	42 , 	100 , 	44 , 	7 , 	16 , 	5 , 	9 , 	12 , 	2 , 	7 ," 	2,633 ",,,,,,,,,,,
GP, 	9 , 	10 , 	6 , 	12 , 	24 , 	11 , 	19 , 	19 , 	16 , 	12 , 	12 , 	13 , 	3 , 	6 , 	3 , 	3 , 	3 , 	2 , 	5 , 	12 , 	10 , 	3 , 	5 , 	10 , 	20 , 	94 , 	78 , 	263 , 	202 , 	85 , 	59 , 	17 , 	11 , 	13 , 	18 , 	5 , 	12 , 	1 , 	5 , 	9 , 	19 , 	79 , 	18 , 	3 , 	10 , 	2 , 	4 , 	5 , 	2 , 	7 ," 	1,265 ",,,,,,,,,,,
BP, 	10 , 	14 , 	7 , 	4 , 	16 , 	11 , 	13 , 	12 , 	15 , 	14 , 	13 , 	9 , 	9 , 	7 , 	5 , 	3 , 	2 , 	2 , 	9 , 	7 , 	10 , 	1 , 	3 , 	7 , 	19 , 	110 , 	100 , 	444 , 	165 , 	97 , 	68 , 	11 , 	17 , 	14 , 	26 , 	5 , 	8 , 	1 , 	10 , 	9 , 	29 , 	74 , 	28 , 	3 , 	5 , 	3 , 	4 , 	5 , 	1 , 	5 ," 	1,459 ",,,,,,,,,,,
DC, 	8 , 	10 , 	5 , 	5 , 	20 , 	7 , 	12 , 	13 , 	15 , 	10 , 	20 , 	15 , 	11 , 	11 , 	4 , 	6 , 	4 , 	3 , 	8 , 	7 , 	7 , 	5 , 	2 , 	7 , 	19 , 	119 , 	97 , 	439 , 	373 , 	150 , 	99 , 	13 , 	22 , 	24 , 	15 , 	4 , 	16 , 	1 , 	12 , 	14 , 	28 , 	109 , 	41 , 	3 , 	11 , 	2 , 	5 , 	5 , 	2 , 	5 ," 	1,835 ",,,,,,,,,,,
CM, 	4 , 	7 , 	2 , 	1 , 	4 , 	1 , 	3 , 	3 , 	9 , 	4 , 	3 , 	2 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	5 , 	3 , 	5 , 	1 , 	1 , 	1 , 	6 , 	43 , 	31 , 	137 , 	103 , 	51 , 	34 , 	21 , 	24 , 	14 , 	5 , 	0 , 	1 , 	2 , 	4 , 	4 , 	15 , 	88 , 	15 , 	1 , 	1 , 	-   , 	0 , 	1 , 	1 , 	4 , 	668 ,,,,,,,,,,,
CV, 	1 , 	5 , 	1 , 	1 , 	4 , 	1 , 	2 , 	1 , 	4 , 	19 , 	11 , 	28 , 	12 , 	13 , 	7 , 	3 , 	4 , 	2 , 	1 , 	-   , 	-   , 	-   , 	0 , 	0 , 	4 , 	68 , 	32 , 	79 , 	51 , 	26 , 	6 , 	5 , 	5 , 	6 , 	1 , 	6 , 	19 , 	-   , 	0 , 	1 , 	2 , 	7 , 	1 , 	24 , 	5 , 	2 , 	1 , 	4 , 	1 , 	1 , 	471 ,,,,,,,,,,,
ED, 	5 , 	2 , 	1 , 	2 , 	27 , 	6 , 	9 , 	9 , 	7 , 	34 , 	28 , 	105 , 	22 , 	35 , 	13 , 	8 , 	7 , 	7 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	11 , 	384 , 	146 , 	302 , 	278 , 	56 , 	23 , 	8 , 	8 , 	11 , 	2 , 	20 , 	25 , 	-   , 	1 , 	1 , 	2 , 	51 , 	5 , 	16 , 	31 , 	5 , 	10 , 	10 , 	0 , 	1 ," 	1,735 ",,,,,,,,,,,
NC, 	1 , 	2 , 	0 , 	1 , 	1 , 	1 , 	5 , 	3 , 	4 , 	1 , 	1 , 	11 , 	1 , 	-   , 	0 , 	0 , 	0 , 	0 , 	8 , 	4 , 	7 , 	3 , 	1 , 	3 , 	1 , 	46 , 	18 , 	49 , 	40 , 	11 , 	5 , 	2 , 	1 , 	2 , 	1 , 	-   , 	-   , 	6 , 	8 , 	1 , 	1 , 	18 , 	1 , 	0 , 	6 , 	-   , 	1 , 	1 , 	5 , 	2 , 	281 ,,,,,,,,,,,
WP, 	2 , 	4 , 	2 , 	1 , 	2 , 	2 , 	15 , 	6 , 	6 , 	4 , 	4 , 	10 , 	4 , 	3 , 	3 , 	2 , 	3 , 	2 , 	45 , 	20 , 	35 , 	9 , 	3 , 	9 , 	5 , 	73 , 	41 , 	119 , 	81 , 	25 , 	12 , 	5 , 	7 , 	6 , 	4 , 	0 , 	2 , 	7 , 	18 , 	3 , 	4 , 	42 , 	2 , 	-   , 	15 , 	1 , 	1 , 	3 , 	3 , 	5 , 	674 ,,,,,,,,,,,
SS, 	5 , 	4 , 	1 , 	1 , 	6 , 	2 , 	2 , 	2 , 	6 , 	2 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	3 , 	2 , 	4 , 	2 , 	1 , 	2 , 	3 , 	37 , 	24 , 	96 , 	86 , 	44 , 	35 , 	9 , 	10 , 	15 , 	6 , 	0 , 	1 , 	2 , 	6 , 	9 , 	10 , 	32 , 	11 , 	0 , 	1 , 	-   , 	1 , 	1 , 	-   , 	3 , 	491 ,,,,,,,,,,,
