Exit stations,Entry stations->,,TOTAL,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	647 , 	870 , 	580 , 	557 ," 	2,910 ", 	597 ," 	3,147 "," 	6,829 "," 	6,667 ", 	550 , 	826 ," 	1,439 ", 	659 , 	261 , 	427 , 	234 , 	351 , 	377 ," 	6,462 "," 	3,181 ", 	726 ," 	1,365 ", 	923 ," 	3,467 ", 	428 ," 	28,212 "," 	27,999 "," 	13,206 "," 	10,260 "," 	2,833 "," 	1,670 "," 	1,203 "," 	1,031 "," 	1,430 ", 	314 , 	123 , 	164 ," 	1,269 "," 	3,250 ", 	478 , 	517 ," 	5,413 ", 	686 , 	71 ," 	1,338 ", 	325 , 	-   , 	-   ," 	1,223 "," 	2,119 "," 	149,614 ",,,,,,,,,,,,,
LF, 	183 , 	269 , 	221 , 	147 ," 	1,462 ", 	228 ," 	1,241 "," 	3,687 "," 	2,882 ", 	205 , 	400 , 	780 , 	140 , 	71 , 	149 , 	88 , 	103 , 	134 ," 	2,451 "," 	1,339 "," 	1,288 ", 	356 , 	341 ," 	1,679 ", 	106 ," 	17,997 "," 	16,336 "," 	7,064 "," 	5,720 "," 	1,457 "," 	1,020 ", 	562 , 	266 , 	608 , 	132 , 	16 , 	40 , 	282 , 	556 , 	128 , 	222 ," 	2,903 ", 	386 , 	17 , 	732 , 	126 , 	-   , 	-   , 	418 , 	396 ," 	77,334 ",,,,,,,,,,,,,
OR, 	157 , 	241 , 	124 , 	199 ," 	1,115 ", 	162 , 	907 ," 	2,464 "," 	2,688 ", 	174 , 	406 , 	697 , 	215 , 	58 , 	115 , 	51 , 	78 , 	172 , 	869 , 	676 , 	994 , 	463 , 	369 ," 	1,412 ", 	71 ," 	15,966 "," 	14,500 "," 	6,315 "," 	4,689 "," 	1,374 ", 	826 , 	637 , 	389 , 	508 , 	51 , 	51 , 	56 , 	165 , 	259 , 	142 , 	197 ," 	2,449 ", 	275 , 	24 , 	483 , 	159 , 	-   , 	-   , 	214 , 	214 ," 	64,820 ",,,,,,,,,,,,,
RR, 	636 , 	806 , 	662 , 	462 , 	987 , 	255 ," 	1,322 "," 	4,201 "," 	3,870 ", 	592 ," 	1,166 ", 	943 , 	536 , 	240 , 	391 , 	205 , 	296 , 	369 ," 	1,917 "," 	2,748 "," 	3,290 "," 	1,520 "," 	1,445 ", 	563 , 	532 ," 	22,679 "," 	23,763 "," 	14,190 "," 	13,554 "," 	4,836 "," 	2,679 "," 	1,227 "," 	1,060 ", 	869 , 	109 , 	132 , 	228 , 	477 , 	777 , 	272 , 	329 ," 	4,488 ", 	649 , 	131 , 	646 , 	384 , 	-   , 	-   , 	405 , 	787 ," 	124,625 ",,,,,,,,,,,,,
OW, 	550 , 	876 , 	310 , 	275 ," 	1,635 ", 	581 ," 	1,249 "," 	1,457 "," 	2,158 ", 	636 ," 	2,289 "," 	2,245 "," 	1,049 ", 	908 , 	751 , 	393 , 	311 , 	288 , 	483 , 	256 , 	380 , 	105 , 	70 , 	541 , 	615 ," 	37,859 "," 	33,079 "," 	28,051 "," 	18,915 "," 	8,891 "," 	5,397 "," 	1,521 "," 	1,636 "," 	1,417 ", 	343 , 	274 , 	676 , 	109 , 	357 , 	392 , 	607 ," 	3,062 ", 	840 , 	229 , 	285 , 	359 , 	-   , 	-   , 	279 , 	435 ," 	165,424 ",,,,,,,,,,,,,
EM," 	11,418 "," 	23,007 "," 	15,370 "," 	15,696 "," 	23,734 "," 	19,260 "," 	27,970 "," 	37,684 "," 	33,980 "," 	25,581 "," 	25,958 "," 	15,782 "," 	21,260 "," 	18,462 "," 	12,717 "," 	10,610 "," 	21,044 "," 	30,466 "," 	21,588 "," 	42,540 "," 	33,943 "," 	20,865 "," 	18,931 "," 	25,654 "," 	48,461 "," 	4,019 "," 	2,736 "," 	11,733 "," 	12,821 "," 	23,868 "," 	38,768 "," 	26,654 "," 	34,676 "," 	28,888 "," 	17,508 "," 	13,588 "," 	48,995 "," 	9,221 "," 	14,085 "," 	13,791 "," 	13,272 "," 	10,489 "," 	23,307 "," 	18,546 "," 	3,883 "," 	16,837 ", 	-   , 	-   ," 	3,225 "," 	9,979 "," 	1,002,870 ",,,,,,,,,,,,,
MT," 	11,111 "," 	20,805 "," 	13,929 "," 	13,910 "," 	18,274 "," 	16,515 "," 	24,005 "," 	30,950 "," 	24,059 "," 	23,814 "," 	23,438 "," 	13,791 "," 	19,127 "," 	16,590 "," 	12,068 "," 	9,221 "," 	16,695 "," 	23,173 "," 	18,897 "," 	35,819 "," 	26,865 "," 	15,293 "," 	14,089 "," 	22,100 "," 	37,977 "," 	3,194 "," 	3,350 "," 	4,145 "," 	12,705 "," 	29,621 "," 	49,775 "," 	34,821 "," 	57,801 "," 	42,946 "," 	23,433 "," 	11,998 "," 	37,212 "," 	8,094 "," 	12,508 "," 	17,059 "," 	16,311 "," 	10,213 "," 	31,953 "," 	14,391 "," 	2,560 "," 	16,013 ", 	-   , 	-   ," 	2,561 "," 	8,060 "," 	953,239 ",,,,,,,,,,,,,
PL," 	9,885 "," 	16,525 "," 	8,746 "," 	7,603 "," 	15,489 "," 	8,690 "," 	15,498 "," 	18,384 "," 	18,644 "," 	14,712 "," 	19,626 "," 	13,903 "," 	12,811 "," 	11,214 "," 	7,046 "," 	5,206 "," 	7,286 "," 	8,222 "," 	10,096 "," 	12,024 "," 	10,612 "," 	5,870 "," 	5,244 "," 	10,845 "," 	27,002 "," 	17,149 "," 	7,225 "," 	3,451 "," 	8,084 "," 	31,408 "," 	41,193 "," 	27,043 "," 	50,188 "," 	32,650 "," 	12,727 "," 	6,064 "," 	17,243 "," 	4,557 "," 	8,998 "," 	10,076 "," 	10,022 "," 	26,179 "," 	17,351 "," 	6,902 "," 	2,835 "," 	6,184 ", 	-   , 	-   ," 	2,345 "," 	6,035 "," 	657,092 ",,,,,,,,,,,,,
CC," 	7,460 "," 	12,698 "," 	8,130 "," 	8,291 "," 	12,593 "," 	9,713 "," 	15,856 "," 	18,406 "," 	15,478 "," 	12,471 "," 	16,143 "," 	9,109 "," 	9,705 "," 	8,697 "," 	5,894 "," 	4,602 "," 	6,272 "," 	6,711 "," 	8,253 "," 	10,977 "," 	8,613 "," 	5,106 "," 	3,995 "," 	11,115 "," 	19,713 "," 	12,228 "," 	12,099 "," 	7,451 "," 	1,903 "," 	13,741 "," 	21,665 "," 	16,471 "," 	28,337 "," 	18,508 "," 	10,680 "," 	4,842 "," 	12,551 "," 	4,035 "," 	6,832 "," 	8,358 "," 	7,927 "," 	10,507 "," 	13,822 "," 	5,097 "," 	1,432 "," 	5,264 ", 	-   , 	-   ," 	1,601 "," 	4,981 "," 	486,333 ",,,,,,,,,,,,,
16," 	3,589 "," 	5,089 "," 	2,709 "," 	3,361 "," 	6,838 "," 	4,923 "," 	7,892 "," 	9,644 "," 	6,822 "," 	5,529 "," 	6,815 "," 	3,792 "," 	3,170 "," 	3,221 "," 	2,004 "," 	1,690 "," 	1,715 "," 	1,981 "," 	2,509 "," 	3,192 "," 	2,184 "," 	1,308 "," 	1,219 "," 	4,204 "," 	9,369 "," 	24,588 "," 	30,772 "," 	35,719 "," 	15,556 ", 	945 ," 	5,113 "," 	7,263 "," 	13,711 "," 	7,273 "," 	3,614 "," 	1,446 "," 	3,949 "," 	1,079 "," 	2,750 "," 	3,057 "," 	3,306 "," 	5,442 "," 	6,376 "," 	1,492 ", 	658 ," 	1,476 ", 	-   , 	-   , 	659 ," 	1,798 "," 	282,811 ",,,,,,,,,,,,,
