Exit stations,Entry stations->,,WEEKDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	28 , 	36 , 	25 , 	21 , 	124 , 	24 , 	139 , 	324 , 	319 , 	25 , 	32 , 	46 , 	28 , 	10 , 	18 , 	9 , 	16 , 	16 , 	263 , 	130 , 	31 , 	56 , 	38 , 	144 , 	18 ," 	1,319 "," 	1,336 ", 	525 , 	456 , 	123 , 	68 , 	48 , 	46 , 	62 , 	13 , 	6 , 	6 , 	56 , 	135 , 	21 , 	22 , 	194 , 	28 , 	3 , 	51 , 	13 , 	-   , 	-   , 	52 , 	91 ," 	6,595 ",,,,,,,,,,,,,
LF, 	8 , 	12 , 	9 , 	6 , 	60 , 	9 , 	55 , 	173 , 	137 , 	8 , 	15 , 	21 , 	6 , 	3 , 	6 , 	4 , 	5 , 	5 , 	103 , 	58 , 	51 , 	14 , 	15 , 	68 , 	3 , 	841 , 	781 , 	266 , 	250 , 	61 , 	42 , 	21 , 	11 , 	27 , 	5 , 	1 , 	2 , 	12 , 	23 , 	6 , 	10 , 	105 , 	16 , 	1 , 	28 , 	4 , 	-   , 	-   , 	17 , 	16 ," 	3,398 ",,,,,,,,,,,,,
OR, 	6 , 	11 , 	5 , 	9 , 	45 , 	6 , 	41 , 	117 , 	127 , 	8 , 	16 , 	19 , 	10 , 	1 , 	5 , 	2 , 	3 , 	8 , 	38 , 	30 , 	41 , 	20 , 	16 , 	61 , 	2 , 	755 , 	689 , 	242 , 	211 , 	58 , 	32 , 	28 , 	16 , 	22 , 	2 , 	2 , 	2 , 	7 , 	10 , 	6 , 	9 , 	90 , 	11 , 	0 , 	17 , 	6 , 	-   , 	-   , 	9 , 	9 ," 	2,880 ",,,,,,,,,,,,,
RR, 	27 , 	32 , 	26 , 	19 , 	40 , 	10 , 	53 , 	187 , 	177 , 	26 , 	42 , 	31 , 	23 , 	9 , 	17 , 	9 , 	13 , 	16 , 	81 , 	120 , 	135 , 	60 , 	61 , 	20 , 	20 ," 	1,041 "," 	1,111 ", 	543 , 	600 , 	197 , 	103 , 	46 , 	46 , 	37 , 	4 , 	6 , 	9 , 	20 , 	32 , 	12 , 	14 , 	147 , 	23 , 	6 , 	21 , 	14 , 	-   , 	-   , 	18 , 	33 ," 	5,340 ",,,,,,,,,,,,,
OW, 	24 , 	36 , 	13 , 	11 , 	67 , 	23 , 	54 , 	59 , 	94 , 	27 , 	90 , 	91 , 	44 , 	37 , 	32 , 	16 , 	13 , 	13 , 	20 , 	10 , 	15 , 	4 , 	3 , 	22 , 	24 ," 	1,720 "," 	1,496 "," 	1,039 ", 	816 , 	357 , 	207 , 	60 , 	69 , 	58 , 	15 , 	11 , 	26 , 	5 , 	13 , 	16 , 	25 , 	105 , 	36 , 	9 , 	9 , 	14 , 	-   , 	-   , 	12 , 	19 ," 	6,973 ",,,,,,,,,,,,,
EM, 	516 ," 	1,052 ", 	704 , 	705 ," 	1,018 ", 	890 ," 	1,289 "," 	1,770 "," 	1,590 "," 	1,188 "," 	1,177 ", 	664 , 	990 , 	865 , 	590 , 	505 ," 	1,001 "," 	1,456 "," 	1,022 "," 	2,045 "," 	1,593 ", 	975 , 	899 ," 	1,172 "," 	2,197 ", 	171 , 	126 , 	490 , 	607 ," 	1,079 "," 	1,780 "," 	1,236 "," 	1,594 "," 	1,340 ", 	849 , 	635 ," 	2,298 ", 	440 , 	663 , 	668 , 	632 , 	393 ," 	1,078 ", 	870 , 	150 , 	784 , 	-   , 	-   , 	154 , 	463 ," 	46,373 ",,,,,,,,,,,,,
MT, 	508 , 	958 , 	646 , 	634 , 	779 , 	768 ," 	1,102 "," 	1,452 "," 	1,113 "," 	1,093 "," 	1,059 ", 	603 , 	878 , 	755 , 	573 , 	435 , 	798 ," 	1,106 ", 	902 ," 	1,734 "," 	1,267 ", 	720 , 	661 ," 	1,016 "," 	1,693 ", 	151 , 	151 , 	186 , 	618 ," 	1,362 "," 	2,342 "," 	1,641 "," 	2,615 "," 	2,022 "," 	1,136 ", 	559 ," 	1,749 ", 	389 , 	590 , 	824 , 	785 , 	400 ," 	1,530 ", 	683 , 	104 , 	762 , 	-   , 	-   , 	122 , 	378 ," 	44,356 ",,,,,,,,,,,,,
PL, 	392 , 	633 , 	325 , 	287 , 	539 , 	349 , 	626 , 	769 , 	757 , 	574 , 	735 , 	507 , 	482 , 	428 , 	283 , 	208 , 	281 , 	319 , 	401 , 	483 , 	399 , 	209 , 	187 , 	393 , 	982 , 	748 , 	334 , 	119 , 	339 ," 	1,141 "," 	1,523 "," 	1,012 "," 	1,939 "," 	1,184 ", 	512 , 	223 , 	628 , 	188 , 	363 , 	394 , 	382 , 	917 , 	616 , 	260 , 	107 , 	235 , 	-   , 	-   , 	102 , 	245 ," 	25,061 ",,,,,,,,,,,,,
CC, 	337 , 	585 , 	373 , 	361 , 	529 , 	445 , 	709 , 	836 , 	701 , 	564 , 	714 , 	387 , 	448 , 	403 , 	274 , 	216 , 	292 , 	306 , 	382 , 	519 , 	375 , 	221 , 	174 , 	485 , 	837 , 	585 , 	589 , 	303 , 	74 , 	553 , 	929 , 	747 ," 	1,284 ", 	816 , 	503 , 	219 , 	556 , 	191 , 	322 , 	393 , 	355 , 	369 , 	577 , 	232 , 	52 , 	229 , 	-   , 	-   , 	77 , 	232 ," 	21,655 ",,,,,,,,,,,,,
16, 	154 , 	224 , 	116 , 	136 , 	274 , 	207 , 	328 , 	410 , 	298 , 	228 , 	281 , 	154 , 	140 , 	141 , 	93 , 	78 , 	75 , 	87 , 	109 , 	144 , 	91 , 	54 , 	51 , 	170 , 	367 ," 	1,119 "," 	1,443 "," 	1,339 ", 	630 , 	32 , 	202 , 	296 , 	584 , 	289 , 	153 , 	62 , 	175 , 	51 , 	125 , 	131 , 	133 , 	179 , 	248 , 	65 , 	22 , 	62 , 	-   , 	-   , 	30 , 	83 ," 	11,863 ",,,,,,,,,,,,,
24, 	152 , 	175 , 	61 , 	87 , 	218 , 	115 , 	216 , 	293 , 	262 , 	136 , 	214 , 	142 , 	85 , 	78 , 	51 , 	37 , 	35 , 	33 , 	76 , 	72 , 	61 , 	35 , 	30 , 	98 , 	226 ," 	1,538 "," 	1,997 "," 	1,838 ", 	987 , 	220 , 	42 , 	246 , 	525 , 	258 , 	126 , 	29 , 	71 , 	37 , 	102 , 	91 , 	121 , 	161 , 	215 , 	36 , 	23 , 	30 , 	-   , 	-   , 	25 , 	59 ," 	11,764 ",,,,,,,,,,,,,
GP, 	36 , 	71 , 	27 , 	27 , 	110 , 	28 , 	71 , 	146 , 	160 , 	54 , 	64 , 	70 , 	43 , 	30 , 	30 , 	14 , 	10 , 	16 , 	39 , 	48 , 	40 , 	15 , 	16 , 	41 , 	66 ," 	1,066 "," 	1,349 "," 	1,158 ", 	669 , 	300 , 	242 , 	22 , 	118 , 	62 , 	49 , 	16 , 	57 , 	15 , 	36 , 	34 , 	54 , 	110 , 	129 , 	24 , 	14 , 	12 , 	-   , 	-   , 	12 , 	33 ," 	6,853 ",,,,,,,,,,,,,
