Exit stations,Entry stations->,,SATURDAY,,,Oct 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	10 , 	9 , 	10 , 	9 , 	57 , 	9 , 	26 , 	28 , 	41 , 	7 , 	18 , 	22 , 	5 , 	4 , 	4 , 	2 , 	4 , 	6 , 	69 , 	31 , 	50 , 	11 , 	15 , 	61 , 	5 , 	328 , 	175 , 	322 , 	160 , 	36 , 	28 , 	15 , 	10 , 	13 , 	2 , 	2 , 	1 , 	7 , 	26 , 	2 , 	6 , 	75 , 	10 , 	1 ," 	1,732 ",,,CM line," 	34,211 "," 	4,639 "," 	6,008 ",,,,,
OR, 	3 , 	8 , 	5 , 	4 , 	36 , 	6 , 	18 , 	20 , 	30 , 	7 , 	19 , 	18 , 	1 , 	2 , 	1 , 	2 , 	3 , 	4 , 	28 , 	16 , 	35 , 	9 , 	7 , 	46 , 	3 , 	275 , 	139 , 	242 , 	97 , 	23 , 	24 , 	7 , 	7 , 	10 , 	3 , 	1 , 	3 , 	3 , 	10 , 	4 , 	3 , 	41 , 	7 , 	1 ," 	1,234 ",,,RM line," 	17,431 "," 	5,695 "," 	4,418 "," 	4,309 ",,,,
RR, 	16 , 	19 , 	28 , 	17 , 	56 , 	13 , 	53 , 	87 , 	97 , 	22 , 	35 , 	35 , 	13 , 	19 , 	9 , 	5 , 	6 , 	15 , 	43 , 	57 , 	79 , 	57 , 	54 , 	21 , 	17 , 	438 , 	296 , 	621 , 	348 , 	165 , 	112 , 	37 , 	24 , 	24 , 	5 , 	5 , 	5 , 	9 , 	31 , 	6 , 	4 , 	90 , 	18 , 	1 ," 	3,111 ",,,WP line," 	16,230 "," 	2,520 "," 	2,683 "," 	1,931 "," 	3,102 ",,,
OW, 	15 , 	23 , 	7 , 	11 , 	50 , 	32 , 	46 , 	33 , 	76 , 	18 , 	94 , 	81 , 	31 , 	35 , 	21 , 	12 , 	11 , 	10 , 	7 , 	4 , 	9 , 	6 , 	6 , 	17 , 	7 , 	520 , 	344 , 	797 , 	312 , 	167 , 	109 , 	25 , 	39 , 	24 , 	6 , 	6 , 	16 , 	2 , 	23 , 	6 , 	7 , 	30 , 	12 , 	5 ," 	3,111 ",,,FT/ED line," 	19,914 "," 	5,901 "," 	3,784 "," 	5,303 "," 	2,105 "," 	7,554 ",,
EM, 	147 , 	445 , 	275 , 	441 ," 	1,075 ", 	358 , 	613 , 	404 , 	520 , 	307 , 	432 , 	295 , 	294 , 	265 , 	189 , 	129 , 	241 , 	505 , 	300 , 	439 , 	629 , 	418 , 	374 , 	645 , 	657 , 	68 , 	60 , 	396 , 	240 , 	600 , 	781 , 	437 , 	544 , 	447 , 	169 , 	248 , 	853 , 	142 , 	299 , 	145 , 	175 , 	526 , 	495 , 	204 ," 	17,227 ",,,SFIA," 	11,620 ", 	839 ," 	4,476 "," 	1,260 "," 	1,363 ", 	976 , 	856 ," 	189,780 "
MT, 	100 , 	259 , 	184 , 	247 , 	601 , 	216 , 	387 , 	299 , 	333 , 	247 , 	273 , 	158 , 	170 , 	176 , 	101 , 	67 , 	126 , 	228 , 	138 , 	197 , 	264 , 	161 , 	152 , 	344 , 	402 , 	43 , 	39 , 	68 , 	117 , 	538 , 	672 , 	445 ," 	1,209 ", 	374 , 	139 , 	99 , 	294 , 	55 , 	125 , 	96 , 	92 , 	362 , 	223 , 	78 ," 	10,899 ",,,,,,,,,,,
PL, 	232 , 	563 , 	318 , 	423 ," 	1,381 ", 	378 , 	674 , 	520 , 	601 , 	445 , 	592 , 	406 , 	335 , 	358 , 	244 , 	142 , 	226 , 	507 , 	292 , 	347 , 	498 , 	298 , 	230 , 	590 , 	835 , 	428 , 	73 , 	144 , 	247 ," 	1,543 "," 	1,884 "," 	1,050 "," 	2,010 "," 	1,177 ", 	402 , 	220 , 	739 , 	118 , 	306 , 	310 , 	311 ," 	1,758 ", 	766 , 	178 ," 	25,096 ",,,,,,,,,,,
CC, 	97 , 	189 , 	136 , 	249 , 	535 , 	262 , 	441 , 	327 , 	266 , 	207 , 	307 , 	177 , 	106 , 	109 , 	77 , 	56 , 	77 , 	142 , 	115 , 	133 , 	188 , 	137 , 	87 , 	303 , 	328 , 	168 , 	101 , 	241 , 	58 , 	631 , 	850 , 	394 , 	682 , 	382 , 	184 , 	85 , 	239 , 	45 , 	120 , 	112 , 	159 , 	481 , 	306 , 	59 ," 	10,348 ",,,,,,,,,,,
16, 	73 , 	84 , 	55 , 	124 , 	335 , 	185 , 	287 , 	255 , 	175 , 	121 , 	147 , 	83 , 	42 , 	46 , 	35 , 	17 , 	22 , 	54 , 	39 , 	42 , 	60 , 	40 , 	26 , 	176 , 	179 , 	506 , 	385 ," 	1,712 ", 	732 , 	44 , 	316 , 	301 , 	503 , 	234 , 	105 , 	24 , 	69 , 	11 , 	47 , 	69 , 	119 , 	178 , 	188 , 	16 ," 	8,261 ",,,,,,,,,,,
24, 	76 , 	100 , 	48 , 	98 , 	229 , 	122 , 	198 , 	163 , 	120 , 	80 , 	136 , 	82 , 	44 , 	43 , 	31 , 	23 , 	20 , 	41 , 	42 , 	26 , 	50 , 	30 , 	26 , 	119 , 	134 , 	599 , 	478 ," 	2,089 ", 	934 , 	283 , 	48 , 	276 , 	508 , 	266 , 	130 , 	18 , 	45 , 	12 , 	63 , 	83 , 	147 , 	146 , 	165 , 	11 ," 	8,384 ",,,,,,,,,,,
GP, 	17 , 	29 , 	17 , 	22 , 	90 , 	22 , 	38 , 	48 , 	49 , 	32 , 	30 , 	33 , 	14 , 	17 , 	14 , 	10 , 	9 , 	15 , 	21 , 	15 , 	22 , 	11 , 	6 , 	34 , 	34 , 	318 , 	299 ," 	1,193 ", 	338 , 	263 , 	251 , 	22 , 	81 , 	52 , 	45 , 	11 , 	25 , 	4 , 	21 , 	21 , 	67 , 	83 , 	63 , 	4 ," 	3,808 ",,,,,,,,,,,
