Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	6 , 	4 , 	4 , 	4 , 	85 , 	4 , 	12 , 	13 , 	34 , 	7 , 	16 , 	16 , 	3 , 	3 , 	2 , 	1 , 	0 , 	4 , 	38 , 	11 , 	16 , 	15 , 	3 , 	91 , 	2 , 	112 , 	90 , 	280 , 	73 , 	9 , 	16 , 	7 , 	10 , 	8 , 	11 , 	0 , 	3 , 	4 , 	7 ," 	1,027 ",,,FT/ED line," 	17,434 "," 	5,078 "," 	3,363 "," 	5,656 "," 	1,653 "," 	7,467 "," 	137,683 "
RR, 	17 , 	16 , 	13 , 	15 , 	69 , 	13 , 	25 , 	36 , 	57 , 	17 , 	38 , 	32 , 	12 , 	10 , 	7 , 	3 , 	5 , 	15 , 	45 , 	60 , 	106 , 	83 , 	93 , 	11 , 	8 , 	247 , 	249 , 	584 , 	241 , 	73 , 	76 , 	27 , 	13 , 	23 , 	20 , 	8 , 	7 , 	10 , 	31 ," 	2,412 ",,,,,,,,,,
OW, 	33 , 	30 , 	4 , 	10 , 	51 , 	33 , 	39 , 	24 , 	35 , 	11 , 	63 , 	46 , 	16 , 	36 , 	14 , 	9 , 	6 , 	7 , 	7 , 	4 , 	5 , 	1 , 	2 , 	4 , 	1 , 	204 , 	235 , 	626 , 	166 , 	58 , 	77 , 	16 , 	23 , 	6 , 	8 , 	4 , 	10 , 	3 , 	9 ," 	1,936 ",,,,,,,,,,
EM, 	75 , 	231 , 	150 , 	188 , 	583 , 	144 , 	208 , 	154 , 	289 , 	140 , 	194 , 	264 , 	164 , 	116 , 	83 , 	56 , 	116 , 	224 , 	150 , 	237 , 	282 , 	165 , 	159 , 	297 , 	239 , 	37 , 	39 , 	234 , 	75 , 	325 , 	404 , 	212 , 	298 , 	211 , 	167 , 	108 , 	469 , 	60 , 	142 ," 	7,689 ",,,,,,,,,,
MT, 	128 , 	221 , 	127 , 	169 , 	417 , 	124 , 	258 , 	148 , 	280 , 	134 , 	192 , 	184 , 	141 , 	112 , 	64 , 	46 , 	111 , 	213 , 	102 , 	162 , 	172 , 	111 , 	98 , 	225 , 	204 , 	74 , 	34 , 	69 , 	60 , 	413 , 	541 , 	423 ," 	1,131 ", 	248 , 	200 , 	80 , 	252 , 	41 , 	96 ," 	7,802 ",,,,,,,,,,
PL, 	158 , 	529 , 	305 , 	320 ," 	1,042 ", 	277 , 	500 , 	295 , 	574 , 	361 , 	533 , 	483 , 	359 , 	291 , 	175 , 	132 , 	262 , 	520 , 	256 , 	405 , 	467 , 	296 , 	278 , 	566 , 	634 , 	179 , 	70 , 	114 , 	195 ," 	1,076 "," 	1,770 ", 	979 ," 	1,664 "," 	1,026 ", 	754 , 	229 , 	898 , 	119 , 	272 ," 	19,362 ",,,,,,,,,,
CC, 	73 , 	158 , 	97 , 	164 , 	384 , 	138 , 	218 , 	134 , 	204 , 	119 ," 	1,435 ", 	164 , 	104 , 	82 , 	58 , 	31 , 	57 , 	102 , 	78 , 	103 , 	133 , 	74 , 	66 , 	218 , 	155 , 	64 , 	48 , 	187 , 	61 , 	523 , 	765 , 	334 , 	718 , 	298 , 	278 , 	64 , 	187 , 	35 , 	69 ," 	8,182 ",,,,,,,,,,
16, 	65 , 	69 , 	31 , 	66 , 	162 , 	73 , 	112 , 	63 , 	87 , 	54 , 	104 , 	79 , 	27 , 	24 , 	22 , 	12 , 	14 , 	29 , 	28 , 	18 , 	20 , 	12 , 	10 , 	70 , 	62 , 	242 , 	317 ," 	1,236 ", 	598 , 	33 , 	234 , 	170 , 	351 , 	164 , 	134 , 	9 , 	29 , 	4 , 	36 ," 	4,867 ",,,,,,,,,,
24, 	111 , 	107 , 	34 , 	71 , 	166 , 	81 , 	105 , 	74 , 	93 , 	55 , 	161 , 	93 , 	46 , 	42 , 	29 , 	24 , 	22 , 	30 , 	54 , 	26 , 	29 , 	15 , 	14 , 	86 , 	82 , 	327 , 	440 ," 	1,810 ", 	862 , 	221 , 	57 , 	217 , 	425 , 	255 , 	203 , 	10 , 	32 , 	9 , 	64 ," 	6,582 ",,,,,,,,,,
GP, 	14 , 	30 , 	15 , 	18 , 	109 , 	14 , 	24 , 	15 , 	41 , 	14 , 	32 , 	44 , 	12 , 	15 , 	8 , 	5 , 	10 , 	13 , 	19 , 	13 , 	18 , 	9 , 	10 , 	26 , 	17 , 	169 , 	246 ," 	1,243 ", 	305 , 	153 , 	185 , 	25 , 	73 , 	56 , 	59 , 	4 , 	16 , 	3 , 	19 ," 	3,103 ",,,,,,,,,,
BP, 	21 , 	50 , 	11 , 	15 , 	60 , 	20 , 	27 , 	24 , 	54 , 	23 , 	40 , 	42 , 	22 , 	18 , 	12 , 	12 , 	15 , 	18 , 	22 , 	16 , 	15 , 	3 , 	8 , 	16 , 	22 , 	255 , 	433 ," 	2,639 ", 	677 , 	352 , 	416 , 	72 , 	43 , 	76 , 	114 , 	4 , 	18 , 	7 , 	34 ," 	5,726 ",,,,,,,,,,
DC, 	26 , 	45 , 	18 , 	16 , 	213 , 	17 , 	32 , 	23 , 	59 , 	16 , 	44 , 	56 , 	29 , 	24 , 	18 , 	12 , 	19 , 	31 , 	39 , 	23 , 	29 , 	8 , 	7 , 	20 , 	19 , 	188 , 	231 ," 	1,076 ", 	300 , 	154 , 	234 , 	53 , 	90 , 	15 , 	59 , 	9 , 	31 , 	6 , 	38 ," 	3,326 ",,,,,,,,,,
CM, 	21 , 	34 , 	10 , 	11 , 	99 , 	13 , 	18 , 	21 , 	50 , 	13 , 	25 , 	46 , 	18 , 	17 , 	11 , 	6 , 	11 , 	20 , 	29 , 	35 , 	30 , 	13 , 	10 , 	17 , 	7 , 	161 , 	181 , 	799 , 	315 , 	126 , 	223 , 	77 , 	145 , 	49 , 	10 , 	7 , 	30 , 	6 , 	59 ," 	2,775 ",,,,,,,,,,
CV, 	4 , 	5 , 	3 , 	5 , 	36 , 	4 , 	5 , 	6 , 	14 , 	31 , 	42 , 	32 , 	24 , 	58 , 	22 , 	8 , 	7 , 	15 , 	2 , 	1 , 	3 , 	3 , 	0 , 	7 , 	4 , 	101 , 	78 , 	212 , 	66 , 	8 , 	13 , 	4 , 	5 , 	9 , 	10 , 	7 , 	64 , 	1 , 	4 , 	924 ,,,,,,,,,,
ED, 	9 , 	15 , 	9 , 	10 , 	161 , 	15 , 	18 , 	21 , 	34 , 	47 , 	89 , 	148 , 	55 , 	126 , 	41 , 	24 , 	28 , 	38 , 	6 , 	6 , 	3 , 	2 , 	1 , 	8 , 	10 , 	422 , 	217 , 	884 , 	200 , 	30 , 	30 , 	16 , 	14 , 	41 , 	28 , 	74 , 	27 , 	0 , 	8 ," 	2,914 ",,,,,,,,,,
NC, 	3 , 	4 , 	1 , 	2 , 	14 , 	4 , 	5 , 	5 , 	11 , 	1 , 	2 , 	11 , 	2 , 	2 , 	4 , 	2 , 	3 , 	4 , 	36 , 	9 , 	22 , 	5 , 	2 , 	10 , 	1 , 	57 , 	37 , 	111 , 	33 , 	5 , 	9 , 	4 , 	5 , 	5 , 	9 , 	1 , 	1 , 	8 , 	34 , 	485 ,,,,,,,,,,
WP, 	26 , 	26 , 	8 , 	7 , 	50 , 	12 , 	51 , 	36 , 	66 , 	6 , 	28 , 	47 , 	16 , 	14 , 	18 , 	11 , 	9 , 	28 , 	229 , 	52 , 	86 , 	16 , 	7 , 	32 , 	14 , 	122 , 	99 , 	295 , 	90 , 	34 , 	77 , 	24 , 	43 , 	41 , 	55 , 	4 , 	8 , 	35 , 	17 ," 	1,838 ",,,,,,,,,,
Entries," 	2,311 "," 	3,216 "," 	1,900 "," 	1,833 "," 	7,792 "," 	2,167 "," 	2,853 "," 	2,126 "," 	3,888 "," 	1,832 "," 	4,881 "," 	3,557 "," 	2,184 "," 	2,549 "," 	2,157 "," 	1,167 "," 	1,647 "," 	2,772 "," 	2,103 "," 	1,693 "," 	2,277 "," 	1,198 "," 	1,034 "," 	2,316 "," 	1,941 "," 	6,527 "," 	6,275 "," 	21,473 "," 	7,812 "," 	4,749 "," 	6,587 "," 	3,174 "," 	5,613 "," 	3,322 "," 	2,682 ", 	936 ," 	2,944 ", 	511 ," 	1,682 "," 	137,683 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
