Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Nov 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
24, 	76 , 	56 , 	19 , 	38 , 	83 , 	47 , 	76 , 	37 , 	49 , 	39 , 	110 , 	128 , 	25 , 	24 , 	22 , 	10 , 	13 , 	17 , 	35 , 	16 , 	15 , 	9 , 	6 , 	49 , 	42 , 	237 , 	276 ," 	1,268 ", 	650 , 	135 , 	44 , 	116 , 	245 , 	167 , 	150 , 	8 , 	21 , 	7 , 	39 ," 	4,403 ",,,,,,,,,,
GP, 	12 , 	20 , 	10 , 	11 , 	38 , 	13 , 	18 , 	16 , 	21 , 	19 , 	25 , 	103 , 	9 , 	7 , 	4 , 	3 , 	7 , 	13 , 	16 , 	12 , 	13 , 	4 , 	4 , 	17 , 	15 , 	90 , 	134 , 	832 , 	203 , 	90 , 	101 , 	20 , 	49 , 	29 , 	46 , 	7 , 	18 , 	4 , 	16 ," 	2,063 ",,,,,,,,,,
BP, 	25 , 	40 , 	6 , 	10 , 	20 , 	8 , 	20 , 	9 , 	41 , 	17 , 	29 , 	48 , 	17 , 	12 , 	13 , 	8 , 	10 , 	15 , 	18 , 	18 , 	9 , 	4 , 	7 , 	12 , 	22 , 	152 , 	238 ," 	1,849 ", 	449 , 	201 , 	264 , 	36 , 	38 , 	37 , 	86 , 	6 , 	28 , 	11 , 	34 ," 	3,863 ",,,,,,,,,,
DC, 	17 , 	25 , 	15 , 	10 , 	50 , 	15 , 	14 , 	16 , 	34 , 	18 , 	24 , 	137 , 	16 , 	19 , 	6 , 	4 , 	10 , 	21 , 	30 , 	18 , 	20 , 	10 , 	7 , 	12 , 	13 , 	113 , 	106 , 	623 , 	208 , 	119 , 	166 , 	37 , 	49 , 	13 , 	47 , 	5 , 	33 , 	8 , 	26 ," 	2,110 ",,,,,,,,,,
CM, 	22 , 	34 , 	9 , 	10 , 	45 , 	14 , 	18 , 	15 , 	41 , 	14 , 	21 , 	90 , 	12 , 	17 , 	8 , 	6 , 	12 , 	14 , 	25 , 	25 , 	18 , 	10 , 	9 , 	19 , 	10 , 	100 , 	109 , 	531 , 	255 , 	95 , 	173 , 	53 , 	90 , 	44 , 	12 , 	6 , 	29 , 	10 , 	45 ," 	2,065 ",,,,,,,,,,
CV, 	3 , 	3 , 	2 , 	2 , 	13 , 	4 , 	5 , 	3 , 	9 , 	21 , 	20 , 	256 , 	21 , 	37 , 	12 , 	8 , 	4 , 	12 , 	1 , 	1 , 	2 , 	1 , 	0 , 	3 , 	3 , 	45 , 	48 , 	111 , 	55 , 	7 , 	10 , 	6 , 	4 , 	8 , 	4 , 	2 , 	50 , 	-   , 	1 , 	791 ,,,,,,,,,,
ED, 	9 , 	14 , 	10 , 	8 , 	66 , 	17 , 	18 , 	21 , 	31 , 	66 , 	82 , 	623 , 	55 , 	127 , 	44 , 	21 , 	26 , 	47 , 	7 , 	5 , 	3 , 	1 , 	1 , 	10 , 	10 , 	311 , 	223 , 	732 , 	231 , 	34 , 	29 , 	26 , 	44 , 	44 , 	49 , 	82 , 	32 , 	1 , 	8 ," 	3,168 ",,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	1 , 	5 , 	2 , 	4 , 	3 , 	11 , 	1 , 	3 , 	79 , 	1 , 	1 , 	2 , 	1 , 	2 , 	2 , 	14 , 	4 , 	17 , 	5 , 	4 , 	6 , 	1 , 	25 , 	16 , 	49 , 	21 , 	7 , 	5 , 	4 , 	4 , 	5 , 	7 , 	0 , 	1 , 	5 , 	19 , 	338 ,,,,,,,,,,
WP, 	18 , 	19 , 	5 , 	6 , 	18 , 	8 , 	41 , 	23 , 	42 , 	5 , 	31 , 	172 , 	12 , 	12 , 	15 , 	11 , 	11 , 	21 , 	138 , 	34 , 	60 , 	11 , 	3 , 	22 , 	10 , 	74 , 	48 , 	204 , 	72 , 	24 , 	44 , 	23 , 	40 , 	38 , 	50 , 	2 , 	9 , 	26 , 	17 ," 	1,415 ",,,,,,,,,,
Entries," 	1,702 "," 	1,943 "," 	1,296 "," 	1,207 "," 	3,807 "," 	1,498 "," 	1,940 "," 	1,422 "," 	2,742 "," 	1,633 "," 	3,996 "," 	8,141 "," 	1,970 "," 	2,216 "," 	1,589 ", 	920 ," 	1,256 "," 	1,809 "," 	1,510 "," 	1,165 "," 	1,524 ", 	831 , 	695 ," 	1,490 "," 	1,236 "," 	4,337 "," 	3,950 "," 	14,392 "," 	6,049 "," 	3,441 "," 	4,471 "," 	2,028 "," 	3,649 "," 	2,084 "," 	1,903 ", 	881 ," 	2,130 ", 	393 ," 	1,321 "," 	100,571 ",,,,,,,,,,
