Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Nov 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
CC, 	214 , 	526 , 	260 , 	310 , 	600 , 	341 , 	549 , 	481 , 	612 , 	361 , 	517 , 	374 , 	333 , 	292 , 	202 , 	172 , 	190 , 	299 , 	415 , 	437 , 	300 , 	168 , 	150 , 	406 , 	452 , 	365 , 	383 , 	327 , 	111 , 	975 ," 	1,534 ", 	904 ," 	2,198 ", 	766 , 	775 , 	152 , 	357 , 	138 , 	338 ," 	18,286 ",,,,,,,,,,,
16, 	105 , 	110 , 	56 , 	97 , 	217 , 	116 , 	204 , 	158 , 	211 , 	92 , 	178 , 	135 , 	58 , 	61 , 	64 , 	44 , 	34 , 	45 , 	68 , 	60 , 	54 , 	24 , 	26 , 	102 , 	121 , 	872 ," 	1,231 "," 	1,748 ", 	976 , 	47 , 	410 , 	348 , 	945 , 	278 , 	233 , 	22 , 	71 , 	24 , 	90 ," 	9,736 ",,,,,,,,,,,
24, 	145 , 	130 , 	36 , 	61 , 	225 , 	88 , 	134 , 	145 , 	208 , 	85 , 	199 , 	136 , 	66 , 	61 , 	43 , 	36 , 	30 , 	40 , 	77 , 	51 , 	57 , 	27 , 	30 , 	72 , 	96 ," 	1,242 "," 	1,696 "," 	2,180 "," 	1,282 ", 	342 , 	59 , 	280 , 	854 , 	289 , 	245 , 	14 , 	54 , 	20 , 	91 ," 	10,924 ",,,,,,,,,,,
GP, 	27 , 	54 , 	22 , 	25 , 	110 , 	30 , 	60 , 	100 , 	151 , 	32 , 	54 , 	70 , 	30 , 	28 , 	26 , 	11 , 	18 , 	24 , 	39 , 	48 , 	43 , 	21 , 	20 , 	40 , 	28 ," 	1,107 "," 	1,376 "," 	1,537 ", 	751 , 	300 , 	283 , 	35 , 	180 , 	73 , 	91 , 	12 , 	56 , 	13 , 	38 ," 	6,966 ",,,,,,,,,,,
BP, 	37 , 	64 , 	26 , 	31 , 	82 , 	32 , 	61 , 	84 , 	126 , 	43 , 	101 , 	72 , 	47 , 	44 , 	38 , 	28 , 	30 , 	26 , 	30 , 	29 , 	25 , 	9 , 	8 , 	45 , 	52 ," 	1,364 "," 	1,908 "," 	3,685 "," 	1,816 "," 	2,583 ", 	904 , 	178 , 	73 , 	151 , 	159 , 	11 , 	26 , 	13 , 	48 ," 	14,089 ",,,,,,,,,,,
DC, 	59 , 	145 , 	63 , 	73 , 	192 , 	77 , 	95 , 	150 , 	226 , 	111 , 	135 , 	123 , 	74 , 	70 , 	45 , 	36 , 	47 , 	77 , 	83 , 	97 , 	68 , 	34 , 	30 , 	72 , 	77 ," 	1,189 "," 	1,583 "," 	1,193 ", 	695 , 	241 , 	339 , 	84 , 	167 , 	14 , 	80 , 	30 , 	120 , 	44 , 	75 ," 	8,114 ",,,,,,,,,,,
CM, 	27 , 	69 , 	18 , 	18 , 	131 , 	25 , 	43 , 	155 , 	219 , 	23 , 	34 , 	56 , 	22 , 	25 , 	20 , 	12 , 	15 , 	20 , 	61 , 	52 , 	56 , 	19 , 	17 , 	31 , 	30 ," 	1,297 "," 	1,410 ", 	998 , 	705 , 	195 , 	251 , 	95 , 	224 , 	65 , 	12 , 	7 , 	36 , 	16 , 	88 ," 	6,595 ",,,,,,,,,,,
CV, 	6 , 	6 , 	4 , 	7 , 	51 , 	8 , 	18 , 	49 , 	84 , 	60 , 	50 , 	69 , 	44 , 	55 , 	19 , 	18 , 	18 , 	22 , 	5 , 	3 , 	3 , 	1 , 	1 , 	6 , 	6 , 	388 , 	374 , 	199 , 	160 , 	21 , 	18 , 	13 , 	13 , 	28 , 	8 , 	4 , 	147 , 	1 , 	3 ," 	1,989 ",,,,,,,,,,,
ED, 	29 , 	42 , 	22 , 	20 , 	137 , 	28 , 	56 , 	162 , 	258 , 	166 , 	180 , 	210 , 	96 , 	267 , 	97 , 	67 , 	58 , 	87 , 	19 , 	8 , 	6 , 	4 , 	2 , 	12 , 	32 ," 	1,123 "," 	1,039 ", 	598 , 	408 , 	68 , 	65 , 	58 , 	42 , 	124 , 	40 , 	165 , 	17 , 	4 , 	10 ," 	5,826 ",,,,,,,,,,,
NC, 	9 , 	7 , 	3 , 	3 , 	44 , 	4 , 	26 , 	101 , 	123 , 	6 , 	10 , 	19 , 	7 , 	5 , 	9 , 	2 , 	4 , 	9 , 	78 , 	36 , 	66 , 	17 , 	11 , 	23 , 	4 , 	341 , 	360 , 	181 , 	155 , 	22 , 	22 , 	14 , 	17 , 	45 , 	17 , 	1 , 	2 , 	4 , 	81 ," 	1,886 ",,,,,,,,,,,
WP, 	30 , 	31 , 	8 , 	8 , 	86 , 	20 , 	119 , 	202 , 	283 , 	21 , 	40 , 	68 , 	25 , 	16 , 	24 , 	16 , 	24 , 	33 , 	578 , 	176 , 	216 , 	37 , 	21 , 	57 , 	28 , 	565 , 	617 , 	427 , 	376 , 	84 , 	107 , 	44 , 	65 , 	82 , 	90 , 	3 , 	11 , 	101 , 	18 ," 	4,760 ",,,,,,,,,,,
Entries," 	4,718 "," 	7,930 "," 	4,131 "," 	3,667 "," 	11,084 "," 	4,171 "," 	6,208 "," 	8,204 "," 	12,220 "," 	4,526 "," 	8,063 "," 	6,764 "," 	5,062 "," 	5,157 "," 	4,629 "," 	2,961 "," 	3,761 "," 	5,631 "," 	6,068 "," 	6,398 "," 	5,487 "," 	2,795 "," 	2,487 "," 	4,247 "," 	4,711 "," 	29,131 "," 	30,348 "," 	26,132 "," 	18,918 "," 	10,624 "," 	12,059 "," 	7,429 "," 	13,174 "," 	7,908 "," 	6,702 "," 	2,068 "," 	5,731 "," 	1,987 "," 	4,533 "," 	317,825 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
