Exit stations,Entry stations->,,SUNDAY,,,Feb 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
OR, 	2 , 	3 , 	4 , 	8 , 	18 , 	6 , 	19 , 	13 , 	25 , 	5 , 	9 , 	14 , 	3 , 	2 , 	2 , 	2 , 	2 , 	7 , 	24 , 	18 , 	26 , 	12 , 	5 , 	44 , 	1 , 	125 , 	98 , 	168 , 	80 , 	24 , 	19 , 	12 , 	9 , 	15 , 	3 , 	2 , 	1 , 	1 , 	6 , 	2 , 	1 , 	51 , 	6 , 	1 , 	895 ,,,RM line," 	11,108 "," 	3,858 "," 	3,894 "," 	2,824 ",,,,
RR, 	15 , 	19 , 	28 , 	18 , 	38 , 	13 , 	37 , 	56 , 	72 , 	23 , 	28 , 	34 , 	8 , 	12 , 	3 , 	6 , 	8 , 	19 , 	32 , 	40 , 	72 , 	50 , 	44 , 	10 , 	13 , 	281 , 	218 , 	476 , 	344 , 	182 , 	127 , 	40 , 	24 , 	28 , 	6 , 	5 , 	9 , 	9 , 	20 , 	4 , 	5 , 	108 , 	21 , 	2 ," 	2,602 ",,,WP line," 	10,220 "," 	1,739 "," 	2,587 "," 	1,409 "," 	2,236 ",,,
OW, 	19 , 	24 , 	9 , 	12 , 	46 , 	25 , 	33 , 	24 , 	58 , 	21 , 	72 , 	46 , 	18 , 	28 , 	14 , 	10 , 	6 , 	8 , 	6 , 	3 , 	6 , 	2 , 	2 , 	13 , 	7 , 	308 , 	234 , 	605 , 	305 , 	180 , 	126 , 	32 , 	42 , 	23 , 	6 , 	6 , 	8 , 	3 , 	29 , 	6 , 	9 , 	43 , 	6 , 	7 ," 	2,481 ",,,FT/ED line," 	12,247 "," 	4,233 "," 	3,155 "," 	3,743 "," 	1,727 "," 	5,419 ",,
EM, 	105 , 	211 , 	139 , 	238 , 	479 , 	192 , 	363 , 	235 , 	310 , 	191 , 	229 , 	198 , 	125 , 	116 , 	71 , 	45 , 	75 , 	167 , 	158 , 	188 , 	274 , 	155 , 	127 , 	344 , 	362 , 	53 , 	27 , 	158 , 	98 , 	261 , 	330 , 	163 , 	263 , 	137 , 	41 , 	90 , 	326 , 	60 , 	137 , 	49 , 	48 , 	300 , 	99 , 	78 ," 	7,811 ",,,SFIA," 	7,166 ", 	860 ," 	3,580 "," 	1,265 "," 	1,477 ", 	874 , 	814 ," 	130,729 "
MT, 	75 , 	161 , 	106 , 	182 , 	286 , 	132 , 	245 , 	207 , 	259 , 	214 , 	192 , 	124 , 	107 , 	115 , 	52 , 	35 , 	50 , 	114 , 	86 , 	106 , 	139 , 	82 , 	88 , 	220 , 	263 , 	31 , 	32 , 	49 , 	59 , 	291 , 	388 , 	248 , 	745 , 	186 , 	74 , 	63 , 	168 , 	36 , 	104 , 	43 , 	52 , 	265 , 	80 , 	48 ," 	6,599 ",,,,,,,,,,,
PL, 	179 , 	406 , 	214 , 	271 , 	706 , 	251 , 	485 , 	340 , 	471 , 	382 , 	468 , 	281 , 	215 , 	264 , 	107 , 	85 , 	124 , 	290 , 	191 , 	189 , 	276 , 	173 , 	142 , 	371 , 	620 , 	174 , 	39 , 	122 , 	161 ," 	1,011 "," 	1,231 ", 	702 ," 	1,242 ", 	662 , 	252 , 	122 , 	438 , 	77 , 	184 , 	162 , 	205 ," 	1,036 ", 	344 , 	112 ," 	15,771 ",,,,,,,,,,,
CC, 	79 , 	143 , 	111 , 	193 , 	318 , 	183 , 	348 , 	247 , 	233 , 	208 , 	258 , 	134 , 	76 , 	72 , 	43 , 	31 , 	41 , 	97 , 	73 , 	100 , 	167 , 	111 , 	77 , 	283 , 	298 , 	70 , 	48 , 	125 , 	61 , 	459 , 	572 , 	267 , 	415 , 	237 , 	107 , 	57 , 	158 , 	32 , 	96 , 	62 , 	138 , 	441 , 	165 , 	47 ," 	7,476 ",,,,,,,,,,,
16, 	64 , 	66 , 	47 , 	109 , 	212 , 	145 , 	246 , 	174 , 	133 , 	140 , 	134 , 	55 , 	32 , 	29 , 	23 , 	18 , 	18 , 	38 , 	31 , 	36 , 	45 , 	29 , 	23 , 	158 , 	182 , 	267 , 	224 ," 	1,157 ", 	515 , 	44 , 	224 , 	200 , 	304 , 	177 , 	65 , 	20 , 	57 , 	12 , 	39 , 	42 , 	94 , 	193 , 	104 , 	12 ," 	5,933 ",,,,,,,,,,,
24, 	75 , 	87 , 	42 , 	94 , 	171 , 	119 , 	198 , 	132 , 	139 , 	115 , 	126 , 	91 , 	34 , 	36 , 	20 , 	18 , 	10 , 	28 , 	44 , 	30 , 	36 , 	23 , 	15 , 	120 , 	155 , 	322 , 	271 ," 	1,396 ", 	645 , 	207 , 	56 , 	179 , 	323 , 	159 , 	89 , 	16 , 	42 , 	8 , 	46 , 	39 , 	116 , 	197 , 	122 , 	10 ," 	6,194 ",,,,,,,,,,,
GP, 	22 , 	33 , 	19 , 	35 , 	75 , 	30 , 	63 , 	38 , 	44 , 	27 , 	34 , 	37 , 	18 , 	14 , 	8 , 	5 , 	8 , 	17 , 	18 , 	19 , 	31 , 	17 , 	12 , 	43 , 	44 , 	159 , 	164 , 	838 , 	260 , 	185 , 	177 , 	24 , 	51 , 	41 , 	33 , 	7 , 	24 , 	6 , 	29 , 	19 , 	64 , 	90 , 	47 , 	4 ," 	2,926 ",,,,,,,,,,,
