Exit stations,Entry stations->,,SATURDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	13 , 	16 , 	9 , 	33 , 	10 , 	11 , 	7 , 	14 , 	5 , 	14 , 	12 , 	4 , 	5 , 	4 , 	3 , 	3 , 	1 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	4 , 	30 , 	25 , 	59 , 	25 , 	28 , 	36 , 	8 , 	7 , 	5 , 	4 , 	-   , 	3 , 	1 , 	3 , 	2 , 	3 , 	6 , 	4 , 	1 , 	2 , 	2 , 	1 , 	2 , 	1 , 	3 , 	446 ,,,,,,,,,,
OR, 	0 , 	1 , 	-   , 	1 , 	2 , 	2 , 	6 , 	4 , 	2 , 	1 , 	5 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	0 , 	8 , 	5 , 	6 , 	2 , 	4 , 	5 , 	2 , 	13 , 	8 , 	16 , 	7 , 	7 , 	5 , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	0 , 	4 , 	-   , 	-   , 	3 , 	1 , 	-   , 	1 , 	1 , 	-   , 	-   , 	2 , 	1 , 	132 ,,,,,,,,,,
RR, 	3 , 	8 , 	5 , 	2 , 	4 , 	1 , 	11 , 	9 , 	10 , 	4 , 	14 , 	4 , 	7 , 	4 , 	3 , 	2 , 	1 , 	0 , 	14 , 	16 , 	16 , 	10 , 	8 , 	7 , 	8 , 	30 , 	23 , 	37 , 	22 , 	17 , 	13 , 	7 , 	3 , 	4 , 	2 , 	-   , 	0 , 	1 , 	5 , 	1 , 	2 , 	6 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	2 , 	6 , 	351 ,,,,,,,,,,
OW, 	5 , 	8 , 	2 , 	2 , 	10 , 	2 , 	7 , 	8 , 	13 , 	5 , 	29 , 	17 , 	7 , 	11 , 	5 , 	3 , 	1 , 	2 , 	5 , 	1 , 	3 , 	0 , 	1 , 	7 , 	8 , 	121 , 	85 , 	196 , 	83 , 	62 , 	55 , 	7 , 	15 , 	8 , 	6 , 	4 , 	4 , 	1 , 	4 , 	3 , 	4 , 	13 , 	1 , 	1 , 	2 , 	1 , 	2 , 	3 , 	3 , 	2 , 	843 ,,,,,,,,,,
EM, 	27 , 	71 , 	27 , 	29 , 	76 , 	23 , 	50 , 	63 , 	56 , 	59 , 	75 , 	48 , 	45 , 	34 , 	23 , 	13 , 	20 , 	21 , 	32 , 	37 , 	31 , 	17 , 	13 , 	32 , 	143 , 	19 , 	7 , 	32 , 	29 , 	69 , 	74 , 	45 , 	78 , 	56 , 	15 , 	22 , 	87 , 	9 , 	28 , 	14 , 	13 , 	31 , 	16 , 	22 , 	7 , 	8 , 	17 , 	13 , 	9 , 	24 ," 	1,802 ",,,,,,,,,,
MT, 	35 , 	74 , 	19 , 	19 , 	62 , 	27 , 	54 , 	52 , 	69 , 	61 , 	66 , 	36 , 	59 , 	47 , 	18 , 	17 , 	18 , 	10 , 	33 , 	36 , 	33 , 	21 , 	9 , 	28 , 	111 , 	10 , 	15 , 	10 , 	16 , 	55 , 	66 , 	49 , 	133 , 	63 , 	27 , 	21 , 	27 , 	8 , 	21 , 	14 , 	21 , 	40 , 	12 , 	14 , 	6 , 	6 , 	7 , 	10 , 	4 , 	17 ," 	1,679 ",,,,,,,,,,
PL, 	50 , 	105 , 	40 , 	17 , 	71 , 	37 , 	71 , 	72 , 	91 , 	76 , 	128 , 	60 , 	73 , 	74 , 	37 , 	16 , 	22 , 	23 , 	40 , 	39 , 	46 , 	11 , 	19 , 	30 , 	187 , 	31 , 	4 , 	38 , 	28 , 	158 , 	211 , 	115 , 	252 , 	193 , 	73 , 	28 , 	57 , 	14 , 	43 , 	34 , 	41 , 	58 , 	21 , 	20 , 	6 , 	8 , 	12 , 	18 , 	8 , 	24 ," 	2,920 ",,,,,,,,,,
CC, 	22 , 	44 , 	17 , 	12 , 	44 , 	21 , 	49 , 	52 , 	54 , 	41 , 	96 , 	50 , 	27 , 	26 , 	15 , 	11 , 	8 , 	10 , 	15 , 	17 , 	21 , 	7 , 	10 , 	28 , 	99 , 	22 , 	15 , 	26 , 	15 , 	60 , 	79 , 	41 , 	100 , 	63 , 	38 , 	9 , 	30 , 	5 , 	12 , 	16 , 	26 , 	36 , 	16 , 	9 , 	3 , 	5 , 	10 , 	8 , 	6 , 	9 ," 	1,445 ",,,,,,,,,,
16, 	26 , 	36 , 	13 , 	16 , 	40 , 	23 , 	51 , 	55 , 	43 , 	40 , 	53 , 	34 , 	22 , 	16 , 	11 , 	7 , 	10 , 	11 , 	15 , 	13 , 	11 , 	6 , 	6 , 	21 , 	76 , 	77 , 	53 , 	185 , 	71 , 	18 , 	31 , 	39 , 	78 , 	66 , 	31 , 	5 , 	11 , 	2 , 	13 , 	17 , 	25 , 	26 , 	16 , 	3 , 	1 , 	4 , 	5 , 	12 , 	5 , 	8 ," 	1,449 ",,,,,,,,,,
24, 	28 , 	50 , 	7 , 	12 , 	22 , 	14 , 	25 , 	31 , 	33 , 	22 , 	55 , 	34 , 	19 , 	15 , 	9 , 	7 , 	5 , 	4 , 	18 , 	6 , 	9 , 	8 , 	2 , 	13 , 	52 , 	61 , 	59 , 	254 , 	91 , 	30 , 	20 , 	50 , 	76 , 	64 , 	36 , 	5 , 	9 , 	3 , 	19 , 	26 , 	33 , 	19 , 	14 , 	3 , 	1 , 	2 , 	3 , 	4 , 	3 , 	6 ," 	1,381 ",,,,,,,,,,
GP, 	6 , 	13 , 	4 , 	4 , 	9 , 	4 , 	13 , 	10 , 	11 , 	7 , 	9 , 	10 , 	4 , 	5 , 	1 , 	2 , 	2 , 	1 , 	3 , 	4 , 	2 , 	-   , 	1 , 	6 , 	9 , 	42 , 	33 , 	138 , 	40 , 	36 , 	48 , 	11 , 	12 , 	8 , 	12 , 	2 , 	5 , 	0 , 	7 , 	6 , 	15 , 	7 , 	7 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	575 ,,,,,,,,,,
BP, 	9 , 	16 , 	3 , 	1 , 	7 , 	3 , 	7 , 	7 , 	13 , 	14 , 	15 , 	9 , 	6 , 	7 , 	5 , 	2 , 	2 , 	3 , 	5 , 	3 , 	4 , 	1 , 	2 , 	2 , 	13 , 	64 , 	60 , 	337 , 	92 , 	75 , 	69 , 	9 , 	8 , 	13 , 	20 , 	1 , 	5 , 	2 , 	4 , 	10 , 	23 , 	17 , 	14 , 	3 , 	1 , 	1 , 	1 , 	3 , 	1 , 	4 , 	990 ,,,,,,,,,,
DC, 	5 , 	17 , 	2 , 	3 , 	11 , 	3 , 	5 , 	10 , 	11 , 	7 , 	17 , 	14 , 	8 , 	4 , 	3 , 	4 , 	3 , 	5 , 	4 , 	3 , 	4 , 	0 , 	2 , 	4 , 	14 , 	59 , 	54 , 	261 , 	82 , 	71 , 	64 , 	10 , 	20 , 	11 , 	7 , 	2 , 	7 , 	2 , 	5 , 	9 , 	29 , 	37 , 	15 , 	3 , 	1 , 	2 , 	3 , 	3 , 	2 , 	5 , 	919 ,,,,,,,,,,
CM, 	1 , 	4 , 	1 , 	1 , 	2 , 	2 , 	4 , 	3 , 	8 , 	2 , 	1 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	3 , 	2 , 	2 , 	-   , 	1 , 	0 , 	4 , 	10 , 	16 , 	73 , 	30 , 	27 , 	29 , 	12 , 	18 , 	8 , 	6 , 	-   , 	1 , 	1 , 	6 , 	2 , 	11 , 	31 , 	4 , 	-   , 	-   , 	-   , 	0 , 	1 , 	3 , 	2 , 	339 ,,,,,,,,,,
CV, 	-   , 	1 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	1 , 	8 , 	11 , 	6 , 	10 , 	7 , 	3 , 	2 , 	5 , 	4 , 	-   , 	-   , 	0 , 	0 , 	-   , 	1 , 	3 , 	19 , 	17 , 	35 , 	10 , 	6 , 	4 , 	2 , 	2 , 	3 , 	1 , 	3 , 	20 , 	-   , 	-   , 	1 , 	1 , 	1 , 	0 , 	19 , 	0 , 	2 , 	1 , 	1 , 	-   , 	1 , 	216 ,,,,,,,,,,
ED, 	4 , 	5 , 	1 , 	1 , 	5 , 	3 , 	3 , 	6 , 	4 , 	12 , 	27 , 	10 , 	16 , 	20 , 	8 , 	5 , 	6 , 	6 , 	0 , 	3 , 	1 , 	1 , 	1 , 	1 , 	7 , 	75 , 	27 , 	62 , 	24 , 	14 , 	10 , 	9 , 	8 , 	8 , 	1 , 	15 , 	13 , 	0 , 	3 , 	0 , 	1 , 	9 , 	0 , 	11 , 	7 , 	1 , 	2 , 	5 , 	-   , 	-   , 	456 ,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	2 , 	2 , 	3 , 	0 , 	2 , 	1 , 	0 , 	1 , 	1 , 	0 , 	-   , 	-   , 	4 , 	2 , 	4 , 	2 , 	1 , 	1 , 	-   , 	10 , 	7 , 	13 , 	3 , 	2 , 	1 , 	1 , 	4 , 	2 , 	1 , 	-   , 	1 , 	1 , 	6 , 	1 , 	0 , 	7 , 	2 , 	-   , 	0 , 	-   , 	-   , 	1 , 	3 , 	3 , 	94 ,,,,,,,,,,
WP, 	3 , 	4 , 	1 , 	1 , 	5 , 	2 , 	11 , 	7 , 	7 , 	4 , 	9 , 	6 , 	2 , 	2 , 	3 , 	2 , 	1 , 	2 , 	35 , 	14 , 	25 , 	5 , 	4 , 	4 , 	3 , 	21 , 	18 , 	52 , 	13 , 	13 , 	20 , 	4 , 	8 , 	4 , 	5 , 	-   , 	1 , 	5 , 	9 , 	4 , 	3 , 	14 , 	3 , 	-   , 	1 , 	-   , 	0 , 	1 , 	2 , 	9 , 	366 ,,,,,,,,,,
SS, 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	2 , 	-   , 	1 , 	2 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	-   , 	1 , 	1 , 	2 , 	14 , 	13 , 	34 , 	15 , 	18 , 	25 , 	8 , 	6 , 	11 , 	3 , 	1 , 	2 , 	0 , 	5 , 	4 , 	6 , 	10 , 	5 , 	1 , 	-   , 	1 , 	-   , 	-   , 	1 , 	3 , 	208 ,,,,,,,,,,
SB, 	3 , 	6 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	7 , 	4 , 	4 , 	4 , 	3 , 	5 , 	3 , 	1 , 	1 , 	1 , 	3 , 	4 , 	2 , 	2 , 	0 , 	2 , 	5 , 	12 , 	10 , 	61 , 	30 , 	27 , 	36 , 	17 , 	28 , 	26 , 	9 , 	1 , 	0 , 	1 , 	5 , 	8 , 	7 , 	10 , 	3 , 	0 , 	1 , 	0 , 	1 , 	-   , 	2 , 	2 , 	357 ,,,,,,,,,,
SO, 	4 , 	11 , 	5 , 	3 , 	9 , 	2 , 	6 , 	7 , 	5 , 	3 , 	4 , 	4 , 	4 , 	3 , 	1 , 	2 , 	2 , 	1 , 	12 , 	9 , 	11 , 	4 , 	5 , 	8 , 	10 , 	15 , 	13 , 	54 , 	23 , 	17 , 	14 , 	4 , 	17 , 	29 , 	21 , 	2 , 	8 , 	4 , 	15 , 	9 , 	4 , 	10 , 	19 , 	1 , 	2 , 	1 , 	1 , 	1 , 	2 , 	7 , 	423 ,,,,,,,,,,
MB, 	2 , 	1 , 	1 , 	0 , 	2 , 	1 , 	2 , 	2 , 	5 , 	1 , 	4 , 	1 , 	1 , 	1 , 	2 , 	0 , 	-   , 	-   , 	3 , 	1 , 	0 , 	1 , 	-   , 	1 , 	1 , 	13 , 	9 , 	19 , 	14 , 	11 , 	9 , 	5 , 	11 , 	13 , 	3 , 	0 , 	1 , 	1 , 	2 , 	3 , 	2 , 	28 , 	7 , 	-   , 	1 , 	-   , 	-   , 	0 , 	0 , 	1 , 	181 ,,,,,,,,,,
WD, 	0 , 	1 , 	1 , 	0 , 	1 , 	0 , 	2 , 	1 , 	2 , 	9 , 	18 , 	10 , 	15 , 	15 , 	9 , 	4 , 	2 , 	3 , 	1 , 	0 , 	1 , 	-   , 	-   , 	-   , 	2 , 	19 , 	11 , 	30 , 	10 , 	2 , 	3 , 	3 , 	2 , 	3 , 	-   , 	19 , 	13 , 	-   , 	0 , 	0 , 	1 , 	2 , 	-   , 	5 , 	3 , 	0 , 	1 , 	2 , 	1 , 	-   , 	225 ,,,,,,,,,,
OA, 	1 , 	3 , 	1 , 	1 , 	9 , 	1 , 	3 , 	2 , 	1 , 	2 , 	3 , 	4 , 	0 , 	-   , 	0 , 	1 , 	0 , 	3 , 	2 , 	2 , 	2 , 	0 , 	0 , 	0 , 	1 , 	5 , 	4 , 	5 , 	4 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	4 , 	1 , 	3 , 	-   , 	-   , 	2 , 	-   , 	1 , 	1 , 	1 , 	0 , 	1 , 	-   , 	2 , 	82 ,,,,,,,,,,
WS, 	2 , 	3 , 	1 , 	2 , 	7 , 	1 , 	3 , 	4 , 	2 , 	4 , 	9 , 	7 , 	6 , 	3 , 	7 , 	7 , 	6 , 	7 , 	0 , 	1 , 	-   , 	1 , 	-   , 	0 , 	0 , 	7 , 	4 , 	7 , 	7 , 	5 , 	2 , 	0 , 	2 , 	2 , 	-   , 	1 , 	2 , 	0 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	7 , 	8 , 	0 , 	1 , 	142 ,,,,,,,,,,
ML, 	2 , 	5 , 	1 , 	2 , 	6 , 	2 , 	3 , 	3 , 	4 , 	5 , 	8 , 	3 , 	5 , 	5 , 	9 , 	6 , 	10 , 	15 , 	2 , 	1 , 	0 , 	0 , 	-   , 	1 , 	1 , 	14 , 	7 , 	16 , 	7 , 	4 , 	1 , 	1 , 	2 , 	3 , 	0 , 	1 , 	2 , 	1 , 	1 , 	-   , 	-   , 	1 , 	0 , 	1 , 	2 , 	7 , 	6 , 	10 , 	-   , 	1 , 	180 ,,,,,,,,,,
