Exit stations,Entry stations->,,TOTAL,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	211 , 	223 , 	111 , 	94 , 	247 , 	108 , 	721 , 	582 , 	706 , 	141 , 	277 , 	197 , 	143 , 	114 , 	89 , 	64 , 	55 , 	34 ," 	1,746 ", 	732 , 	125 , 	358 , 	300 , 	598 , 	146 ," 	1,526 "," 	1,620 "," 	1,784 "," 	1,265 ", 	611 , 	420 , 	122 , 	159 , 	237 , 	97 , 	7 , 	29 , 	215 ," 	1,105 ", 	84 , 	97 , 	518 , 	59 , 	12 , 	160 , 	12 , 	28 , 	31 , 	409 , 	631 ," 	19,360 ",,,,,,,,,,,,,
LF, 	62 , 	66 , 	39 , 	20 , 	70 , 	24 , 	218 , 	174 , 	225 , 	28 , 	204 , 	67 , 	59 , 	16 , 	83 , 	7 , 	21 , 	10 ," 	1,211 ", 	410 , 	442 , 	79 , 	74 , 	248 , 	35 , 	627 , 	950 , 	657 , 	585 , 	215 , 	258 , 	68 , 	34 , 	37 , 	23 , 	5 , 	8 , 	65 , 	208 , 	25 , 	32 , 	191 , 	23 , 	3 , 	81 , 	4 , 	7 , 	9 , 	157 , 	164 ," 	8,328 ",,,,,,,,,,,,,
OR, 	49 , 	62 , 	9 , 	34 , 	50 , 	24 , 	169 , 	181 , 	229 , 	29 , 	282 , 	36 , 	47 , 	74 , 	28 , 	8 , 	18 , 	37 , 	277 , 	164 , 	334 , 	82 , 	68 , 	187 , 	19 , 	620 , 	718 , 	519 , 	353 , 	207 , 	109 , 	33 , 	46 , 	54 , 	13 , 	7 , 	4 , 	9 , 	103 , 	8 , 	21 , 	152 , 	33 , 	2 , 	53 , 	9 , 	4 , 	17 , 	65 , 	52 ," 	5,708 ",,,,,,,,,,,,,
RR, 	150 , 	213 , 	146 , 	56 , 	54 , 	33 , 	254 , 	341 , 	519 , 	100 , 	458 , 	203 , 	199 , 	117 , 	102 , 	56 , 	84 , 	25 , 	435 , 	510 , 	530 , 	276 , 	253 , 	128 , 	164 ," 	1,262 "," 	1,184 "," 	1,238 "," 	1,089 ", 	581 , 	374 , 	203 , 	136 , 	96 , 	17 , 	3 , 	45 , 	77 , 	338 , 	52 , 	43 , 	271 , 	34 , 	13 , 	26 , 	10 , 	19 , 	28 , 	105 , 	255 ," 	12,905 ",,,,,,,,,,,,,
OW, 	292 , 	236 , 	52 , 	70 , 	336 , 	211 , 	352 , 	293 , 	505 , 	199 ," 	1,128 ", 	777 , 	425 , 	520 , 	246 , 	161 , 	64 , 	75 , 	201 , 	91 , 	127 , 	17 , 	23 , 	166 , 	233 ," 	5,273 "," 	4,361 "," 	6,290 "," 	4,103 "," 	2,189 "," 	1,579 ", 	382 , 	530 , 	364 , 	189 , 	98 , 	225 , 	32 , 	131 , 	155 , 	167 , 	378 , 	128 , 	55 , 	53 , 	40 , 	26 , 	76 , 	99 , 	176 ," 	33,899 ",,,,,,,,,,,,,
EM," 	2,308 "," 	3,912 "," 	1,419 "," 	1,008 "," 	1,925 "," 	1,195 "," 	2,264 "," 	2,781 "," 	2,771 "," 	2,689 "," 	3,662 "," 	2,458 "," 	3,216 "," 	2,384 "," 	1,602 "," 	1,302 "," 	1,020 ", 	853 ," 	2,203 "," 	2,518 "," 	1,678 ", 	771 , 	734 ," 	1,303 "," 	5,776 ", 	522 , 	291 ," 	1,165 "," 	1,158 "," 	2,252 "," 	3,203 "," 	1,864 "," 	4,478 "," 	3,217 "," 	1,200 "," 	1,069 "," 	2,714 ", 	657 ," 	2,034 ", 	829 , 	745 , 	818 , 	521 , 	883 , 	299 , 	299 , 	271 , 	400 , 	658 ," 	2,051 "," 	87,350 ",,,,,,,,,,,,,
MT," 	2,882 "," 	3,983 "," 	1,465 ", 	938 ," 	1,805 "," 	1,231 "," 	2,408 "," 	2,850 "," 	3,062 "," 	2,529 "," 	3,969 "," 	2,300 "," 	3,450 "," 	3,072 "," 	1,412 "," 	1,370 "," 	1,089 ", 	938 ," 	2,452 "," 	2,136 "," 	1,744 "," 	1,064 ", 	692 ," 	1,302 "," 	5,273 ", 	269 , 	401 , 	425 , 	981 ," 	2,729 "," 	4,546 "," 	3,377 "," 	7,945 "," 	4,242 "," 	1,851 "," 	1,121 "," 	1,767 ", 	605 ," 	2,574 "," 	1,116 "," 	1,387 "," 	1,025 ", 	903 , 	632 , 	180 , 	389 , 	301 , 	357 , 	551 ," 	1,795 "," 	96,885 ",,,,,,,,,,,,,
PL," 	2,836 "," 	4,266 "," 	1,594 ", 	787 ," 	1,945 "," 	1,393 "," 	2,838 "," 	2,676 "," 	3,525 "," 	2,759 "," 	5,062 "," 	2,810 "," 	3,079 "," 	2,722 "," 	1,590 "," 	1,072 ", 	846 , 	770 ," 	2,319 "," 	1,993 "," 	1,584 ", 	610 , 	522 ," 	1,085 "," 	5,819 "," 	1,275 ", 	438 , 	782 , 	897 ," 	5,028 "," 	6,971 "," 	4,598 "," 	9,803 "," 	6,605 "," 	2,724 "," 	1,030 "," 	2,146 ", 	653 ," 	2,543 "," 	1,837 "," 	1,771 "," 	1,589 ", 	961 , 	676 , 	222 , 	266 , 	264 , 	424 , 	723 ," 	1,752 "," 	112,480 ",,,,,,,,,,,,,
CC," 	1,942 "," 	3,185 "," 	1,190 ", 	782 ," 	1,643 "," 	1,108 "," 	2,601 "," 	2,629 "," 	2,515 "," 	2,130 "," 	4,768 "," 	2,580 "," 	2,052 "," 	2,050 "," 	1,208 ", 	921 , 	862 , 	642 ," 	2,167 "," 	1,639 "," 	1,213 ", 	485 , 	358 , 	953 ," 	4,331 "," 	1,114 ", 	778 , 	823 , 	488 ," 	2,194 "," 	3,298 "," 	2,234 "," 	5,648 "," 	4,246 "," 	2,024 ", 	701 ," 	1,493 ", 	606 ," 	1,787 "," 	1,292 "," 	1,239 "," 	1,189 "," 	1,164 ", 	463 , 	139 , 	184 , 	293 , 	395 , 	424 ," 	1,517 "," 	81,687 ",,,,,,,,,,,,,
16," 	1,589 "," 	1,742 ", 	524 , 	497 ," 	1,003 ", 	724 ," 	1,472 "," 	1,621 "," 	1,453 "," 	1,332 "," 	2,114 "," 	1,246 "," 	1,061 ", 	880 , 	600 , 	481 , 	299 , 	349 , 	795 , 	725 , 	606 , 	227 , 	204 , 	599 ," 	2,314 "," 	2,272 "," 	2,644 "," 	5,737 "," 	2,610 ", 	370 , 	863 ," 	1,550 "," 	3,191 "," 	2,625 "," 	1,244 ", 	188 , 	514 , 	204 ," 	1,094 ", 	769 ," 	1,015 ", 	797 , 	688 , 	208 , 	81 , 	96 , 	93 , 	185 , 	379 , 	795 ," 	54,669 ",,,,,,,,,,,,,
24," 	1,682 "," 	2,020 ", 	401 , 	444 , 	715 , 	474 ," 	1,024 "," 	1,059 "," 	1,086 ", 	965 ," 	2,118 "," 	1,261 ", 	849 , 	729 , 	379 , 	396 , 	252 , 	202 , 	736 , 	357 , 	389 , 	283 , 	109 , 	358 ," 	1,630 "," 	2,785 "," 	3,792 "," 	8,239 "," 	4,091 ", 	905 , 	443 ," 	1,397 "," 	2,648 "," 	2,296 "," 	1,226 ", 	146 , 	323 , 	167 , 	932 ," 	1,029 "," 	1,093 ", 	636 , 	736 , 	209 , 	91 , 	76 , 	76 , 	128 , 	303 , 	561 ," 	54,246 ",,,,,,,,,,,,,
