Exit stations,Entry stations->,,SUNDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	12 , 	8 , 	6 , 	26 , 	9 , 	10 , 	10 , 	10 , 	12 , 	15 , 	8 , 	4 , 	3 , 	4 , 	1 , 	1 , 	2 , 	6 , 	2 , 	4 , 	1 , 	1 , 	3 , 	2 , 	22 , 	17 , 	41 , 	20 , 	21 , 	22 , 	3 , 	6 , 	5 , 	4 , 	1 , 	1 , 	1 , 	3 , 	4 , 	5 , 	5 , 	1 , 	-   , 	3 , 	1 , 	2 , 	4 , 	2 , 	2 , 	352 ,,,,,,,,,,,
LF, 	1 , 	0 , 	1 , 	1 , 	2 , 	0 , 	3 , 	4 , 	4 , 	1 , 	4 , 	1 , 	2 , 	0 , 	0 , 	-   , 	0 , 	-   , 	28 , 	11 , 	9 , 	2 , 	1 , 	6 , 	1 , 	7 , 	7 , 	9 , 	10 , 	4 , 	3 , 	-   , 	1 , 	1 , 	0 , 	0 , 	-   , 	3 , 	4 , 	0 , 	0 , 	7 , 	-   , 	0 , 	2 , 	-   , 	1 , 	0 , 	5 , 	4 , 	145 ,,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	6 , 	2 , 	0 , 	3 , 	1 , 	-   , 	2 , 	1 , 	-   , 	1 , 	0 , 	6 , 	3 , 	6 , 	2 , 	1 , 	5 , 	0 , 	10 , 	6 , 	11 , 	6 , 	6 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	0 , 	3 , 	-   , 	0 , 	1 , 	-   , 	-   , 	1 , 	2 , 	2 , 	96 ,,,,,,,,,,,
RR, 	3 , 	5 , 	4 , 	1 , 	2 , 	2 , 	7 , 	8 , 	10 , 	4 , 	8 , 	4 , 	4 , 	2 , 	1 , 	1 , 	1 , 	1 , 	6 , 	10 , 	11 , 	9 , 	6 , 	5 , 	3 , 	29 , 	18 , 	32 , 	20 , 	14 , 	11 , 	8 , 	4 , 	4 , 	1 , 	-   , 	2 , 	1 , 	3 , 	2 , 	1 , 	11 , 	3 , 	1 , 	1 , 	-   , 	-   , 	1 , 	0 , 	6 , 	286 ,,,,,,,,,,,
OW, 	3 , 	3 , 	1 , 	1 , 	7 , 	3 , 	5 , 	5 , 	10 , 	9 , 	18 , 	12 , 	3 , 	7 , 	5 , 	2 , 	1 , 	2 , 	3 , 	2 , 	3 , 	0 , 	1 , 	2 , 	8 , 	65 , 	45 , 	108 , 	51 , 	41 , 	23 , 	5 , 	10 , 	8 , 	4 , 	4 , 	3 , 	-   , 	2 , 	2 , 	4 , 	13 , 	1 , 	1 , 	2 , 	1 , 	-   , 	3 , 	1 , 	3 , 	511 ,,,,,,,,,,,
EM, 	19 , 	46 , 	17 , 	13 , 	38 , 	17 , 	37 , 	37 , 	53 , 	31 , 	48 , 	36 , 	38 , 	29 , 	13 , 	8 , 	13 , 	12 , 	30 , 	21 , 	25 , 	9 , 	8 , 	27 , 	83 , 	22 , 	4 , 	24 , 	11 , 	29 , 	35 , 	21 , 	36 , 	33 , 	14 , 	12 , 	44 , 	4 , 	18 , 	7 , 	10 , 	26 , 	6 , 	15 , 	9 , 	6 , 	7 , 	7 , 	11 , 	14 ," 	1,130 ",,,,,,,,,,,
MT, 	24 , 	42 , 	18 , 	8 , 	38 , 	16 , 	37 , 	37 , 	52 , 	43 , 	44 , 	29 , 	32 , 	44 , 	12 , 	13 , 	14 , 	10 , 	27 , 	21 , 	17 , 	9 , 	6 , 	25 , 	61 , 	2 , 	15 , 	5 , 	10 , 	35 , 	37 , 	28 , 	66 , 	35 , 	18 , 	12 , 	26 , 	3 , 	22 , 	6 , 	17 , 	28 , 	6 , 	9 , 	5 , 	4 , 	4 , 	6 , 	4 , 	7 ," 	1,082 ",,,,,,,,,,,
PL, 	41 , 	72 , 	22 , 	17 , 	48 , 	25 , 	59 , 	58 , 	67 , 	65 , 	105 , 	50 , 	52 , 	39 , 	21 , 	17 , 	14 , 	14 , 	34 , 	27 , 	28 , 	10 , 	11 , 	27 , 	110 , 	19 , 	4 , 	41 , 	12 , 	99 , 	128 , 	59 , 	165 , 	117 , 	51 , 	18 , 	30 , 	11 , 	37 , 	26 , 	37 , 	45 , 	16 , 	8 , 	5 , 	5 , 	9 , 	12 , 	7 , 	20 ," 	2,009 ",,,,,,,,,,,
CC, 	18 , 	38 , 	12 , 	9 , 	30 , 	15 , 	36 , 	40 , 	42 , 	37 , 	74 , 	38 , 	19 , 	21 , 	13 , 	6 , 	7 , 	9 , 	16 , 	14 , 	15 , 	5 , 	7 , 	16 , 	56 , 	11 , 	6 , 	13 , 	25 , 	28 , 	42 , 	31 , 	60 , 	47 , 	24 , 	5 , 	11 , 	2 , 	11 , 	14 , 	23 , 	41 , 	10 , 	9 , 	6 , 	4 , 	4 , 	6 , 	2 , 	12 ," 	1,031 ",,,,,,,,,,,
16, 	21 , 	29 , 	9 , 	14 , 	27 , 	15 , 	29 , 	43 , 	31 , 	39 , 	36 , 	17 , 	14 , 	12 , 	8 , 	6 , 	4 , 	6 , 	10 , 	7 , 	13 , 	5 , 	6 , 	15 , 	52 , 	29 , 	29 , 	120 , 	40 , 	21 , 	12 , 	24 , 	42 , 	45 , 	17 , 	2 , 	7 , 	2 , 	10 , 	11 , 	25 , 	26 , 	11 , 	2 , 	3 , 	2 , 	2 , 	9 , 	3 , 	4 , 	960 ,,,,,,,,,,,
24, 	20 , 	25 , 	10 , 	9 , 	14 , 	12 , 	20 , 	23 , 	21 , 	27 , 	38 , 	21 , 	8 , 	7 , 	7 , 	3 , 	3 , 	3 , 	11 , 	4 , 	5 , 	4 , 	3 , 	9 , 	35 , 	36 , 	35 , 	160 , 	53 , 	16 , 	21 , 	21 , 	42 , 	34 , 	19 , 	2 , 	12 , 	2 , 	12 , 	15 , 	21 , 	21 , 	9 , 	3 , 	5 , 	1 , 	1 , 	6 , 	1 , 	5 , 	886 ,,,,,,,,,,,
GP, 	3 , 	11 , 	1 , 	2 , 	5 , 	3 , 	6 , 	8 , 	10 , 	5 , 	4 , 	5 , 	3 , 	4 , 	2 , 	1 , 	2 , 	1 , 	4 , 	4 , 	2 , 	1 , 	1 , 	6 , 	5 , 	20 , 	23 , 	75 , 	28 , 	19 , 	22 , 	8 , 	3 , 	7 , 	9 , 	1 , 	4 , 	1 , 	3 , 	5 , 	10 , 	12 , 	5 , 	1 , 	1 , 	-   , 	1 , 	1 , 	0 , 	5 , 	355 ,,,,,,,,,,,
BP, 	8 , 	13 , 	2 , 	2 , 	7 , 	4 , 	6 , 	7 , 	8 , 	12 , 	10 , 	10 , 	5 , 	4 , 	3 , 	2 , 	1 , 	3 , 	3 , 	2 , 	3 , 	1 , 	0 , 	4 , 	13 , 	37 , 	32 , 	200 , 	60 , 	42 , 	37 , 	5 , 	13 , 	9 , 	11 , 	1 , 	4 , 	1 , 	10 , 	9 , 	24 , 	23 , 	10 , 	2 , 	1 , 	1 , 	2 , 	3 , 	2 , 	4 , 	668 ,,,,,,,,,,,
DC, 	3 , 	8 , 	1 , 	2 , 	4 , 	2 , 	4 , 	6 , 	6 , 	5 , 	11 , 	9 , 	5 , 	4 , 	3 , 	3 , 	2 , 	2 , 	3 , 	2 , 	6 , 	1 , 	2 , 	4 , 	10 , 	34 , 	24 , 	152 , 	56 , 	37 , 	50 , 	6 , 	10 , 	10 , 	7 , 	1 , 	6 , 	1 , 	4 , 	4 , 	17 , 	32 , 	12 , 	1 , 	1 , 	2 , 	1 , 	2 , 	3 , 	4 , 	579 ,,,,,,,,,,,
