Exit stations,Entry stations->,,SATURDAY,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
LF, 	3 , 	4 , 	4 , 	3 , 	10 , 	2 , 	12 , 	16 , 	8 , 	1 , 	4 , 	2 , 	1 , 	-   , 	3 , 	-   , 	1 , 	2 , 	70 , 	20 , 	28 , 	14 , 	11 , 	16 , 	1 , 	70 , 	36 , 	47 , 	30 , 	12 , 	4 , 	4 , 	3 , 	4 , 	1 , 	0 , 	1 , 	4 , 	12 , 	2 , 	1 , 	25 , 	1 , 	-   , 	5 , 	1 , 	0 , 	2 , 	4 , 	5 , 	507 ,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	3 , 	8 , 	2 , 	8 , 	12 , 	8 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	-   , 	1 , 	1 , 	15 , 	7 , 	15 , 	9 , 	5 , 	14 , 	2 , 	49 , 	32 , 	32 , 	23 , 	7 , 	5 , 	2 , 	2 , 	3 , 	-   , 	0 , 	-   , 	3 , 	6 , 	1 , 	1 , 	22 , 	1 , 	-   , 	2 , 	0 , 	0 , 	2 , 	4 , 	3 , 	316 ,,,,,,,,,,
RR, 	14 , 	11 , 	13 , 	13 , 	17 , 	5 , 	26 , 	62 , 	40 , 	5 , 	21 , 	17 , 	9 , 	7 , 	4 , 	2 , 	2 , 	2 , 	16 , 	23 , 	28 , 	17 , 	15 , 	15 , 	16 , 	189 , 	119 , 	197 , 	133 , 	87 , 	59 , 	22 , 	10 , 	15 , 	5 , 	1 , 	2 , 	4 , 	6 , 	4 , 	4 , 	93 , 	7 , 	1 , 	10 , 	0 , 	4 , 	6 , 	3 , 	9 ," 	1,383 ",,,,,,,,,,
OW, 	9 , 	9 , 	3 , 	2 , 	21 , 	7 , 	22 , 	29 , 	29 , 	11 , 	45 , 	25 , 	12 , 	16 , 	11 , 	3 , 	4 , 	5 , 	6 , 	2 , 	6 , 	2 , 	2 , 	14 , 	12 , 	289 , 	220 , 	433 , 	222 , 	182 , 	135 , 	23 , 	21 , 	22 , 	7 , 	3 , 	12 , 	0 , 	6 , 	4 , 	7 , 	51 , 	9 , 	3 , 	5 , 	4 , 	4 , 	8 , 	2 , 	4 ," 	1,973 ",,,,,,,,,,
EM, 	99 , 	171 , 	118 , 	142 , 	287 , 	121 , 	216 , 	276 , 	227 , 	167 , 	150 , 	98 , 	123 , 	115 , 	62 , 	52 , 	78 , 	104 , 	96 , 	111 , 	134 , 	94 , 	59 , 	213 , 	345 , 	90 , 	13 , 	112 , 	67 , 	267 , 	334 , 	179 , 	204 , 	173 , 	56 , 	68 , 	300 , 	32 , 	64 , 	50 , 	49 , 	231 , 	116 , 	92 , 	41 , 	40 , 	70 , 	94 , 	17 , 	62 ," 	6,475 ",,,,,,,,,,
MT, 	72 , 	130 , 	74 , 	98 , 	240 , 	101 , 	163 , 	220 , 	187 , 	112 , 	132 , 	68 , 	101 , 	100 , 	40 , 	29 , 	46 , 	53 , 	59 , 	62 , 	77 , 	34 , 	26 , 	153 , 	275 , 	17 , 	45 , 	25 , 	32 , 	176 , 	221 , 	126 , 	263 , 	169 , 	58 , 	53 , 	123 , 	12 , 	42 , 	40 , 	47 , 	249 , 	68 , 	47 , 	17 , 	28 , 	56 , 	61 , 	10 , 	29 ," 	4,661 ",,,,,,,,,,
PL, 	140 , 	218 , 	118 , 	110 , 	313 , 	114 , 	206 , 	249 , 	269 , 	165 , 	211 , 	136 , 	159 , 	157 , 	70 , 	46 , 	64 , 	76 , 	84 , 	73 , 	81 , 	44 , 	35 , 	167 , 	423 , 	108 , 	18 , 	102 , 	60 , 	535 , 	603 , 	322 , 	547 , 	387 , 	126 , 	56 , 	218 , 	26 , 	77 , 	102 , 	126 , 	713 , 	154 , 	56 , 	40 , 	31 , 	55 , 	85 , 	14 , 	55 ," 	8,340 ",,,,,,,,,,
CC, 	63 , 	86 , 	58 , 	85 , 	163 , 	94 , 	158 , 	188 , 	167 , 	99 , 	147 , 	77 , 	76 , 	46 , 	39 , 	29 , 	27 , 	44 , 	33 , 	35 , 	52 , 	30 , 	24 , 	128 , 	243 , 	64 , 	19 , 	60 , 	49 , 	181 , 	239 , 	131 , 	150 , 	183 , 	65 , 	30 , 	90 , 	11 , 	31 , 	50 , 	73 , 	216 , 	126 , 	29 , 	13 , 	20 , 	30 , 	41 , 	7 , 	19 ," 	4,113 ",,,,,,,,,,
16, 	63 , 	78 , 	35 , 	76 , 	126 , 	83 , 	157 , 	184 , 	123 , 	92 , 	103 , 	44 , 	34 , 	35 , 	21 , 	16 , 	25 , 	26 , 	20 , 	16 , 	28 , 	13 , 	8 , 	100 , 	199 , 	252 , 	155 , 	573 , 	209 , 	27 , 	96 , 	137 , 	156 , 	180 , 	61 , 	20 , 	44 , 	6 , 	19 , 	45 , 	55 , 	136 , 	101 , 	13 , 	7 , 	12 , 	17 , 	28 , 	6 , 	16 ," 	4,067 ",,,,,,,,,,
24, 	70 , 	82 , 	33 , 	51 , 	94 , 	63 , 	107 , 	126 , 	97 , 	56 , 	88 , 	42 , 	42 , 	29 , 	20 , 	15 , 	12 , 	12 , 	16 , 	12 , 	17 , 	6 , 	6 , 	70 , 	152 , 	278 , 	181 , 	665 , 	265 , 	77 , 	28 , 	146 , 	140 , 	179 , 	70 , 	14 , 	27 , 	2 , 	23 , 	55 , 	68 , 	98 , 	80 , 	9 , 	9 , 	7 , 	14 , 	17 , 	8 , 	11 ," 	3,781 ",,,,,,,,,,
