Exit stations,Entry stations->,,TOTAL,,,May 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	427 ," 	1,861 "," 	1,788 "," 	1,123 "," 	6,451 "," 	1,467 "," 	2,081 "," 	1,486 "," 	1,815 ", 	638 ," 	1,401 "," 	1,220 ", 	575 , 	211 , 	469 , 	249 , 	187 , 	242 , 	384 , 	152 , 	354 , 	185 , 	119 , 	391 , 	479 ," 	4,910 "," 	4,070 "," 	6,649 "," 	3,451 "," 	2,731 "," 	3,007 ", 	772 , 	782 , 	947 , 	284 , 	78 , 	140 , 	68 , 	210 , 	194 , 	331 ," 	1,009 ", 	327 , 	80 , 	234 , 	285 , 	169 , 	227 , 	167 , 	205 ," 	57,082 ",,,,,,,,,,,,,
LF, 	199 , 	145 , 	112 , 	98 , 	496 , 	81 , 	729 ," 	1,195 ", 	996 , 	94 , 	256 , 	265 , 	55 , 	49 , 	83 , 	8 , 	21 , 	40 ," 	2,410 ", 	825 ," 	1,011 ", 	318 , 	287 , 	972 , 	40 ," 	8,178 "," 	6,100 "," 	2,184 "," 	2,215 ", 	686 , 	485 , 	187 , 	173 , 	185 , 	57 , 	14 , 	18 , 	117 , 	418 , 	68 , 	155 ," 	1,502 ", 	78 , 	8 , 	306 , 	22 , 	34 , 	61 , 	195 , 	256 ," 	34,487 ",,,,,,,,,,,,,
OR, 	120 , 	121 , 	123 , 	80 , 	399 , 	69 , 	580 , 	826 , 	960 , 	63 , 	198 , 	175 , 	123 , 	64 , 	39 , 	7 , 	18 , 	60 , 	607 , 	427 , 	586 , 	239 , 	232 , 	799 , 	70 ," 	7,262 "," 	4,923 "," 	1,838 "," 	1,723 ", 	653 , 	296 , 	200 , 	120 , 	249 , 	21 , 	57 , 	6 , 	59 , 	159 , 	54 , 	58 ," 	1,105 ", 	55 , 	7 , 	139 , 	21 , 	39 , 	51 , 	167 , 	187 ," 	26,434 ",,,,,,,,,,,,,
RR, 	406 , 	528 , 	401 , 	199 , 	367 , 	153 ," 	1,138 "," 	2,123 "," 	1,827 ", 	234 , 	677 , 	565 , 	324 , 	263 , 	174 , 	86 , 	151 , 	155 ," 	1,053 "," 	1,397 "," 	1,511 ", 	909 , 	850 , 	421 , 	429 ," 	11,512 "," 	8,153 "," 	5,619 "," 	5,304 "," 	2,520 "," 	1,599 ", 	757 , 	717 , 	476 , 	95 , 	75 , 	69 , 	156 , 	551 , 	153 , 	160 ," 	2,646 ", 	177 , 	31 , 	306 , 	120 , 	132 , 	165 , 	229 , 	562 ," 	58,625 ",,,,,,,,,,,,,
OW, 	513 , 	527 , 	161 , 	171 , 	870 , 	331 , 	756 , 	961 ," 	1,130 ", 	338 ," 	1,985 "," 	1,089 ", 	564 , 	561 , 	512 , 	224 , 	207 , 	189 , 	311 , 	149 , 	288 , 	44 , 	63 , 	456 , 	395 ," 	18,795 "," 	12,313 "," 	13,335 "," 	9,899 "," 	5,422 "," 	3,586 ", 	927 , 	995 , 	704 , 	194 , 	158 , 	425 , 	89 , 	261 , 	208 , 	368 ," 	1,888 ", 	398 , 	120 , 	178 , 	182 , 	91 , 	203 , 	119 , 	317 ," 	83,970 ",,,,,,,,,,,,,
EM," 	5,910 "," 	11,033 "," 	6,730 "," 	7,762 "," 	10,493 "," 	7,079 "," 	12,511 "," 	16,618 "," 	14,353 "," 	9,843 "," 	10,118 "," 	5,452 "," 	9,438 "," 	7,971 "," 	5,166 "," 	4,012 "," 	6,199 "," 	8,041 "," 	8,353 "," 	12,902 "," 	12,940 "," 	9,498 "," 	8,362 "," 	12,656 "," 	21,882 "," 	2,912 ", 	648 ," 	4,147 "," 	4,533 "," 	12,692 "," 	18,142 "," 	11,774 "," 	12,686 "," 	13,792 "," 	5,399 "," 	5,453 "," 	19,631 "," 	2,574 "," 	5,973 "," 	4,794 "," 	3,954 "," 	6,683 "," 	6,275 "," 	7,487 "," 	1,706 "," 	2,795 "," 	3,332 "," 	3,856 ", 	987 ," 	6,486 "," 	414,033 ",,,,,,,,,,,,,
MT," 	5,080 "," 	9,145 "," 	5,362 "," 	5,556 "," 	8,154 "," 	5,819 "," 	9,652 "," 	12,479 "," 	10,740 "," 	7,532 "," 	8,384 "," 	4,308 "," 	8,131 "," 	7,137 "," 	3,556 "," 	3,301 "," 	4,214 "," 	4,802 "," 	6,489 "," 	8,989 "," 	8,112 "," 	6,218 "," 	4,812 "," 	8,537 "," 	14,804 ", 	904 ," 	1,583 "," 	1,244 "," 	3,354 "," 	11,240 "," 	18,294 "," 	12,107 "," 	17,011 "," 	16,185 "," 	5,829 "," 	4,348 "," 	10,476 "," 	1,657 "," 	5,275 "," 	4,635 "," 	4,403 "," 	7,354 "," 	6,451 "," 	3,943 "," 	1,041 "," 	2,022 "," 	2,700 "," 	2,916 "," 	1,042 "," 	5,142 "," 	332,469 ",,,,,,,,,,,,,
PL," 	5,615 "," 	9,198 "," 	3,687 "," 	3,423 "," 	7,942 "," 	4,060 "," 	7,478 "," 	9,049 "," 	9,811 "," 	6,509 "," 	8,711 "," 	5,505 "," 	6,605 "," 	6,299 "," 	2,882 "," 	2,334 "," 	2,849 "," 	2,619 "," 	4,746 "," 	4,119 "," 	4,134 "," 	2,027 "," 	1,749 "," 	4,718 "," 	12,686 "," 	5,066 "," 	1,526 "," 	2,725 "," 	2,515 "," 	14,514 "," 	18,399 "," 	11,543 "," 	20,095 "," 	14,521 "," 	4,798 "," 	2,535 "," 	6,497 "," 	1,316 "," 	5,114 "," 	4,383 "," 	3,895 "," 	19,339 "," 	4,678 "," 	2,004 "," 	1,354 "," 	1,221 "," 	1,404 "," 	1,734 "," 	1,218 "," 	4,093 "," 	295,242 ",,,,,,,,,,,,,
CC," 	3,680 "," 	6,635 "," 	3,474 "," 	4,013 "," 	5,606 "," 	4,400 "," 	7,359 "," 	8,254 "," 	7,235 "," 	5,128 "," 	8,230 "," 	3,650 "," 	5,536 "," 	4,025 "," 	2,460 "," 	1,883 "," 	2,146 "," 	2,151 "," 	3,944 "," 	3,474 "," 	3,241 "," 	1,945 "," 	1,594 "," 	4,717 "," 	10,042 "," 	4,178 "," 	2,786 "," 	2,499 "," 	1,613 "," 	6,873 "," 	9,976 "," 	7,304 "," 	10,620 "," 	9,799 "," 	3,924 "," 	2,423 "," 	4,808 "," 	1,307 "," 	3,073 "," 	3,642 "," 	3,524 "," 	6,937 "," 	4,675 "," 	1,691 ", 	657 ," 	1,009 "," 	1,114 "," 	1,236 ", 	793 ," 	3,546 "," 	214,829 ",,,,,,,,,,,,,
16," 	2,640 "," 	3,189 "," 	1,365 "," 	2,247 "," 	3,544 "," 	2,455 "," 	4,828 "," 	5,689 "," 	4,182 "," 	3,108 "," 	3,919 "," 	1,765 "," 	2,013 "," 	1,691 "," 	1,086 ", 	811 , 	885 , 	870 ," 	1,351 "," 	1,220 "," 	1,240 ", 	747 , 	574 ," 	2,365 "," 	5,748 "," 	12,191 "," 	10,798 "," 	16,048 "," 	7,515 ", 	744 ," 	2,887 "," 	4,838 "," 	7,262 "," 	6,437 "," 	2,789 ", 	787 ," 	1,528 ", 	425 ," 	1,626 "," 	2,087 "," 	1,984 "," 	4,534 "," 	2,923 ", 	679 , 	371 , 	456 , 	359 , 	620 , 	384 ," 	1,418 "," 	151,222 ",,,,,,,,,,,,,
24," 	2,858 "," 	2,865 "," 	1,129 "," 	1,308 "," 	2,947 "," 	1,569 "," 	3,063 "," 	3,989 "," 	3,393 "," 	1,963 "," 	3,064 "," 	1,721 "," 	1,660 "," 	1,008 ", 	702 , 	789 , 	480 , 	419 ," 	1,016 ", 	741 , 	645 , 	473 , 	301 ," 	1,587 "," 	3,969 "," 	15,920 "," 	15,685 "," 	21,446 "," 	11,070 "," 	2,631 ", 	790 ," 	4,804 "," 	5,743 "," 	5,690 "," 	2,540 ", 	456 ," 	1,032 ", 	402 ," 	1,307 "," 	1,856 "," 	2,160 "," 	3,268 "," 	2,692 ", 	426 , 	354 , 	271 , 	313 , 	329 , 	282 , 	908 ," 	146,034 ",,,,,,,,,,,,,
GP, 	753 , 	850 , 	401 , 	436 ," 	1,479 ", 	440 ," 	1,010 "," 	1,695 "," 	1,553 ", 	748 , 	905 , 	647 , 	533 , 	449 , 	201 , 	149 , 	217 , 	167 , 	552 , 	475 , 	381 , 	212 , 	185 , 	691 ," 	1,032 "," 	10,982 "," 	10,372 "," 	12,698 "," 	7,177 "," 	4,911 "," 	4,655 ", 	334 ," 	1,295 "," 	1,315 ", 	911 , 	171 , 	496 , 	74 , 	415 , 	745 , 	904 ," 	2,111 "," 	1,307 ", 	220 , 	209 , 	150 , 	138 , 	127 , 	122 , 	565 ," 	78,565 ",,,,,,,,,,,,,
BP, 	807 ," 	1,004 ", 	376 , 	361 , 	940 , 	495 , 	857 ," 	1,286 "," 	1,522 ", 	812 ," 	1,192 ", 	678 , 	904 , 	503 , 	296 , 	220 , 	210 , 	204 , 	478 , 	464 , 	348 , 	175 , 	104 , 	661 ," 	1,333 "," 	10,466 "," 	11,088 "," 	22,849 "," 	9,721 "," 	6,176 "," 	5,656 "," 	1,135 ", 	411 ," 	1,358 "," 	1,245 ", 	233 , 	470 , 	161 , 	460 , 	852 ," 	1,415 "," 	1,833 "," 	1,664 ", 	239 , 	131 , 	116 , 	190 , 	200 , 	240 , 	496 ," 	95,035 ",,,,,,,,,,,,,
