Exit stations,Entry stations->,,SATURDAY,,,Jul 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
16, 	63 , 	75 , 	55 , 	116 , 	272 , 	155 , 	241 , 	190 , 	139 , 	93 , 	154 , 	84 , 	44 , 	41 , 	24 , 	19 , 	22 , 	53 , 	45 , 	45 , 	55 , 	33 , 	32 , 	155 , 	165 , 	468 , 	363 ," 	1,598 ", 	611 , 	38 , 	302 , 	296 , 	467 , 	223 , 	103 , 	19 , 	68 , 	10 , 	48 , 	62 , 	106 , 	157 , 	171 , 	20 ," 	7,500 ",,,,,,,,,,,
24, 	79 , 	96 , 	47 , 	95 , 	182 , 	117 , 	187 , 	130 , 	106 , 	71 , 	138 , 	89 , 	42 , 	38 , 	27 , 	23 , 	16 , 	36 , 	47 , 	27 , 	41 , 	26 , 	27 , 	121 , 	118 , 	547 , 	441 ," 	2,026 ", 	805 , 	260 , 	42 , 	231 , 	422 , 	220 , 	128 , 	20 , 	52 , 	11 , 	48 , 	66 , 	142 , 	146 , 	158 , 	9 ," 	7,702 ",,,,,,,,,,,
GP, 	19 , 	30 , 	14 , 	21 , 	67 , 	19 , 	41 , 	33 , 	47 , 	25 , 	36 , 	40 , 	18 , 	17 , 	10 , 	8 , 	10 , 	22 , 	19 , 	15 , 	20 , 	10 , 	11 , 	26 , 	30 , 	267 , 	264 ," 	1,143 ", 	297 , 	229 , 	223 , 	20 , 	60 , 	55 , 	40 , 	8 , 	28 , 	3 , 	25 , 	25 , 	53 , 	76 , 	59 , 	6 ," 	3,491 ",,,,,,,,,,,
BP, 	37 , 	42 , 	15 , 	13 , 	49 , 	20 , 	36 , 	31 , 	53 , 	28 , 	57 , 	39 , 	19 , 	27 , 	18 , 	14 , 	13 , 	27 , 	23 , 	14 , 	17 , 	6 , 	8 , 	12 , 	35 , 	353 , 	396 ," 	2,254 ", 	485 , 	363 , 	349 , 	60 , 	31 , 	71 , 	73 , 	6 , 	21 , 	3 , 	35 , 	35 , 	128 , 	56 , 	73 , 	7 ," 	5,450 ",,,,,,,,,,,
DC, 	26 , 	42 , 	12 , 	18 , 	76 , 	17 , 	33 , 	33 , 	48 , 	27 , 	48 , 	55 , 	26 , 	25 , 	18 , 	15 , 	21 , 	37 , 	27 , 	22 , 	26 , 	11 , 	9 , 	15 , 	25 , 	256 , 	267 ," 	1,180 ", 	320 , 	215 , 	232 , 	62 , 	96 , 	12 , 	38 , 	12 , 	47 , 	9 , 	41 , 	41 , 	114 , 	120 , 	114 , 	10 ," 	3,897 ",,,,,,,,,,,
CM, 	6 , 	19 , 	4 , 	4 , 	17 , 	7 , 	16 , 	10 , 	20 , 	8 , 	7 , 	12 , 	6 , 	8 , 	4 , 	4 , 	6 , 	5 , 	10 , 	6 , 	9 , 	3 , 	2 , 	6 , 	6 , 	90 , 	78 , 	423 , 	147 , 	85 , 	128 , 	40 , 	83 , 	45 , 	7 , 	3 , 	6 , 	2 , 	16 , 	12 , 	58 , 	69 , 	50 , 	3 ," 	1,554 ",,,,,,,,,,,
CV, 	4 , 	8 , 	5 , 	6 , 	26 , 	7 , 	11 , 	11 , 	14 , 	43 , 	47 , 	123 , 	28 , 	76 , 	25 , 	17 , 	12 , 	19 , 	4 , 	2 , 	2 , 	2 , 	0 , 	4 , 	11 , 	135 , 	81 , 	203 , 	75 , 	22 , 	23 , 	7 , 	9 , 	16 , 	3 , 	5 , 	73 , 	1 , 	5 , 	2 , 	3 , 	19 , 	6 , 	48 ," 	1,243 ",,,,,,,,,,,
ED, 	10 , 	17 , 	13 , 	14 , 	80 , 	17 , 	25 , 	23 , 	32 , 	65 , 	88 , 	441 , 	35 , 	121 , 	33 , 	24 , 	23 , 	58 , 	12 , 	9 , 	9 , 	2 , 	2 , 	8 , 	16 , 	750 , 	273 , 	756 , 	229 , 	62 , 	47 , 	25 , 	26 , 	45 , 	6 , 	77 , 	18 , 	1 , 	10 , 	8 , 	10 , 	102 , 	18 , 	23 ," 	3,663 ",,,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	3 , 	7 , 	3 , 	10 , 	7 , 	14 , 	2 , 	6 , 	43 , 	4 , 	4 , 	3 , 	3 , 	2 , 	5 , 	25 , 	8 , 	21 , 	6 , 	3 , 	15 , 	1 , 	89 , 	54 , 	121 , 	40 , 	12 , 	13 , 	7 , 	5 , 	8 , 	5 , 	1 , 	2 , 	3 , 	25 , 	3 , 	2 , 	24 , 	3 , 	-   , 	621 ,,,,,,,,,,,
WP, 	36 , 	44 , 	11 , 	11 , 	35 , 	24 , 	109 , 	50 , 	75 , 	11 , 	54 , 	150 , 	23 , 	23 , 	28 , 	19 , 	13 , 	35 , 	221 , 	71 , 	106 , 	22 , 	11 , 	30 , 	33 , 	221 , 	110 , 	354 , 	135 , 	50 , 	67 , 	31 , 	51 , 	51 , 	20 , 	5 , 	9 , 	29 , 	14 , 	14 , 	20 , 	80 , 	23 , 	3 ," 	2,535 ",,,,,,,,,,,
SS, 	7 , 	9 , 	3 , 	5 , 	11 , 	2 , 	10 , 	7 , 	11 , 	3 , 	11 , 	9 , 	5 , 	4 , 	4 , 	5 , 	5 , 	2 , 	9 , 	7 , 	9 , 	2 , 	2 , 	3 , 	6 , 	78 , 	74 , 	310 , 	90 , 	50 , 	65 , 	26 , 	44 , 	38 , 	11 , 	3 , 	6 , 	3 , 	15 , 	6 , 	33 , 	21 , 	18 , 	3 ," 	1,048 ",,,,,,,,,,,
SB, 	10 , 	17 , 	5 , 	4 , 	18 , 	6 , 	12 , 	10 , 	15 , 	6 , 	12 , 	19 , 	8 , 	4 , 	7 , 	7 , 	4 , 	9 , 	12 , 	8 , 	7 , 	4 , 	3 , 	5 , 	9 , 	103 , 	75 , 	319 , 	166 , 	101 , 	146 , 	68 , 	140 , 	119 , 	59 , 	3 , 	7 , 	4 , 	19 , 	39 , 	6 , 	47 , 	46 , 	2 ," 	1,692 ",,,,,,,,,,,
SO, 	23 , 	36 , 	37 , 	51 , 	169 , 	33 , 	59 , 	42 , 	55 , 	25 , 	34 , 	44 , 	17 , 	12 , 	7 , 	7 , 	10 , 	34 , 	59 , 	76 , 	90 , 	58 , 	40 , 	81 , 	37 , 	331 , 	242 ," 	1,197 ", 	391 , 	148 , 	144 , 	72 , 	71 , 	107 , 	53 , 	13 , 	84 , 	26 , 	59 , 	26 , 	41 , 	20 , 	267 , 	18 ," 	4,444 ",,,,,,,,,,,
MB, 	13 , 	23 , 	16 , 	26 , 	142 , 	20 , 	25 , 	21 , 	33 , 	11 , 	20 , 	30 , 	10 , 	10 , 	6 , 	5 , 	5 , 	7 , 	13 , 	11 , 	23 , 	11 , 	6 , 	24 , 	14 , 	223 , 	139 , 	689 , 	243 , 	162 , 	150 , 	60 , 	78 , 	122 , 	43 , 	4 , 	16 , 	5 , 	17 , 	19 , 	38 , 	249 , 	19 , 	1 ," 	2,802 ",,,,,,,,,,,
WD, 	4 , 	7 , 	5 , 	6 , 	24 , 	6 , 	10 , 	11 , 	10 , 	25 , 	38 , 	123 , 	27 , 	73 , 	25 , 	12 , 	16 , 	18 , 	5 , 	2 , 	4 , 	2 , 	0 , 	4 , 	4 , 	169 , 	75 , 	168 , 	54 , 	13 , 	10 , 	6 , 	7 , 	13 , 	2 , 	49 , 	16 , 	1 , 	4 , 	2 , 	3 , 	23 , 	3 , 	6 ," 	1,082 ",,,,,,,,,,,
Entries," 	1,924 "," 	3,312 "," 	2,154 "," 	2,384 "," 	7,584 "," 	2,795 "," 	4,286 "," 	3,138 "," 	4,034 "," 	2,341 "," 	4,261 "," 	5,742 "," 	2,273 "," 	2,893 "," 	2,072 "," 	1,286 "," 	1,552 "," 	3,277 "," 	2,271 "," 	1,966 "," 	2,750 "," 	1,448 "," 	1,152 "," 	2,889 "," 	3,041 "," 	11,120 "," 	7,412 "," 	24,935 "," 	9,448 "," 	7,073 "," 	7,733 "," 	3,681 "," 	6,270 "," 	3,847 "," 	1,543 "," 	1,227 "," 	3,738 ", 	637 ," 	2,317 "," 	1,065 "," 	1,618 "," 	5,414 "," 	2,913 "," 	1,035 "," 	175,851 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
