Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	3 , 	2 , 	3 , 	3 , 	14 , 	4 , 	5 , 	6 , 	19 , 	1 , 	6 , 	13 , 	2 , 	2 , 	1 , 	2 , 	2 , 	2 , 	23 , 	12 , 	14 , 	8 , 	4 , 	28 , 	1 , 	63 , 	51 , 	177 , 	183 , 	12 , 	11 , 	7 , 	7 , 	5 , 	5 , 	-   , 	1 , 	2 , 	7 , 	704 ,,,FT/ED line," 	13,179 "," 	3,337 "," 	2,727 "," 	3,460 "," 	1,261 "," 	5,610 "," 	110,193 "
RR, 	16 , 	14 , 	12 , 	9 , 	30 , 	12 , 	31 , 	35 , 	47 , 	19 , 	23 , 	40 , 	9 , 	10 , 	5 , 	4 , 	4 , 	14 , 	23 , 	29 , 	53 , 	29 , 	33 , 	9 , 	8 , 	176 , 	196 , 	572 , 	698 , 	117 , 	66 , 	27 , 	12 , 	21 , 	18 , 	4 , 	8 , 	3 , 	18 ," 	2,454 ",,,,,,,,,,
OW, 	22 , 	17 , 	4 , 	8 , 	47 , 	27 , 	29 , 	15 , 	34 , 	14 , 	58 , 	40 , 	13 , 	23 , 	10 , 	4 , 	6 , 	7 , 	3 , 	2 , 	5 , 	1 , 	2 , 	4 , 	3 , 	118 , 	128 , 	395 , 	325 , 	56 , 	48 , 	15 , 	17 , 	5 , 	7 , 	2 , 	10 , 	1 , 	13 ," 	1,537 ",,,,,,,,,,
EM, 	124 , 	263 , 	373 , 	502 , 	515 , 	464 , 	436 , 	293 , 	324 , 	183 , 	284 , 	236 , 	172 , 	96 , 	98 , 	53 , 	118 , 	277 , 	146 , 	225 , 	285 , 	243 , 	232 , 	615 , 	332 , 	30 , 	18 , 	137 , 	174 , 	245 , 	335 , 	180 , 	196 , 	164 , 	135 , 	77 , 	215 , 	68 , 	104 ," 	8,965 ",,,,,,,,,,
MT, 	76 , 	166 , 	178 , 	219 , 	245 , 	184 , 	212 , 	155 , 	265 , 	154 , 	162 , 	155 , 	102 , 	67 , 	38 , 	29 , 	74 , 	150 , 	60 , 	107 , 	112 , 	69 , 	72 , 	226 , 	177 , 	33 , 	27 , 	76 , 	153 , 	520 , 	562 , 	479 , 	998 , 	339 , 	264 , 	45 , 	128 , 	24 , 	65 ," 	7,161 ",,,,,,,,,,
PL, 	125 , 	289 , 	193 , 	233 , 	573 , 	231 , 	328 , 	212 , 	516 , 	269 , 	373 , 	338 , 	193 , 	164 , 	91 , 	81 , 	123 , 	231 , 	147 , 	184 , 	244 , 	181 , 	141 , 	356 , 	394 , 	109 , 	45 , 	105 , 	170 , 	863 ," 	1,247 ", 	643 ," 	1,082 ", 	545 , 	455 , 	109 , 	312 , 	57 , 	172 ," 	12,123 ",,,,,,,,,,
CC, 	80 , 	175 , 	169 , 	248 , 	430 , 	265 , 	363 , 	209 , 	268 , 	183 ," 	1,744 ", 	281 , 	120 , 	72 , 	69 , 	44 , 	67 , 	137 , 	107 , 	134 , 	181 , 	107 , 	105 , 	339 , 	211 , 	140 , 	95 , 	250 , 	86 , 	742 , 	980 , 	448 , 	766 , 	430 , 	381 , 	75 , 	177 , 	34 , 	84 ," 	10,795 ",,,,,,,,,,
16, 	48 , 	41 , 	23 , 	37 , 	93 , 	55 , 	88 , 	44 , 	60 , 	40 , 	81 , 	83 , 	15 , 	21 , 	23 , 	11 , 	9 , 	24 , 	23 , 	14 , 	18 , 	14 , 	7 , 	58 , 	42 , 	163 , 	200 , 	933 , 	654 , 	43 , 	148 , 	110 , 	252 , 	145 , 	110 , 	6 , 	30 , 	5 , 	29 ," 	3,802 ",,,,,,,,,,
24, 	79 , 	56 , 	21 , 	38 , 	89 , 	61 , 	81 , 	45 , 	68 , 	58 , 	104 , 	102 , 	38 , 	23 , 	21 , 	17 , 	14 , 	21 , 	36 , 	18 , 	18 , 	9 , 	9 , 	53 , 	50 , 	237 , 	270 ," 	1,397 ", 	992 , 	165 , 	43 , 	122 , 	299 , 	166 , 	153 , 	8 , 	24 , 	6 , 	54 ," 	5,066 ",,,,,,,,,,
GP, 	10 , 	20 , 	11 , 	16 , 	38 , 	9 , 	18 , 	14 , 	29 , 	20 , 	27 , 	52 , 	14 , 	8 , 	6 , 	3 , 	8 , 	14 , 	17 , 	9 , 	14 , 	5 , 	5 , 	25 , 	16 , 	118 , 	165 , 	966 , 	505 , 	118 , 	103 , 	27 , 	46 , 	35 , 	50 , 	6 , 	18 , 	4 , 	18 ," 	2,589 ",,,,,,,,,,
BP, 	21 , 	31 , 	6 , 	10 , 	24 , 	11 , 	16 , 	17 , 	36 , 	15 , 	32 , 	46 , 	14 , 	15 , 	10 , 	7 , 	11 , 	16 , 	21 , 	6 , 	9 , 	2 , 	4 , 	9 , 	19 , 	168 , 	246 ," 	1,954 ", 	560 , 	258 , 	274 , 	43 , 	37 , 	44 , 	89 , 	4 , 	20 , 	3 , 	34 ," 	4,141 ",,,,,,,,,,
DC, 	20 , 	30 , 	17 , 	12 , 	47 , 	13 , 	19 , 	15 , 	45 , 	19 , 	22 , 	76 , 	20 , 	19 , 	11 , 	9 , 	12 , 	25 , 	25 , 	25 , 	16 , 	5 , 	6 , 	15 , 	16 , 	113 , 	138 , 	694 , 	526 , 	137 , 	191 , 	40 , 	50 , 	11 , 	63 , 	11 , 	36 , 	4 , 	35 ," 	2,590 ",,,,,,,,,,
CM, 	16 , 	36 , 	7 , 	8 , 	48 , 	16 , 	19 , 	13 , 	50 , 	17 , 	24 , 	58 , 	12 , 	12 , 	9 , 	8 , 	11 , 	16 , 	38 , 	21 , 	23 , 	8 , 	7 , 	16 , 	13 , 	118 , 	133 , 	677 , 	503 , 	142 , 	193 , 	67 , 	111 , 	54 , 	18 , 	9 , 	30 , 	9 , 	51 ," 	2,621 ",,,,,,,,,,
CV, 	1 , 	3 , 	4 , 	2 , 	15 , 	4 , 	4 , 	4 , 	12 , 	28 , 	26 , 	37 , 	22 , 	40 , 	13 , 	6 , 	9 , 	12 , 	4 , 	1 , 	1 , 	1 , 	-   , 	2 , 	2 , 	68 , 	42 , 	124 , 	88 , 	12 , 	11 , 	11 , 	7 , 	8 , 	5 , 	2 , 	56 , 	1 , 	2 , 	693 ,,,,,,,,,,
ED, 	7 , 	10 , 	5 , 	6 , 	35 , 	9 , 	12 , 	12 , 	34 , 	41 , 	48 , 	181 , 	38 , 	98 , 	34 , 	22 , 	18 , 	25 , 	7 , 	4 , 	5 , 	3 , 	-   , 	5 , 	14 , 	175 , 	113 , 	420 , 	168 , 	34 , 	30 , 	23 , 	18 , 	29 , 	38 , 	66 , 	15 , 	1 , 	7 ," 	1,810 ",,,,,,,,,,
NC, 	3 , 	2 , 	0 , 	1 , 	6 , 	1 , 	7 , 	7 , 	11 , 	1 , 	2 , 	11 , 	2 , 	2 , 	2 , 	1 , 	1 , 	5 , 	19 , 	6 , 	16 , 	5 , 	3 , 	5 , 	0 , 	27 , 	16 , 	62 , 	46 , 	6 , 	8 , 	4 , 	4 , 	3 , 	8 , 	1 , 	1 , 	2 , 	20 , 	323 ,,,,,,,,,,
WP, 	22 , 	15 , 	7 , 	5 , 	22 , 	10 , 	43 , 	21 , 	38 , 	6 , 	27 , 	54 , 	12 , 	14 , 	11 , 	8 , 	10 , 	21 , 	158 , 	34 , 	52 , 	6 , 	8 , 	19 , 	8 , 	75 , 	48 , 	181 , 	96 , 	26 , 	55 , 	25 , 	32 , 	35 , 	38 , 	2 , 	5 , 	19 , 	15 ," 	1,276 ",,,,,,,,,,
Entries," 	1,690 "," 	2,161 "," 	1,701 "," 	1,817 "," 	4,287 "," 	2,208 "," 	2,529 "," 	1,783 "," 	3,237 "," 	1,691 "," 	4,474 "," 	3,376 "," 	1,566 "," 	1,830 "," 	1,261 ", 	782 ," 	1,050 "," 	1,924 "," 	1,494 "," 	1,106 "," 	1,593 ", 	911 , 	764 ," 	2,147 "," 	1,666 "," 	4,119 "," 	4,081 "," 	15,823 "," 	11,693 "," 	4,593 "," 	5,325 "," 	2,616 "," 	4,319 "," 	2,486 "," 	2,227 ", 	641 ," 	1,614 ", 	354 ," 	1,256 "," 	110,193 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
