Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
CC, 	175 , 	475 , 	245 , 	270 , 	530 , 	283 , 	473 , 	397 , 	584 , 	289 ," 	2,886 ", 	340 , 	296 , 	245 , 	197 , 	159 , 	206 , 	297 , 	309 , 	384 , 	260 , 	168 , 	143 , 	373 , 	373 , 	265 , 	280 , 	259 , 	80 , 	837 ," 	1,194 ", 	782 ," 	1,909 ", 	729 , 	715 , 	148 , 	415 , 	122 , 	320 ," 	18,411 ",,,,,,,,,,,
16, 	84 , 	84 , 	46 , 	83 , 	239 , 	91 , 	165 , 	135 , 	203 , 	85 , 	156 , 	110 , 	54 , 	50 , 	50 , 	36 , 	28 , 	36 , 	52 , 	49 , 	52 , 	19 , 	18 , 	91 , 	91 , 	675 , 	958 ," 	1,412 ", 	820 , 	35 , 	319 , 	301 , 	859 , 	252 , 	192 , 	17 , 	71 , 	19 , 	77 ," 	8,112 ",,,,,,,,,,,
24, 	121 , 	126 , 	40 , 	53 , 	260 , 	86 , 	128 , 	146 , 	234 , 	72 , 	167 , 	113 , 	64 , 	45 , 	49 , 	35 , 	29 , 	39 , 	81 , 	56 , 	58 , 	29 , 	24 , 	79 , 	83 ," 	1,139 "," 	1,579 "," 	2,112 "," 	1,280 ", 	318 , 	48 , 	281 , 	911 , 	305 , 	244 , 	21 , 	62 , 	21 , 	94 ," 	10,633 ",,,,,,,,,,,
GP, 	26 , 	52 , 	23 , 	26 , 	127 , 	25 , 	59 , 	99 , 	144 , 	42 , 	52 , 	53 , 	29 , 	28 , 	25 , 	10 , 	15 , 	18 , 	35 , 	55 , 	48 , 	17 , 	15 , 	35 , 	30 ," 	1,028 "," 	1,331 "," 	1,476 ", 	730 , 	301 , 	275 , 	28 , 	190 , 	79 , 	85 , 	10 , 	58 , 	9 , 	44 ," 	6,729 ",,,,,,,,,,,
BP, 	45 , 	86 , 	30 , 	33 , 	106 , 	36 , 	75 , 	110 , 	161 , 	60 , 	91 , 	63 , 	56 , 	35 , 	31 , 	19 , 	23 , 	21 , 	43 , 	39 , 	31 , 	7 , 	14 , 	54 , 	53 ," 	1,289 "," 	1,770 "," 	3,594 "," 	1,898 ", 	823 , 	979 , 	170 , 	56 , 	159 , 	212 , 	14 , 	35 , 	14 , 	54 ," 	12,388 ",,,,,,,,,,,
DC, 	68 , 	160 , 	79 , 	75 , 	226 , 	74 , 	122 , 	172 , 	264 , 	120 , 	124 , 	99 , 	72 , 	70 , 	45 , 	40 , 	53 , 	70 , 	99 , 	131 , 	83 , 	35 , 	27 , 	75 , 	77 ," 	1,147 "," 	1,449 "," 	1,165 ", 	733 , 	255 , 	328 , 	84 , 	179 , 	17 , 	83 , 	36 , 	107 , 	47 , 	85 ," 	8,172 ",,,,,,,,,,,
CM, 	21 , 	52 , 	15 , 	13 , 	87 , 	17 , 	42 , 	142 , 	228 , 	27 , 	33 , 	47 , 	28 , 	21 , 	18 , 	12 , 	12 , 	17 , 	57 , 	79 , 	45 , 	16 , 	17 , 	25 , 	21 ," 	1,230 "," 	1,378 ", 	949 , 	726 , 	179 , 	250 , 	99 , 	227 , 	64 , 	11 , 	8 , 	51 , 	16 , 	80 ," 	6,358 ",,,,,,,,,,,
CV, 	6 , 	7 , 	4 , 	4 , 	38 , 	7 , 	14 , 	37 , 	82 , 	69 , 	49 , 	33 , 	35 , 	54 , 	21 , 	15 , 	14 , 	26 , 	7 , 	2 , 	4 , 	1 , 	1 , 	5 , 	11 , 	381 , 	404 , 	168 , 	162 , 	17 , 	21 , 	11 , 	14 , 	31 , 	10 , 	3 , 	122 , 	1 , 	2 ," 	1,891 ",,,,,,,,,,,
ED, 	22 , 	35 , 	16 , 	14 , 	117 , 	28 , 	46 , 	143 , 	282 , 	183 , 	151 , 	146 , 	89 , 	251 , 	86 , 	50 , 	47 , 	63 , 	16 , 	8 , 	7 , 	3 , 	3 , 	14 , 	28 ," 	1,094 ", 	984 , 	525 , 	464 , 	71 , 	64 , 	62 , 	38 , 	113 , 	49 , 	139 , 	15 , 	3 , 	9 ," 	5,480 ",,,,,,,,,,,
NC, 	9 , 	8 , 	3 , 	1 , 	39 , 	5 , 	29 , 	97 , 	131 , 	12 , 	6 , 	15 , 	5 , 	4 , 	8 , 	4 , 	5 , 	6 , 	70 , 	38 , 	65 , 	14 , 	9 , 	22 , 	2 , 	303 , 	298 , 	152 , 	130 , 	22 , 	22 , 	12 , 	14 , 	46 , 	15 , 	1 , 	2 , 	4 , 	80 ," 	1,710 ",,,,,,,,,,,
