Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RR, 	13 , 	15 , 	12 , 	14 , 	51 , 	12 , 	29 , 	43 , 	63 , 	18 , 	28 , 	24 , 	11 , 	7 , 	8 , 	4 , 	7 , 	16 , 	41 , 	43 , 	58 , 	33 , 	40 , 	6 , 	9 , 	208 , 	290 , 	528 , 	275 , 	88 , 	76 , 	26 , 	11 , 	19 , 	16 , 	3 , 	14 , 	7 , 	28 ," 	2,189 ",,,,,,,,,,
OW, 	30 , 	25 , 	7 , 	10 , 	63 , 	30 , 	33 , 	27 , 	47 , 	11 , 	63 , 	42 , 	15 , 	29 , 	19 , 	7 , 	7 , 	6 , 	7 , 	3 , 	7 , 	1 , 	2 , 	6 , 	3 , 	226 , 	280 , 	569 , 	159 , 	59 , 	67 , 	17 , 	22 , 	10 , 	11 , 	4 , 	13 , 	2 , 	9 ," 	1,945 ",,,,,,,,,,
EM, 	64 , 	181 , 	97 , 	164 , 	421 , 	126 , 	207 , 	173 , 	298 , 	143 , 	171 , 	172 , 	126 , 	112 , 	73 , 	41 , 	112 , 	204 , 	117 , 	175 , 	212 , 	98 , 	106 , 	234 , 	236 , 	40 , 	45 , 	177 , 	72 , 	312 , 	383 , 	193 , 	286 , 	206 , 	152 , 	90 , 	334 , 	50 , 	113 ," 	6,515 ",,,,,,,,,,
MT, 	101 , 	270 , 	187 , 	236 , 	433 , 	167 , 	295 , 	191 , 	367 , 	222 , 	231 , 	164 , 	167 , 	153 , 	92 , 	76 , 	132 , 	301 , 	129 , 	195 , 	202 , 	130 , 	125 , 	299 , 	297 , 	42 , 	35 , 	80 , 	85 , 	485 , 	637 , 	579 ," 	1,381 ", 	414 , 	347 , 	100 , 	325 , 	50 , 	107 ," 	9,824 ",,,,,,,,,,
PL, 	184 , 	506 , 	263 , 	329 ," 	1,158 ", 	301 , 	517 , 	318 , 	624 , 	381 , 	507 , 	455 , 	330 , 	264 , 	163 , 	116 , 	218 , 	469 , 	227 , 	339 , 	419 , 	255 , 	212 , 	552 , 	605 , 	178 , 	86 , 	132 , 	205 ," 	1,147 "," 	1,739 ", 	975 ," 	1,651 "," 	1,012 ", 	732 , 	184 , 	676 , 	94 , 	259 ," 	18,781 ",,,,,,,,,,
CC, 	65 , 	132 , 	103 , 	173 , 	371 , 	139 , 	241 , 	161 , 	205 , 	113 ," 	1,413 ", 	169 , 	89 , 	72 , 	62 , 	42 , 	53 , 	111 , 	61 , 	81 , 	128 , 	76 , 	64 , 	250 , 	162 , 	60 , 	81 , 	199 , 	60 , 	548 , 	721 , 	333 , 	654 , 	284 , 	277 , 	61 , 	172 , 	21 , 	67 ," 	8,070 ",,,,,,,,,,
16, 	60 , 	65 , 	34 , 	63 , 	148 , 	77 , 	105 , 	77 , 	90 , 	45 , 	91 , 	67 , 	28 , 	20 , 	25 , 	21 , 	11 , 	31 , 	24 , 	25 , 	29 , 	18 , 	11 , 	83 , 	60 , 	215 , 	343 ," 	1,226 ", 	628 , 	32 , 	220 , 	171 , 	396 , 	187 , 	135 , 	10 , 	54 , 	6 , 	38 ," 	4,964 ",,,,,,,,,,
24, 	112 , 	94 , 	34 , 	55 , 	125 , 	70 , 	99 , 	73 , 	87 , 	49 , 	169 , 	94 , 	49 , 	32 , 	28 , 	23 , 	22 , 	33 , 	61 , 	28 , 	33 , 	16 , 	12 , 	77 , 	78 , 	297 , 	455 ," 	1,728 ", 	809 , 	214 , 	40 , 	195 , 	427 , 	241 , 	203 , 	11 , 	44 , 	6 , 	74 ," 	6,288 ",,,,,,,,,,
GP, 	13 , 	29 , 	13 , 	23 , 	67 , 	12 , 	22 , 	15 , 	54 , 	21 , 	31 , 	31 , 	18 , 	8 , 	7 , 	5 , 	7 , 	22 , 	18 , 	12 , 	15 , 	9 , 	5 , 	26 , 	14 , 	172 , 	333 ," 	1,225 ", 	305 , 	156 , 	173 , 	22 , 	71 , 	42 , 	62 , 	5 , 	14 , 	7 , 	18 ," 	3,101 ",,,,,,,,,,
BP, 	29 , 	42 , 	10 , 	22 , 	52 , 	17 , 	28 , 	24 , 	52 , 	28 , 	32 , 	39 , 	21 , 	19 , 	16 , 	12 , 	10 , 	16 , 	21 , 	13 , 	11 , 	4 , 	8 , 	13 , 	22 , 	245 , 	481 ," 	2,547 ", 	627 , 	363 , 	432 , 	82 , 	48 , 	74 , 	107 , 	6 , 	19 , 	7 , 	33 ," 	5,631 ",,,,,,,,,,
