Exit stations,Entry stations->,,SUNDAY,,,Jun 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
PL, 	216 , 	492 , 	269 , 	317 , 	885 , 	312 , 	511 , 	351 , 	427 , 	409 , 	522 , 	424 , 	305 , 	317 , 	194 , 	132 , 	218 , 	455 , 	244 , 	274 , 	363 , 	201 , 	149 , 	440 , 	693 , 	242 , 	55 , 	130 , 	280 ," 	1,135 "," 	1,449 ", 	744 ," 	1,360 ", 	780 , 	275 , 	165 , 	609 , 	110 , 	327 , 	187 , 	214 ," 	1,485 ", 	538 , 	94 ," 	19,292 ",,,,,,,,,,,
CC, 	139 , 	335 , 	217 , 	300 , 	610 , 	310 , 	520 , 	285 , 	269 , 	278 , 	444 , 	285 , 	201 , 	221 , 	170 , 	91 , 	134 , 	329 , 	214 , 	191 , 	269 , 	160 , 	157 , 	420 , 	545 , 	201 , 	127 , 	272 , 	98 , 	809 ," 	1,079 ", 	531 , 	692 , 	686 , 	226 , 	139 , 	439 , 	77 , 	257 , 	192 , 	247 , 	536 , 	825 , 	77 ," 	14,599 ",,,,,,,,,,,
16, 	52 , 	63 , 	37 , 	78 , 	180 , 	114 , 	172 , 	121 , 	99 , 	92 , 	108 , 	75 , 	40 , 	32 , 	19 , 	20 , 	18 , 	46 , 	21 , 	31 , 	40 , 	26 , 	22 , 	111 , 	136 , 	327 , 	247 ," 	1,263 ", 	899 , 	47 , 	208 , 	192 , 	311 , 	151 , 	79 , 	18 , 	62 , 	8 , 	42 , 	47 , 	82 , 	236 , 	139 , 	9 ," 	6,117 ",,,,,,,,,,,
24, 	63 , 	74 , 	44 , 	72 , 	131 , 	84 , 	135 , 	87 , 	87 , 	88 , 	97 , 	101 , 	35 , 	29 , 	20 , 	17 , 	17 , 	35 , 	49 , 	23 , 	31 , 	22 , 	14 , 	85 , 	94 , 	440 , 	331 ," 	1,625 "," 	1,098 ", 	207 , 	56 , 	165 , 	303 , 	154 , 	79 , 	18 , 	44 , 	10 , 	61 , 	41 , 	105 , 	249 , 	125 , 	8 ," 	6,648 ",,,,,,,,,,,
GP, 	17 , 	25 , 	12 , 	18 , 	59 , 	21 , 	33 , 	20 , 	25 , 	23 , 	25 , 	48 , 	13 , 	19 , 	8 , 	5 , 	7 , 	16 , 	19 , 	14 , 	20 , 	10 , 	7 , 	25 , 	26 , 	230 , 	224 , 	910 , 	515 , 	203 , 	174 , 	23 , 	46 , 	38 , 	34 , 	9 , 	23 , 	5 , 	30 , 	15 , 	52 , 	97 , 	60 , 	4 ," 	3,202 ",,,,,,,,,,,
BP, 	28 , 	38 , 	12 , 	12 , 	43 , 	13 , 	33 , 	22 , 	44 , 	38 , 	49 , 	37 , 	15 , 	23 , 	9 , 	10 , 	10 , 	17 , 	23 , 	17 , 	15 , 	9 , 	7 , 	13 , 	30 , 	303 , 	262 ," 	1,802 ", 	585 , 	306 , 	283 , 	43 , 	35 , 	49 , 	59 , 	6 , 	18 , 	7 , 	40 , 	27 , 	117 , 	81 , 	59 , 	4 ," 	4,646 ",,,,,,,,,,,
DC, 	24 , 	33 , 	7 , 	11 , 	44 , 	18 , 	29 , 	19 , 	29 , 	22 , 	32 , 	63 , 	24 , 	19 , 	11 , 	10 , 	15 , 	28 , 	28 , 	17 , 	22 , 	9 , 	5 , 	18 , 	21 , 	189 , 	166 , 	935 , 	644 , 	185 , 	176 , 	43 , 	67 , 	15 , 	33 , 	6 , 	50 , 	10 , 	41 , 	23 , 	86 , 	141 , 	103 , 	11 ," 	3,479 ",,,,,,,,,,,
CM, 	7 , 	14 , 	3 , 	4 , 	13 , 	4 , 	8 , 	4 , 	15 , 	9 , 	9 , 	10 , 	5 , 	9 , 	3 , 	4 , 	4 , 	5 , 	10 , 	7 , 	6 , 	5 , 	3 , 	5 , 	3 , 	84 , 	81 , 	336 , 	223 , 	65 , 	79 , 	31 , 	64 , 	31 , 	8 , 	2 , 	6 , 	3 , 	13 , 	8 , 	48 , 	67 , 	30 , 	1 ," 	1,343 ",,,,,,,,,,,
CV, 	4 , 	5 , 	5 , 	3 , 	19 , 	7 , 	10 , 	6 , 	10 , 	38 , 	33 , 	86 , 	24 , 	50 , 	15 , 	11 , 	8 , 	13 , 	4 , 	2 , 	2 , 	2 , 	1 , 	5 , 	8 , 	105 , 	70 , 	187 , 	169 , 	19 , 	17 , 	8 , 	6 , 	12 , 	3 , 	6 , 	56 , 	-   , 	4 , 	2 , 	2 , 	17 , 	2 , 	34 ," 	1,086 ",,,,,,,,,,,
ED, 	7 , 	19 , 	9 , 	13 , 	59 , 	18 , 	21 , 	11 , 	21 , 	52 , 	70 , 	451 , 	21 , 	81 , 	29 , 	14 , 	26 , 	42 , 	11 , 	4 , 	7 , 	3 , 	3 , 	9 , 	13 , 	683 , 	240 , 	650 , 	509 , 	69 , 	43 , 	23 , 	27 , 	43 , 	7 , 	53 , 	14 , 	1 , 	11 , 	5 , 	7 , 	111 , 	13 , 	21 ," 	3,536 ",,,,,,,,,,,
