Exit stations,Entry stations->,,TOTAL,,,Sep 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	485 ," 	1,927 "," 	1,768 ", 	994 ," 	7,022 "," 	1,359 "," 	2,168 "," 	1,618 "," 	1,878 ", 	581 ," 	1,458 "," 	1,148 ", 	559 , 	262 , 	525 , 	257 , 	139 , 	223 , 	422 , 	128 , 	374 , 	190 , 	167 , 	238 , 	462 ," 	4,805 "," 	3,533 "," 	6,496 "," 	3,540 "," 	2,720 "," 	2,831 ", 	757 , 	829 ," 	1,525 ", 	354 , 	100 , 	121 , 	82 , 	173 , 	221 , 	289 ," 	1,181 ", 	383 , 	77 , 	251 , 	299 , 	178 , 	266 , 	144 , 	274 ," 	57,781 ",,,,,,,,,,,,,
CL," 	1,350 "," 	1,593 ", 	783 , 	817 ," 	2,403 "," 	1,108 "," 	2,258 "," 	2,113 "," 	2,506 "," 	2,853 "," 	3,803 ", 	435 ," 	3,030 "," 	2,399 "," 	2,328 "," 	1,230 "," 	1,470 "," 	1,135 ", 	696 , 	658 , 	628 , 	365 , 	288 , 	658 ," 	1,112 "," 	4,953 "," 	3,546 "," 	6,277 "," 	4,243 "," 	1,636 "," 	1,806 ", 	745 , 	777 ," 	1,423 ", 	171 ," 	1,129 "," 	3,129 ", 	247 , 	512 , 	247 , 	233 , 	494 , 	313 ," 	1,143 ", 	638 , 	983 ," 	1,049 "," 	1,444 ", 	199 , 	765 ," 	76,121 ",,,,,,,,,,,,,
SL, 	611 , 	930 , 	270 , 	430 ," 	2,150 ", 	630 ," 	1,637 "," 	2,135 "," 	3,040 "," 	4,182 "," 	4,022 "," 	2,930 ", 	564 ," 	2,229 "," 	3,336 "," 	1,673 "," 	1,493 "," 	1,866 ", 	469 , 	326 , 	312 , 	81 , 	129 , 	385 , 	670 ," 	7,932 "," 	7,030 "," 	7,959 "," 	5,634 "," 	1,904 "," 	1,436 ", 	523 , 	982 ," 	1,455 ", 	99 , 	713 ," 	2,175 ", 	59 , 	251 , 	162 , 	177 , 	567 , 	107 , 	916 , 	209 ," 	1,143 ", 	833 ," 	1,127 ", 	100 , 	357 ," 	80,350 ",,,,,,,,,,,,,
BF, 	232 , 	524 , 	253 , 	294 ," 	1,761 ", 	410 ," 	1,010 "," 	1,532 "," 	2,385 "," 	3,000 "," 	3,851 "," 	2,388 "," 	2,174 ", 	475 ," 	1,812 "," 	1,101 "," 	1,121 "," 	1,348 ", 	371 , 	126 , 	223 , 	94 , 	58 , 	145 , 	635 ," 	6,224 "," 	5,617 "," 	7,989 "," 	4,546 "," 	1,479 "," 	1,046 ", 	458 , 	647 , 	942 , 	113 , 	787 ," 	1,935 ", 	21 , 	134 , 	244 , 	149 , 	378 , 	163 , 	899 , 	158 ," 	1,119 ", 	693 , 	823 , 	85 , 	134 ," 	64,106 ",,,,,,,,,,,,,
HY, 	493 , 	877 , 	265 , 	321 ," 	1,659 ", 	433 ," 	1,078 "," 	1,677 "," 	1,971 "," 	1,824 "," 	3,469 "," 	2,262 "," 	3,284 "," 	1,704 ", 	471 ," 	1,469 "," 	2,656 "," 	3,368 ", 	530 , 	191 , 	277 , 	111 , 	85 , 	156 , 	597 ," 	3,679 "," 	3,086 "," 	3,520 "," 	2,392 ", 	962 , 	612 , 	267 , 	358 , 	764 , 	120 , 	276 ," 	1,040 ", 	48 , 	362 , 	109 , 	169 , 	216 , 	158 , 	552 , 	147 ," 	1,642 "," 	1,445 "," 	1,677 ", 	142 , 	404 ," 	55,375 ",,,,,,,,,,,,,
SH, 	302 , 	208 , 	134 , 	109 ," 	1,135 ", 	238 , 	618 , 	866 ," 	1,137 "," 	1,172 "," 	1,322 "," 	1,220 "," 	1,511 "," 	1,046 "," 	1,337 ", 	308 ," 	1,038 "," 	1,427 ", 	159 , 	125 , 	152 , 	36 , 	35 , 	58 , 	255 ," 	3,133 "," 	2,777 "," 	2,319 "," 	2,128 ", 	639 , 	701 , 	99 , 	228 , 	437 , 	16 , 	298 , 	522 , 	50 , 	70 , 	71 , 	51 , 	158 , 	62 , 	339 , 	190 ," 	1,353 ", 	626 ," 	1,140 ", 	49 , 	127 ," 	33,531 ",,,,,,,,,,,,,
UC, 	177 , 	413 , 	208 , 	224 ," 	1,829 ", 	303 , 	712 ," 	1,292 "," 	1,839 "," 	1,195 "," 	1,342 "," 	1,406 "," 	1,488 "," 	1,303 "," 	2,824 "," 	1,311 ", 	536 ," 	1,432 ", 	184 , 	153 , 	163 , 	23 , 	33 , 	142 , 	241 ," 	5,349 "," 	3,841 "," 	3,204 "," 	2,384 ", 	800 , 	404 , 	208 , 	263 , 	731 , 	97 , 	270 , 	923 , 	14 , 	97 , 	46 , 	72 , 	359 , 	53 , 	445 , 	245 ," 	1,738 "," 	1,548 "," 	1,731 ", 	41 , 	89 ," 	45,725 ",,,,,,,,,,,,,
FM, 	251 , 	445 , 	231 , 	247 ," 	1,709 ", 	254 , 	708 ," 	1,171 "," 	1,558 "," 	1,138 "," 	1,412 "," 	1,089 "," 	1,955 "," 	1,335 "," 	3,577 "," 	1,651 "," 	1,427 ", 	572 , 	212 , 	91 , 	129 , 	36 , 	72 , 	139 , 	161 ," 	6,639 "," 	4,412 "," 	3,178 "," 	2,156 ", 	716 , 	382 , 	201 , 	245 , 	633 , 	89 , 	365 , 	703 , 	33 , 	103 , 	20 , 	47 , 	601 , 	48 , 	333 , 	283 ," 	2,031 "," 	2,231 "," 	2,581 ", 	26 , 	152 ," 	49,778 ",,,,,,,,,,,,,
CN, 	430 , 	470 , 	238 , 	256 ," 	1,231 ", 	292 ," 	1,869 "," 	1,860 "," 	2,090 ", 	346 , 	550 , 	684 , 	477 , 	357 , 	517 , 	162 , 	190 , 	228 , 	667 ," 	1,423 "," 	3,976 "," 	2,355 ", 	656 ," 	1,352 ", 	314 ," 	6,755 "," 	5,852 "," 	5,525 "," 	4,504 "," 	1,424 "," 	1,193 ", 	567 , 	597 ," 	1,137 ", 	206 , 	75 , 	164 , 	681 ," 	2,989 ", 	239 , 	255 ," 	1,990 ", 	264 , 	79 , 	490 , 	81 , 	170 , 	245 ," 	1,673 "," 	2,412 "," 	62,557 ",,,,,,,,,,,,,
PH, 	155 , 	235 , 	221 , 	154 ," 	1,296 ", 	234 ," 	1,363 "," 	2,112 "," 	2,294 ", 	188 , 	277 , 	600 , 	282 , 	124 , 	223 , 	152 , 	141 , 	99 ," 	1,506 ", 	453 ," 	1,506 ", 	955 , 	402 ," 	1,497 ", 	184 ," 	10,191 "," 	8,538 "," 	5,432 "," 	4,145 "," 	1,449 ", 	711 , 	548 , 	479 , 	867 , 	99 , 	40 , 	74 , 	237 , 	892 , 	176 , 	226 ," 	2,465 ", 	148 , 	43 , 	618 , 	97 , 	143 , 	171 , 	537 ," 	1,024 "," 	56,003 ",,,,,,,,,,,,,
WC, 	409 , 	531 , 	319 , 	292 ," 	1,548 ", 	211 ," 	1,748 "," 	2,460 "," 	2,392 ", 	288 , 	404 , 	606 , 	298 , 	291 , 	216 , 	143 , 	121 , 	144 ," 	4,165 "," 	1,480 ", 	498 ," 	1,323 ", 	602 ," 	2,004 ", 	246 ," 	11,221 "," 	8,457 "," 	5,493 "," 	4,098 "," 	1,394 ", 	841 , 	466 , 	446 , 	663 , 	173 , 	87 , 	97 , 	575 ," 	2,043 ", 	278 , 	254 ," 	3,052 ", 	192 , 	51 , 	648 , 	57 , 	150 , 	177 , 	849 ," 	1,583 "," 	66,084 ",,,,,,,,,,,,,
LF, 	185 , 	165 , 	193 , 	114 , 	816 , 	133 , 	675 ," 	1,218 "," 	1,180 ", 	116 , 	244 , 	345 , 	88 , 	92 , 	88 , 	54 , 	30 , 	28 ," 	2,898 "," 	1,136 "," 	1,348 ", 	304 , 	522 ," 	1,134 ", 	74 ," 	8,284 "," 	6,064 "," 	2,582 "," 	2,149 ", 	750 , 	464 , 	254 , 	281 , 	206 , 	30 , 	29 , 	24 , 	163 , 	472 , 	77 , 	164 ," 	1,773 ", 	84 , 	16 , 	321 , 	35 , 	40 , 	87 , 	202 , 	451 ," 	38,182 ",,,,,,,,,,,,,
OR, 	143 , 	163 , 	89 , 	116 , 	521 , 	85 , 	503 , 	973 , 	987 , 	93 , 	211 , 	311 , 	125 , 	59 , 	72 , 	26 , 	27 , 	67 , 	661 , 	355 , 	564 , 	487 , 	273 ," 	1,023 ", 	76 ," 	7,267 "," 	5,144 "," 	2,146 "," 	1,802 ", 	680 , 	355 , 	269 , 	178 , 	365 , 	24 , 	43 , 	17 , 	31 , 	185 , 	61 , 	90 ," 	1,255 ", 	51 , 	37 , 	184 , 	17 , 	54 , 	81 , 	194 , 	198 ," 	28,738 ",,,,,,,,,,,,,
RR, 	349 , 	433 , 	400 , 	251 , 	479 , 	207 , 	986 ," 	2,146 "," 	1,772 ", 	262 , 	686 , 	639 , 	404 , 	209 , 	183 , 	45 , 	169 , 	135 ," 	1,385 "," 	1,591 "," 	1,954 "," 	1,059 ", 	997 , 	361 , 	360 ," 	11,085 "," 	8,245 "," 	5,435 "," 	5,400 "," 	2,463 "," 	1,606 ", 	797 , 	766 , 	576 , 	128 , 	53 , 	85 , 	151 , 	660 , 	173 , 	136 ," 	2,446 ", 	163 , 	55 , 	271 , 	102 , 	127 , 	128 , 	273 , 	616 ," 	59,402 ",,,,,,,,,,,,,
OW, 	514 , 	463 , 	123 , 	157 ," 	1,093 ", 	305 , 	780 , 	910 ," 	1,113 ", 	405 ," 	1,752 "," 	1,107 ", 	639 , 	601 , 	634 , 	215 , 	203 , 	146 , 	296 , 	174 , 	211 , 	81 , 	65 , 	360 , 	440 ," 	16,852 "," 	11,766 "," 	13,433 "," 	9,723 "," 	4,958 "," 	3,192 ", 	920 ," 	1,056 ", 	796 , 	203 , 	186 , 	436 , 	27 , 	258 , 	227 , 	358 ," 	1,886 ", 	409 , 	145 , 	143 , 	149 , 	110 , 	166 , 	148 , 	273 ," 	80,607 ",,,,,,,,,,,,,
EM," 	5,680 "," 	10,215 "," 	6,505 "," 	7,509 "," 	12,081 "," 	7,132 "," 	11,833 "," 	16,074 "," 	14,774 "," 	9,185 "," 	9,969 "," 	5,486 "," 	9,134 "," 	7,328 "," 	4,710 "," 	3,743 "," 	6,122 "," 	7,331 "," 	8,039 "," 	12,257 "," 	12,876 "," 	9,622 "," 	8,282 "," 	12,099 "," 	19,950 "," 	2,768 ", 	744 ," 	4,053 "," 	4,818 "," 	11,010 "," 	16,606 "," 	11,124 "," 	12,323 "," 	12,806 "," 	4,792 "," 	5,436 "," 	17,897 "," 	2,373 "," 	5,813 "," 	4,248 "," 	3,493 "," 	7,190 "," 	5,662 "," 	7,094 "," 	1,653 "," 	2,481 "," 	3,497 "," 	3,838 "," 	1,014 "," 	6,243 "," 	396,912 ",,,,,,,,,,,,,
MT," 	4,845 "," 	8,647 "," 	5,333 "," 	5,370 "," 	9,344 "," 	5,807 "," 	9,885 "," 	12,157 "," 	11,149 "," 	6,943 "," 	8,252 "," 	4,266 "," 	7,899 "," 	6,848 "," 	3,766 "," 	3,130 "," 	4,220 "," 	4,609 "," 	6,351 "," 	8,953 "," 	8,574 "," 	6,048 "," 	5,231 "," 	8,402 "," 	14,015 ", 	835 ," 	1,384 "," 	1,128 "," 	3,180 "," 	10,689 "," 	16,666 "," 	11,789 "," 	16,798 "," 	15,154 "," 	5,343 "," 	4,130 "," 	11,199 "," 	1,699 "," 	4,833 "," 	4,605 "," 	4,403 "," 	8,063 "," 	6,432 "," 	4,065 "," 	1,168 "," 	1,981 "," 	3,061 "," 	2,939 ", 	884 ," 	4,797 "," 	327,269 ",,,,,,,,,,,,,
PL," 	5,588 "," 	9,078 "," 	3,719 "," 	3,485 "," 	8,732 "," 	4,141 "," 	7,662 "," 	9,229 "," 	10,108 "," 	6,226 "," 	8,703 "," 	5,971 "," 	6,674 "," 	6,071 "," 	3,003 "," 	2,104 "," 	2,966 "," 	2,719 "," 	5,038 "," 	4,714 "," 	4,931 "," 	2,429 "," 	2,069 "," 	4,748 "," 	13,260 "," 	4,663 "," 	1,289 "," 	2,590 "," 	2,871 "," 	13,486 "," 	17,539 "," 	12,042 "," 	21,797 "," 	15,516 "," 	5,305 "," 	2,565 "," 	7,075 "," 	1,263 "," 	5,718 "," 	4,311 "," 	3,941 "," 	22,904 "," 	4,949 "," 	2,494 "," 	1,360 "," 	1,265 "," 	1,842 "," 	1,776 "," 	1,211 "," 	4,032 "," 	307,172 ",,,,,,,,,,,,,
CC," 	3,571 "," 	6,379 "," 	3,282 "," 	4,057 "," 	6,238 "," 	4,529 "," 	7,360 "," 	8,866 "," 	7,526 "," 	5,418 "," 	8,136 "," 	3,964 "," 	4,939 "," 	3,861 "," 	2,271 "," 	1,887 "," 	2,120 "," 	1,954 "," 	3,881 "," 	3,528 "," 	3,523 "," 	2,048 "," 	1,709 "," 	4,750 "," 	10,153 "," 	4,185 "," 	2,801 "," 	2,788 "," 	2,460 "," 	6,562 "," 	10,295 "," 	7,628 "," 	11,350 "," 	10,172 "," 	4,228 "," 	2,188 "," 	4,597 "," 	1,201 "," 	2,941 "," 	3,485 "," 	3,619 "," 	7,766 "," 	4,722 "," 	1,587 ", 	651 , 	888 ," 	1,290 "," 	1,324 ", 	760 ," 	3,557 "," 	218,995 ",,,,,,,,,,,,,
16," 	2,383 "," 	2,926 "," 	1,346 "," 	1,903 "," 	3,829 "," 	2,225 "," 	4,521 "," 	5,499 "," 	4,220 "," 	2,805 "," 	3,979 "," 	1,626 "," 	1,818 "," 	1,482 ", 	944 , 	673 , 	766 , 	732 ," 	1,369 "," 	1,336 "," 	1,255 ", 	745 , 	612 ," 	2,327 "," 	5,284 "," 	10,962 "," 	10,396 "," 	15,422 "," 	7,646 ", 	746 ," 	2,789 "," 	5,061 "," 	7,272 "," 	6,429 "," 	2,627 ", 	709 ," 	1,483 ", 	426 ," 	1,460 "," 	1,947 "," 	1,900 "," 	5,257 "," 	3,037 ", 	697 , 	337 , 	405 , 	380 , 	653 , 	371 ," 	1,441 "," 	146,458 ",,,,,,,,,,,,,
24," 	2,767 "," 	2,377 "," 	1,009 "," 	1,207 "," 	3,326 "," 	1,573 "," 	3,172 "," 	3,842 "," 	3,046 "," 	1,919 "," 	2,997 "," 	1,635 "," 	1,433 "," 	1,060 ", 	561 , 	718 , 	354 , 	372 ," 	1,145 ", 	790 , 	759 , 	511 , 	339 ," 	1,474 "," 	3,489 "," 	14,621 "," 	14,133 "," 	20,374 "," 	11,053 "," 	2,613 ", 	680 ," 	4,525 "," 	5,955 "," 	5,588 "," 	2,551 ", 	451 , 	962 , 	381 ," 	1,419 "," 	1,609 "," 	1,936 "," 	3,343 "," 	2,507 ", 	398 , 	304 , 	256 , 	281 , 	372 , 	212 , 	987 ," 	139,386 ",,,,,,,,,,,,,
GP, 	680 , 	839 , 	359 , 	482 ," 	1,790 ", 	449 , 	922 ," 	1,652 "," 	1,487 ", 	677 , 	904 , 	703 , 	462 , 	432 , 	255 , 	119 , 	192 , 	202 , 	445 , 	393 , 	398 , 	255 , 	231 , 	771 , 	966 ," 	10,560 "," 	10,350 "," 	12,706 "," 	7,344 "," 	4,940 "," 	4,546 ", 	466 ," 	1,299 "," 	1,351 ", 	923 , 	188 , 	545 , 	73 , 	376 , 	697 , 	878 ," 	2,330 "," 	1,435 ", 	227 , 	237 , 	144 , 	132 , 	150 , 	128 , 	535 ," 	78,625 ",,,,,,,,,,,,,
BP, 	870 ," 	1,164 ", 	416 , 	410 ," 	1,226 ", 	481 , 	921 ," 	1,183 "," 	1,686 ", 	903 ," 	1,193 ", 	847 , 	927 , 	594 , 	353 , 	231 , 	247 , 	219 , 	545 , 	463 , 	454 , 	248 , 	209 , 	717 ," 	1,269 "," 	10,300 "," 	10,999 "," 	23,959 "," 	10,483 "," 	6,398 "," 	5,963 "," 	1,261 ", 	440 ," 	1,638 "," 	1,463 ", 	291 , 	664 , 	171 , 	518 ," 	1,094 "," 	1,407 "," 	1,831 "," 	1,950 ", 	272 , 	112 , 	166 , 	202 , 	204 , 	224 , 	549 ," 	100,335 ",,,,,,,,,,,,,
DC," 	1,550 "," 	2,508 ", 	732 , 	425 ," 	1,465 ", 	571 , 	987 ," 	1,582 "," 	1,886 ", 	923 ," 	2,157 "," 	1,402 "," 	1,463 ", 	940 , 	798 , 	429 , 	709 , 	562 ," 	1,094 ", 	862 , 	585 , 	205 , 	365 , 	612 , 	980 ," 	12,165 "," 	13,574 "," 	18,180 "," 	10,782 "," 	6,527 "," 	5,863 "," 	1,428 "," 	1,946 ", 	702 , 	704 , 	509 ," 	1,194 ", 	351 , 	891 ," 	1,561 "," 	2,090 "," 	4,006 "," 	3,985 ", 	413 , 	194 , 	229 , 	414 , 	410 , 	373 ," 	1,076 "," 	115,359 ",,,,,,,,,,,,,
CM, 	238 , 	289 , 	111 , 	122 , 	498 , 	90 , 	199 , 	381 , 	704 , 	110 , 	152 , 	123 , 	103 , 	88 , 	104 , 	41 , 	64 , 	58 , 	209 , 	98 , 	181 , 	40 , 	21 , 	107 , 	200 ," 	4,725 "," 	4,614 "," 	6,236 "," 	4,442 "," 	2,322 "," 	2,366 ", 	888 ," 	1,498 ", 	590 , 	213 , 	45 , 	111 , 	45 , 	225 , 	325 , 	772 ," 	1,468 "," 	1,349 ", 	18 , 	17 , 	22 , 	16 , 	17 , 	70 , 	367 ," 	37,092 ",,,,,,,,,,,,,
CV, 	115 , 	111 , 	78 , 	52 , 	544 , 	85 , 	200 , 	446 , 	351 ," 	1,323 ", 	892 ," 	1,098 ", 	795 , 	709 , 	283 , 	272 , 	262 , 	268 , 	93 , 	47 , 	75 , 	33 , 	30 , 	78 , 	209 ," 	4,934 "," 	3,788 "," 	3,042 "," 	2,397 ", 	788 , 	445 , 	208 , 	313 , 	504 , 	30 , 	219 ," 	2,020 ", 	10 , 	40 , 	84 , 	52 , 	293 , 	72 ," 	1,162 ", 	134 , 	166 , 	119 , 	143 , 	4 , 	22 ," 	29,438 ",,,,,,,,,,,,,
ED, 	174 , 	285 , 	167 , 	131 ," 	1,404 ", 	219 , 	594 ," 	1,345 "," 	1,756 "," 	2,006 "," 	2,190 "," 	2,924 "," 	2,204 "," 	1,706 "," 	1,154 ", 	517 , 	856 , 	704 , 	166 , 	60 , 	101 , 	30 , 	13 , 	82 , 	420 ," 	15,898 "," 	10,658 "," 	7,623 "," 	5,025 "," 	1,512 ", 	966 , 	573 , 	672 ," 	1,291 ", 	113 ," 	2,126 ", 	786 , 	23 , 	87 , 	139 , 	143 ," 	2,186 ", 	219 , 	593 ," 	1,093 ", 	346 , 	604 , 	742 , 	27 , 	70 ," 	74,723 ",,,,,,,,,,,,,
