Exit stations,Entry stations->,,SUNDAY,,,Jan 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
BP, 	25 , 	27 , 	10 , 	17 , 	42 , 	22 , 	34 , 	26 , 	45 , 	43 , 	36 , 	29 , 	21 , 	22 , 	13 , 	9 , 	8 , 	15 , 	20 , 	10 , 	18 , 	3 , 	2 , 	14 , 	34 , 	318 , 	327 ," 	1,671 ", 	397 , 	316 , 	266 , 	44 , 	36 , 	50 , 	58 , 	5 , 	24 , 	3 , 	29 , 	23 , 	115 , 	120 , 	62 , 	8 , 	10 , 	-   ," 	4,422 ",,,,,,,,,,,
DC, 	18 , 	31 , 	13 , 	13 , 	49 , 	11 , 	18 , 	22 , 	31 , 	24 , 	21 , 	58 , 	18 , 	20 , 	10 , 	8 , 	12 , 	20 , 	21 , 	15 , 	16 , 	8 , 	6 , 	9 , 	29 , 	180 , 	161 , 	920 , 	248 , 	182 , 	173 , 	46 , 	57 , 	18 , 	27 , 	8 , 	32 , 	9 , 	24 , 	24 , 	90 , 	207 , 	82 , 	10 , 	19 , 	-   ," 	3,013 ",,,,,,,,,,,
CM, 	8 , 	18 , 	6 , 	5 , 	16 , 	3 , 	7 , 	9 , 	14 , 	3 , 	12 , 	7 , 	4 , 	5 , 	5 , 	4 , 	4 , 	3 , 	9 , 	11 , 	9 , 	4 , 	3 , 	2 , 	6 , 	72 , 	66 , 	313 , 	116 , 	74 , 	78 , 	29 , 	51 , 	27 , 	5 , 	3 , 	4 , 	4 , 	18 , 	7 , 	41 , 	76 , 	27 , 	1 , 	1 , 	-   ," 	1,186 ",,,,,,,,,,,
CV, 	3 , 	5 , 	3 , 	4 , 	18 , 	5 , 	13 , 	8 , 	9 , 	39 , 	26 , 	35 , 	30 , 	47 , 	16 , 	7 , 	11 , 	18 , 	2 , 	2 , 	4 , 	0 , 	1 , 	7 , 	7 , 	95 , 	58 , 	163 , 	60 , 	20 , 	15 , 	9 , 	8 , 	10 , 	2 , 	6 , 	55 , 	1 , 	4 , 	2 , 	1 , 	16 , 	2 , 	63 , 	14 , 	-   , 	919 ,,,,,,,,,,,
ED, 	7 , 	12 , 	7 , 	7 , 	37 , 	9 , 	12 , 	13 , 	10 , 	70 , 	55 , 	83 , 	30 , 	86 , 	30 , 	11 , 	25 , 	54 , 	6 , 	4 , 	4 , 	0 , 	2 , 	7 , 	14 , 	265 , 	134 , 	434 , 	158 , 	45 , 	26 , 	23 , 	28 , 	31 , 	6 , 	51 , 	15 , 	2 , 	10 , 	4 , 	7 , 	101 , 	11 , 	22 , 	70 , 	-   ," 	2,031 ",,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	2 , 	8 , 	3 , 	7 , 	7 , 	9 , 	4 , 	3 , 	7 , 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	12 , 	9 , 	11 , 	3 , 	2 , 	7 , 	1 , 	40 , 	44 , 	84 , 	25 , 	7 , 	6 , 	3 , 	4 , 	7 , 	2 , 	1 , 	2 , 	4 , 	26 , 	3 , 	2 , 	34 , 	4 , 	-   , 	10 , 	-   , 	412 ,,,,,,,,,,,
WP, 	28 , 	28 , 	8 , 	11 , 	33 , 	15 , 	76 , 	44 , 	46 , 	16 , 	44 , 	55 , 	19 , 	25 , 	23 , 	14 , 	11 , 	19 , 	154 , 	58 , 	104 , 	15 , 	13 , 	26 , 	20 , 	126 , 	84 , 	292 , 	89 , 	38 , 	34 , 	23 , 	29 , 	23 , 	18 , 	4 , 	9 , 	27 , 	17 , 	15 , 	17 , 	84 , 	15 , 	5 , 	18 , 	-   ," 	1,866 ",,,,,,,,,,,
SS, 	6 , 	8 , 	2 , 	4 , 	8 , 	5 , 	5 , 	6 , 	8 , 	5 , 	8 , 	8 , 	4 , 	4 , 	2 , 	2 , 	2 , 	3 , 	7 , 	4 , 	4 , 	2 , 	1 , 	6 , 	4 , 	47 , 	52 , 	214 , 	70 , 	43 , 	48 , 	17 , 	26 , 	27 , 	7 , 	1 , 	5 , 	5 , 	15 , 	4 , 	26 , 	44 , 	19 , 	3 , 	4 , 	-   , 	790 ,,,,,,,,,,,
SB, 	13 , 	13 , 	7 , 	3 , 	14 , 	4 , 	7 , 	10 , 	14 , 	8 , 	8 , 	21 , 	6 , 	10 , 	5 , 	4 , 	4 , 	4 , 	10 , 	4 , 	9 , 	4 , 	4 , 	5 , 	14 , 	80 , 	53 , 	228 , 	114 , 	72 , 	100 , 	43 , 	101 , 	84 , 	42 , 	2 , 	8 , 	1 , 	14 , 	27 , 	6 , 	50 , 	21 , 	2 , 	1 , 	-   ," 	1,250 ",,,,,,,,,,,
SO, 	22 , 	35 , 	38 , 	45 , 	88 , 	26 , 	53 , 	34 , 	46 , 	17 , 	24 , 	13 , 	14 , 	12 , 	11 , 	6 , 	10 , 	25 , 	46 , 	75 , 	98 , 	59 , 	46 , 	65 , 	44 , 	225 , 	220 , 	928 , 	309 , 	131 , 	104 , 	46 , 	60 , 	103 , 	53 , 	6 , 	67 , 	20 , 	62 , 	14 , 	27 , 	31 , 	177 , 	18 , 	25 , 	-   ," 	3,570 ",,,,,,,,,,,
MB, 	16 , 	19 , 	14 , 	13 , 	75 , 	14 , 	25 , 	24 , 	26 , 	10 , 	13 , 	18 , 	10 , 	6 , 	8 , 	3 , 	4 , 	3 , 	10 , 	12 , 	13 , 	6 , 	8 , 	19 , 	18 , 	124 , 	109 , 	444 , 	195 , 	136 , 	117 , 	50 , 	85 , 	81 , 	27 , 	2 , 	10 , 	5 , 	21 , 	15 , 	22 , 	483 , 	19 , 	4 , 	11 , 	-   ," 	2,341 ",,,,,,,,,,,
WD, 	1 , 	4 , 	3 , 	3 , 	14 , 	6 , 	12 , 	6 , 	8 , 	32 , 	42 , 	48 , 	29 , 	84 , 	33 , 	7 , 	16 , 	23 , 	2 , 	4 , 	2 , 	3 , 	1 , 	4 , 	8 , 	97 , 	72 , 	172 , 	60 , 	16 , 	10 , 	8 , 	12 , 	12 , 	1 , 	65 , 	22 , 	1 , 	6 , 	4 , 	2 , 	36 , 	3 , 	7 , 	31 , 	-   ," 	1,030 ",,,,,,,,,,,
