Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
PL, 	431 , 	806 , 	518 , 	438 ," 	1,359 ", 	423 , 	647 , 	587 , 	939 , 	424 , 	910 , 	613 , 	390 , 	365 , 	315 , 	232 , 	276 , 	481 , 	493 , 	573 , 	471 , 	255 , 	231 , 	503 , 	622 , 	642 , 	333 , 	120 , 	352 ," 	1,608 "," 	2,156 "," 	1,307 "," 	2,689 "," 	1,148 ", 	937 , 	196 , 	583 , 	189 , 	336 ," 	25,897 ",,,,,,,,,,,
CC, 	228 , 	576 , 	255 , 	319 , 	505 , 	343 , 	530 , 	447 , 	577 , 	324 , 	538 , 	307 , 	309 , 	304 , 	230 , 	189 , 	206 , 	314 , 	431 , 	474 , 	353 , 	182 , 	162 , 	397 , 	438 , 	393 , 	419 , 	335 , 	104 , 	972 ," 	1,446 ", 	892 ," 	2,054 ", 	776 , 	765 , 	157 , 	415 , 	177 , 	340 ," 	18,184 ",,,,,,,,,,,
16, 	100 , 	103 , 	58 , 	81 , 	213 , 	115 , 	168 , 	143 , 	199 , 	77 , 	179 , 	92 , 	54 , 	55 , 	49 , 	35 , 	39 , 	62 , 	69 , 	58 , 	60 , 	22 , 	21 , 	118 , 	109 , 	942 ," 	1,343 "," 	1,761 ", 	929 , 	56 , 	434 , 	343 , 	849 , 	252 , 	65 , 	6 , 	21 , 	6 , 	26 ," 	9,309 ",,,,,,,,,,,
24, 	126 , 	131 , 	38 , 	64 , 	204 , 	87 , 	113 , 	150 , 	190 , 	85 , 	195 , 	110 , 	57 , 	67 , 	41 , 	34 , 	36 , 	39 , 	74 , 	62 , 	53 , 	24 , 	22 , 	79 , 	83 ," 	1,478 "," 	2,090 "," 	2,381 "," 	1,316 ", 	453 , 	67 , 	290 , 	900 , 	300 , 	236 , 	16 , 	49 , 	20 , 	84 ," 	11,840 ",,,,,,,,,,,
GP, 	25 , 	50 , 	22 , 	27 , 	108 , 	28 , 	66 , 	105 , 	143 , 	34 , 	62 , 	50 , 	31 , 	27 , 	34 , 	17 , 	18 , 	27 , 	40 , 	39 , 	45 , 	18 , 	15 , 	37 , 	31 ," 	1,286 "," 	1,604 "," 	1,622 ", 	788 , 	332 , 	296 , 	33 , 	195 , 	74 , 	97 , 	13 , 	53 , 	12 , 	38 ," 	7,542 ",,,,,,,,,,,
BP, 	38 , 	89 , 	36 , 	40 , 	85 , 	43 , 	67 , 	100 , 	162 , 	54 , 	84 , 	49 , 	48 , 	29 , 	28 , 	17 , 	20 , 	30 , 	42 , 	37 , 	34 , 	11 , 	10 , 	52 , 	72 ," 	1,490 "," 	2,100 "," 	3,587 "," 	1,700 ", 	781 , 	953 , 	206 , 	46 , 	157 , 	198 , 	11 , 	35 , 	15 , 	51 ," 	12,604 ",,,,,,,,,,,
DC, 	47 , 	144 , 	68 , 	71 , 	178 , 	78 , 	117 , 	165 , 	213 , 	115 , 	145 , 	79 , 	86 , 	67 , 	47 , 	31 , 	45 , 	69 , 	92 , 	107 , 	76 , 	33 , 	24 , 	71 , 	66 ," 	1,319 "," 	1,821 "," 	1,240 ", 	724 , 	262 , 	336 , 	83 , 	177 , 	13 , 	77 , 	34 , 	117 , 	43 , 	75 ," 	8,553 ",,,,,,,,,,,
CM, 	30 , 	70 , 	18 , 	21 , 	105 , 	29 , 	58 , 	167 , 	220 , 	24 , 	46 , 	42 , 	27 , 	23 , 	19 , 	11 , 	15 , 	20 , 	63 , 	56 , 	67 , 	23 , 	19 , 	30 , 	30 ," 	1,475 "," 	1,704 "," 	1,065 ", 	728 , 	202 , 	252 , 	111 , 	237 , 	67 , 	12 , 	7 , 	37 , 	24 , 	86 ," 	7,239 ",,,,,,,,,,,
CV, 	7 , 	5 , 	4 , 	4 , 	47 , 	8 , 	15 , 	48 , 	85 , 	51 , 	53 , 	42 , 	39 , 	47 , 	27 , 	15 , 	16 , 	36 , 	5 , 	3 , 	4 , 	2 , 	1 , 	5 , 	5 , 	459 , 	445 , 	221 , 	175 , 	22 , 	15 , 	12 , 	12 , 	35 , 	8 , 	3 , 	145 , 	1 , 	3 ," 	2,129 ",,,,,,,,,,,
ED, 	32 , 	55 , 	23 , 	21 , 	122 , 	35 , 	57 , 	155 , 	248 , 	136 , 	171 , 	208 , 	102 , 	263 , 	100 , 	67 , 	75 , 	105 , 	16 , 	11 , 	8 , 	4 , 	2 , 	19 , 	30 ," 	1,313 "," 	1,180 ", 	611 , 	450 , 	72 , 	52 , 	61 , 	40 , 	116 , 	37 , 	158 , 	21 , 	3 , 	14 ," 	6,193 ",,,,,,,,,,,
