Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RR, 	41 , 	31 , 	24 , 	26 , 	36 , 	12 , 	19 , 	25 , 	43 , 	10 , 	36 , 	21 , 	13 , 	10 , 	3 , 	2 , 	2 , 	7 , 	50 , 	21 , 	42 , 	22 , 	23 , 	4 , 	4 , 	254 , 	388 , 	595 , 	278 , 	50 , 	40 , 	16 , 	7 , 	6 , 	15 , 	2 , 	5 , 	7 , 	18 ," 	2,204 ",,,,,,,,,,
OW, 	34 , 	25 , 	5 , 	10 , 	41 , 	23 , 	29 , 	32 , 	44 , 	9 , 	70 , 	65 , 	11 , 	37 , 	18 , 	5 , 	6 , 	7 , 	4 , 	6 , 	5 , 	3 , 	2 , 	7 , 	3 , 	217 , 	329 , 	592 , 	136 , 	57 , 	56 , 	11 , 	23 , 	10 , 	7 , 	4 , 	14 , 	1 , 	10 ," 	1,962 ",,,,,,,,,,
EM, 	61 , 	205 , 	118 , 	176 , 	399 , 	133 , 	233 , 	165 , 	305 , 	141 , 	230 , 	119 , 	138 , 	139 , 	84 , 	61 , 	103 , 	219 , 	141 , 	205 , 	208 , 	113 , 	112 , 	264 , 	234 , 	29 , 	50 , 	227 , 	131 , 	349 , 	438 , 	219 , 	288 , 	215 , 	169 , 	99 , 	297 , 	45 , 	100 ," 	6,956 ",,,,,,,,,,
MT, 	140 , 	288 , 	185 , 	248 , 	374 , 	208 , 	314 , 	175 , 	315 , 	189 , 	272 , 	98 , 	160 , 	161 , 	108 , 	64 , 	139 , 	313 , 	142 , 	209 , 	241 , 	137 , 	124 , 	312 , 	292 , 	81 , 	50 , 	106 , 	104 , 	516 , 	692 , 	544 ," 	1,101 ", 	415 , 	335 , 	83 , 	299 , 	46 , 	120 ," 	9,699 ",,,,,,,,,,
PL, 	292 , 	625 , 	553 , 	481 ," 	1,456 ", 	378 , 	588 , 	350 , 	651 , 	455 , 	841 , 	426 , 	332 , 	307 , 	208 , 	151 , 	262 , 	643 , 	340 , 	419 , 	486 , 	286 , 	269 , 	621 , 	632 , 	210 , 	110 , 	113 , 	262 ," 	1,360 "," 	1,805 "," 	1,081 "," 	1,550 "," 	1,036 ", 	725 , 	187 , 	659 , 	88 , 	238 ," 	21,473 ",,,,,,,,,,
CC, 	79 , 	160 , 	101 , 	169 , 	320 , 	132 , 	265 , 	166 , 	222 , 	117 , 	210 , 	101 , 	90 , 	109 , 	71 , 	42 , 	62 , 	156 , 	96 , 	121 , 	171 , 	119 , 	90 , 	237 , 	154 , 	85 , 	97 , 	284 , 	74 , 	666 , 	880 , 	364 , 	698 , 	348 , 	308 , 	85 , 	255 , 	42 , 	91 ," 	7,839 ",,,,,,,,,,
16, 	67 , 	62 , 	26 , 	59 , 	127 , 	78 , 	101 , 	64 , 	91 , 	55 , 	107 , 	55 , 	28 , 	20 , 	22 , 	10 , 	16 , 	29 , 	29 , 	23 , 	18 , 	13 , 	9 , 	75 , 	69 , 	260 , 	447 ," 	1,457 ", 	622 , 	46 , 	350 , 	228 , 	419 , 	156 , 	26 , 	2 , 	10 , 	2 , 	9 ," 	5,283 ",,,,,,,,,,
24, 	115 , 	94 , 	25 , 	55 , 	130 , 	68 , 	96 , 	56 , 	92 , 	49 , 	182 , 	79 , 	47 , 	46 , 	34 , 	28 , 	22 , 	31 , 	55 , 	32 , 	31 , 	11 , 	9 , 	56 , 	58 , 	354 , 	599 ," 	2,024 ", 	885 , 	349 , 	74 , 	185 , 	442 , 	203 , 	196 , 	9 , 	32 , 	9 , 	49 ," 	6,908 ",,,,,,,,,,
GP, 	11 , 	30 , 	12 , 	21 , 	60 , 	15 , 	26 , 	28 , 	45 , 	18 , 	32 , 	21 , 	14 , 	11 , 	7 , 	6 , 	6 , 	13 , 	27 , 	12 , 	16 , 	7 , 	9 , 	25 , 	14 , 	208 , 	421 ," 	1,362 ", 	344 , 	169 , 	171 , 	27 , 	72 , 	28 , 	52 , 	4 , 	15 , 	4 , 	18 ," 	3,376 ",,,,,,,,,,
BP, 	26 , 	43 , 	14 , 	17 , 	38 , 	12 , 	28 , 	26 , 	56 , 	18 , 	49 , 	24 , 	16 , 	24 , 	12 , 	10 , 	9 , 	18 , 	19 , 	9 , 	10 , 	3 , 	4 , 	11 , 	26 , 	260 , 	548 ," 	2,391 ", 	586 , 	380 , 	447 , 	63 , 	37 , 	50 , 	101 , 	3 , 	12 , 	4 , 	33 ," 	5,435 ",,,,,,,,,,
DC, 	18 , 	39 , 	20 , 	19 , 	85 , 	15 , 	22 , 	27 , 	56 , 	18 , 	43 , 	31 , 	20 , 	19 , 	14 , 	12 , 	19 , 	31 , 	29 , 	25 , 	25 , 	8 , 	5 , 	17 , 	19 , 	188 , 	421 ," 	1,222 ", 	327 , 	149 , 	201 , 	39 , 	63 , 	13 , 	52 , 	11 , 	32 , 	6 , 	26 ," 	3,381 ",,,,,,,,,,
CM, 	19 , 	34 , 	9 , 	16 , 	59 , 	19 , 	24 , 	24 , 	49 , 	11 , 	25 , 	18 , 	9 , 	16 , 	12 , 	11 , 	8 , 	15 , 	37 , 	30 , 	28 , 	9 , 	10 , 	18 , 	6 , 	154 , 	323 , 	842 , 	267 , 	118 , 	194 , 	52 , 	105 , 	47 , 	13 , 	4 , 	12 , 	9 , 	46 ," 	2,701 ",,,,,,,,,,
