Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
OR, 	12 , 	10 , 	8 , 	9 , 	58 , 	11 , 	33 , 	73 , 	145 , 	11 , 	34 , 	43 , 	6 , 	7 , 	8 , 	3 , 	3 , 	13 , 	57 , 	48 , 	46 , 	16 , 	4 , 	63 , 	3 , 	680 , 	589 , 	256 , 	163 , 	22 , 	25 , 	12 , 	13 , 	19 , 	22 , 	2 , 	3 , 	11 , 	26 ," 	2,566 ",,,FT/ED line," 	38,172 "," 	13,351 "," 	5,509 "," 	8,248 "," 	3,315 "," 	13,351 "," 	296,473 ",
RR, 	33 , 	28 , 	26 , 	39 , 	46 , 	10 , 	37 , 	90 , 	195 , 	28 , 	53 , 	64 , 	23 , 	20 , 	10 , 	5 , 	7 , 	19 , 	107 , 	79 , 	112 , 	47 , 	46 , 	7 , 	13 , 	905 , 	912 , 	537 , 	400 , 	76 , 	56 , 	26 , 	25 , 	40 , 	23 , 	7 , 	13 , 	12 , 	39 ," 	4,215 ",,,,,,,,,,,
OW, 	33 , 	36 , 	9 , 	10 , 	54 , 	34 , 	53 , 	35 , 	65 , 	18 , 	99 , 	80 , 	31 , 	42 , 	26 , 	21 , 	17 , 	15 , 	14 , 	10 , 	14 , 	3 , 	4 , 	8 , 	4 ," 	1,135 "," 	1,047 ", 	565 , 	361 , 	83 , 	80 , 	25 , 	35 , 	30 , 	19 , 	6 , 	22 , 	3 , 	27 ," 	4,170 ",,,,,,,,,,,
EM, 	260 , 	879 , 	476 , 	487 , 	873 , 	503 , 	750 , 	859 ," 	1,200 ", 	549 , 	653 , 	612 , 	654 , 	591 , 	441 , 	328 , 	596 , 	874 , 	813 ," 	1,706 "," 	1,252 ", 	786 , 	708 , 	887 ," 	1,240 ", 	119 , 	138 , 	401 , 	329 , 	777 ," 	1,443 "," 	1,155 "," 	1,534 "," 	1,177 "," 	1,337 ", 	465 ," 	1,513 ", 	382 , 	752 ," 	30,498 ",,,,,,,,,,,
MT, 	511 , 	891 , 	680 , 	450 ," 	1,036 ", 	480 , 	695 , 	619 , 	833 , 	446 , 	882 , 	616 , 	615 , 	546 , 	337 , 	292 , 	480 , 	766 , 	740 ," 	1,271 ", 	959 , 	541 , 	534 , 	704 ," 	1,012 ", 	250 , 	89 , 	192 , 	284 ," 	1,105 "," 	1,839 "," 	1,590 "," 	2,769 "," 	1,334 "," 	1,318 ", 	336 , 	886 , 	275 , 	521 ," 	29,724 ",,,,,,,,,,,
PL, 	286 , 	688 , 	323 , 	351 ," 	1,039 ", 	352 , 	582 , 	542 , 	924 , 	451 , 	699 , 	663 , 	444 , 	381 , 	287 , 	224 , 	331 , 	534 , 	425 , 	532 , 	497 , 	263 , 	246 , 	489 , 	591 , 	560 , 	298 , 	143 , 	331 ," 	1,323 "," 	2,006 "," 	1,359 "," 	2,590 "," 	1,188 "," 	1,028 ", 	207 , 	747 , 	179 , 	408 ," 	24,509 ",,,,,,,,,,,
CC, 	181 , 	504 , 	227 , 	280 , 	530 , 	279 , 	439 , 	431 , 	549 , 	289 , 	429 , 	358 , 	314 , 	277 , 	191 , 	172 , 	226 , 	310 , 	385 , 	389 , 	273 , 	148 , 	136 , 	327 , 	365 , 	309 , 	303 , 	302 , 	93 , 	789 ," 	1,212 ", 	788 ," 	1,974 ", 	716 , 	732 , 	134 , 	389 , 	122 , 	340 ," 	16,213 ",,,,,,,,,,,
16, 	89 , 	93 , 	36 , 	75 , 	197 , 	84 , 	150 , 	124 , 	178 , 	83 , 	139 , 	103 , 	45 , 	49 , 	49 , 	30 , 	26 , 	38 , 	51 , 	45 , 	43 , 	19 , 	18 , 	83 , 	91 , 	671 , 	937 ," 	1,382 ", 	805 , 	39 , 	283 , 	273 , 	689 , 	222 , 	200 , 	20 , 	66 , 	14 , 	70 ," 	7,608 ",,,,,,,,,,,
24, 	134 , 	134 , 	37 , 	62 , 	216 , 	91 , 	121 , 	142 , 	212 , 	67 , 	192 , 	120 , 	64 , 	57 , 	46 , 	37 , 	32 , 	42 , 	82 , 	54 , 	59 , 	27 , 	24 , 	72 , 	81 ," 	1,197 "," 	1,555 "," 	2,107 "," 	1,217 ", 	285 , 	53 , 	281 , 	686 , 	289 , 	254 , 	19 , 	63 , 	24 , 	89 ," 	10,322 ",,,,,,,,,,,
GP, 	25 , 	49 , 	29 , 	26 , 	118 , 	29 , 	52 , 	85 , 	145 , 	39 , 	52 , 	67 , 	32 , 	29 , 	26 , 	12 , 	16 , 	29 , 	40 , 	49 , 	53 , 	18 , 	14 , 	36 , 	31 ," 	1,076 "," 	1,316 "," 	1,543 ", 	696 , 	290 , 	279 , 	30 , 	136 , 	75 , 	97 , 	13 , 	60 , 	13 , 	46 ," 	6,771 ",,,,,,,,,,,
BP, 	37 , 	78 , 	22 , 	25 , 	90 , 	31 , 	58 , 	97 , 	149 , 	53 , 	79 , 	64 , 	47 , 	29 , 	29 , 	16 , 	24 , 	29 , 	40 , 	44 , 	28 , 	8 , 	11 , 	31 , 	45 ," 	1,355 "," 	1,762 "," 	3,500 "," 	1,663 ", 	667 , 	727 , 	141 , 	40 , 	135 , 	193 , 	11 , 	41 , 	13 , 	58 ," 	11,464 ",,,,,,,,,,,
DC, 	38 , 	92 , 	38 , 	36 , 	151 , 	40 , 	56 , 	132 , 	201 , 	65 , 	84 , 	105 , 	55 , 	49 , 	33 , 	28 , 	30 , 	53 , 	68 , 	72 , 	53 , 	16 , 	17 , 	40 , 	47 ," 	1,163 "," 	1,441 "," 	1,257 ", 	695 , 	237 , 	292 , 	84 , 	154 , 	17 , 	74 , 	17 , 	100 , 	22 , 	58 ," 	7,208 ",,,,,,,,,,,
CM, 	27 , 	67 , 	19 , 	18 , 	106 , 	26 , 	45 , 	147 , 	226 , 	20 , 	31 , 	52 , 	23 , 	19 , 	19 , 	11 , 	14 , 	18 , 	65 , 	74 , 	55 , 	17 , 	20 , 	30 , 	22 ," 	1,304 "," 	1,360 "," 	1,047 ", 	698 , 	175 , 	244 , 	106 , 	205 , 	63 , 	14 , 	6 , 	38 , 	17 , 	80 ," 	6,528 ",,,,,,,,,,,
CV, 	6 , 	7 , 	4 , 	5 , 	47 , 	8 , 	14 , 	42 , 	91 , 	57 , 	55 , 	83 , 	38 , 	55 , 	24 , 	15 , 	17 , 	23 , 	5 , 	3 , 	5 , 	2 , 	2 , 	6 , 	6 , 	413 , 	381 , 	203 , 	143 , 	19 , 	20 , 	12 , 	10 , 	19 , 	10 , 	4 , 	142 , 	1 , 	4 ," 	1,999 ",,,,,,,,,,,
ED, 	25 , 	39 , 	21 , 	15 , 	135 , 	30 , 	50 , 	159 , 	261 , 	157 , 	152 , 	280 , 	99 , 	252 , 	98 , 	61 , 	60 , 	90 , 	17 , 	8 , 	7 , 	4 , 	3 , 	15 , 	24 ," 	1,335 "," 	1,009 ", 	689 , 	418 , 	67 , 	64 , 	67 , 	44 , 	109 , 	42 , 	148 , 	24 , 	3 , 	9 ," 	6,090 ",,,,,,,,,,,
NC, 	10 , 	7 , 	3 , 	3 , 	32 , 	4 , 	21 , 	91 , 	109 , 	7 , 	7 , 	30 , 	6 , 	5 , 	6 , 	3 , 	7 , 	6 , 	70 , 	34 , 	65 , 	13 , 	10 , 	16 , 	3 , 	322 , 	286 , 	165 , 	128 , 	15 , 	24 , 	14 , 	15 , 	21 , 	15 , 	1 , 	3 , 	4 , 	80 ," 	1,658 ",,,,,,,,,,,
WP, 	32 , 	30 , 	9 , 	8 , 	90 , 	18 , 	105 , 	187 , 	272 , 	24 , 	42 , 	88 , 	29 , 	17 , 	26 , 	13 , 	19 , 	36 , 	445 , 	155 , 	214 , 	32 , 	26 , 	51 , 	26 , 	629 , 	548 , 	424 , 	363 , 	75 , 	98 , 	48 , 	58 , 	61 , 	86 , 	6 , 	12 , 	87 , 	27 ," 	4,513 ",,,,,,,,,,,
Entries," 	3,951 "," 	7,294 "," 	3,865 "," 	3,219 "," 	10,925 "," 	3,943 "," 	5,626 "," 	7,775 "," 	11,822 "," 	4,190 "," 	6,765 "," 	7,005 "," 	4,772 "," 	4,690 "," 	4,359 "," 	2,868 "," 	3,755 "," 	5,813 "," 	5,617 "," 	6,238 "," 	5,591 "," 	2,768 "," 	2,447 "," 	3,983 "," 	4,337 "," 	27,189 "," 	27,374 "," 	25,635 "," 	16,802 "," 	7,938 "," 	10,910 "," 	7,098 "," 	12,054 "," 	6,968 "," 	6,586 "," 	1,980 "," 	6,059 "," 	1,758 "," 	4,504 "," 	296,473 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
