Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
CV, 	3 , 	4 , 	2 , 	6 , 	18 , 	4 , 	4 , 	3 , 	10 , 	46 , 	21 , 	190 , 	18 , 	37 , 	12 , 	4 , 	6 , 	11 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	45 , 	40 , 	96 , 	62 , 	9 , 	8 , 	6 , 	4 , 	7 , 	4 , 	3 , 	47 , 	-   , 	2 , 	735 ,,,,,,,,,,
ED, 	6 , 	11 , 	5 , 	4 , 	26 , 	9 , 	8 , 	5 , 	16 , 	115 , 	54 , 	377 , 	36 , 	77 , 	25 , 	16 , 	17 , 	27 , 	6 , 	2 , 	2 , 	0 , 	-   , 	5 , 	7 , 	150 , 	96 , 	320 , 	190 , 	18 , 	21 , 	15 , 	10 , 	27 , 	23 , 	47 , 	18 , 	1 , 	4 ," 	1,791 ",,,,,,,,,,
NC, 	1 , 	3 , 	1 , 	1 , 	7 , 	1 , 	4 , 	3 , 	10 , 	5 , 	4 , 	58 , 	1 , 	2 , 	2 , 	3 , 	0 , 	4 , 	17 , 	5 , 	11 , 	2 , 	2 , 	6 , 	1 , 	17 , 	20 , 	49 , 	29 , 	6 , 	5 , 	4 , 	3 , 	7 , 	11 , 	0 , 	2 , 	3 , 	16 , 	320 ,,,,,,,,,,
WP, 	18 , 	20 , 	5 , 	6 , 	24 , 	6 , 	41 , 	16 , 	36 , 	15 , 	23 , 	122 , 	12 , 	13 , 	10 , 	12 , 	10 , 	19 , 	157 , 	32 , 	70 , 	9 , 	7 , 	23 , 	9 , 	72 , 	46 , 	150 , 	87 , 	29 , 	44 , 	26 , 	27 , 	23 , 	50 , 	2 , 	5 , 	25 , 	12 ," 	1,308 ",,,,,,,,,,
Entries," 	1,465 "," 	1,900 "," 	1,185 "," 	1,190 "," 	3,630 "," 	1,519 "," 	1,993 "," 	1,373 "," 	2,915 "," 	1,975 "," 	2,961 "," 	5,861 "," 	1,613 "," 	1,785 "," 	1,326 ", 	735 ," 	1,100 "," 	1,792 "," 	1,472 "," 	1,098 "," 	1,422 ", 	752 , 	611 ," 	1,371 "," 	1,131 "," 	3,567 "," 	3,502 "," 	13,421 "," 	5,820 "," 	3,812 "," 	4,568 "," 	2,040 "," 	3,365 "," 	1,969 "," 	1,660 ", 	722 ," 	1,847 ", 	327 ," 	1,100 "," 	91,889 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
