Exit stations,Entry stations->,,TOTAL,,,Jul 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	696 ," 	1,649 "," 	1,629 ", 	893 ," 	6,062 "," 	1,193 "," 	1,791 "," 	1,381 "," 	1,886 ", 	522 ," 	1,388 ", 	969 , 	647 , 	339 , 	395 , 	229 , 	170 , 	214 , 	376 , 	196 , 	325 , 	169 , 	142 , 	336 , 	501 ," 	5,012 "," 	3,647 "," 	6,416 "," 	3,492 "," 	2,380 "," 	2,728 ", 	642 , 	599 , 	523 , 	308 , 	107 , 	152 , 	66 , 	183 , 	174 , 	354 ," 	1,272 ", 	363 , 	52 , 	228 , 	290 , 	195 , 	277 , 	151 , 	234 ," 	53,943 ",,,,,,,,,,,,,
RR, 	321 , 	501 , 	387 , 	182 , 	301 , 	181 , 	915 ," 	1,637 "," 	1,682 ", 	214 , 	587 , 	430 , 	296 , 	218 , 	183 , 	71 , 	117 , 	119 ," 	1,010 "," 	1,363 "," 	1,976 ", 	966 , 	824 , 	427 , 	430 ," 	11,743 "," 	7,768 "," 	4,839 "," 	4,728 "," 	2,301 "," 	1,333 ", 	624 , 	296 , 	456 , 	76 , 	76 , 	83 , 	145 , 	550 , 	139 , 	138 ," 	2,447 ", 	182 , 	19 , 	253 , 	77 , 	114 , 	125 , 	148 , 	525 ," 	54,523 ",,,,,,,,,,,,,
OW, 	474 , 	474 , 	115 , 	203 , 	863 , 	343 , 	686 , 	958 ," 	1,135 ", 	365 ," 	1,752 "," 	1,010 ", 	597 , 	505 , 	509 , 	226 , 	162 , 	205 , 	299 , 	209 , 	252 , 	78 , 	100 , 	386 , 	494 ," 	17,990 "," 	11,521 "," 	11,660 "," 	8,735 "," 	4,713 "," 	3,249 ", 	857 , 	734 , 	653 , 	180 , 	219 , 	495 , 	49 , 	257 , 	212 , 	356 ," 	2,044 ", 	380 , 	141 , 	170 , 	132 , 	120 , 	168 , 	133 , 	247 ," 	77,815 ",,,,,,,,,,,,,
EM," 	5,712 "," 	10,522 "," 	6,684 "," 	7,679 "," 	13,543 "," 	7,057 "," 	11,979 "," 	14,897 "," 	14,298 "," 	9,278 "," 	9,506 "," 	4,970 "," 	9,000 "," 	7,592 "," 	4,754 "," 	3,861 "," 	6,119 "," 	7,799 "," 	8,023 "," 	12,296 "," 	12,845 "," 	9,512 "," 	8,351 "," 	12,835 "," 	20,577 "," 	3,575 ", 	748 ," 	4,242 "," 	4,616 "," 	12,451 "," 	17,334 "," 	11,316 "," 	11,942 "," 	13,107 "," 	4,954 "," 	5,305 "," 	19,493 "," 	2,347 "," 	5,792 "," 	4,279 "," 	3,733 "," 	7,134 "," 	6,744 "," 	7,346 "," 	1,591 "," 	2,884 "," 	3,801 "," 	4,395 "," 	1,006 "," 	6,011 "," 	405,835 ",,,,,,,,,,,,,
MT," 	4,633 "," 	8,058 "," 	4,808 "," 	5,255 "," 	9,610 "," 	5,104 "," 	9,109 "," 	11,119 "," 	9,930 "," 	7,256 "," 	7,955 "," 	3,918 "," 	7,181 "," 	6,684 "," 	3,505 "," 	3,162 "," 	3,858 "," 	4,501 "," 	5,928 "," 	7,963 "," 	7,846 "," 	5,755 "," 	4,454 "," 	8,111 "," 	13,586 ", 	877 ," 	1,715 "," 	1,116 "," 	3,343 "," 	10,001 "," 	16,127 "," 	11,239 "," 	15,252 "," 	14,799 "," 	5,289 "," 	3,770 "," 	9,714 "," 	1,529 "," 	4,802 "," 	4,239 "," 	4,152 "," 	7,887 "," 	6,395 "," 	3,823 "," 	1,021 "," 	2,007 "," 	3,042 "," 	2,932 ", 	813 ," 	4,455 "," 	309,628 ",,,,,,,,,,,,,
PL," 	5,495 "," 	8,736 "," 	3,443 "," 	3,091 "," 	8,414 "," 	3,682 "," 	7,180 "," 	8,081 "," 	9,338 "," 	5,986 "," 	8,219 "," 	5,204 "," 	6,117 "," 	5,870 "," 	2,684 "," 	2,106 "," 	2,687 "," 	2,571 "," 	4,600 "," 	3,883 "," 	4,342 "," 	2,020 "," 	1,811 "," 	4,159 "," 	11,535 "," 	4,997 "," 	1,289 "," 	2,975 "," 	2,476 "," 	13,656 "," 	16,670 "," 	10,906 "," 	19,252 "," 	14,661 "," 	4,857 "," 	2,373 "," 	6,554 "," 	1,188 "," 	4,954 "," 	4,262 "," 	4,011 "," 	23,080 "," 	5,197 "," 	2,099 "," 	1,525 "," 	1,216 "," 	1,782 "," 	1,952 "," 	1,050 "," 	3,751 "," 	287,987 ",,,,,,,,,,,,,
CC," 	3,785 "," 	6,165 "," 	2,812 "," 	3,579 "," 	5,253 "," 	3,765 "," 	6,531 "," 	7,260 "," 	6,642 "," 	5,114 "," 	7,792 "," 	3,535 "," 	4,613 "," 	3,670 "," 	2,192 "," 	1,846 "," 	2,151 "," 	2,069 "," 	3,773 "," 	3,329 "," 	3,394 "," 	1,806 "," 	1,788 "," 	4,270 "," 	9,052 "," 	4,359 "," 	2,744 "," 	2,402 "," 	1,556 "," 	6,364 "," 	8,652 "," 	6,345 "," 	9,580 "," 	9,174 "," 	3,902 "," 	2,290 "," 	4,880 "," 	1,154 "," 	2,701 "," 	3,223 "," 	3,289 "," 	6,663 "," 	4,773 "," 	1,748 ", 	611 ," 	1,051 "," 	1,214 "," 	1,406 ", 	665 ," 	3,206 "," 	200,138 ",,,,,,,,,,,,,
16," 	2,174 "," 	2,842 "," 	1,375 "," 	1,966 "," 	3,552 "," 	2,108 "," 	4,350 "," 	5,004 "," 	4,203 "," 	2,684 "," 	3,414 "," 	1,548 "," 	1,817 "," 	1,473 ", 	879 , 	655 , 	779 , 	743 ," 	1,360 "," 	1,179 "," 	1,345 ", 	645 , 	692 ," 	2,254 "," 	5,087 "," 	12,113 "," 	9,896 "," 	14,923 "," 	7,135 ", 	812 ," 	2,631 "," 	4,664 "," 	6,257 "," 	6,238 "," 	2,591 ", 	730 ," 	1,648 ", 	458 ," 	1,456 "," 	1,820 "," 	2,064 "," 	4,864 "," 	3,069 ", 	742 , 	323 , 	537 , 	407 , 	671 , 	338 ," 	1,245 "," 	141,760 ",,,,,,,,,,,,,
24," 	2,553 "," 	2,469 ", 	901 ," 	1,130 "," 	2,666 "," 	1,368 "," 	2,912 "," 	3,262 "," 	2,904 "," 	1,866 "," 	2,639 "," 	1,561 "," 	1,358 "," 	1,019 ", 	595 , 	643 , 	436 , 	435 , 	926 , 	706 , 	744 , 	468 , 	393 ," 	1,371 "," 	3,478 "," 	15,391 "," 	13,474 "," 	19,585 "," 	9,660 "," 	2,472 ", 	668 ," 	4,006 "," 	4,330 "," 	4,876 "," 	2,163 ", 	447 ," 	1,000 ", 	417 ," 	1,165 "," 	1,554 "," 	1,895 "," 	3,157 "," 	2,510 ", 	412 , 	399 , 	291 , 	303 , 	411 , 	282 , 	933 ," 	130,604 ",,,,,,,,,,,,,
GP, 	668 , 	774 , 	359 , 	593 ," 	1,490 ", 	532 ," 	1,038 "," 	1,429 "," 	1,554 ", 	727 , 	890 , 	534 , 	491 , 	421 , 	270 , 	145 , 	182 , 	193 , 	472 , 	371 , 	394 , 	253 , 	204 , 	685 , 	924 ," 	10,698 "," 	9,378 "," 	11,838 "," 	6,206 "," 	4,627 "," 	3,814 ", 	335 ," 	1,028 "," 	1,261 ", 	963 , 	169 , 	566 , 	90 , 	431 , 	717 , 	956 ," 	2,256 "," 	1,608 ", 	230 , 	207 , 	145 , 	148 , 	171 , 	113 , 	548 ," 	74,096 ",,,,,,,,,,,,,
BP, 	592 , 	796 , 	239 , 	224 , 	916 , 	303 , 	616 , 	974 ," 	1,488 ", 	616 , 	885 , 	542 , 	612 , 	520 , 	223 , 	168 , 	197 , 	176 , 	395 , 	251 , 	334 , 	156 , 	98 , 	306 , 	801 ," 	10,019 "," 	10,256 "," 	21,565 "," 	8,592 "," 	5,047 "," 	4,203 "," 	1,005 ", 	324 ," 	1,073 "," 	1,303 ", 	190 , 	486 , 	156 , 	442 , 	890 ," 	1,407 "," 	1,769 "," 	1,634 ", 	234 , 	122 , 	115 , 	191 , 	193 , 	135 , 	407 ," 	84,186 ",,,,,,,,,,,,,
