Exit stations,Entry stations->,,SATURDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	5 , 	13 , 	14 , 	12 , 	116 , 	13 , 	29 , 	36 , 	44 , 	7 , 	22 , 	53 , 	9 , 	8 , 	6 , 	2 , 	5 , 	8 , 	112 , 	101 , 	149 , 	12 , 	36 , 	112 , 	5 , 	279 , 	151 , 	269 , 	153 , 	50 , 	29 , 	11 , 	11 , 	17 , 	4 , 	2 , 	4 , 	21 , 	39 , 	6 , 	3 , 	76 , 	13 , 	2 ," 	2,062 ",,,CM line," 	34,133 "," 	5,880 "," 	6,372 ",,,,,
OR, 	8 , 	7 , 	8 , 	11 , 	105 , 	9 , 	24 , 	26 , 	38 , 	5 , 	17 , 	46 , 	3 , 	3 , 	5 , 	2 , 	3 , 	4 , 	27 , 	22 , 	32 , 	38 , 	6 , 	64 , 	5 , 	216 , 	119 , 	233 , 	123 , 	44 , 	28 , 	12 , 	5 , 	12 , 	4 , 	1 , 	1 , 	4 , 	17 , 	2 , 	3 , 	52 , 	10 , 	1 ," 	1,399 ",,,RM line," 	18,237 "," 	6,322 "," 	5,489 "," 	5,989 ",,,,
RR, 	20 , 	21 , 	38 , 	28 , 	75 , 	17 , 	62 , 	106 , 	104 , 	23 , 	42 , 	86 , 	17 , 	10 , 	14 , 	3 , 	6 , 	23 , 	68 , 	79 , 	116 , 	117 , 	73 , 	21 , 	28 , 	463 , 	298 , 	569 , 	366 , 	205 , 	141 , 	38 , 	21 , 	19 , 	7 , 	6 , 	8 , 	16 , 	35 , 	5 , 	9 , 	100 , 	27 , 	4 ," 	3,529 ",,,WP line," 	16,346 "," 	2,853 "," 	3,074 "," 	2,769 "," 	4,027 ",,,
OW, 	20 , 	32 , 	16 , 	18 , 	88 , 	42 , 	57 , 	53 , 	76 , 	24 , 	96 , 	109 , 	30 , 	33 , 	24 , 	8 , 	10 , 	16 , 	11 , 	7 , 	11 , 	4 , 	3 , 	32 , 	14 , 	592 , 	469 , 	967 , 	491 , 	276 , 	162 , 	37 , 	43 , 	37 , 	9 , 	9 , 	18 , 	2 , 	28 , 	7 , 	16 , 	53 , 	21 , 	9 ," 	4,072 ",,,FT/ED line," 	22,325 "," 	6,813 "," 	4,599 "," 	6,871 "," 	2,848 "," 	9,811 ",,
EM, 	181 , 	440 , 	236 , 	401 ," 	1,153 ", 	345 , 	518 , 	521 , 	553 , 	430 , 	485 , 	421 , 	264 , 	251 , 	183 , 	109 , 	195 , 	416 , 	306 , 	423 , 	586 , 	328 , 	264 , 	558 , 	716 , 	89 , 	49 , 	370 , 	213 , 	569 , 	719 , 	397 , 	582 , 	391 , 	141 , 	195 , 	907 , 	131 , 	283 , 	115 , 	145 , 	593 , 	368 , 	281 ," 	16,814 ",,,SFIA," 	11,815 "," 	1,084 "," 	4,955 "," 	1,511 "," 	1,668 "," 	1,205 "," 	1,050 "," 	211,288 "
MT, 	142 , 	324 , 	169 , 	243 , 	625 , 	214 , 	341 , 	376 , 	397 , 	336 , 	384 , 	256 , 	198 , 	226 , 	114 , 	97 , 	158 , 	256 , 	179 , 	241 , 	277 , 	166 , 	128 , 	339 , 	551 , 	47 , 	51 , 	68 , 	102 , 	502 , 	636 , 	480 ," 	1,216 ", 	491 , 	154 , 	126 , 	318 , 	83 , 	170 , 	119 , 	125 , 	447 , 	239 , 	141 ," 	12,245 ",,,,,,,,,,,
PL, 	265 , 	656 , 	315 , 	384 ," 	1,247 ", 	347 , 	585 , 	569 , 	658 , 	537 , 	692 , 	509 , 	381 , 	411 , 	221 , 	167 , 	252 , 	526 , 	300 , 	341 , 	439 , 	257 , 	216 , 	531 , 	955 , 	396 , 	82 , 	145 , 	266 ," 	1,539 "," 	1,760 "," 	1,094 "," 	2,053 "," 	1,359 ", 	408 , 	234 , 	648 , 	148 , 	347 , 	312 , 	339 ," 	1,765 ", 	671 , 	230 ," 	25,552 ",,,,,,,,,,,
CC, 	111 , 	252 , 	149 , 	243 , 	591 , 	269 , 	391 , 	442 , 	358 , 	249 , 	394 , 	228 , 	169 , 	135 , 	88 , 	66 , 	82 , 	171 , 	125 , 	140 , 	210 , 	136 , 	116 , 	328 , 	514 , 	191 , 	86 , 	241 , 	68 , 	563 , 	745 , 	398 , 	565 , 	415 , 	166 , 	96 , 	239 , 	65 , 	132 , 	119 , 	181 , 	616 , 	324 , 	91 ," 	11,249 ",,,,,,,,,,,
16, 	90 , 	114 , 	59 , 	155 , 	407 , 	219 , 	323 , 	308 , 	215 , 	179 , 	202 , 	117 , 	68 , 	64 , 	46 , 	29 , 	34 , 	84 , 	52 , 	68 , 	74 , 	45 , 	41 , 	217 , 	293 , 	532 , 	446 ," 	1,684 ", 	639 , 	48 , 	283 , 	350 , 	542 , 	303 , 	114 , 	44 , 	86 , 	15 , 	48 , 	82 , 	131 , 	250 , 	235 , 	26 ," 	9,355 ",,,,,,,,,,,
24, 	108 , 	117 , 	60 , 	112 , 	273 , 	141 , 	221 , 	209 , 	162 , 	110 , 	181 , 	101 , 	53 , 	58 , 	37 , 	27 , 	29 , 	45 , 	41 , 	41 , 	57 , 	31 , 	27 , 	146 , 	191 , 	616 , 	499 ," 	1,985 ", 	851 , 	264 , 	51 , 	268 , 	525 , 	292 , 	123 , 	31 , 	65 , 	15 , 	63 , 	87 , 	126 , 	181 , 	184 , 	23 ," 	8,818 ",,,,,,,,,,,
