Exit stations,Entry stations->,,SUNDAY,,,Sep 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	5 , 	9 , 	9 , 	17 , 	35 , 	10 , 	23 , 	16 , 	21 , 	11 , 	14 , 	86 , 	3 , 	5 , 	2 , 	3 , 	5 , 	10 , 	85 , 	59 , 	63 , 	8 , 	21 , 	67 , 	4 , 	194 , 	103 , 	180 , 	136 , 	29 , 	20 , 	15 , 	9 , 	11 , 	3 , 	1 , 	4 , 	16 , 	29 , 	2 , 	4 , 	79 , 	9 , 	0 ," 	1,428 ",,,CM line," 	23,993 "," 	4,566 "," 	4,392 ",,,,,
OR, 	5 , 	4 , 	8 , 	9 , 	31 , 	5 , 	18 , 	18 , 	20 , 	9 , 	9 , 	66 , 	4 , 	4 , 	2 , 	1 , 	3 , 	12 , 	23 , 	19 , 	22 , 	18 , 	6 , 	35 , 	2 , 	140 , 	83 , 	169 , 	114 , 	25 , 	18 , 	13 , 	8 , 	9 , 	1 , 	2 , 	3 , 	2 , 	13 , 	2 , 	3 , 	72 , 	6 , 	-   ," 	1,030 ",,,RM line," 	11,741 "," 	4,484 "," 	3,458 "," 	3,167 ",,,,
RR, 	10 , 	13 , 	26 , 	16 , 	33 , 	13 , 	42 , 	74 , 	75 , 	32 , 	29 , 	110 , 	11 , 	6 , 	9 , 	4 , 	4 , 	20 , 	33 , 	46 , 	63 , 	65 , 	40 , 	14 , 	13 , 	337 , 	202 , 	425 , 	343 , 	157 , 	96 , 	30 , 	20 , 	17 , 	4 , 	4 , 	8 , 	10 , 	26 , 	3 , 	5 , 	155 , 	25 , 	2 ," 	2,666 ",,,WP line," 	11,646 "," 	1,965 "," 	2,307 "," 	1,405 "," 	2,624 ",,,
OW, 	15 , 	24 , 	11 , 	9 , 	58 , 	24 , 	35 , 	33 , 	60 , 	29 , 	69 , 	103 , 	21 , 	20 , 	12 , 	6 , 	6 , 	9 , 	8 , 	2 , 	12 , 	2 , 	2 , 	14 , 	11 , 	474 , 	304 , 	660 , 	478 , 	222 , 	131 , 	31 , 	45 , 	22 , 	6 , 	7 , 	14 , 	3 , 	23 , 	5 , 	11 , 	63 , 	13 , 	5 ," 	3,109 ",,,FT/ED line," 	16,651 "," 	5,555 "," 	3,756 "," 	5,016 "," 	3,046 "," 	10,568 ",,
EM, 	143 , 	295 , 	188 , 	285 , 	588 , 	245 , 	355 , 	351 , 	362 , 	329 , 	314 , 	410 , 	187 , 	189 , 	106 , 	82 , 	139 , 	294 , 	212 , 	298 , 	363 , 	226 , 	176 , 	384 , 	549 , 	75 , 	26 , 	212 , 	132 , 	335 , 	434 , 	255 , 	372 , 	269 , 	88 , 	151 , 	643 , 	114 , 	209 , 	74 , 	93 , 	475 , 	206 , 	202 ," 	11,431 ",,,SFIA," 	10,004 "," 	1,151 "," 	4,401 "," 	1,423 "," 	1,818 "," 	1,186 "," 	1,111 "," 	158,855 "
MT, 	88 , 	183 , 	112 , 	161 , 	301 , 	145 , 	203 , 	238 , 	293 , 	232 , 	234 , 	235 , 	130 , 	151 , 	61 , 	56 , 	89 , 	162 , 	107 , 	133 , 	169 , 	101 , 	73 , 	207 , 	340 , 	27 , 	34 , 	46 , 	71 , 	328 , 	376 , 	277 , 	729 , 	272 , 	90 , 	76 , 	207 , 	61 , 	111 , 	70 , 	61 , 	412 , 	128 , 	76 ," 	7,650 ",,,,,,,,,,,
PL, 	187 , 	403 , 	202 , 	230 , 	639 , 	237 , 	446 , 	413 , 	493 , 	427 , 	447 , 	494 , 	275 , 	298 , 	143 , 	98 , 	169 , 	348 , 	175 , 	212 , 	279 , 	153 , 	126 , 	335 , 	673 , 	216 , 	47 , 	119 , 	203 ," 	1,109 "," 	1,184 ", 	670 ," 	1,368 ", 	880 , 	288 , 	149 , 	403 , 	81 , 	237 , 	199 , 	242 ," 	1,496 ", 	495 , 	171 ," 	17,456 ",,,,,,,,,,,
CC, 	92 , 	197 , 	130 , 	221 , 	375 , 	254 , 	382 , 	367 , 	287 , 	270 , 	346 , 	238 , 	151 , 	130 , 	67 , 	49 , 	80 , 	193 , 	126 , 	131 , 	204 , 	130 , 	105 , 	301 , 	496 , 	125 , 	55 , 	173 , 	68 , 	473 , 	596 , 	362 , 	569 , 	378 , 	140 , 	84 , 	225 , 	48 , 	131 , 	110 , 	146 , 	696 , 	324 , 	67 ," 	10,088 ",,,,,,,,,,,
16, 	73 , 	81 , 	49 , 	93 , 	207 , 	149 , 	221 , 	215 , 	157 , 	155 , 	137 , 	110 , 	38 , 	46 , 	30 , 	29 , 	24 , 	55 , 	41 , 	35 , 	53 , 	28 , 	24 , 	135 , 	221 , 	354 , 	289 ," 	1,146 ", 	477 , 	44 , 	171 , 	240 , 	380 , 	205 , 	80 , 	20 , 	60 , 	13 , 	41 , 	52 , 	104 , 	341 , 	176 , 	27 ," 	6,619 ",,,,,,,,,,,
24, 	70 , 	64 , 	36 , 	69 , 	139 , 	95 , 	168 , 	149 , 	112 , 	110 , 	127 , 	121 , 	36 , 	33 , 	24 , 	20 , 	18 , 	33 , 	35 , 	23 , 	31 , 	19 , 	19 , 	94 , 	135 , 	401 , 	313 ," 	1,351 ", 	646 , 	187 , 	49 , 	172 , 	331 , 	182 , 	79 , 	20 , 	33 , 	13 , 	42 , 	57 , 	101 , 	303 , 	127 , 	12 ," 	6,192 ",,,,,,,,,,,
