Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
OR, 	12 , 	15 , 	9 , 	7 , 	54 , 	13 , 	31 , 	76 , 	141 , 	10 , 	32 , 	35 , 	8 , 	2 , 	5 , 	5 , 	3 , 	12 , 	78 , 	56 , 	54 , 	23 , 	5 , 	61 , 	4 , 	736 , 	659 , 	224 , 	182 , 	27 , 	23 , 	14 , 	11 , 	22 , 	19 , 	1 , 	1 , 	9 , 	17 ," 	2,696 ",,,FT/ED line," 	43,457 "," 	13,996 "," 	5,992 "," 	8,476 "," 	3,272 "," 	14,717 "," 	333,794 ",
RR, 	77 , 	45 , 	36 , 	50 , 	37 , 	12 , 	36 , 	79 , 	142 , 	21 , 	77 , 	86 , 	20 , 	16 , 	13 , 	4 , 	9 , 	20 , 	131 , 	71 , 	85 , 	40 , 	38 , 	5 , 	14 ," 	1,112 "," 	1,177 ", 	575 , 	500 , 	86 , 	56 , 	30 , 	26 , 	50 , 	27 , 	4 , 	15 , 	21 , 	38 ," 	4,878 ",,,,,,,,,,,
OW, 	54 , 	48 , 	8 , 	15 , 	58 , 	39 , 	54 , 	41 , 	73 , 	18 , 	119 , 	104 , 	34 , 	43 , 	30 , 	20 , 	22 , 	18 , 	14 , 	12 , 	20 , 	5 , 	4 , 	14 , 	5 ," 	1,381 "," 	1,329 ", 	588 , 	422 , 	108 , 	90 , 	28 , 	43 , 	30 , 	26 , 	5 , 	31 , 	3 , 	29 ," 	4,985 ",,,,,,,,,,,
EM, 	319 ," 	1,054 ", 	574 , 	585 , 	910 , 	647 , 	893 , 	994 ," 	1,335 ", 	582 , 	813 , 	634 , 	746 , 	708 , 	525 , 	403 , 	601 , 	880 , 	992 ," 	1,916 "," 	1,314 ", 	846 , 	737 ," 	1,004 "," 	1,438 ", 	132 , 	323 , 	686 , 	439 ," 	1,351 "," 	1,825 "," 	1,360 "," 	1,708 "," 	1,330 "," 	1,359 ", 	490 ," 	1,577 ", 	474 , 	724 ," 	35,230 ",,,,,,,,,,,
MT, 	494 ," 	1,182 ", 	675 , 	619 , 	684 , 	597 , 	838 , 	720 ," 	1,078 ", 	620 , 	962 , 	633 , 	771 , 	818 , 	428 , 	385 , 	531 , 	818 , 	978 ," 	1,469 "," 	1,050 ", 	624 , 	535 , 	956 ," 	1,361 ", 	429 , 	400 , 	476 ," 	1,014 "," 	1,361 "," 	2,342 "," 	1,775 "," 	2,688 "," 	1,875 "," 	1,719 ", 	440 ," 	1,211 ", 	420 , 	736 ," 	36,710 ",,,,,,,,,,,
PL, 	332 , 	752 , 	346 , 	356 , 	858 , 	400 , 	618 , 	573 , 	934 , 	443 , 	770 , 	588 , 	405 , 	371 , 	328 , 	241 , 	301 , 	508 , 	466 , 	571 , 	489 , 	258 , 	219 , 	491 , 	645 , 	755 , 	410 , 	155 , 	399 ," 	1,758 "," 	2,337 "," 	1,420 "," 	2,801 "," 	1,266 "," 	1,024 ", 	206 , 	700 , 	207 , 	393 ," 	26,094 ",,,,,,,,,,,
CC, 	241 , 	571 , 	250 , 	329 , 	531 , 	340 , 	518 , 	479 , 	575 , 	340 , 	529 , 	344 , 	306 , 	320 , 	221 , 	184 , 	200 , 	341 , 	432 , 	473 , 	345 , 	174 , 	166 , 	412 , 	441 , 	431 , 	451 , 	351 , 	124 , 	990 ," 	1,483 ", 	889 ," 	2,060 ", 	753 , 	793 , 	160 , 	390 , 	173 , 	339 ," 	18,451 ",,,,,,,,,,,
16, 	104 , 	116 , 	50 , 	85 , 	202 , 	113 , 	173 , 	143 , 	188 , 	81 , 	177 , 	110 , 	56 , 	56 , 	56 , 	37 , 	35 , 	63 , 	72 , 	60 , 	50 , 	23 , 	24 , 	112 , 	104 , 	934 ," 	1,293 "," 	1,734 ", 	940 , 	60 , 	451 , 	360 , 	842 , 	244 , 	191 , 	18 , 	75 , 	23 , 	81 ," 	9,536 ",,,,,,,,,,,
24, 	134 , 	137 , 	36 , 	64 , 	212 , 	88 , 	119 , 	146 , 	204 , 	82 , 	204 , 	139 , 	60 , 	64 , 	44 , 	43 , 	36 , 	43 , 	77 , 	57 , 	57 , 	27 , 	24 , 	79 , 	94 ," 	1,531 "," 	2,066 "," 	2,366 "," 	1,330 ", 	451 , 	73 , 	299 , 	812 , 	309 , 	249 , 	16 , 	57 , 	21 , 	86 ," 	11,935 ",,,,,,,,,,,
GP, 	27 , 	61 , 	22 , 	26 , 	107 , 	28 , 	59 , 	104 , 	148 , 	28 , 	66 , 	61 , 	30 , 	31 , 	32 , 	15 , 	18 , 	29 , 	43 , 	45 , 	43 , 	16 , 	14 , 	40 , 	35 ," 	1,257 "," 	1,568 "," 	1,581 ", 	786 , 	336 , 	306 , 	44 , 	175 , 	70 , 	95 , 	9 , 	58 , 	13 , 	37 ," 	7,460 ",,,,,,,,,,,
