Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Apr 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	5 , 	7 , 	5 , 	7 , 	32 , 	6 , 	13 , 	7 , 	28 , 	7 , 	29 , 	34 , 	1 , 	1 , 	3 , 	1 , 	2 , 	2 , 	39 , 	17 , 	25 , 	13 , 	2 , 	39 , 	3 , 	151 , 	82 , 	200 , 	83 , 	10 , 	11 , 	11 , 	7 , 	5 , 	9 , 	2 , 	1 , 	4 , 	8 , 	911 ,,,FT/ED line," 	16,694 "," 	5,260 "," 	3,566 "," 	5,848 "," 	1,891 "," 	8,757 "," 	143,954 "
RR, 	52 , 	27 , 	23 , 	23 , 	31 , 	12 , 	21 , 	31 , 	59 , 	9 , 	42 , 	48 , 	14 , 	9 , 	6 , 	2 , 	3 , 	8 , 	49 , 	36 , 	49 , 	26 , 	23 , 	6 , 	7 , 	286 , 	266 , 	513 , 	226 , 	55 , 	53 , 	18 , 	6 , 	13 , 	18 , 	3 , 	6 , 	5 , 	21 ," 	2,108 ",,,,,,,,,,
OW, 	44 , 	34 , 	3 , 	8 , 	41 , 	24 , 	45 , 	26 , 	32 , 	15 , 	82 , 	69 , 	23 , 	37 , 	12 , 	5 , 	7 , 	10 , 	8 , 	3 , 	9 , 	3 , 	1 , 	6 , 	1 , 	267 , 	225 , 	592 , 	156 , 	62 , 	59 , 	13 , 	22 , 	6 , 	9 , 	3 , 	12 , 	2 , 	11 ," 	1,988 ",,,,,,,,,,
EM, 	83 , 	278 , 	150 , 	206 , 	474 , 	176 , 	262 , 	170 , 	357 , 	157 , 	255 , 	222 , 	170 , 	152 , 	112 , 	72 , 	127 , 	269 , 	166 , 	266 , 	279 , 	194 , 	154 , 	308 , 	292 , 	55 , 	58 , 	230 , 	116 , 	425 , 	484 , 	297 , 	317 , 	215 , 	179 , 	128 , 	590 , 	84 , 	169 ," 	8,699 ",,,,,,,,,,
MT, 	191 , 	275 , 	190 , 	194 , 	353 , 	145 , 	223 , 	189 , 	382 , 	195 , 	280 , 	168 , 	173 , 	169 , 	63 , 	48 , 	102 , 	214 , 	136 , 	174 , 	181 , 	87 , 	89 , 	253 , 	262 , 	178 , 	194 , 	196 , 	497 , 	422 , 	585 , 	465 ," 	1,006 ", 	351 , 	232 , 	83 , 	295 , 	49 , 	126 ," 	9,413 ",,,,,,,,,,
PL, 	223 , 	535 , 	283 , 	319 ," 	1,035 ", 	330 , 	544 , 	360 , 	668 , 	409 , 	610 , 	411 , 	285 , 	258 , 	175 , 	138 , 	233 , 	459 , 	269 , 	320 , 	397 , 	198 , 	220 , 	523 , 	670 , 	213 , 	100 , 	133 , 	240 ," 	1,543 "," 	1,978 "," 	1,173 "," 	1,877 "," 	1,012 ", 	693 , 	165 , 	589 , 	87 , 	233 ," 	19,909 ",,,,,,,,,,
CC, 	81 , 	189 , 	86 , 	165 , 	388 , 	152 , 	243 , 	184 , 	240 , 	137 , 	232 , 	172 , 	116 , 	114 , 	71 , 	48 , 	69 , 	179 , 	121 , 	125 , 	160 , 	87 , 	73 , 	198 , 	173 , 	79 , 	78 , 	235 , 	100 , 	664 , 	963 , 	373 , 	755 , 	387 , 	314 , 	61 , 	235 , 	58 , 	91 ," 	8,198 ",,,,,,,,,,
16, 	67 , 	72 , 	31 , 	70 , 	148 , 	95 , 	118 , 	68 , 	91 , 	63 , 	143 , 	91 , 	29 , 	29 , 	16 , 	16 , 	16 , 	32 , 	35 , 	21 , 	24 , 	18 , 	12 , 	70 , 	71 , 	287 , 	375 ," 	1,449 ", 	665 , 	62 , 	360 , 	227 , 	426 , 	195 , 	121 , 	10 , 	38 , 	6 , 	30 ," 	5,696 ",,,,,,,,,,
24, 	132 , 	110 , 	36 , 	57 , 	115 , 	73 , 	92 , 	69 , 	97 , 	57 , 	201 , 	111 , 	40 , 	34 , 	35 , 	28 , 	25 , 	25 , 	65 , 	27 , 	28 , 	14 , 	10 , 	70 , 	57 , 	396 , 	517 ," 	1,991 ", 	879 , 	355 , 	84 , 	210 , 	469 , 	245 , 	206 , 	9 , 	28 , 	7 , 	64 ," 	7,067 ",,,,,,,,,,
GP, 	18 , 	25 , 	12 , 	14 , 	67 , 	17 , 	23 , 	19 , 	50 , 	17 , 	39 , 	70 , 	14 , 	13 , 	8 , 	4 , 	11 , 	11 , 	24 , 	18 , 	20 , 	7 , 	10 , 	29 , 	18 , 	205 , 	303 ," 	1,296 ", 	314 , 	197 , 	192 , 	28 , 	82 , 	37 , 	56 , 	6 , 	14 , 	4 , 	25 ," 	3,315 ",,,,,,,,,,
