Exit stations,Entry stations->,,SUNDAY,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
BP, 	26 , 	28 , 	11 , 	10 , 	40 , 	12 , 	24 , 	30 , 	47 , 	21 , 	23 , 	25 , 	13 , 	16 , 	9 , 	5 , 	6 , 	8 , 	12 , 	11 , 	15 , 	5 , 	5 , 	12 , 	58 , 	253 , 	243 ," 	1,137 ", 	358 , 	196 , 	173 , 	29 , 	49 , 	38 , 	33 , 	9 , 	17 , 	4 , 	15 , 	18 , 	62 , 	126 , 	45 , 	5 , 	10 , 	7 , 	-   , 	-   , 	2 , 	9 ," 	3,309 ",,,,,,,,,,,
DC, 	25 , 	23 , 	9 , 	11 , 	38 , 	13 , 	22 , 	23 , 	29 , 	17 , 	23 , 	37 , 	18 , 	14 , 	11 , 	5 , 	8 , 	14 , 	10 , 	17 , 	21 , 	8 , 	6 , 	13 , 	75 , 	255 , 	205 , 	921 , 	579 , 	228 , 	158 , 	33 , 	37 , 	34 , 	17 , 	6 , 	32 , 	5 , 	14 , 	17 , 	71 , 	212 , 	57 , 	7 , 	16 , 	10 , 	-   , 	-   , 	4 , 	10 ," 	3,417 ",,,,,,,,,,,
CM, 	8 , 	13 , 	4 , 	4 , 	7 , 	4 , 	9 , 	8 , 	13 , 	5 , 	5 , 	9 , 	4 , 	5 , 	3 , 	1 , 	2 , 	2 , 	8 , 	8 , 	5 , 	2 , 	2 , 	4 , 	20 , 	77 , 	70 , 	289 , 	185 , 	65 , 	54 , 	20 , 	30 , 	19 , 	9 , 	1 , 	4 , 	1 , 	10 , 	4 , 	18 , 	122 , 	15 , 	1 , 	2 , 	2 , 	-   , 	-   , 	3 , 	7 ," 	1,163 ",,,,,,,,,,,
CV, 	3 , 	2 , 	2 , 	2 , 	14 , 	4 , 	9 , 	8 , 	9 , 	47 , 	23 , 	93 , 	16 , 	26 , 	6 , 	7 , 	6 , 	5 , 	1 , 	2 , 	1 , 	0 , 	2 , 	5 , 	17 , 	109 , 	51 , 	139 , 	123 , 	33 , 	11 , 	8 , 	5 , 	8 , 	2 , 	7 , 	37 , 	0 , 	0 , 	2 , 	3 , 	17 , 	1 , 	40 , 	9 , 	7 , 	-   , 	-   , 	0 , 	1 , 	923 ,,,,,,,,,,,
ED, 	6 , 	10 , 	7 , 	7 , 	57 , 	8 , 	19 , 	20 , 	31 , 	61 , 	53 , 	271 , 	35 , 	48 , 	20 , 	14 , 	21 , 	15 , 	5 , 	4 , 	4 , 	1 , 	1 , 	5 , 	30 , 	519 , 	207 , 	471 , 	406 , 	76 , 	31 , 	21 , 	19 , 	23 , 	3 , 	41 , 	54 , 	1 , 	3 , 	5 , 	6 , 	127 , 	5 , 	21 , 	54 , 	26 , 	-   , 	-   , 	1 , 	2 ," 	2,874 ",,,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	8 , 	0 , 	9 , 	5 , 	6 , 	0 , 	4 , 	19 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	13 , 	6 , 	12 , 	4 , 	1 , 	5 , 	5 , 	62 , 	24 , 	77 , 	97 , 	10 , 	7 , 	4 , 	5 , 	6 , 	3 , 	0 , 	1 , 	5 , 	8 , 	1 , 	2 , 	30 , 	2 , 	1 , 	7 , 	1 , 	-   , 	-   , 	3 , 	3 , 	465 ,,,,,,,,,,,
WP, 	9 , 	9 , 	3 , 	3 , 	11 , 	4 , 	24 , 	13 , 	14 , 	5 , 	11 , 	24 , 	6 , 	5 , 	5 , 	5 , 	2 , 	3 , 	65 , 	20 , 	41 , 	12 , 	4 , 	11 , 	6 , 	102 , 	57 , 	173 , 	139 , 	22 , 	23 , 	11 , 	12 , 	13 , 	8 , 	0 , 	3 , 	9 , 	16 , 	4 , 	7 , 	68 , 	4 , 	0 , 	11 , 	4 , 	-   , 	-   , 	6 , 	11 ," 	1,021 ",,,,,,,,,,,
SS, 	6 , 	7 , 	4 , 	2 , 	9 , 	1 , 	7 , 	6 , 	10 , 	3 , 	5 , 	10 , 	3 , 	4 , 	2 , 	3 , 	1 , 	1 , 	6 , 	5 , 	5 , 	2 , 	3 , 	4 , 	17 , 	64 , 	52 , 	222 , 	143 , 	54 , 	45 , 	15 , 	17 , 	17 , 	5 , 	2 , 	4 , 	1 , 	6 , 	8 , 	17 , 	57 , 	13 , 	1 , 	3 , 	3 , 	-   , 	-   , 	3 , 	5 , 	881 ,,,,,,,,,,,
SB, 	6 , 	10 , 	4 , 	3 , 	21 , 	3 , 	10 , 	8 , 	15 , 	5 , 	9 , 	12 , 	5 , 	6 , 	3 , 	3 , 	2 , 	1 , 	9 , 	10 , 	8 , 	2 , 	3 , 	4 , 	21 , 	101 , 	74 , 	277 , 	236 , 	109 , 	76 , 	31 , 	66 , 	60 , 	22 , 	2 , 	7 , 	2 , 	7 , 	22 , 	9 , 	60 , 	15 , 	1 , 	4 , 	2 , 	-   , 	-   , 	1 , 	6 ," 	1,374 ",,,,,,,,,,,
SO, 	36 , 	64 , 	42 , 	56 , 	89 , 	35 , 	82 , 	49 , 	71 , 	17 , 	26 , 	23 , 	20 , 	11 , 	10 , 	5 , 	9 , 	11 , 	53 , 	114 , 	117 , 	83 , 	63 , 	93 , 	81 , 	212 , 	220 , 	868 , 	269 , 	127 , 	100 , 	52 , 	65 , 	113 , 	70 , 	8 , 	60 , 	23 , 	50 , 	30 , 	24 , 	44 , 	129 , 	16 , 	17 , 	6 , 	-   , 	-   , 	5 , 	37 ," 	3,802 ",,,,,,,,,,,
MB, 	5 , 	15 , 	6 , 	12 , 	52 , 	12 , 	12 , 	15 , 	24 , 	6 , 	6 , 	11 , 	4 , 	5 , 	3 , 	1 , 	1 , 	1 , 	6 , 	13 , 	10 , 	4 , 	4 , 	14 , 	24 , 	152 , 	96 , 	392 , 	482 , 	156 , 	77 , 	29 , 	44 , 	58 , 	14 , 	1 , 	6 , 	2 , 	6 , 	11 , 	15 , 	301 , 	38 , 	3 , 	3 , 	1 , 	-   , 	-   , 	2 , 	6 ," 	2,160 ",,,,,,,,,,,
WD, 	0 , 	5 , 	1 , 	2 , 	17 , 	4 , 	11 , 	9 , 	11 , 	24 , 	30 , 	116 , 	27 , 	43 , 	11 , 	7 , 	10 , 	10 , 	1 , 	1 , 	3 , 	0 , 	1 , 	3 , 	16 , 	154 , 	73 , 	148 , 	122 , 	27 , 	12 , 	7 , 	4 , 	11 , 	1 , 	36 , 	20 , 	0 , 	1 , 	1 , 	1 , 	43 , 	3 , 	10 , 	26 , 	8 , 	-   , 	-   , 	0 , 	1 ," 	1,071 ",,,,,,,,,,,
OA, 	3 , 	13 , 	15 , 	16 , 	27 , 	11 , 	12 , 	11 , 	15 , 	8 , 	7 , 	28 , 	4 , 	2 , 	3 , 	2 , 	5 , 	8 , 	9 , 	26 , 	17 , 	6 , 	4 , 	8 , 	5 , 	48 , 	33 , 	84 , 	24 , 	13 , 	8 , 	8 , 	3 , 	7 , 	-   , 	3 , 	35 , 	3 , 	7 , 	1 , 	2 , 	19 , 	4 , 	11 , 	3 , 	7 , 	-   , 	-   , 	1 , 	6 , 	593 ,,,,,,,,,,,
WS, 	10 , 	26 , 	11 , 	21 , 	116 , 	22 , 	24 , 	24 , 	32 , 	38 , 	36 , 	146 , 	23 , 	26 , 	33 , 	23 , 	24 , 	30 , 	5 , 	8 , 	9 , 	4 , 	4 , 	9 , 	80 , 	143 , 	84 , 	216 , 	193 , 	50 , 	17 , 	7 , 	8 , 	12 , 	2 , 	5 , 	19 , 	2 , 	4 , 	2 , 	2 , 	15 , 	1 , 	8 , 	16 , 	11 , 	-   , 	-   , 	2 , 	5 ," 	1,605 ",,,,,,,,,,,
