Exit stations,Entry stations->,,TOTAL,,,Jun 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	624 , 	725 , 	688 , 	606 ," 	3,023 ", 	489 ," 	3,682 "," 	6,622 "," 	7,124 ", 	700 , 	970 ," 	1,542 ", 	567 , 	361 , 	337 , 	289 , 	317 , 	352 ," 	5,761 "," 	2,932 ", 	758 ," 	1,487 ", 	943 ," 	3,905 ", 	663 ," 	31,291 "," 	28,786 "," 	13,195 "," 	12,552 "," 	3,590 "," 	1,825 "," 	1,227 "," 	1,026 "," 	1,110 ", 	370 , 	63 , 	143 ," 	1,220 "," 	3,101 ", 	455 , 	495 ," 	5,299 ", 	679 , 	53 ," 	1,118 ", 	372 , 	-   , 	-   ," 	1,154 "," 	2,208 "," 	156,799 ",,,,,,,,,,,,,
LF, 	216 , 	229 , 	217 , 	221 ," 	1,636 ", 	263 ," 	1,388 "," 	3,360 "," 	3,498 ", 	169 , 	346 , 	867 , 	161 , 	95 , 	140 , 	59 , 	58 , 	120 ," 	2,192 "," 	1,233 "," 	1,528 ", 	461 , 	290 ," 	1,689 ", 	191 ," 	19,959 "," 	17,841 "," 	7,259 "," 	7,415 "," 	1,804 ", 	925 , 	535 , 	310 , 	307 , 	100 , 	27 , 	43 , 	273 , 	725 , 	134 , 	223 ," 	3,355 ", 	388 , 	19 , 	603 , 	134 , 	-   , 	-   , 	360 , 	304 ," 	83,670 ",,,,,,,,,,,,,
OR, 	224 , 	297 , 	219 , 	252 ," 	1,259 ", 	225 , 	983 ," 	2,490 "," 	2,821 ", 	216 , 	393 , 	737 , 	165 , 	82 , 	108 , 	53 , 	83 , 	154 , 	808 , 	673 ," 	1,040 ", 	379 , 	481 ," 	1,358 ", 	180 ," 	17,875 "," 	14,641 "," 	6,214 "," 	6,610 "," 	1,557 ", 	871 , 	656 , 	284 , 	326 , 	66 , 	65 , 	46 , 	96 , 	255 , 	161 , 	179 ," 	2,549 ", 	320 , 	21 , 	418 , 	169 , 	-   , 	-   , 	215 , 	261 ," 	69,535 ",,,,,,,,,,,,,
RR, 	619 , 	690 , 	712 , 	374 ," 	1,339 ", 	271 ," 	1,571 "," 	4,344 "," 	4,718 ", 	626 ," 	1,154 "," 	1,264 ", 	613 , 	209 , 	267 , 	143 , 	195 , 	301 ," 	1,896 "," 	2,583 "," 	3,593 "," 	1,658 "," 	1,289 ", 	649 , 	666 ," 	26,428 "," 	24,530 "," 	14,997 "," 	16,595 "," 	6,454 "," 	3,024 "," 	1,467 ", 	868 , 	726 , 	116 , 	149 , 	288 , 	442 , 	791 , 	299 , 	318 ," 	4,529 ", 	703 , 	148 , 	514 , 	307 , 	-   , 	-   , 	377 , 	823 ," 	136,637 ",,,,,,,,,,,,,
OW, 	806 ," 	1,050 ", 	370 , 	409 ," 	1,848 ", 	762 ," 	1,325 "," 	1,735 "," 	2,321 ", 	705 ," 	2,024 "," 	2,220 "," 	1,071 ", 	951 , 	718 , 	376 , 	650 , 	697 , 	495 , 	426 , 	558 , 	193 , 	139 , 	705 , 	845 ," 	42,143 "," 	34,268 "," 	29,435 "," 	25,211 "," 	11,370 "," 	6,435 "," 	1,793 "," 	1,624 "," 	1,519 ", 	381 , 	387 , 	928 , 	187 , 	402 , 	466 , 	696 ," 	3,464 "," 	1,171 ", 	366 , 	304 ," 	1,282 ", 	-   , 	-   , 	191 , 	439 ," 	187,861 ",,,,,,,,,,,,,
EM," 	12,666 "," 	24,612 "," 	16,749 "," 	18,717 "," 	35,175 "," 	22,460 "," 	33,550 "," 	43,418 "," 	39,187 "," 	27,996 "," 	27,970 "," 	16,905 "," 	23,189 "," 	20,111 "," 	14,353 "," 	11,838 "," 	23,544 "," 	33,297 "," 	24,104 "," 	46,094 "," 	37,693 "," 	24,172 "," 	21,250 "," 	31,657 "," 	55,191 "," 	6,736 "," 	3,122 "," 	12,854 "," 	16,975 "," 	29,470 "," 	45,182 "," 	29,706 "," 	37,336 "," 	32,921 "," 	19,361 "," 	15,055 "," 	57,674 "," 	9,287 "," 	14,728 "," 	14,456 "," 	14,274 "," 	11,787 "," 	26,582 "," 	21,840 "," 	3,848 "," 	20,947 ", 	-   , 	-   ," 	3,370 "," 	11,212 "," 	1,144,621 ",,,,,,,,,,,,,
MT," 	12,133 "," 	20,934 "," 	14,682 "," 	15,137 "," 	24,546 "," 	17,924 "," 	27,647 "," 	34,480 "," 	27,426 "," 	24,825 "," 	23,464 "," 	14,375 "," 	19,608 "," 	17,332 "," 	12,927 "," 	9,839 "," 	17,591 "," 	23,537 "," 	18,694 "," 	36,034 "," 	27,509 "," 	16,490 "," 	13,956 "," 	24,116 "," 	40,317 "," 	3,066 "," 	5,343 "," 	4,095 "," 	14,005 "," 	33,168 "," 	52,480 "," 	37,362 "," 	58,368 "," 	43,795 "," 	24,041 "," 	12,260 "," 	39,156 "," 	7,832 "," 	12,478 "," 	17,195 "," 	17,306 "," 	11,496 "," 	33,544 "," 	14,796 "," 	2,524 "," 	17,106 ", 	-   , 	-   ," 	3,007 "," 	7,839 "," 	1,007,785 ",,,,,,,,,,,,,
PL," 	11,173 "," 	17,172 "," 	8,773 "," 	8,125 "," 	17,022 "," 	9,690 "," 	16,511 "," 	19,581 "," 	20,116 "," 	14,905 "," 	18,360 "," 	12,464 "," 	12,818 "," 	11,488 "," 	7,402 "," 	5,631 "," 	7,815 "," 	8,526 "," 	9,521 "," 	13,010 "," 	10,033 "," 	5,880 "," 	4,963 "," 	11,337 "," 	27,933 "," 	16,950 "," 	6,495 "," 	5,420 "," 	8,573 "," 	34,569 "," 	41,942 "," 	27,301 "," 	47,990 "," 	33,293 "," 	13,649 "," 	5,730 "," 	18,208 "," 	4,166 "," 	8,241 "," 	10,356 "," 	10,474 "," 	31,705 "," 	17,218 "," 	6,101 "," 	2,783 "," 	7,067 ", 	-   , 	-   ," 	2,439 "," 	5,754 "," 	676,673 ",,,,,,,,,,,,,
CC," 	8,617 "," 	16,187 "," 	9,746 "," 	10,850 "," 	16,898 "," 	12,210 "," 	20,356 "," 	22,124 "," 	18,667 "," 	15,200 "," 	18,862 "," 	9,995 "," 	11,431 "," 	10,038 "," 	7,200 "," 	5,729 "," 	8,200 "," 	8,619 "," 	10,200 "," 	13,559 "," 	11,068 "," 	6,820 "," 	6,007 "," 	14,935 "," 	26,145 "," 	16,275 "," 	13,710 "," 	8,287 "," 	3,610 "," 	17,303 "," 	24,556 "," 	19,280 "," 	29,749 "," 	23,656 "," 	12,329 "," 	6,387 "," 	17,411 "," 	4,774 "," 	7,607 "," 	9,311 "," 	9,774 "," 	13,514 "," 	19,141 "," 	6,238 "," 	1,415 "," 	7,173 ", 	-   , 	-   ," 	1,923 "," 	5,681 "," 	598,767 ",,,,,,,,,,,,,
16," 	4,246 "," 	5,548 "," 	3,217 "," 	4,591 "," 	8,790 "," 	6,151 "," 	10,464 "," 	11,412 "," 	8,282 "," 	6,407 "," 	8,163 "," 	3,939 "," 	3,963 "," 	3,550 "," 	2,197 "," 	1,869 "," 	2,224 "," 	2,416 "," 	3,098 "," 	3,822 "," 	3,010 "," 	1,596 "," 	1,415 "," 	5,661 "," 	11,959 "," 	29,449 "," 	35,453 "," 	39,957 "," 	19,626 "," 	1,704 "," 	5,221 "," 	8,111 "," 	13,896 "," 	9,271 "," 	4,205 "," 	1,773 "," 	5,024 "," 	1,430 "," 	3,081 "," 	3,520 "," 	3,931 "," 	6,051 "," 	7,376 "," 	1,841 ", 	604 ," 	2,312 ", 	-   , 	-   , 	801 ," 	2,206 "," 	334,833 ",,,,,,,,,,,,,
24," 	4,308 "," 	4,495 "," 	1,629 "," 	2,639 "," 	5,895 "," 	3,060 "," 	5,477 "," 	7,665 "," 	6,742 "," 	3,759 "," 	5,310 "," 	3,477 "," 	2,367 "," 	1,799 "," 	1,409 "," 	1,127 ", 	874 , 	902 ," 	1,780 "," 	1,748 "," 	1,688 ", 	909 , 	877 ," 	2,914 "," 	6,597 "," 	37,953 "," 	44,178 "," 	49,400 "," 	26,023 "," 	5,475 "," 	1,633 "," 	6,869 "," 	11,281 "," 	7,071 "," 	3,209 ", 	725 ," 	2,039 ", 	773 ," 	2,347 "," 	2,827 "," 	3,372 "," 	5,312 "," 	5,804 ", 	796 , 	654 , 	803 , 	-   , 	-   , 	539 ," 	1,108 "," 	299,638 ",,,,,,,,,,,,,
GP," 	1,058 "," 	1,624 ", 	739 , 	919 ," 	3,154 ", 	988 ," 	2,034 "," 	3,577 "," 	3,942 "," 	1,262 "," 	1,665 "," 	1,678 "," 	1,050 ", 	684 , 	668 , 	314 , 	312 , 	352 , 	970 ," 	1,094 "," 	1,013 ", 	436 , 	419 ," 	1,407 "," 	2,004 "," 	25,147 "," 	29,843 "," 	30,781 "," 	16,807 "," 	8,075 "," 	6,842 ", 	781 ," 	2,603 "," 	1,684 "," 	1,378 ", 	353 ," 	1,424 ", 	420 , 	843 , 	884 ," 	1,775 "," 	3,402 "," 	2,971 ", 	502 , 	456 , 	391 , 	-   , 	-   , 	268 , 	761 ," 	171,754 ",,,,,,,,,,,,,
