Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jan 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	11 , 	9 , 	8 , 	9 , 	70 , 	9 , 	36 , 	119 , 	187 , 	11 , 	19 , 	24 , 	10 , 	3 , 	6 , 	2 , 	2 , 	5 , 	130 , 	76 , 	89 , 	5 , 	18 , 	55 , 	4 , 	731 , 	675 , 	236 , 	198 , 	26 , 	26 , 	10 , 	6 , 	12 , 	2 , 	2 , 	4 , 	11 , 	33 , 	6 , 	5 , 	35 , 	6 ," 	2,944 ",,,CM line,"57,744","5,509","7,369",,,,,
OR, 	10 , 	14 , 	7 , 	8 , 	50 , 	9 , 	34 , 	74 , 	153 , 	10 , 	36 , 	20 , 	9 , 	3 , 	8 , 	1 , 	6 , 	7 , 	63 , 	39 , 	58 , 	34 , 	4 , 	59 , 	6 , 	652 , 	601 , 	213 , 	189 , 	24 , 	22 , 	9 , 	11 , 	8 , 	2 , 	1 , 	1 , 	9 , 	18 , 	8 , 	4 , 	28 , 	11 ," 	2,531 ",,,RM line,"21,300","10,745","4,480","6,705",,,,
RR, 	22 , 	25 , 	21 , 	19 , 	58 , 	15 , 	59 , 	118 , 	202 , 	33 , 	58 , 	54 , 	25 , 	15 , 	17 , 	8 , 	11 , 	18 , 	88 , 	105 , 	134 , 	58 , 	57 , 	6 , 	23 , 	903 , 	933 , 	486 , 	422 , 	126 , 	79 , 	23 , 	43 , 	26 , 	7 , 	4 , 	15 , 	15 , 	46 , 	13 , 	7 , 	62 , 	19 ," 	4,475 ",,,WP line,"34,172","8,299","3,259","2,690","5,756",,,
OW, 	22 , 	34 , 	7 , 	15 , 	74 , 	42 , 	53 , 	53 , 	118 , 	33 , 	124 , 	93 , 	32 , 	43 , 	32 , 	20 , 	20 , 	14 , 	12 , 	8 , 	14 , 	4 , 	6 , 	21 , 	6 ," 	1,012 ", 	986 , 	536 , 	385 , 	93 , 	85 , 	25 , 	47 , 	30 , 	10 , 	9 , 	25 , 	2 , 	27 , 	11 , 	7 , 	21 , 	10 ," 	4,223 ",,,FT/ED line,"37,489","14,963","4,665","7,030","2,974","11,377",,
EM, 	219 , 	780 , 	431 , 	437 , 	667 , 	446 , 	719 , 	796 ," 	1,137 ", 	516 , 	657 , 	521 , 	618 , 	554 , 	412 , 	317 , 	549 , 	930 , 	774 ," 	1,509 "," 	1,131 ", 	754 , 	689 , 	852 ," 	1,080 ", 	68 , 	107 , 	363 , 	318 , 	780 ," 	1,317 "," 	1,084 "," 	1,376 ", 	971 , 	535 , 	447 ," 	1,378 ", 	315 , 	701 , 	465 , 	289 , 	198 , 	504 ," 	28,713 ",,,SFIA,"11,124","2,344","2,285","1,227","1,239",490,756,"296,111"
MT, 	221 , 	781 , 	467 , 	431 , 	567 , 	477 , 	714 , 	581 , 	849 , 	494 , 	715 , 	460 , 	623 , 	568 , 	365 , 	286 , 	515 , 	805 , 	633 ," 	1,213 ", 	910 , 	606 , 	539 , 	789 ," 	1,011 ", 	116 , 	63 , 	187 , 	336 ," 	1,197 "," 	1,989 "," 	1,601 "," 	2,766 "," 	1,325 ", 	649 , 	423 ," 	1,109 ", 	267 , 	574 , 	526 , 	338 , 	199 , 	658 ," 	29,943 ",,,,,,,,,,,
PL, 	230 , 	532 , 	273 , 	284 , 	631 , 	296 , 	545 , 	460 , 	730 , 	382 , 	509 , 	569 , 	352 , 	299 , 	239 , 	186 , 	241 , 	413 , 	326 , 	412 , 	409 , 	220 , 	193 , 	421 , 	539 , 	535 , 	273 , 	91 , 	340 ," 	1,289 "," 	1,824 "," 	1,116 "," 	2,197 ", 	878 , 	434 , 	193 , 	623 , 	125 , 	365 , 	340 , 	202 , 	591 , 	379 ," 	21,489 ",,,,,,,,,,,
CC, 	186 , 	514 , 	280 , 	289 , 	491 , 	317 , 	554 , 	419 , 	552 , 	334 , 	510 , 	420 , 	326 , 	253 , 	212 , 	200 , 	252 , 	387 , 	329 , 	414 , 	291 , 	195 , 	175 , 	380 , 	397 , 	334 , 	347 , 	323 , 	79 ," 	1,082 "," 	1,311 ", 	790 ," 	1,753 ", 	694 , 	407 , 	174 , 	491 , 	135 , 	391 , 	317 , 	197 , 	317 , 	276 ," 	18,094 ",,,,,,,,,,,
16, 	92 , 	89 , 	50 , 	79 , 	233 , 	115 , 	185 , 	143 , 	196 , 	87 , 	153 , 	112 , 	65 , 	47 , 	58 , 	32 , 	31 , 	53 , 	53 , 	57 , 	50 , 	25 , 	20 , 	113 , 	96 , 	727 ," 	1,021 "," 	1,437 "," 	1,020 ", 	27 , 	336 , 	281 , 	755 , 	202 , 	119 , 	18 , 	67 , 	23 , 	80 , 	77 , 	53 , 	85 , 	103 ," 	8,665 ",,,,,,,,,,,
24, 	110 , 	118 , 	42 , 	66 , 	245 , 	94 , 	145 , 	158 , 	220 , 	75 , 	157 , 	118 , 	61 , 	51 , 	49 , 	37 , 	31 , 	34 , 	62 , 	50 , 	52 , 	29 , 	25 , 	80 , 	91 ," 	1,179 "," 	1,592 "," 	2,106 "," 	1,326 ", 	349 , 	40 , 	248 , 	735 , 	248 , 	148 , 	18 , 	57 , 	18 , 	100 , 	95 , 	79 , 	104 , 	122 ," 	10,762 ",,,,,,,,,,,
