Exit stations,Entry stations->,,SUNDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	17 , 	30 , 	31 , 	14 , 	84 , 	16 , 	23 , 	24 , 	18 , 	14 , 	28 , 	21 , 	8 , 	8 , 	8 , 	3 , 	1 , 	3 , 	5 , 	2 , 	4 , 	4 , 	2 , 	5 , 	6 , 	63 , 	36 , 	116 , 	38 , 	41 , 	40 , 	8 , 	15 , 	6 , 	4 , 	1 , 	1 , 	0 , 	3 , 	5 , 	8 , 	19 , 	5 , 	1 , 	4 , 	8 , 	3 , 	6 , 	3 , 	5 , 	818 ,,,,,,,,,,,
LF, 	3 , 	2 , 	2 , 	1 , 	10 , 	1 , 	7 , 	12 , 	9 , 	1 , 	6 , 	17 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	35 , 	15 , 	17 , 	8 , 	6 , 	21 , 	1 , 	80 , 	29 , 	48 , 	33 , 	16 , 	14 , 	5 , 	2 , 	4 , 	0 , 	-   , 	0 , 	3 , 	10 , 	1 , 	2 , 	37 , 	3 , 	0 , 	11 , 	0 , 	1 , 	2 , 	5 , 	5 , 	490 ,,,,,,,,,,,
OR, 	2 , 	1 , 	1 , 	1 , 	7 , 	2 , 	7 , 	9 , 	10 , 	2 , 	5 , 	18 , 	1 , 	1 , 	2 , 	0 , 	0 , 	1 , 	7 , 	5 , 	10 , 	5 , 	5 , 	9 , 	0 , 	81 , 	20 , 	40 , 	28 , 	19 , 	13 , 	4 , 	2 , 	3 , 	1 , 	0 , 	1 , 	1 , 	1 , 	0 , 	2 , 	25 , 	2 , 	1 , 	8 , 	-   , 	1 , 	1 , 	2 , 	2 , 	368 ,,,,,,,,,,,
RR, 	3 , 	3 , 	6 , 	3 , 	7 , 	4 , 	16 , 	26 , 	25 , 	3 , 	10 , 	26 , 	5 , 	3 , 	1 , 	3 , 	1 , 	2 , 	17 , 	15 , 	29 , 	21 , 	14 , 	16 , 	7 , 	127 , 	73 , 	121 , 	95 , 	59 , 	40 , 	15 , 	7 , 	9 , 	2 , 	1 , 	2 , 	4 , 	7 , 	1 , 	4 , 	60 , 	6 , 	0 , 	7 , 	0 , 	2 , 	2 , 	1 , 	7 , 	919 ,,,,,,,,,,,
OW, 	7 , 	7 , 	1 , 	3 , 	14 , 	8 , 	11 , 	16 , 	18 , 	14 , 	27 , 	27 , 	6 , 	10 , 	7 , 	3 , 	1 , 	2 , 	4 , 	2 , 	5 , 	1 , 	1 , 	6 , 	17 , 	247 , 	119 , 	279 , 	163 , 	157 , 	100 , 	13 , 	15 , 	12 , 	8 , 	2 , 	8 , 	0 , 	4 , 	3 , 	6 , 	49 , 	4 , 	3 , 	7 , 	2 , 	2 , 	2 , 	1 , 	6 ," 	1,431 ",,,,,,,,,,,
EM, 	72 , 	134 , 	78 , 	105 , 	228 , 	85 , 	185 , 	180 , 	155 , 	110 , 	119 , 	114 , 	109 , 	121 , 	52 , 	65 , 	26 , 	58 , 	103 , 	150 , 	149 , 	101 , 	99 , 	146 , 	305 , 	119 , 	8 , 	69 , 	51 , 	195 , 	222 , 	123 , 	128 , 	137 , 	46 , 	64 , 	357 , 	38 , 	77 , 	30 , 	39 , 	199 , 	92 , 	97 , 	53 , 	25 , 	46 , 	38 , 	10 , 	69 ," 	5,380 ",,,,,,,,,,,
MT, 	52 , 	59 , 	42 , 	57 , 	136 , 	47 , 	91 , 	106 , 	93 , 	77 , 	65 , 	63 , 	64 , 	63 , 	19 , 	24 , 	12 , 	25 , 	41 , 	52 , 	59 , 	29 , 	21 , 	78 , 	140 , 	6 , 	43 , 	14 , 	22 , 	126 , 	135 , 	71 , 	137 , 	81 , 	33 , 	34 , 	93 , 	14 , 	35 , 	24 , 	31 , 	184 , 	40 , 	28 , 	33 , 	12 , 	23 , 	21 , 	9 , 	23 ," 	2,788 ",,,,,,,,,,,
PL, 	91 , 	139 , 	51 , 	63 , 	196 , 	54 , 	123 , 	142 , 	165 , 	123 , 	144 , 	134 , 	96 , 	91 , 	46 , 	55 , 	17 , 	25 , 	67 , 	62 , 	75 , 	35 , 	37 , 	85 , 	250 , 	64 , 	10 , 	101 , 	34 , 	389 , 	417 , 	178 , 	298 , 	239 , 	90 , 	38 , 	130 , 	19 , 	64 , 	50 , 	74 , 	486 , 	76 , 	32 , 	38 , 	18 , 	27 , 	34 , 	17 , 	46 ," 	5,335 ",,,,,,,,,,,
CC, 	35 , 	49 , 	40 , 	57 , 	120 , 	59 , 	102 , 	117 , 	98 , 	75 , 	111 , 	66 , 	45 , 	40 , 	19 , 	19 , 	7 , 	20 , 	37 , 	37 , 	55 , 	34 , 	24 , 	80 , 	147 , 	43 , 	17 , 	34 , 	65 , 	142 , 	182 , 	87 , 	112 , 	117 , 	46 , 	26 , 	68 , 	7 , 	25 , 	31 , 	49 , 	197 , 	59 , 	22 , 	25 , 	7 , 	20 , 	26 , 	4 , 	23 ," 	2,926 ",,,,,,,,,,,
16, 	43 , 	58 , 	25 , 	42 , 	91 , 	68 , 	104 , 	106 , 	83 , 	82 , 	76 , 	53 , 	36 , 	31 , 	27 , 	27 , 	3 , 	11 , 	28 , 	29 , 	23 , 	18 , 	17 , 	61 , 	152 , 	148 , 	103 , 	409 , 	160 , 	40 , 	65 , 	72 , 	104 , 	103 , 	52 , 	13 , 	42 , 	10 , 	22 , 	30 , 	40 , 	147 , 	59 , 	11 , 	16 , 	7 , 	12 , 	18 , 	3 , 	17 ," 	2,997 ",,,,,,,,,,,
24, 	55 , 	59 , 	24 , 	31 , 	64 , 	36 , 	75 , 	75 , 	56 , 	66 , 	80 , 	59 , 	32 , 	32 , 	22 , 	23 , 	4 , 	10 , 	25 , 	18 , 	18 , 	11 , 	16 , 	43 , 	123 , 	171 , 	118 , 	513 , 	235 , 	61 , 	49 , 	115 , 	132 , 	153 , 	54 , 	13 , 	35 , 	9 , 	23 , 	51 , 	66 , 	103 , 	79 , 	9 , 	15 , 	5 , 	10 , 	14 , 	3 , 	16 ," 	3,107 ",,,,,,,,,,,
GP, 	10 , 	13 , 	5 , 	7 , 	26 , 	7 , 	14 , 	20 , 	18 , 	13 , 	14 , 	25 , 	4 , 	6 , 	3 , 	4 , 	1 , 	2 , 	7 , 	5 , 	8 , 	6 , 	6 , 	15 , 	16 , 	92 , 	50 , 	222 , 	86 , 	78 , 	113 , 	18 , 	12 , 	12 , 	12 , 	3 , 	7 , 	1 , 	7 , 	9 , 	20 , 	65 , 	16 , 	2 , 	10 , 	1 , 	2 , 	3 , 	1 , 	6 ," 	1,104 ",,,,,,,,,,,
BP, 	14 , 	14 , 	6 , 	7 , 	17 , 	8 , 	14 , 	15 , 	14 , 	11 , 	8 , 	12 , 	8 , 	8 , 	3 , 	4 , 	1 , 	2 , 	10 , 	8 , 	7 , 	1 , 	2 , 	8 , 	14 , 	102 , 	74 , 	397 , 	116 , 	96 , 	108 , 	12 , 	21 , 	14 , 	21 , 	1 , 	8 , 	1 , 	8 , 	12 , 	25 , 	67 , 	18 , 	1 , 	4 , 	2 , 	4 , 	8 , 	1 , 	6 ," 	1,341 ",,,,,,,,,,,
DC, 	7 , 	11 , 	3 , 	4 , 	17 , 	7 , 	9 , 	13 , 	12 , 	12 , 	17 , 	25 , 	8 , 	7 , 	5 , 	3 , 	1 , 	5 , 	8 , 	7 , 	7 , 	3 , 	2 , 	8 , 	13 , 	99 , 	65 , 	335 , 	140 , 	116 , 	142 , 	14 , 	17 , 	25 , 	14 , 	4 , 	14 , 	3 , 	8 , 	10 , 	33 , 	120 , 	36 , 	4 , 	9 , 	2 , 	5 , 	6 , 	3 , 	6 ," 	1,446 ",,,,,,,,,,,
