Avg Weekday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
SS	10	12	4	2	20	5	11	23	32	4	10	6	6	7	4	3	3	1	9	8	10	3	2	7	10	176	190	176	169	74	59	23	46	59	15	3	5	4	8	9	19	37	24	2	1	2	1	16	1	0	"1,330"
SB	13	17	6	3	16	7	13	22	26	6	14	10	8	9	7	2	1	4	11	11	8	5	4	6	22	170	190	161	146	83	72	41	59	85	26	3	5	5	12	21	13	81	20	2	2	1	2	13	1	1	"1,465"
SO	50	67	48	60	121	44	74	63	76	18	29	22	19	10	7	4	8	15	69	89	99	63	49	81	81	238	223	673	243	164	101	68	64	123	52	8	65	23	67	34	61	86	292	18	9	8	7	52	9	5	"3,961"
MB	15	27	10	11	56	11	16	26	34	6	8	13	7	4	3	3	2	2	10	9	8	3	3	5	12	177	196	136	118	67	66	44	70	110	38	3	8	2	8	23	15	294	32	2	2	0	3	10	1	0	"1,727"
WD	4	6	5	2	20	3	14	24	26	52	40	43	40	38	19	16	14	12	4	1	1	0	0	2	5	278	189	92	92	30	18	10	11	17	1	51	21	1	2	3	2	22	3	11	15	8	1	1	11	14	"1,293"
OA	9	20	16	16	39	13	15	17	22	12	7	17	8	3	5	5	8	11	16	17	15	9	4	8	5	64	46	45	29	14	12	8	4	6	1	3	30	4	12	1	1	12	2	13	9	4	2	11	6	6	660
WS	8	14	8	6	31	9	22	31	25	34	39	39	41	35	66	51	68	64	3	2	3	1	1	2	3	103	79	40	46	19	11	4	5	9	1	4	10	2	3	2	2	9	0	7	4	12	4	5	77	73	"1,135"
PC	5	3	0	1	5	2	15	11	17	6	9	6	4	3	5	2	1	1	62	20	23	5	4	10	7	27	21	39	34	13	7	2	7	7	2	0	1	16	9	2	2	7	2	2	2	3	3	25	1	2	460
AN	13	7	2	3	23	7	61	53	81	15	12	25	19	6	12	4	6	4	87	41	58	12	10	26	11	196	167	148	167	56	37	28	19	32	10	2	4	19	22	15	11	55	8	1	14	6	20	16	4	5	"1,657"
ML	7	15	9	9	73	11	18	36	35	29	34	29	39	24	58	36	77	96	8	4	6	2	2	4	6	126	96	58	47	16	12	5	6	15	1	7	21	0	4	1	1	8	1	10	6	81	1	4	18	20	"1,228"
BE	14	18	10	9	91	15	24	42	40	39	39	43	43	35	70	45	71	96	10	7	9	2	2	7	8	149	107	61	57	22	12	5	10	14	1	6	29	2	5	0	0	7	1	13	8	85	2	5	20	18	"1,429"
Grand Total	"2,359"	"3,402"	"1,990"	"1,740"	"5,093"	"1,940"	"3,630"	"4,415"	"4,972"	"2,871"	"3,953"	"2,713"	"3,236"	"2,562"	"2,206"	"1,429"	"1,857"	"1,985"	"2,579"	"2,493"	"2,779"	"1,575"	"1,256"	"2,449"	"3,521"	"15,139"	"12,448"	"11,578"	"9,193"	"5,477"	"5,400"	"3,237"	"4,250"	"4,328"	"1,475"	"1,200"	"3,061"	634	"1,994"	"1,322"	"1,433"	"4,662"	"1,848"	"1,262"	714	"1,212"	500	"1,745"	"1,263"	"1,389"	"165,764"
