Avg Sunday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
LM	20	24	23	14	40	20	22	7	6	14	80	195	78	70	33	28	19	20	4	5	5	3	5	8	16	142	99	181	128	85	78	29	27	19	1	28	49	1	5	2	2	19	5	14	18	12	1	3	19	29	"1,753"
FV	28	36	13	15	60	27	38	28	18	66	35	234	74	82	60	25	22	25	13	4	8	3	4	14	37	121	83	197	130	81	63	19	17	21	3	18	29	2	6	6	6	23	4	24	14	9	2	7	19	34	"1,895"
CL	54	126	92	87	247	59	123	113	84	140	211	21	232	153	110	73	107	138	66	80	74	62	53	70	58	218	129	295	114	56	81	57	37	62	6	94	522	27	39	14	11	27	31	151	73	72	3	40	101	166	"5,052"
SL	12	14	7	6	31	11	25	34	33	82	74	230	14	43	54	21	18	16	7	3	5	1	1	6	15	105	68	155	57	28	28	11	13	18	1	14	26	1	5	1	3	22	4	17	3	11	2	7	19	23	"1,399"
BF	8	12	6	6	22	7	16	28	25	53	90	158	38	16	41	21	20	22	8	2	7	1	1	5	16	89	59	159	52	24	15	12	14	7	2	10	35	1	4	3	4	12	2	27	6	10	3	5	23	22	"1,220"
HY	7	14	5	5	28	5	12	18	22	29	59	106	48	37	8	23	36	51	8	3	7	3		1	10	46	24	61	30	15	14	4	10	12	1	7	24	2	2	1	5	7	2	9	9	20	1	3	34	37	917
SH	9	8	3	2	13	4	7	9	11	21	23	66	22	19	25	6	15	25	2	2	3	1	1	3	2	36	19	43	21	10	8	3	3	6	1	6	13		1	1	1	5	2	10	3	21		2	21	25	556
UC	3	7	2	4	30	7	9	13	13	16	20	103	21	20	42	18	15	29	2	2	4	0	1	2	5	69	34	66	34	13	9	7	4	6	1	5	11	1	3	1	1	12	1	6	6	23	0	3	48	39	783
FM	5	11	6	6	34	6	11	17	12	18	27	129	22	27	52	25	31	24	3	2	3	2	0	3	7	83	43	72	47	20	11	10	9	10	3	7	12	1	3	1	1	14	1	7	11	18	1	3	58	48	969
CN	10	10	4	5	14	4	28	20	17	4	10	64	5	7	5	1	3	1	23	31	85	63	12	30	6	96	43	91	46	24	19	9	7	9	2	1	3	8	55	5	4	55	4	2	8	2	26	35	4	4	"1,020"
PH	4	7	2	6	19	6	21	17	16	4	6	69	3	2	2	1	2	3	29	12	45	17	7	26	4	116	59	89	60	16	11	10	10	9	1	1	2	4	20	2	4	74	4	1	18	2	9	13	4	5	868
WC	9	7	6	11	20	6	23	26	29	7	9	65	6	4	5	3	2	4	93	46	14	26	17	51	6	153	57	123	90	31	17	10	8	13	4	2	3	8	34	4	2	81	6		17	1	11	22	5	8	"1,199"
LF	4	6	3	4	16	2	12	8	11	2	7	56	1	2	4	1	0	2	69	15	23	9	6	29	4	97	47	77	48	14	9	9	4	4	1	0	1	3	5	1	1	61	2	1	8	1	5	7	2	3	700
OR	2	2	1	2	10	4	6	9	11	2	5	50	0	2	1	1	0		13	5	20	7	6	17	2	76	39	58	34	14	8	5	1	3	1		1	1	4	0	2	36	2		4		2	3	2	2	470
RR	5	7	10	6	10	4	24	31	35	6	10	67	5	5	1	2	3	4	28	26	53	28	18	9	10	176	89	135	93	69	36	19	10	9	1	1	2	3	9	3	4	87	5	2	9	1	4	15	3	9	"1,194"
OW	6	14	5	6	24	9	22	19	22	12	41	53	14	12	10	5	2	6	8	3	6	4	1	10	21	284	158	305	196	132	97	22	25	17	6	4	10	1	2	7	13	59	6	5	6	2	1	9	5	6	"1,706"
EM	89	134	88	137	415	111	165	194	202	132	138	262	112	111	62	39	73	102	99	130	164	109	92	192	344	80	16	93	52	165	215	113	122	151	34	63	286	27	68	27	53	213	81	88	45	45	9	57	82	95	"5,967"
MT	43	90	57	86	231	73	123	125	138	95	102	133	80	79	29	23	37	53	50	71	74	46	42	115	205	11	46	19	30	114	146	80	153	126	32	37	126	8	41	26	38	179	52	36	34	19	7	26	55	50	"3,683"
PL	105	154	76	79	240	84	151	173	203	143	169	268	128	116	53	46	53	53	81	79	103	67	53	105	318	85	13	89	70	369	442	192	395	308	96	46	150	21	78	69	86	608	109	46	27	24	10	53	76	75	"6,631"
CC	41	72	48	58	145	71	129	124	133	98	107	97	57	51	25	16	28	36	40	53	79	46	38	86	197	51	22	60	76	145	217	101	163	154	64	31	83	11	22	51	64	225	107	29	21	15	5	22	48	57	"3,709"
16	38	48	25	51	90	52	94	101	75	75	68	55	27	19	15	9	10	15	25	21	31	15	16	63	134	145	112	408	167	17	63	90	118	136	43	10	34	5	15	30	46	171	74	10	16	5	3	12	14	31	"2,942"
24	45	37	16	27	66	40	78	76	54	72	64	72	22	15	12	9	10	13	22	13	22	11	10	41	94	204	130	491	251	62	16	108	96	124	44	10	26	5	17	29	41	133	53	8	11	5	2	12	10	20	"2,843"
GP	7	16	12	14	46	22	24	26	27	25	19	55	13	13	5	3	6	6	9	12	10	7	5	20	39	111	74	241	96	86	100	13	16	29	20	6	17	6	8	16	23	87	33	6	8	2	1	9	5	9	"1,457"
BP	12	18	6	7	22	12	18	19	23	26	16	33	14	11	8	4	4	10	8	5	6	4	2	11	19	122	84	474	149	108	93	18	11	27	25	3	13	2	9	19	36	66	29	5	3	2	1	11	9	9	"1,639"
DC	16	13	9	9	35	5	13	16	14	23	22	56	16	11	12	6	9	6	12	9	10	3	4	13	27	149	114	383	186	144	135	28	33	22	15	8	25	2	9	25	52	136	65	6	10	3	0	9	11	17	"1,951"
CM	8	10	2	1	8	3	4	4	8	2	4	5	2	2	2	1	1	2	3	2	5	2	1	1	6	32	28	118	63	44	40	19	28	15	8	1	1	2	4	4	14	51	19	0	1		1	4	0		583
CV	2	2	2	2	9	3	4	2	5	33	17	102	14	12	6	5	5	7	1	1	2	1	0	3	4	65	30	65	31	12	8	5	4	4	1	3	37	0	1	0	1	7	1	35	4	1	0	1	5	5	565
ED	5	5	6	4	33	8	8	9	8	47	31	471	27	32	23	11	14	15	1	2	3	1	0	3	12	267	98	182	97	37	21	10	13	20	2	33	25	1	2	2	2	68	3	15	28	6	0	1	20	23	"1,749"
NC	1			1	3	1	4	4	2	1	1	26	2	2	1		0	1	7	4	9	2	1	4	1	24	10	21	11	6	3	2	1	2	2		1	3	7	2	1	18	2		3	0	5	5	0	2	204
WP	6	5	1	1	7	3	21	7	9	4	7	31	4	2	1	0	4	3	47	24	36	6	5	11	3	55	39	88	26	13	16	6	7	8	4	0	2	10	9	3	7	43	2	1	13	2	4	8	3	6	619
SS	5	4	1	2	5		2	6	5	2	5	10	2	3	1	2	2	2	3	3	6	1	1	4	7	38	19	88	45	36	29	13	19	26	4	1	1	1	4	4	10	39	13	1	2		1	4	1	1	478
SB	7	5	4	3	7	3	5	9	10	4	6	10	5	2	3	1	2	2	5	5	4	1	0	3	10	43	36	100	63	42	47	21	44	39	12	1	1	2	3	9	8	84	7	1	2	0	2	4	0	2	684
SO	35	39	23	43	77	25	41	40	79	9	13	26	9	7	3	3	6	10	42	53	63	37	29	38	48	207	197	866	196	116	65	45	46	86	28	5	40	14	27	16	46	83	141	9	12	4	4	24	6	4	"3,080"
MB	10	10	5	6	36	10	8	12	14	5	5	27	3	3	1	1	1		3	5	6	2	2	6	4	78	45	129	95	62	41	31	25	55	16	1	4	2	3	7	7	321	22	1	1	0	1	4	0	0	"1,129"
WD	2	2	1	1	12	2	5	4	2	17	20	149	18	23	12	11	7	9	3	1		0	0	1	5	82	35	50	35	12	5	4	3	5	0	34	17		0	1	1	20	2	6	13	1		0	7	5	645
OA	4	9	6	8	28	6	6	7	39	10	3	90	3	2	4	3	2	3	8	9	6	2	2	4	2	42	31	65	18	8	7	6	5	5	0	3	14	4	4	0	1	12	0	5	16	1	1	7	3	3	525
WS	4	4	1	5	16	5	9	7	6	11	14	73	10	11	17	20	28	21	3	1	1	1		1	3	43	14	31	21	9	5	2	4	5		2	4	1	1	1	1	5	1	4	4	6	1	2	24	27	481
PC	3	3	0	1	1	2	7	5	3	1	2	4	3	1	2	1	0	1	31	10	14	4	3	3	3	11	6	18	5	3	2	1	2	2	2	1	1	4	4	1	2	6	1	0	2		1	8	0	1	185
AN	5	4	1	2	9	2	25	9	12	3	7	38	5	4	5	2	2	2	43	14	25	5	5	16	8	57	27	62	27	16	8	9	5	11	5	1	1	5	10	5	7	49	3	1	11	3	8	12	3	5	597
ML	5	12	6	11	55	11	13	10	13	15	22	101	18	23	28	18	52	60	5	5	6	2	2	1	4	87	50	100	50	16	10	6	9	11	1	4	19	1	4	0	1	10	0	7	6	23		3	22	26	961
BE	12	25	10	14	72	12	18	17	15	29	34	158	28	25	43	31	40	49	7	5	6	3	3	5	10	84	43	81	64	29	18	10	10	13		4	31	1	6	1	2	8	1	6	8	29	2	2	19	19	"1,155"
Grand Total	"1,050"	"1,399"	947	962	"3,022"	"1,011"	"1,676"	"1,700"	"1,802"	"1,526"	"1,876"	"4,951"	"1,353"	"1,196"	932	574	760	947	"1,029"	857	"1,184"	670	489	"1,159"	"1,855"	"5,493"	"3,170"	"7,815"	"4,052"	"2,895"	"2,684"	"1,347"	"1,658"	"1,739"	530	528	"1,777"	214	604	430	662	"3,837"	"1,008"	626	664	451	155	536	931	"1,138"	"79,864"
