Avg Saturday Trip OD																																																			
																																																			
2024 / 08																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
LM	11	18	14	14	92	14	15	9	12	8	56	162	106	88	33	20	22	26	6	4	7	3	3	5	17	197	125	200	140	87	63	22	30	18	4	35	57	1	3	2	3	10	4	22	13	11	1	2	19	35	"1,864"
FV	39	46	21	24	78	35	63	34	30	49	35	230	87	86	73	28	29	31	13	5	9	4	7	19	53	173	124	261	158	115	100	26	24	27	6	29	59	1	11	7	5	20	8	27	5	19	3	7	23	35	"2,403"
CL	50	117	73	58	173	65	113	106	127	145	221	26	259	155	142	81	119	136	62	77	71	64	53	70	56	259	162	342	124	75	81	54	38	68	8	96	511	25	32	19	18	24	28	148	65	72	6	42	87	183	"5,188"
SL	16	22	9	10	45	13	32	41	49	90	100	251	13	53	63	33	26	28	8	4	4	3	1	12	20	150	98	221	98	44	38	14	16	21	2	23	42	1	6	4	4	20	6	27	4	11	2	7	20	25	"1,852"
BF	10	22	8	6	33	10	20	28	32	79	90	153	56	12	50	32	19	34	11	3	4	2	0	5	16	110	86	205	77	30	29	13	17	17	3	20	44	1	4	3	4	10	3	29	5	18	3	5	20	28	"1,519"
HY	11	19	4	7	34	11	19	34	36	33	73	126	61	48	10	39	53	77	10	4	6	3	2	4	16	62	41	94	44	19	19	4	8	11	2	9	24	1	4	2	5	6	3	14	4	21	3	8	35	42	"1,227"
SH	7	8	4	2	21	6	8	13	15	14	29	66	32	28	35	7	19	38	3	2	3	1	2	3	5	42	30	57	26	13	12	4	5	6	1	7	15	1	2	2	4	4	1	11	2	26	0	3	21	32	698
UC	5	11	4	6	49	8	14	21	16	21	29	115	27	24	61	23	18	34	4	4	3	1	2	2	6	98	47	88	47	20	15	5	8	10	0	5	19	1	2	4	1	9	3	6	6	26	0	2	43	44	"1,020"
FM	6	12	8	6	47	6	12	18	13	24	36	124	29	38	75	40	33	14	6	2	3	2	2	5	8	130	55	107	64	22	14	9	9	9	1	4	20	0	5	1	2	11	3	8	6	28	1	4	59	47	"1,190"
CN	14	15	9	8	23	6	32	31	28	4	13	54	7	11	12	3	3	9	19	44	101	73	15	37	10	125	61	136	66	30	28	12	12	15	3	2	4	11	62	6	7	56	7	2	14	1	31	46	8	9	"1,332"
PH	6	8	6	4	28	7	20	23	23	3	5	69	6	4	1	2	3	2	42	16	47	22	9	38	5	164	78	122	71	32	16	10	9	10	3	1	3	3	21	2	4	62	4	1	13	3	13	21	3	5	"1,074"
WC	12	12	9	14	45	7	43	40	35	6	11	61	5	6	6	3	2	5	123	55	21	27	20	72	10	229	98	177	112	40	26	16	13	14	5	2	4	9	44	8	5	81	5	1	12	1	15	36	4	7	"1,614"
LF	6	5	4	4	30	5	14	20	11	2	5	56	1	1	3	1	1	3	89	26	29	13	7	36	4	137	52	92	68	24	13	7	6	5	1	0	0	4	8	1	3	46	2	0	4	2	6	7	1	2	865
OR	2	3	3	2	21	2	10	13	10	2	8	45	1	1	2	2	1	2	17	8	21	5	10	29	1	115	55	85	49	20	14	5	3	6	1	1	1	3	5	2	0	38	2	0	4	0	3	3	2	2	638
RR	10	13	14	8	13	4	27	53	42	9	21	62	9	4	3	3	3	4	33	38	67	39	29	13	13	221	134	168	127	82	55	24	12	14	3	2	2	5	11	1	3	70	4	1	6	1	3	15	2	4	"1,508"
OW	11	15	5	6	23	14	24	31	29	13	50	58	22	14	14	7	5	8	9	5	8	3	2	17	21	408	237	400	257	180	112	24	26	20	7	6	12	1	5	6	10	50	11	3	4	2	1	5	5	7	"2,215"
EM	122	203	135	181	648	170	244	302	269	200	216	265	168	145	84	57	107	144	145	199	289	177	146	264	490	95	16	137	84	288	325	192	221	217	60	115	449	39	88	65	65	315	130	125	49	70	14	70	110	134	"8,843"
MT	81	130	84	113	316	110	184	213	204	133	147	181	129	107	52	33	62	66	73	93	121	67	56	161	294	17	58	24	38	194	226	140	253	178	51	58	183	17	59	42	55	259	72	62	25	35	10	32	71	61	"5,432"
PL	154	219	128	117	337	121	191	251	285	164	227	313	178	162	91	50	86	102	129	121	151	97	90	162	428	124	16	110	81	472	561	326	548	444	149	62	247	34	102	104	111	943	168	69	39	42	15	78	87	106	"9,390"
CC	73	104	65	85	202	91	169	190	177	116	149	101	82	74	47	27	43	51	60	72	112	68	53	124	274	83	31	87	87	185	274	139	176	223	94	49	142	21	37	68	77	254	135	47	15	18	11	36	47	73	"5,019"
16	50	69	39	69	161	86	136	160	106	78	114	67	38	29	20	11	20	27	33	28	41	24	18	92	195	262	179	499	213	25	117	129	162	212	73	17	62	7	23	57	67	180	103	21	8	7	4	18	25	36	"4,214"
24	66	67	36	45	111	49	107	110	78	53	88	79	42	27	26	15	15	15	30	18	27	15	13	59	127	306	197	627	301	89	20	126	136	169	63	16	35	6	22	42	65	98	73	11	9	6	3	18	12	23	"3,789"
GP	10	20	13	15	60	11	27	32	30	20	26	51	11	12	5	3	7	9	11	10	14	11	6	30	28	162	104	338	123	113	131	15	18	37	26	5	18	4	10	17	30	71	42	9	5	1	2	8	9	8	"1,778"
BP	20	18	7	10	30	10	18	20	30	22	26	32	20	16	5	4	6	6	11	6	12	5	2	13	26	166	130	607	164	132	127	17	13	29	39	6	16	3	8	23	39	59	32	2	3	3	3	9	8	8	"2,021"
DC	15	22	9	7	43	7	16	25	27	19	33	63	21	16	9	7	12	7	16	12	15	3	2	13	29	196	135	545	255	192	178	39	34	23	19	7	20	3	14	29	65	131	64	5	4	6	3	11	7	12	"2,443"
CM	11	11	4	3	10	3	7	9	8	2	5	6	2	3	2	0	2	2	4	2	5	2	1	3	5	61	39	168	91	67	58	25	46	15	12	1	2	1	9	8	16	56	19	0	1	1	1	3	1		813
CV	2	5	4	3	14	3	4	6	8	37	29	102	24	19	12	8	7	8	2	1	1	1	0	1	7	90	52	86	53	17	15	5	7	9	0	7	45	1	0	1	4	9	1	37	2	1	0	1	3	6	769
ED	7	11	5	8	54	8	11	20	15	48	59	460	44	44	31	18	19	21	6	4	4	1	1	3	11	382	166	258	141	65	37	22	14	26	4	40	45	0	2	3	3	58	5	16	23	5	0	1	24	28	"2,283"
NC	1	1	0	0	5	1	5	7	3	1	2	21	1	0	2	1	1	0	11	3	11	5	0	6	1	32	16	35	22	6	5	2	4	3	1	1	1	5	8	1	3	13	1		4	1	7	7	2	1	273
WP	4	7	2	3	10	1	22	9	13	3	11	26	5	4	4	3	3	2	63	25	52	6	5	13	5	75	46	121	42	20	21	13	7	18	7	1	3	8	12	5	4	39	2	0	7	4	4	5	0	4	771
SS	6	6	2	1	8	2	4	6	9	2	7	15	3	3	2	3	2	1	6	2	6	2	1	2	7	59	28	121	63	42	45	17	28	32	5	1	2	1	3	7	16	30	14	1	0	0	1	6	1	3	635
SB	10	12	3	2	12	2	7	8	12	3	7	18	5	2	7	1	1	3	8	3	6	1	1	3	10	49	41	142	82	58	70	29	48	54	13	3	5	2	6	14	9	66	11	0	1	1	1	4	1	0	858
SO	42	48	34	46	148	32	44	35	55	11	19	21	12	7	4	3	6	11	42	56	61	41	33	53	52	208	186	736	202	135	68	55	52	95	38	4	45	14	35	25	50	62	211	14	9	4	5	38	5	3	"3,213"
MB	8	13	10	10	64	7	10	16	19	4	9	23	5	3	3	0	3	1	5	5	4	3	3	4	14	107	68	155	127	83	56	36	37	66	17	2	5	0	1	14	12	240	26	1	2	1	1	3	1	0	"1,307"
WD	3	3	2	3	18	2	7	6	4	23	30	147	26	30	18	15	6	10	2	2	0			1	4	120	55	83	44	19	8	9	6	7	1	43	16			0	0	18	2	11	7	3	1	1	6	8	831
OA	5	13	12	9	38	8	7	9	12	10	3	61	5	3	4	1	4	5	8	11	9	5	2	4	4	34	15	36	19	7	6	6	3	2	0	2	15	1	4	1	1	10	1	5	10	3	0	7	1	3	446
WS	2	6	2	5	33	5	9	12	7	9	14	67	11	11	19	19	26	25	2	1	1	1	1	2	3	58	34	47	25	9	4	3	4	6	0	1	6	1	2	0	1	5	1	2	1	6	1	1	25	29	566
PC	5	3		1	2	2	6	9	5	1	5	5	2	2	2	3	1	1	38	15	15	4	2	4	4	13	8	18	11	7	6	3	3	3	0	0	0	7	7	1	1	8	1	0	1	1	1	9	0	2	249
AN	6	7	2	1	12	3	26	14	20	6	8	42	8	5	8	5	3	3	50	20	35	7	3	20	6	62	41	84	49	17	17	12	13	18	6	3	2	6	8	5	3	46	2	1	9	2	11	13	3	8	759
ML	8	10	5	10	82	10	14	16	10	22	21	78	21	17	33	19	47	53	6	5	4		1	2	4	93	57	79	51	23	11	7	10	11	1	6	18	0	1	1	1	9	1	5	3	28	1	2	18	25	964
BE	12	27	9	13	109	15	19	33	19	32	37	157	28	29	54	33	46	56	8	6	7	3	2	5	10	126	55	98	75	33	24	11	17	11	2	4	27	1	5	1	1	9	1	5	4	37	2	7	20	17	"1,364"
Grand Total	"1,419"	"1,929"	"1,294"	"1,230"	"4,413"	"1,315"	"2,164"	"2,428"	"2,368"	"1,725"	"2,462"	"4,927"	"1,832"	"1,507"	"1,292"	752	"1,007"	"1,205"	"1,379"	"1,150"	"1,622"	924	682	"1,587"	"2,460"	"7,566"	"4,417"	"9,897"	"5,234"	"3,986"	"3,677"	"1,835"	"2,271"	"2,360"	795	734	"2,331"	278	765	654	844	"4,022"	"1,361"	792	555	601	217	683	976	"1,317"	"103,241"
