Exit stations,Entry stations->,,SUNDAY,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	37 , 	33 , 	15 , 	111 , 	25 , 	35 , 	20 , 	26 , 	13 , 	28 , 	17 , 	9 , 	8 , 	7 , 	3 , 	3 , 	4 , 	7 , 	5 , 	8 , 	4 , 	3 , 	7 , 	9 , 	73 , 	35 , 	114 , 	45 , 	40 , 	40 , 	14 , 	16 , 	18 , 	2 , 	2 , 	4 , 	2 , 	4 , 	6 , 	7 , 	37 , 	10 , 	1 , 	6 , 	3 , 	6 , 	9 , 	2 , 	4 , 	942 ,,,,,,,,,,,
LF, 	4 , 	4 , 	3 , 	4 , 	12 , 	2 , 	10 , 	8 , 	6 , 	1 , 	3 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	57 , 	12 , 	25 , 	3 , 	6 , 	20 , 	1 , 	54 , 	36 , 	57 , 	44 , 	13 , 	10 , 	8 , 	4 , 	4 , 	1 , 	-   , 	1 , 	3 , 	8 , 	2 , 	1 , 	54 , 	2 , 	-   , 	10 , 	1 , 	4 , 	1 , 	3 , 	4 , 	511 ,,,,,,,,,,,
OR, 	2 , 	1 , 	1 , 	3 , 	8 , 	1 , 	8 , 	12 , 	9 , 	1 , 	2 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	11 , 	7 , 	11 , 	6 , 	3 , 	20 , 	1 , 	45 , 	23 , 	59 , 	44 , 	15 , 	7 , 	4 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	4 , 	-   , 	1 , 	34 , 	2 , 	0 , 	10 , 	1 , 	4 , 	3 , 	2 , 	1 , 	376 ,,,,,,,,,,,
RR, 	6 , 	7 , 	14 , 	5 , 	8 , 	4 , 	22 , 	36 , 	31 , 	2 , 	12 , 	3 , 	4 , 	3 , 	2 , 	2 , 	3 , 	3 , 	22 , 	29 , 	51 , 	23 , 	19 , 	13 , 	8 , 	134 , 	82 , 	147 , 	123 , 	53 , 	39 , 	16 , 	5 , 	4 , 	2 , 	1 , 	2 , 	4 , 	7 , 	2 , 	3 , 	98 , 	4 , 	1 , 	12 , 	1 , 	3 , 	6 , 	3 , 	10 ," 	1,086 ",,,,,,,,,,,
OW, 	7 , 	10 , 	5 , 	5 , 	21 , 	10 , 	16 , 	16 , 	19 , 	15 , 	38 , 	15 , 	14 , 	12 , 	11 , 	4 , 	3 , 	2 , 	6 , 	5 , 	4 , 	1 , 	1 , 	10 , 	11 , 	205 , 	134 , 	299 , 	161 , 	116 , 	67 , 	16 , 	15 , 	15 , 	4 , 	4 , 	10 , 	1 , 	5 , 	2 , 	8 , 	66 , 	9 , 	1 , 	7 , 	2 , 	3 , 	6 , 	2 , 	6 ," 	1,417 ",,,,,,,,,,,
EM, 	76 , 	105 , 	69 , 	116 , 	280 , 	98 , 	152 , 	179 , 	152 , 	114 , 	108 , 	41 , 	76 , 	79 , 	45 , 	33 , 	58 , 	63 , 	58 , 	75 , 	102 , 	62 , 	44 , 	141 , 	280 , 	47 , 	17 , 	96 , 	78 , 	155 , 	196 , 	110 , 	136 , 	133 , 	37 , 	39 , 	149 , 	13 , 	44 , 	43 , 	38 , 	141 , 	51 , 	59 , 	43 , 	21 , 	88 , 	68 , 	7 , 	34 ," 	4,446 ",,,,,,,,,,,
MT, 	53 , 	81 , 	53 , 	73 , 	215 , 	73 , 	105 , 	111 , 	126 , 	83 , 	105 , 	35 , 	61 , 	55 , 	29 , 	21 , 	31 , 	42 , 	42 , 	54 , 	58 , 	32 , 	34 , 	92 , 	165 , 	11 , 	33 , 	16 , 	30 , 	104 , 	129 , 	77 , 	146 , 	103 , 	35 , 	37 , 	86 , 	11 , 	33 , 	22 , 	34 , 	157 , 	45 , 	20 , 	30 , 	22 , 	64 , 	41 , 	4 , 	18 ," 	3,132 ",,,,,,,,,,,
PL, 	87 , 	153 , 	77 , 	81 , 	251 , 	73 , 	126 , 	153 , 	176 , 	117 , 	163 , 	78 , 	113 , 	106 , 	43 , 	42 , 	55 , 	44 , 	76 , 	64 , 	93 , 	56 , 	49 , 	105 , 	274 , 	87 , 	12 , 	87 , 	70 , 	393 , 	455 , 	228 , 	390 , 	318 , 	90 , 	50 , 	148 , 	18 , 	59 , 	84 , 	83 , 	320 , 	119 , 	37 , 	28 , 	28 , 	81 , 	50 , 	11 , 	40 ," 	5,935 ",,,,,,,,,,,
CC, 	50 , 	78 , 	64 , 	91 , 	144 , 	72 , 	110 , 	125 , 	101 , 	73 , 	111 , 	46 , 	55 , 	44 , 	23 , 	16 , 	32 , 	39 , 	34 , 	48 , 	69 , 	51 , 	38 , 	122 , 	174 , 	64 , 	26 , 	67 , 	45 , 	152 , 	215 , 	121 , 	149 , 	162 , 	51 , 	26 , 	86 , 	8 , 	24 , 	42 , 	58 , 	226 , 	110 , 	19 , 	29 , 	13 , 	27 , 	42 , 	4 , 	20 ," 	3,589 ",,,,,,,,,,,
16, 	46 , 	40 , 	29 , 	50 , 	104 , 	48 , 	83 , 	93 , 	69 , 	57 , 	64 , 	26 , 	27 , 	26 , 	10 , 	8 , 	11 , 	14 , 	21 , 	18 , 	25 , 	13 , 	14 , 	51 , 	113 , 	137 , 	94 , 	465 , 	164 , 	15 , 	62 , 	98 , 	107 , 	124 , 	45 , 	11 , 	27 , 	4 , 	12 , 	28 , 	42 , 	160 , 	74 , 	8 , 	13 , 	8 , 	15 , 	19 , 	1 , 	8 ," 	2,795 ",,,,,,,,,,,
24, 	51 , 	37 , 	17 , 	30 , 	59 , 	32 , 	61 , 	67 , 	55 , 	41 , 	57 , 	27 , 	29 , 	15 , 	13 , 	14 , 	10 , 	5 , 	16 , 	17 , 	16 , 	7 , 	8 , 	41 , 	85 , 	185 , 	124 , 	557 , 	249 , 	63 , 	12 , 	92 , 	78 , 	100 , 	47 , 	11 , 	19 , 	5 , 	17 , 	39 , 	44 , 	127 , 	57 , 	7 , 	13 , 	6 , 	4 , 	12 , 	1 , 	10 ," 	2,679 ",,,,,,,,,,,
