Exit stations,Entry stations->,,TOTAL,,,Nov 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	422 ," 	1,755 "," 	1,703 ", 	968 ," 	6,761 "," 	1,321 "," 	2,049 "," 	1,529 "," 	1,810 ", 	573 ," 	1,330 "," 	1,013 ", 	587 , 	347 , 	471 , 	257 , 	151 , 	249 , 	290 , 	197 , 	353 , 	173 , 	126 , 	292 , 	521 ," 	4,553 "," 	3,699 "," 	6,043 "," 	3,645 "," 	2,572 "," 	2,711 ", 	726 , 	893 ," 	1,257 ", 	269 , 	90 , 	156 , 	84 , 	201 , 	273 , 	356 ," 	1,217 ", 	337 , 	59 , 	245 , 	319 , 	214 , 	271 , 	99 , 	267 ," 	55,804 ",,,,,,,,,,,,,
LF, 	179 , 	140 , 	163 , 	124 , 	645 , 	107 , 	724 ," 	1,190 "," 	1,116 ", 	113 , 	264 , 	103 , 	67 , 	45 , 	65 , 	41 , 	25 , 	25 ," 	2,537 ", 	845 ," 	1,071 ", 	260 , 	317 ," 	1,008 ", 	58 ," 	7,566 "," 	5,470 "," 	2,801 "," 	2,197 ", 	774 , 	486 , 	245 , 	242 , 	181 , 	37 , 	10 , 	15 , 	130 , 	443 , 	65 , 	130 ," 	2,002 ", 	85 , 	6 , 	432 , 	49 , 	49 , 	71 , 	237 , 	279 ," 	35,234 ",,,,,,,,,,,,,
OR, 	147 , 	127 , 	97 , 	106 , 	427 , 	70 , 	532 , 	899 ," 	1,025 ", 	84 , 	176 , 	100 , 	119 , 	51 , 	60 , 	18 , 	23 , 	51 , 	596 , 	300 , 	509 , 	252 , 	251 , 	878 , 	85 ," 	6,692 "," 	4,858 "," 	2,360 "," 	2,049 ", 	746 , 	347 , 	277 , 	190 , 	316 , 	40 , 	31 , 	18 , 	38 , 	185 , 	43 , 	50 ," 	1,335 ", 	39 , 	24 , 	197 , 	16 , 	60 , 	69 , 	172 , 	129 ," 	27,264 ",,,,,,,,,,,,,
RR, 	380 , 	501 , 	432 , 	268 , 	500 , 	160 ," 	1,065 "," 	2,158 "," 	1,825 ", 	258 , 	622 , 	273 , 	369 , 	183 , 	167 , 	64 , 	150 , 	142 ," 	1,312 "," 	1,484 "," 	2,008 ", 	949 , 	879 , 	375 , 	389 ," 	10,990 "," 	8,197 "," 	5,594 "," 	5,947 "," 	2,556 "," 	1,643 ", 	841 , 	658 , 	550 , 	116 , 	53 , 	101 , 	208 , 	639 , 	235 , 	141 ," 	2,705 ", 	185 , 	39 , 	282 , 	94 , 	101 , 	137 , 	214 , 	610 ," 	59,749 ",,,,,,,,,,,,,
OW, 	600 , 	475 , 	146 , 	222 ," 	1,012 ", 	288 , 	744 , 	813 ," 	1,179 ", 	420 ," 	1,754 ", 	863 , 	707 , 	587 , 	611 , 	208 , 	240 , 	180 , 	239 , 	215 , 	217 , 	51 , 	99 , 	336 , 	530 ," 	16,918 "," 	11,262 "," 	12,868 "," 	10,324 "," 	5,130 "," 	3,177 ", 	897 ," 	1,119 ", 	761 , 	149 , 	194 , 	482 , 	52 , 	257 , 	263 , 	395 ," 	1,980 ", 	391 , 	161 , 	225 , 	133 , 	124 , 	168 , 	128 , 	295 ," 	80,589 ",,,,,,,,,,,,,
EM," 	5,479 "," 	9,908 "," 	6,133 "," 	7,187 "," 	11,346 "," 	6,439 "," 	11,162 "," 	14,802 "," 	13,973 "," 	8,628 "," 	9,272 "," 	3,980 "," 	8,618 "," 	6,527 "," 	4,441 "," 	3,509 "," 	5,100 "," 	6,169 "," 	7,333 "," 	11,082 "," 	11,653 "," 	8,772 "," 	7,945 "," 	12,346 "," 	20,155 "," 	3,273 "," 	1,460 "," 	4,606 "," 	5,633 "," 	10,791 "," 	16,057 "," 	10,279 "," 	11,676 "," 	12,119 "," 	4,267 "," 	4,849 "," 	14,261 "," 	2,052 "," 	5,795 "," 	3,901 "," 	3,304 "," 	5,855 "," 	4,649 "," 	6,025 "," 	1,522 "," 	2,132 "," 	3,196 "," 	3,399 ", 	844 ," 	5,172 "," 	369,076 ",,,,,,,,,,,,,
MT," 	4,758 "," 	8,330 "," 	5,017 "," 	5,232 "," 	8,692 "," 	5,330 "," 	8,794 "," 	11,241 "," 	9,635 "," 	6,639 "," 	8,023 "," 	3,384 "," 	7,186 "," 	6,289 "," 	3,304 "," 	3,025 "," 	3,635 "," 	4,081 "," 	5,769 "," 	8,252 "," 	7,905 "," 	5,567 "," 	4,878 "," 	8,329 "," 	13,679 "," 	1,038 "," 	2,236 "," 	1,301 "," 	3,489 "," 	10,390 "," 	16,923 "," 	11,570 "," 	15,850 "," 	14,802 "," 	4,860 "," 	3,735 "," 	9,479 "," 	1,510 "," 	4,908 "," 	4,388 "," 	4,256 "," 	6,117 "," 	5,766 "," 	3,482 "," 	1,007 "," 	1,670 "," 	2,457 "," 	2,552 ", 	857 ," 	4,345 "," 	305,962 ",,,,,,,,,,,,,
PL," 	5,446 "," 	9,155 "," 	3,972 "," 	3,529 "," 	8,498 "," 	3,590 "," 	7,087 "," 	8,476 "," 	9,046 "," 	5,789 "," 	8,519 "," 	4,345 "," 	6,257 "," 	5,826 "," 	2,804 "," 	2,093 "," 	2,661 "," 	2,485 "," 	4,842 "," 	4,753 "," 	4,735 "," 	2,670 "," 	2,300 "," 	4,825 "," 	12,989 "," 	4,686 "," 	1,410 "," 	2,742 "," 	3,076 "," 	14,222 "," 	17,988 "," 	11,903 "," 	21,498 "," 	16,102 "," 	5,135 "," 	2,576 "," 	6,593 "," 	1,265 "," 	5,556 "," 	4,418 "," 	3,922 "," 	14,666 "," 	4,817 "," 	2,218 "," 	1,003 "," 	1,168 "," 	1,607 "," 	1,799 "," 	1,156 "," 	3,548 "," 	291,766 ",,,,,,,,,,,,,
CC," 	3,580 "," 	6,430 "," 	3,620 "," 	4,563 "," 	6,232 "," 	4,617 "," 	7,732 "," 	8,556 "," 	7,280 "," 	5,206 "," 	7,883 "," 	3,300 "," 	4,937 "," 	3,646 "," 	2,229 "," 	1,856 "," 	2,077 "," 	2,205 "," 	3,796 "," 	3,668 "," 	3,675 "," 	2,131 "," 	1,963 "," 	5,517 "," 	11,379 "," 	4,410 "," 	3,175 "," 	2,933 "," 	2,108 "," 	6,889 "," 	11,055 "," 	7,811 "," 	11,239 "," 	10,516 "," 	4,012 "," 	2,288 "," 	4,843 "," 	1,211 "," 	2,981 "," 	3,669 "," 	3,719 "," 	6,518 "," 	4,603 "," 	1,644 ", 	600 ," 	1,027 "," 	1,299 "," 	1,484 ", 	692 ," 	3,608 "," 	222,412 ",,,,,,,,,,,,,
16," 	2,490 "," 	3,125 "," 	1,293 "," 	2,019 "," 	3,756 "," 	2,139 "," 	4,488 "," 	5,331 "," 	3,934 "," 	2,538 "," 	3,680 "," 	1,352 "," 	1,923 "," 	1,527 ", 	959 , 	589 , 	781 , 	779 ," 	1,259 "," 	1,285 "," 	1,354 ", 	774 , 	712 ," 	2,423 "," 	5,429 "," 	10,089 "," 	10,358 "," 	16,027 "," 	7,937 ", 	717 ," 	2,900 "," 	4,859 "," 	7,108 "," 	6,761 "," 	2,474 ", 	820 ," 	1,571 ", 	448 ," 	1,778 "," 	1,849 "," 	1,972 "," 	4,745 "," 	2,640 ", 	584 , 	346 , 	437 , 	430 , 	634 , 	301 ," 	1,333 "," 	145,057 ",,,,,,,,,,,,,
24," 	2,705 "," 	2,697 ", 	968 ," 	1,204 "," 	3,209 "," 	1,359 "," 	3,024 "," 	3,418 "," 	3,125 "," 	1,812 "," 	2,998 "," 	1,474 "," 	1,333 ", 	942 , 	586 , 	716 , 	342 , 	409 ," 	1,093 ", 	810 , 	723 , 	562 , 	346 ," 	1,498 "," 	3,593 "," 	14,408 "," 	14,838 "," 	21,439 "," 	12,215 "," 	2,969 ", 	780 ," 	4,676 "," 	5,526 "," 	5,622 "," 	2,479 ", 	402 , 	869 , 	335 ," 	1,448 "," 	1,633 "," 	1,844 "," 	3,449 "," 	2,169 ", 	344 , 	327 , 	217 , 	305 , 	339 , 	200 , 	900 ," 	140,679 ",,,,,,,,,,,,,
