Exit stations,Entry stations->,,SATURDAY,,,Jun 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	9 , 	6 , 	7 , 	11 , 	45 , 	7 , 	24 , 	31 , 	35 , 	4 , 	21 , 	70 , 	4 , 	5 , 	4 , 	4 , 	2 , 	7 , 	91 , 	32 , 	47 , 	12 , 	13 , 	55 , 	3 , 	269 , 	173 , 	254 , 	169 , 	42 , 	27 , 	12 , 	7 , 	15 , 	78 , 	2 , 	3 , 	7 , 	29 , 	4 , 	4 , 	67 , 	9 , 	1 ," 	1,720 ",,,CM line," 	36,397 "," 	5,261 "," 	6,762 ",,,,,
OR, 	6 , 	11 , 	7 , 	8 , 	36 , 	7 , 	23 , 	23 , 	31 , 	7 , 	20 , 	57 , 	5 , 	3 , 	3 , 	3 , 	3 , 	20 , 	28 , 	17 , 	29 , 	12 , 	8 , 	51 , 	4 , 	219 , 	122 , 	204 , 	133 , 	45 , 	29 , 	11 , 	10 , 	14 , 	64 , 	1 , 	2 , 	3 , 	11 , 	1 , 	3 , 	56 , 	9 , 	0 ," 	1,356 ",,,RM line," 	16,117 "," 	5,060 "," 	4,977 "," 	4,238 ",,,,
RR, 	15 , 	19 , 	34 , 	23 , 	47 , 	19 , 	45 , 	70 , 	72 , 	18 , 	42 , 	75 , 	13 , 	12 , 	7 , 	7 , 	7 , 	14 , 	44 , 	59 , 	103 , 	57 , 	52 , 	14 , 	21 , 	425 , 	315 , 	560 , 	373 , 	224 , 	122 , 	36 , 	17 , 	19 , 	71 , 	6 , 	10 , 	12 , 	23 , 	4 , 	4 , 	99 , 	20 , 	4 ," 	3,235 ",,,WP line," 	16,330 "," 	2,402 "," 	3,906 "," 	1,864 "," 	3,228 ",,,
OW, 	23 , 	30 , 	13 , 	8 , 	57 , 	43 , 	52 , 	35 , 	73 , 	16 , 	95 , 	76 , 	29 , 	37 , 	17 , 	11 , 	8 , 	10 , 	7 , 	5 , 	7 , 	3 , 	4 , 	16 , 	11 , 	479 , 	361 , 	839 , 	393 , 	252 , 	132 , 	26 , 	37 , 	22 , 	44 , 	9 , 	14 , 	3 , 	22 , 	6 , 	10 , 	40 , 	12 , 	6 ," 	3,391 ",,,FT/ED line," 	21,424 "," 	5,893 "," 	4,628 "," 	5,483 "," 	3,038 "," 	9,574 ",,
EM, 	150 , 	411 , 	264 , 	375 , 	839 , 	295 , 	542 , 	364 , 	441 , 	286 , 	387 , 	346 , 	250 , 	248 , 	164 , 	112 , 	208 , 	432 , 	300 , 	455 , 	614 , 	313 , 	283 , 	539 , 	571 , 	86 , 	38 , 	353 , 	206 , 	606 , 	687 , 	408 , 	500 , 	363 , 	288 , 	214 ," 	1,150 ", 	158 , 	298 , 	116 , 	124 , 	471 , 	278 , 	236 ," 	15,771 ",,,SFIA," 	11,229 ", 	923 ," 	5,676 "," 	1,465 "," 	1,644 "," 	1,132 ", 	990 ," 	199,834 "
MT, 	125 , 	258 , 	163 , 	236 , 	448 , 	208 , 	347 , 	298 , 	333 , 	261 , 	282 , 	207 , 	191 , 	181 , 	105 , 	87 , 	127 , 	224 , 	171 , 	222 , 	273 , 	173 , 	130 , 	363 , 	415 , 	42 , 	52 , 	70 , 	118 , 	588 , 	657 , 	490 ," 	1,114 ", 	422 , 	293 , 	110 , 	352 , 	76 , 	170 , 	104 , 	108 , 	406 , 	211 , 	127 ," 	11,337 ",,,,,,,,,,,
PL, 	251 , 	589 , 	303 , 	375 ," 	1,041 ", 	360 , 	649 , 	493 , 	624 , 	455 , 	611 , 	477 , 	344 , 	345 , 	210 , 	148 , 	231 , 	461 , 	284 , 	321 , 	398 , 	237 , 	207 , 	509 , 	861 , 	400 , 	61 , 	139 , 	269 ," 	1,747 "," 	1,868 "," 	1,116 "," 	1,958 "," 	1,138 ", 	808 , 	185 , 	640 , 	112 , 	325 , 	300 , 	306 ," 	1,654 ", 	630 , 	178 ," 	24,618 ",,,,,,,,,,,
CC, 	125 , 	280 , 	157 , 	247 , 	524 , 	266 , 	436 , 	322 , 	275 , 	225 , 	376 , 	262 , 	152 , 	156 , 	116 , 	83 , 	103 , 	226 , 	142 , 	138 , 	229 , 	158 , 	124 , 	341 , 	414 , 	190 , 	88 , 	277 , 	82 , 	758 , 	869 , 	436 , 	682 , 	478 , 	341 , 	98 , 	293 , 	62 , 	182 , 	129 , 	198 , 	536 , 	358 , 	85 ," 	12,018 ",,,,,,,,,,,
16, 	84 , 	108 , 	92 , 	174 , 	399 , 	258 , 	408 , 	278 , 	175 , 	181 , 	204 , 	105 , 	64 , 	62 , 	36 , 	32 , 	31 , 	85 , 	52 , 	59 , 	75 , 	45 , 	45 , 	245 , 	281 , 	583 , 	464 ," 	1,901 ", 	891 , 	45 , 	416 , 	379 , 	526 , 	316 , 	151 , 	36 , 	86 , 	18 , 	54 , 	82 , 	140 , 	193 , 	268 , 	27 ," 	10,155 ",,,,,,,,,,,
24, 	87 , 	102 , 	59 , 	102 , 	195 , 	135 , 	203 , 	140 , 	126 , 	71 , 	141 , 	101 , 	47 , 	47 , 	33 , 	27 , 	26 , 	40 , 	36 , 	37 , 	53 , 	26 , 	24 , 	125 , 	134 , 	579 , 	496 ," 	1,991 ", 	901 , 	381 , 	47 , 	271 , 	449 , 	248 , 	179 , 	18 , 	49 , 	11 , 	65 , 	69 , 	146 , 	162 , 	161 , 	14 ," 	8,355 ",,,,,,,,,,,
