Avg Saturday Trip OD																																																			
																																																			
2024 / 12																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
CC	68	113	68	96	149	86	150	175	155	101	157	70	80	63	34	28	43	46	60	79	112	94	64	124	308	71	35	80	58	172	233	133	166	220	89	41	145	19	38	58	70	191	103	45	14	19	14	37	38	50	"4,654"
16	55	61	33	50	102	66	122	124	92	57	95	33	43	30	18	14	17	22	23	33	37	28	26	80	181	189	146	522	194	44	91	117	160	170	57	18	48	6	26	44	57	134	71	19	5	12	5	19	10	20	"3,618"
24	64	56	32	50	82	38	89	105	69	45	79	31	30	28	22	15	11	17	22	18	28	12	17	67	113	217	171	674	278	94	25	108	143	169	63	11	24	4	24	47	60	108	67	7	8	8	5	16	8	16	"3,488"
GP	11	17	10	15	43	11	22	27	18	13	13	10	9	9	5	5	4	5	9	8	8	7	4	19	26	119	107	387	130	105	94	12	23	33	22	5	11	4	12	11	24	61	32	3	6	2	2	6	2	5	"1,537"
BP	19	19	11	8	24	10	16	24	26	16	23	9	17	15	8	5	6	4	10	10	13	8	2	17	28	140	122	588	159	132	120	18	14	28	33	6	16	2	8	24	32	67	30	4	3	7	3	11	2	7	"1,917"
DC	22	26	5	6	31	9	14	19	20	17	21	18	22	17	10	7	6	10	12	10	11	4	5	13	22	151	129	568	252	191	166	35	35	16	18	9	19	3	18	26	59	120	63	6	6	7	2	9	8	12	"2,277"
CM	11	8	5	2	7	3	7	5	10	3	5	2	2	3	3	1	2	1	5	3	5	1	1	4	8	37	33	174	79	58	62	18	32	18	8	1	1	1	8	3	16	56	24	1	0	2	1	4		2	740
CV	1	3	2	3	10	4	4	5	7	26	22	12	19	14	7	7	9	5	3	1	2	1		2	5	61	48	117	36	14	12	5	4	8	1	6	39	1	1	1	3	7	1	39	3	2	1	1	3	2	582
ED	6	8	6	3	36	7	10	14	10	36	57	41	38	42	36	18	17	15	5	2	4	1	0	4	8	191	111	319	137	44	25	14	18	23	2	39	18	0	3	3	3	66	5	16	22	5	2	1	23	30	"1,539"
NC	1	1	2	1	4	1	6	4	3		2	1	2	1	1	1	0	1	10	6	7	4	2	7	2	22	10	40	23	6	2	4	3	3	1	0	1	3	7	1	0	19	2		4	0	7	7		3	234
WP	4	7	2	3	9	2	25	10	11	5	11	9	3	4	4	4	1	2	52	24	46	10	5	14	4	56	46	143	43	25	24	10	14	14	7	2	3	5	12	4	5	39	1	2	6	3	6	9	3	4	751
SS	7	10	2	3	6	3	3	6	9	1	4	3	3	3	3	4	1	0	5	3	5	2	1	2	5	44	29	132	67	42	38	12	25	28	7	2	4	2	4	6	13	35	12	1	1	1	1	6	0	1	599
SB	10	9	4	2	8	2	6	8	9	4	6	9	6	3	3	1	2	2	8	3	7	3	1	2	8	34	31	108	61	48	54	22	35	45	8	4	3	1	5	10	8	52	6	2	1	1	2	4	0	1	663
SO	52	41	38	56	217	41	58	50	53	14	20	12	8	8	5	5	6	8	41	71	68	49	30	65	63	124	96	372	156	101	70	49	45	96	45	5	45	14	33	26	63	36	278	13	9	5	3	35	5	4	"2,801"
MB	11	13	7	8	56	10	8	15	15	3	9	3	2	3	4	1	1	0	5	5	6	1	1	6	10	53	40	160	102	59	54	22	34	62	22	1	5	1	1	10	10	233	32	1	1	0	1	3	0		"1,104"
WD	3	3	1	1	8	3	10	6	5	18	31	13	27	32	21	12	6	9	2	2	2		1	2	6	82	42	109	45	18	5	6	4	6		37	15	1	2	3	2	16	2	6	7	3	0	1	7	7	642
OA	4	11	8	9	97	11	11	8	13	10	7	8	4	5	4	2	4	5	8	11	12	2	3	4	4	33	14	32	15	9	5	5	3	6		1	9	2	6		0	10	1	5	5	4	1	6	5	5	442
WS	2	7	3	4	22	4	9	9	6	10	16	14	16	11	20	16	26	18	1	3	1	1	0	0	4	39	16	46	19	6	4	3	5	5	1	1	6	0	2	0	1	5	1	4	4	12	1	2	26	26	452
PC	6	5	1	1	3	1	8	6	6	2	3	5	1	3	1	2	1	0	35	10	20	5	4	4	3	11	12	22	11	6	7	3	4	3	1		2	5	5	1	3	5	1	0	2	2	2	11	1	1	251
AN	6	6	5	2	10	6	28	13	16	3	12	13	6	6	6	2	2	4	41	18	36	9	4	15	6	53	35	102	43	17	16	9	13	17	1	1	3	7	10	6	4	60	4	2	10	2	17	9	4	6	721
ML	7	7	4	9	58	8	11	10	11	16	24	10	18	20	38	21	43	52	7	4	3	1	2	3	3	61	33	84	38	14	9	4	5	11	1	5	17		4	1	2	6		7	5	27	2	3	16	19	757
BE	9	21	7	12	93	14	26	27	17	22	34	20	26	24	42	30	42	57	8	8	8	2	1	7	7	54	39	103	47	19	12	6	8	17	2	4	29	3	5	0		5	1	6	3	39	1	5	20	15	996
Grand Total	"1,358"	"1,728"	"1,092"	"1,071"	"3,400"	"1,095"	"1,933"	"2,206"	"1,954"	"1,249"	"2,140"	"1,194"	"1,490"	"1,344"	"1,115"	666	784	920	"1,144"	"1,001"	"1,444"	873	625	"1,475"	"2,381"	"5,242"	"3,565"	"10,020"	"4,632"	"3,460"	"3,315"	"1,594"	"2,109"	"2,190"	735	592	"1,525"	242	746	570	755	"3,217"	"1,201"	643	404	517	241	621	740	934	"85,486"
