Avg Sunday Trip OD																																																			
																																																			
2024 / 12																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
WP	3	4	2	1	5	1	17	4	9	2	6	5	3	4	2	1	2	1	55	18	40	8	4	8	3	38	33	105	28	13	12	6	8	10	4	1	1	8	6	3	4	37	2	2	6	1	3	6	2	3	555
SS	6	4	3	3	5	3	5	2	7	3	6	1	1	2	2	1	2	1	3	4	5	1	2	4	3	32	16	106	48	39	32	11	17	22	6	1	2	2	4	5	10	34	9		2	0	1	4	1	1	485
SB	9	5	2	1	7	1	6	4	7	1	5	4	4	3	4	1	0	1	6	3	3	1	1	3	7	16	19	110	51	39	36	13	29	34	15	1	2	1	4	10	8	98	5	0	2	0	1	2	0		581
SO	41	40	32	52	117	36	52	50	54	12	15	9	7	6	4	3	8	10	49	56	70	50	34	57	61	126	100	434	163	99	67	47	40	99	33	4	50	11	37	16	37	70	193	16	5	3	5	34	4	3	"2,622"
MB	9	9	4	6	25	9	8	10	10	4	7	3	3	2	1	1	1	1	3	3	5	1	3	2	6	44	34	128	75	42	30	18	21	42	17	1	6	2	3	5	8	377	21	0	2	0	0	3	1		"1,019"
WD	3	3	2	2	12	2	7	5	2	12	25	14	20	28	13	9	6	5	1	1	1	0	1	0	4	64	30	88	39	11	4	5	4	6	1	35	17	1	2	1	2	18	1	6	10	3	1	1	7	6	536
OA	2	8	6	9	29	10	7	7	5	5	3	6	5	3	2	2	3	4	7	10	7	3	3	4	3	29	14	43	12	8	10	3	3	5	0	0	11	3	4	1	1	7		5	7	1	1	6	4	3	331
WS	5	5	1	3	12	2	8	7	4	10	16	14	7	15	21	18	24	16	2	2	1	1	0	1	4	32	16	40	16	5	4	3	3	3	0	1	4	1	1	1		6		4	2	8	2	1	20	20	392
PC	2	3	0		3	2	8	3	2	0	2	3	2	3	3	1	1	1	32	8	14	3	4	3	3	8	9	15	10	2	2	1	2	1	2	0	2	4	3	0	1	5	0		2	0	2	8	0	1	186
AN	6	6	2	2	6	2	27	10	9	2	7	6	5	2	6	1	3	3	41	14	23	5	3	11	6	37	33	85	41	13	11	6	8	11	5	0	3	7	8	6	4	53	2	2	9	3	9	9	3	4	582
ML	4	10	2	6	34	7	8	9	13	20	24	14	15	17	24	21	41	39	4	3	2	3	3	3	3	58	35	86	29	15	9	4	6	8	1	4	14	1	1	1	1	6	1	7	5	22	0	3	12	13	669
BE	11	23	7	10	49	13	18	21	14	18	23	15	25	20	37	24	38	45	9	3	8	2	3	3	6	52	31	84	47	13	13	6	8	11	1	3	28	1	3	1	2	7		7	4	26	0	5	14	9	819
Grand Total	"1,050"	"1,302"	845	832	"2,243"	828	"1,400"	"1,593"	"1,461"	"1,159"	"1,664"	886	"1,129"	"1,025"	857	522	591	677	906	733	"1,071"	607	436	"1,026"	"1,665"	"3,913"	"2,557"	"8,202"	"3,639"	"2,547"	"2,446"	"1,178"	"1,556"	"1,667"	590	433	"1,172"	176	560	433	599	"3,702"	866	501	603	372	165	501	709	791	"66,387"
