Exit stations,Entry stations->,,SATURDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	3 , 	10 , 	11 , 	7 , 	19 , 	7 , 	12 , 	7 , 	10 , 	3 , 	13 , 	7 , 	3 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	17 , 	17 , 	34 , 	19 , 	16 , 	19 , 	5 , 	6 , 	5 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	1 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	284 ,,,,,,,,,,
16, 	15 , 	52 , 	9 , 	14 , 	42 , 	24 , 	48 , 	49 , 	39 , 	32 , 	50 , 	23 , 	16 , 	15 , 	11 , 	5 , 	9 , 	5 , 	16 , 	9 , 	12 , 	4 , 	5 , 	16 , 	58 , 	66 , 	39 , 	170 , 	79 , 	10 , 	23 , 	36 , 	71 , 	56 , 	30 , 	5 , 	13 , 	2 , 	12 , 	13 , 	18 , 	17 , 	11 , 	7 , 	2 , 	1 , 	5 , 	7 , 	4 , 	6 ," 	1,274 ",,,,,,,,,,
24, 	18 , 	49 , 	10 , 	9 , 	24 , 	10 , 	25 , 	29 , 	29 , 	16 , 	43 , 	23 , 	20 , 	19 , 	13 , 	8 , 	3 , 	3 , 	11 , 	5 , 	4 , 	4 , 	3 , 	10 , 	37 , 	56 , 	49 , 	226 , 	83 , 	18 , 	9 , 	36 , 	63 , 	54 , 	32 , 	4 , 	7 , 	3 , 	19 , 	25 , 	35 , 	11 , 	9 , 	4 , 	0 , 	1 , 	4 , 	5 , 	5 , 	7 ," 	1,184 ",,,,,,,,,,
GP, 	3 , 	14 , 	2 , 	4 , 	9 , 	3 , 	12 , 	9 , 	6 , 	6 , 	9 , 	7 , 	5 , 	4 , 	3 , 	2 , 	1 , 	2 , 	2 , 	4 , 	3 , 	1 , 	1 , 	8 , 	8 , 	27 , 	34 , 	121 , 	33 , 	37 , 	32 , 	7 , 	8 , 	8 , 	9 , 	1 , 	4 , 	1 , 	9 , 	5 , 	16 , 	8 , 	6 , 	-   , 	1 , 	1 , 	0 , 	2 , 	2 , 	5 , 	500 ,,,,,,,,,,
BP, 	4 , 	14 , 	4 , 	3 , 	9 , 	5 , 	9 , 	10 , 	12 , 	11 , 	13 , 	6 , 	6 , 	5 , 	5 , 	2 , 	1 , 	3 , 	4 , 	1 , 	4 , 	1 , 	1 , 	3 , 	15 , 	56 , 	47 , 	309 , 	86 , 	72 , 	53 , 	8 , 	5 , 	11 , 	16 , 	1 , 	7 , 	1 , 	5 , 	9 , 	26 , 	21 , 	12 , 	3 , 	1 , 	2 , 	1 , 	2 , 	0 , 	5 , 	904 ,,,,,,,,,,
DC, 	3 , 	14 , 	5 , 	4 , 	12 , 	2 , 	5 , 	10 , 	11 , 	7 , 	16 , 	8 , 	7 , 	5 , 	6 , 	2 , 	2 , 	4 , 	3 , 	2 , 	4 , 	1 , 	1 , 	2 , 	9 , 	44 , 	43 , 	238 , 	85 , 	70 , 	61 , 	9 , 	15 , 	9 , 	8 , 	2 , 	6 , 	2 , 	5 , 	9 , 	21 , 	36 , 	14 , 	2 , 	1 , 	1 , 	3 , 	3 , 	2 , 	3 , 	832 ,,,,,,,,,,
CM, 	1 , 	6 , 	-   , 	1 , 	1 , 	1 , 	4 , 	3 , 	7 , 	3 , 	3 , 	1 , 	1 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	1 , 	2 , 	-   , 	-   , 	1 , 	3 , 	8 , 	10 , 	68 , 	31 , 	26 , 	25 , 	11 , 	17 , 	4 , 	5 , 	0 , 	0 , 	1 , 	5 , 	2 , 	9 , 	21 , 	3 , 	1 , 	-   , 	1 , 	-   , 	1 , 	3 , 	1 , 	301 ,,,,,,,,,,
CV, 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	2 , 	2 , 	2 , 	8 , 	12 , 	6 , 	9 , 	8 , 	2 , 	1 , 	3 , 	2 , 	-   , 	-   , 	1 , 	1 , 	1 , 	1 , 	2 , 	12 , 	12 , 	22 , 	5 , 	4 , 	4 , 	2 , 	2 , 	4 , 	1 , 	2 , 	16 , 	0 , 	-   , 	0 , 	1 , 	1 , 	1 , 	14 , 	1 , 	1 , 	1 , 	0 , 	-   , 	-   , 	168 ,,,,,,,,,,
ED, 	1 , 	4 , 	1 , 	1 , 	6 , 	2 , 	3 , 	3 , 	4 , 	12 , 	29 , 	10 , 	14 , 	19 , 	10 , 	4 , 	5 , 	6 , 	0 , 	2 , 	1 , 	0 , 	-   , 	-   , 	4 , 	40 , 	23 , 	45 , 	22 , 	12 , 	10 , 	4 , 	10 , 	4 , 	1 , 	14 , 	8 , 	-   , 	3 , 	0 , 	1 , 	11 , 	2 , 	8 , 	4 , 	1 , 	5 , 	4 , 	1 , 	2 , 	370 ,,,,,,,,,,
NC, 	-   , 	1 , 	1 , 	-   , 	1 , 	0 , 	2 , 	1 , 	4 , 	0 , 	2 , 	1 , 	0 , 	1 , 	1 , 	-   , 	-   , 	-   , 	5 , 	1 , 	4 , 	3 , 	0 , 	2 , 	0 , 	6 , 	5 , 	13 , 	3 , 	2 , 	3 , 	1 , 	1 , 	2 , 	1 , 	-   , 	1 , 	1 , 	5 , 	1 , 	0 , 	5 , 	1 , 	-   , 	2 , 	-   , 	0 , 	0 , 	2 , 	4 , 	85 ,,,,,,,,,,
WP, 	3 , 	5 , 	1 , 	1 , 	9 , 	1 , 	10 , 	5 , 	6 , 	1 , 	7 , 	4 , 	1 , 	3 , 	3 , 	2 , 	1 , 	2 , 	37 , 	13 , 	24 , 	6 , 	2 , 	6 , 	4 , 	21 , 	20 , 	44 , 	10 , 	16 , 	18 , 	5 , 	8 , 	5 , 	4 , 	0 , 	2 , 	3 , 	5 , 	2 , 	2 , 	11 , 	4 , 	0 , 	2 , 	-   , 	1 , 	2 , 	5 , 	6 , 	348 ,,,,,,,,,,
