Exit stations,Entry stations->,,SUNDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	4 , 	7 , 	5 , 	5 , 	16 , 	6 , 	7 , 	5 , 	7 , 	7 , 	11 , 	6 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	4 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	12 , 	12 , 	25 , 	11 , 	15 , 	10 , 	2 , 	4 , 	4 , 	3 , 	1 , 	-   , 	-   , 	1 , 	3 , 	2 , 	2 , 	1 , 	-   , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	213 ,,,,,,,,,,,
LF, 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	4 , 	4 , 	2 , 	0 , 	3 , 	0 , 	2 , 	1 , 	0 , 	0 , 	1 , 	1 , 	28 , 	12 , 	8 , 	3 , 	2 , 	3 , 	1 , 	7 , 	6 , 	9 , 	8 , 	3 , 	3 , 	-   , 	1 , 	-   , 	-   , 	1 , 	0 , 	2 , 	3 , 	-   , 	0 , 	6 , 	1 , 	-   , 	1 , 	0 , 	1 , 	-   , 	4 , 	4 , 	133 ,,,,,,,,,,,
OR, 	0 , 	1 , 	0 , 	-   , 	2 , 	0 , 	1 , 	3 , 	2 , 	1 , 	3 , 	1 , 	1 , 	2 , 	-   , 	0 , 	1 , 	1 , 	7 , 	4 , 	7 , 	3 , 	2 , 	7 , 	-   , 	10 , 	4 , 	11 , 	4 , 	7 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	-   , 	2 , 	1 , 	-   , 	-   , 	1 , 	1 , 	0 , 	0 , 	2 , 	1 , 	93 ,,,,,,,,,,,
RR, 	2 , 	5 , 	7 , 	1 , 	3 , 	1 , 	6 , 	7 , 	8 , 	3 , 	11 , 	4 , 	4 , 	3 , 	2 , 	2 , 	2 , 	1 , 	6 , 	9 , 	8 , 	5 , 	10 , 	2 , 	4 , 	20 , 	17 , 	27 , 	17 , 	13 , 	9 , 	5 , 	3 , 	3 , 	0 , 	-   , 	1 , 	2 , 	2 , 	1 , 	1 , 	7 , 	1 , 	0 , 	2 , 	0 , 	-   , 	1 , 	2 , 	4 , 	248 ,,,,,,,,,,,
OW, 	2 , 	5 , 	1 , 	1 , 	7 , 	2 , 	6 , 	5 , 	10 , 	10 , 	18 , 	9 , 	3 , 	7 , 	2 , 	1 , 	0 , 	1 , 	5 , 	1 , 	3 , 	1 , 	-   , 	3 , 	7 , 	75 , 	39 , 	105 , 	50 , 	40 , 	27 , 	6 , 	8 , 	7 , 	4 , 	4 , 	3 , 	0 , 	2 , 	1 , 	4 , 	12 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	500 ,,,,,,,,,,,
EM, 	11 , 	46 , 	17 , 	9 , 	25 , 	17 , 	33 , 	38 , 	41 , 	30 , 	39 , 	35 , 	31 , 	25 , 	17 , 	7 , 	10 , 	12 , 	23 , 	14 , 	15 , 	6 , 	11 , 	23 , 	75 , 	17 , 	5 , 	15 , 	12 , 	27 , 	31 , 	14 , 	33 , 	20 , 	10 , 	14 , 	36 , 	9 , 	16 , 	5 , 	10 , 	18 , 	6 , 	12 , 	5 , 	6 , 	6 , 	5 , 	8 , 	18 , 	964 ,,,,,,,,,,,
MT, 	15 , 	48 , 	13 , 	10 , 	25 , 	18 , 	32 , 	30 , 	38 , 	33 , 	31 , 	20 , 	30 , 	39 , 	11 , 	7 , 	6 , 	6 , 	19 , 	19 , 	13 , 	7 , 	5 , 	20 , 	57 , 	5 , 	10 , 	6 , 	9 , 	22 , 	29 , 	24 , 	52 , 	26 , 	14 , 	7 , 	19 , 	2 , 	13 , 	5 , 	13 , 	18 , 	7 , 	5 , 	5 , 	4 , 	5 , 	7 , 	5 , 	13 , 	871 ,,,,,,,,,,,
PL, 	23 , 	72 , 	22 , 	12 , 	39 , 	27 , 	42 , 	46 , 	65 , 	57 , 	86 , 	50 , 	41 , 	37 , 	21 , 	10 , 	10 , 	12 , 	32 , 	23 , 	23 , 	10 , 	7 , 	15 , 	96 , 	17 , 	3 , 	30 , 	9 , 	81 , 	112 , 	61 , 	151 , 	114 , 	45 , 	15 , 	34 , 	9 , 	30 , 	22 , 	24 , 	37 , 	10 , 	11 , 	4 , 	6 , 	6 , 	11 , 	5 , 	16 ," 	1,734 ",,,,,,,,,,,
CC, 	8 , 	35 , 	8 , 	10 , 	19 , 	16 , 	31 , 	32 , 	40 , 	39 , 	71 , 	29 , 	17 , 	13 , 	11 , 	5 , 	5 , 	7 , 	18 , 	13 , 	11 , 	4 , 	4 , 	14 , 	58 , 	12 , 	10 , 	11 , 	22 , 	29 , 	35 , 	29 , 	54 , 	41 , 	23 , 	5 , 	10 , 	1 , 	11 , 	12 , 	16 , 	31 , 	10 , 	6 , 	2 , 	5 , 	5 , 	9 , 	3 , 	12 , 	916 ,,,,,,,,,,,
16, 	13 , 	39 , 	10 , 	9 , 	21 , 	16 , 	28 , 	39 , 	39 , 	25 , 	38 , 	16 , 	16 , 	8 , 	7 , 	4 , 	6 , 	6 , 	10 , 	7 , 	10 , 	5 , 	6 , 	18 , 	42 , 	26 , 	19 , 	104 , 	40 , 	19 , 	12 , 	20 , 	41 , 	37 , 	18 , 	2 , 	8 , 	1 , 	12 , 	7 , 	16 , 	24 , 	9 , 	2 , 	2 , 	2 , 	2 , 	5 , 	3 , 	6 , 	867 ,,,,,,,,,,,
24, 	6 , 	29 , 	8 , 	10 , 	10 , 	6 , 	20 , 	24 , 	17 , 	24 , 	42 , 	17 , 	12 , 	13 , 	5 , 	4 , 	1 , 	2 , 	10 , 	6 , 	6 , 	3 , 	2 , 	8 , 	33 , 	29 , 	25 , 	129 , 	58 , 	10 , 	26 , 	20 , 	35 , 	32 , 	24 , 	3 , 	10 , 	2 , 	6 , 	18 , 	23 , 	16 , 	7 , 	1 , 	3 , 	2 , 	1 , 	4 , 	5 , 	4 , 	804 ,,,,,,,,,,,
GP, 	3 , 	13 , 	2 , 	3 , 	4 , 	2 , 	7 , 	9 , 	10 , 	3 , 	5 , 	3 , 	2 , 	4 , 	2 , 	2 , 	2 , 	1 , 	4 , 	2 , 	1 , 	2 , 	2 , 	6 , 	6 , 	17 , 	19 , 	71 , 	23 , 	18 , 	19 , 	14 , 	5 , 	5 , 	8 , 	2 , 	3 , 	0 , 	4 , 	3 , 	12 , 	9 , 	5 , 	1 , 	2 , 	0 , 	1 , 	1 , 	-   , 	2 , 	336 ,,,,,,,,,,,
BP, 	5 , 	14 , 	3 , 	1 , 	5 , 	3 , 	7 , 	7 , 	7 , 	9 , 	11 , 	5 , 	6 , 	2 , 	4 , 	1 , 	1 , 	3 , 	3 , 	2 , 	3 , 	1 , 	1 , 	1 , 	10 , 	32 , 	28 , 	192 , 	48 , 	44 , 	33 , 	4 , 	13 , 	7 , 	12 , 	2 , 	2 , 	0 , 	6 , 	9 , 	19 , 	20 , 	8 , 	2 , 	1 , 	1 , 	1 , 	2 , 	2 , 	4 , 	599 ,,,,,,,,,,,
DC, 	3 , 	6 , 	1 , 	1 , 	3 , 	2 , 	5 , 	4 , 	6 , 	5 , 	9 , 	6 , 	5 , 	6 , 	2 , 	3 , 	1 , 	3 , 	3 , 	2 , 	3 , 	1 , 	1 , 	5 , 	8 , 	27 , 	16 , 	131 , 	52 , 	38 , 	36 , 	7 , 	10 , 	8 , 	2 , 	0 , 	4 , 	1 , 	4 , 	5 , 	15 , 	35 , 	10 , 	1 , 	1 , 	2 , 	2 , 	3 , 	2 , 	5 , 	506 ,,,,,,,,,,,
CM, 	2 , 	5 , 	-   , 	1 , 	3 , 	0 , 	2 , 	3 , 	7 , 	1 , 	2 , 	3 , 	2 , 	3 , 	1 , 	1 , 	1 , 	2 , 	3 , 	1 , 	1 , 	0 , 	1 , 	1 , 	4 , 	8 , 	8 , 	54 , 	22 , 	21 , 	23 , 	6 , 	13 , 	7 , 	4 , 	-   , 	-   , 	0 , 	4 , 	2 , 	9 , 	28 , 	3 , 	1 , 	-   , 	-   , 	-   , 	0 , 	0 , 	3 , 	258 ,,,,,,,,,,,
CV, 	1 , 	-   , 	-   , 	-   , 	1 , 	-   , 	0 , 	1 , 	1 , 	8 , 	10 , 	6 , 	8 , 	8 , 	3 , 	2 , 	4 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	-   , 	3 , 	7 , 	7 , 	16 , 	5 , 	2 , 	3 , 	1 , 	3 , 	1 , 	-   , 	2 , 	14 , 	-   , 	-   , 	-   , 	1 , 	2 , 	-   , 	14 , 	0 , 	1 , 	0 , 	-   , 	-   , 	-   , 	133 ,,,,,,,,,,,
