Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	7 , 	26 , 	22 , 	20 , 	67 , 	23 , 	36 , 	26 , 	40 , 	10 , 	29 , 	28 , 	11 , 	8 , 	7 , 	8 , 	3 , 	4 , 	8 , 	3 , 	8 , 	3 , 	2 , 	5 , 	13 , 	74 , 	82 , 	128 , 	86 , 	67 , 	68 , 	19 , 	19 , 	12 , 	6 , 	1 , 	3 , 	1 , 	4 , 	5 , 	8 , 	7 , 	6 , 	1 , 	2 , 	6 , 	2 , 	3 , 	4 , 	2 ," 	1,036 ",,,,,,,,,,,,,
LF, 	3 , 	2 , 	2 , 	0 , 	3 , 	1 , 	8 , 	5 , 	7 , 	1 , 	6 , 	2 , 	2 , 	1 , 	3 , 	0 , 	1 , 	0 , 	37 , 	11 , 	14 , 	2 , 	3 , 	7 , 	1 , 	19 , 	31 , 	20 , 	19 , 	6 , 	9 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	2 , 	6 , 	0 , 	1 , 	3 , 	1 , 	0 , 	1 , 	1 , 	-   , 	0 , 	6 , 	4 , 	258 ,,,,,,,,,,,,,
OR, 	3 , 	2 , 	0 , 	1 , 	1 , 	1 , 	5 , 	6 , 	8 , 	1 , 	12 , 	1 , 	2 , 	3 , 	1 , 	0 , 	0 , 	1 , 	10 , 	5 , 	12 , 	2 , 	1 , 	5 , 	0 , 	19 , 	23 , 	14 , 	11 , 	7 , 	4 , 	2 , 	0 , 	1 , 	0 , 	0 , 	0 , 	0 , 	3 , 	0 , 	0 , 	3 , 	1 , 	0 , 	2 , 	-   , 	0 , 	0 , 	2 , 	2 , 	179 ,,,,,,,,,,,,,
RR, 	5 , 	6 , 	5 , 	2 , 	1 , 	2 , 	9 , 	10 , 	14 , 	2 , 	17 , 	6 , 	7 , 	4 , 	3 , 	3 , 	2 , 	2 , 	15 , 	18 , 	15 , 	7 , 	8 , 	4 , 	6 , 	36 , 	38 , 	35 , 	33 , 	15 , 	8 , 	4 , 	6 , 	2 , 	0 , 	0 , 	2 , 	3 , 	12 , 	1 , 	1 , 	5 , 	1 , 	0 , 	0 , 	0 , 	0 , 	1 , 	4 , 	8 , 	387 ,,,,,,,,,,,,,
OW, 	11 , 	10 , 	2 , 	2 , 	11 , 	7 , 	14 , 	14 , 	19 , 	5 , 	41 , 	27 , 	13 , 	22 , 	10 , 	6 , 	3 , 	3 , 	7 , 	4 , 	4 , 	1 , 	0 , 	5 , 	7 , 	180 , 	154 , 	202 , 	156 , 	70 , 	51 , 	14 , 	18 , 	15 , 	5 , 	3 , 	10 , 	1 , 	4 , 	6 , 	6 , 	10 , 	5 , 	2 , 	1 , 	3 , 	1 , 	2 , 	4 , 	6 ," 	1,177 ",,,,,,,,,,,,,
EM, 	85 , 	135 , 	47 , 	31 , 	51 , 	38 , 	75 , 	94 , 	90 , 	86 , 	129 , 	84 , 	118 , 	88 , 	63 , 	52 , 	36 , 	29 , 	78 , 	81 , 	52 , 	24 , 	22 , 	40 , 	197 , 	15 , 	10 , 	35 , 	38 , 	68 , 	107 , 	66 , 	159 , 	120 , 	44 , 	38 , 	88 , 	24 , 	79 , 	31 , 	24 , 	17 , 	14 , 	29 , 	7 , 	10 , 	8 , 	12 , 	26 , 	78 ," 	2,974 ",,,,,,,,,,,,,
MT, 	99 , 	150 , 	47 , 	32 , 	46 , 	39 , 	83 , 	97 , 	99 , 	76 , 	142 , 	80 , 	123 , 	111 , 	51 , 	47 , 	38 , 	30 , 	86 , 	64 , 	59 , 	33 , 	24 , 	36 , 	186 , 	9 , 	12 , 	17 , 	34 , 	88 , 	152 , 	121 , 	291 , 	151 , 	65 , 	38 , 	55 , 	22 , 	97 , 	40 , 	47 , 	21 , 	24 , 	16 , 	4 , 	14 , 	10 , 	12 , 	20 , 	69 ," 	3,305 ",,,,,,,,,,,,,
PL, 	99 , 	138 , 	49 , 	24 , 	47 , 	40 , 	94 , 	86 , 	120 , 	86 , 	170 , 	92 , 	103 , 	87 , 	52 , 	40 , 	29 , 	23 , 	90 , 	73 , 	45 , 	16 , 	13 , 	30 , 	180 , 	43 , 	14 , 	17 , 	29 , 	149 , 	210 , 	154 , 	323 , 	214 , 	85 , 	36 , 	73 , 	23 , 	87 , 	60 , 	63 , 	39 , 	29 , 	22 , 	5 , 	8 , 	5 , 	13 , 	28 , 	60 ," 	3,617 ",,,,,,,,,,,,,
CC, 	75 , 	120 , 	42 , 	27 , 	43 , 	37 , 	91 , 	89 , 	80 , 	74 , 	169 , 	89 , 	75 , 	79 , 	42 , 	33 , 	31 , 	23 , 	89 , 	58 , 	39 , 	15 , 	11 , 	28 , 	158 , 	38 , 	29 , 	25 , 	16 , 	72 , 	113 , 	80 , 	202 , 	144 , 	67 , 	23 , 	57 , 	27 , 	70 , 	47 , 	40 , 	28 , 	39 , 	13 , 	3 , 	6 , 	10 , 	14 , 	16 , 	64 ," 	2,860 ",,,,,,,,,,,,,
16, 	60 , 	63 , 	15 , 	13 , 	24 , 	18 , 	50 , 	46 , 	49 , 	39 , 	73 , 	37 , 	41 , 	36 , 	21 , 	21 , 	10 , 	10 , 	29 , 	25 , 	16 , 	7 , 	6 , 	13 , 	71 , 	69 , 	82 , 	164 , 	91 , 	7 , 	27 , 	52 , 	115 , 	93 , 	47 , 	7 , 	20 , 	6 , 	42 , 	27 , 	31 , 	18 , 	19 , 	6 , 	2 , 	4 , 	3 , 	4 , 	14 , 	30 ," 	1,774 ",,,,,,,,,,,,,
24, 	63 , 	67 , 	15 , 	15 , 	24 , 	13 , 	33 , 	31 , 	32 , 	28 , 	67 , 	40 , 	34 , 	24 , 	13 , 	15 , 	8 , 	8 , 	24 , 	12 , 	12 , 	8 , 	5 , 	8 , 	55 , 	89 , 	128 , 	257 , 	142 , 	30 , 	13 , 	45 , 	90 , 	84 , 	41 , 	5 , 	9 , 	7 , 	36 , 	37 , 	35 , 	15 , 	23 , 	7 , 	3 , 	3 , 	2 , 	3 , 	13 , 	21 ," 	1,792 ",,,,,,,,,,,,,
GP, 	14 , 	16 , 	3 , 	4 , 	9 , 	4 , 	12 , 	14 , 	15 , 	11 , 	18 , 	14 , 	10 , 	9 , 	7 , 	5 , 	2 , 	1 , 	11 , 	5 , 	2 , 	2 , 	1 , 	4 , 	12 , 	67 , 	105 , 	157 , 	77 , 	50 , 	43 , 	7 , 	16 , 	16 , 	12 , 	2 , 	4 , 	2 , 	7 , 	7 , 	18 , 	10 , 	9 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	12 , 	837 ,,,,,,,,,,,,,
BP, 	20 , 	25 , 	5 , 	3 , 	11 , 	6 , 	9 , 	14 , 	25 , 	19 , 	17 , 	14 , 	12 , 	13 , 	9 , 	5 , 	4 , 	4 , 	10 , 	2 , 	5 , 	1 , 	1 , 	5 , 	21 , 	130 , 	168 , 	400 , 	193 , 	96 , 	84 , 	15 , 	7 , 	14 , 	19 , 	3 , 	7 , 	1 , 	9 , 	17 , 	30 , 	19 , 	24 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	6 ," 	1,514 ",,,,,,,,,,,,,
