Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	4 , 	3 , 	3 , 	5 , 	17 , 	2 , 	11 , 	9 , 	25 , 	3 , 	6 , 	52 , 	3 , 	1 , 	2 , 	1 , 	1 , 	5 , 	54 , 	15 , 	24 , 	8 , 	9 , 	30 , 	0 , 	135 , 	44 , 	114 , 	61 , 	14 , 	13 , 	6 , 	2 , 	5 , 	2 , 	1 , 	1 , 	2 , 	7 , 	2 , 	1 , 	33 , 	6 , 	738 ,,,CM line," 	18,875 "," 	1,720 "," 	3,201 ",,,,,
OR, 	5 , 	3 , 	4 , 	2 , 	11 , 	4 , 	11 , 	5 , 	18 , 	3 , 	11 , 	44 , 	3 , 	3 , 	1 , 	2 , 	2 , 	5 , 	24 , 	8 , 	12 , 	6 , 	4 , 	26 , 	1 , 	106 , 	50 , 	125 , 	49 , 	9 , 	13 , 	7 , 	3 , 	6 , 	2 , 	1 , 	2 , 	2 , 	6 , 	1 , 	-   , 	24 , 	7 , 	627 ,,,RM line," 	6,983 "," 	2,606 "," 	1,781 "," 	2,165 ",,,,
RR, 	10 , 	10 , 	13 , 	10 , 	21 , 	14 , 	18 , 	18 , 	47 , 	12 , 	13 , 	80 , 	6 , 	7 , 	6 , 	4 , 	3 , 	14 , 	31 , 	31 , 	60 , 	29 , 	34 , 	7 , 	10 , 	206 , 	119 , 	326 , 	186 , 	58 , 	50 , 	24 , 	10 , 	14 , 	8 , 	3 , 	5 , 	7 , 	13 , 	2 , 	3 , 	63 , 	12 ," 	1,610 ",,,WP line," 	7,471 "," 	1,069 "," 	1,508 ", 	825 ," 	2,001 ",,,
OW, 	19 , 	19 , 	2 , 	8 , 	22 , 	20 , 	27 , 	11 , 	49 , 	19 , 	56 , 	53 , 	16 , 	18 , 	13 , 	4 , 	5 , 	4 , 	5 , 	1 , 	5 , 	-   , 	1 , 	10 , 	7 , 	149 , 	106 , 	250 , 	114 , 	47 , 	47 , 	12 , 	11 , 	7 , 	2 , 	2 , 	14 , 	0 , 	10 , 	2 , 	2 , 	19 , 	4 ," 	1,186 ",,,FT/ED line," 	11,861 "," 	3,568 "," 	2,662 "," 	3,454 "," 	1,990 "," 	6,781 ",,
EM, 	60 , 	167 , 	121 , 	131 , 	274 , 	110 , 	184 , 	103 , 	203 , 	110 , 	148 , 	377 , 	114 , 	103 , 	70 , 	44 , 	91 , 	197 , 	161 , 	214 , 	288 , 	150 , 	123 , 	225 , 	197 , 	40 , 	27 , 	131 , 	57 , 	242 , 	318 , 	171 , 	198 , 	138 , 	87 , 	96 , 	558 , 	57 , 	112 , 	34 , 	44 , 	267 , 	149 ," 	6,688 ",,,SFIA," 	4,353 "," 	1,192 "," 	1,122 ", 	672 , 	814 , 	364 , 	442 ," 	97,585 "
MT, 	48 , 	101 , 	68 , 	84 , 	162 , 	77 , 	114 , 	95 , 	228 , 	122 , 	116 , 	194 , 	75 , 	70 , 	37 , 	33 , 	60 , 	109 , 	60 , 	80 , 	101 , 	55 , 	55 , 	118 , 	99 , 	26 , 	29 , 	58 , 	58 , 	304 , 	323 , 	305 , 	894 , 	158 , 	93 , 	40 , 	135 , 	18 , 	52 , 	25 , 	24 , 	181 , 	68 ," 	5,149 ",,,,,,,,,,,
PL, 	99 , 	246 , 	122 , 	180 , 	527 , 	196 , 	268 , 	179 , 	389 , 	230 , 	309 , 	500 , 	187 , 	163 , 	104 , 	73 , 	135 , 	324 , 	131 , 	181 , 	224 , 	107 , 	125 , 	322 , 	304 , 	119 , 	49 , 	111 , 	124 , 	766 ," 	1,108 ", 	569 ," 	1,023 ", 	427 , 	266 , 	93 , 	424 , 	53 , 	155 , 	80 , 	100 , 	594 , 	265 ," 	11,946 ",,,,,,,,,,,
CC, 	50 , 	91 , 	63 , 	105 , 	220 , 	114 , 	182 , 	109 , 	176 , 	105 , 	126 , 	279 , 	78 , 	67 , 	43 , 	37 , 	41 , 	112 , 	86 , 	70 , 	108 , 	65 , 	44 , 	142 , 	124 , 	47 , 	37 , 	125 , 	68 , 	476 , 	611 , 	245 , 	454 , 	171 , 	141 , 	38 , 	163 , 	23 , 	53 , 	38 , 	52 , 	363 , 	105 ," 	5,839 ",,,,,,,,,,,
16, 	42 , 	38 , 	24 , 	44 , 	80 , 	47 , 	91 , 	46 , 	61 , 	44 , 	75 , 	101 , 	21 , 	17 , 	14 , 	12 , 	10 , 	33 , 	23 , 	12 , 	18 , 	13 , 	9 , 	57 , 	50 , 	193 , 	206 , 	783 , 	492 , 	42 , 	162 , 	104 , 	219 , 	101 , 	65 , 	7 , 	33 , 	6 , 	21 , 	17 , 	31 , 	117 , 	42 ," 	3,618 ",,,,,,,,,,,
24, 	78 , 	57 , 	15 , 	38 , 	71 , 	54 , 	65 , 	44 , 	57 , 	39 , 	106 , 	137 , 	29 , 	22 , 	15 , 	14 , 	15 , 	23 , 	37 , 	21 , 	20 , 	13 , 	12 , 	53 , 	55 , 	260 , 	245 ," 	1,174 ", 	651 , 	162 , 	46 , 	97 , 	251 , 	136 , 	114 , 	7 , 	37 , 	6 , 	48 , 	26 , 	56 , 	160 , 	40 ," 	4,603 ",,,,,,,,,,,
