Exit stations,Entry stations->,,TOTAL,,,Dec 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	482 ," 	1,690 "," 	1,540 ", 	847 ," 	5,216 "," 	1,237 "," 	1,891 "," 	1,394 "," 	1,642 ", 	484 ," 	1,210 ", 	903 , 	584 , 	306 , 	427 , 	230 , 	135 , 	242 , 	317 , 	167 , 	360 , 	188 , 	147 , 	282 , 	445 ," 	4,125 "," 	3,319 "," 	6,021 "," 	3,307 "," 	2,258 "," 	2,453 ", 	671 , 	803 , 	773 , 	264 , 	73 , 	128 , 	54 , 	169 , 	219 , 	302 ," 	1,090 ", 	315 , 	57 , 	203 , 	256 , 	206 , 	212 , 	103 , 	239 ," 	49,986 ",,,,,,,,,,,,,
CL, 	986 , 	927 , 	232 , 	308 ," 	1,222 ", 	586 ," 	1,419 "," 	1,275 "," 	1,457 "," 	1,634 "," 	2,556 ", 	304 ," 	1,608 "," 	1,860 "," 	1,440 ", 	771 , 	652 , 	495 , 	355 , 	170 , 	156 , 	93 , 	63 , 	198 , 	914 ," 	2,875 "," 	2,406 "," 	4,202 "," 	2,818 "," 	1,151 "," 	1,406 ", 	417 , 	494 , 	622 , 	104 , 	503 ," 	1,057 ", 	63 , 	343 , 	152 , 	168 , 	295 , 	187 , 	298 , 	354 , 	792 , 	409 , 	455 , 	165 , 	535 ," 	43,952 ",,,,,,,,,,,,,
SL, 	662 , 	763 , 	315 , 	424 ," 	1,560 ", 	525 ," 	1,346 "," 	1,838 "," 	2,619 "," 	3,590 "," 	3,814 "," 	1,839 ", 	456 ," 	2,002 "," 	2,634 "," 	1,373 "," 	1,212 "," 	1,570 ", 	320 , 	290 , 	319 , 	57 , 	102 , 	318 , 	609 ," 	6,506 "," 	5,972 "," 	8,061 "," 	5,348 "," 	1,943 "," 	1,254 ", 	519 , 	775 , 	946 , 	80 , 	634 ," 	1,853 ", 	87 , 	252 , 	165 , 	145 , 	518 , 	124 , 	792 , 	175 ," 	1,057 ", 	790 , 	723 , 	85 , 	319 ," 	69,680 ",,,,,,,,,,,,,
BF, 	353 , 	473 , 	230 , 	264 ," 	1,229 ", 	328 , 	825 ," 	1,349 "," 	2,042 "," 	2,531 "," 	3,481 "," 	1,842 "," 	1,903 ", 	520 ," 	1,517 "," 	1,201 ", 	997 ," 	1,300 ", 	309 , 	72 , 	196 , 	36 , 	30 , 	177 , 	619 ," 	5,206 "," 	4,850 "," 	7,555 "," 	4,280 "," 	1,404 ", 	953 , 	449 , 	446 , 	526 , 	105 , 	592 ," 	1,714 ", 	33 , 	117 , 	171 , 	121 , 	325 , 	122 , 	959 , 	108 ," 	1,013 ", 	681 , 	519 , 	70 , 	142 ," 	56,285 ",,,,,,,,,,,,,
HY, 	382 , 	707 , 	203 , 	267 ," 	1,109 ", 	359 , 	816 ," 	1,373 "," 	1,598 "," 	1,425 "," 	2,783 "," 	1,610 "," 	2,782 "," 	1,624 ", 	383 ," 	1,198 "," 	2,335 "," 	2,732 ", 	275 , 	140 , 	238 , 	86 , 	56 , 	157 , 	496 ," 	3,015 "," 	2,509 "," 	3,254 "," 	2,056 ", 	767 , 	505 , 	278 , 	281 , 	497 , 	117 , 	220 , 	956 , 	49 , 	243 , 	99 , 	134 , 	257 , 	123 , 	477 , 	171 ," 	1,550 "," 	1,193 "," 	1,034 ", 	79 , 	258 ," 	45,256 ",,,,,,,,,,,,,
SH, 	227 , 	237 , 	115 , 	94 , 	682 , 	195 , 	519 , 	713 , 	956 , 	983 ," 	1,168 ", 	756 ," 	1,210 "," 	1,049 "," 	1,145 ", 	264 , 	887 ," 	1,370 ", 	163 , 	101 , 	142 , 	35 , 	21 , 	99 , 	216 ," 	2,549 "," 	2,280 "," 	2,477 "," 	1,907 ", 	488 , 	594 , 	113 , 	209 , 	236 , 	43 , 	253 , 	486 , 	34 , 	80 , 	74 , 	50 , 	123 , 	60 , 	337 , 	156 ," 	1,304 ", 	777 , 	707 , 	43 , 	97 ," 	28,824 ",,,,,,,,,,,,,
UC, 	172 , 	340 , 	164 , 	163 ," 	1,208 ", 	210 , 	571 ," 	1,241 "," 	1,461 ", 	960 ," 	1,154 ", 	706 ," 	1,247 "," 	1,134 "," 	2,478 ", 	913 , 	417 ," 	1,220 ", 	136 , 	118 , 	173 , 	30 , 	24 , 	138 , 	268 ," 	4,184 "," 	2,977 "," 	3,251 "," 	2,164 ", 	715 , 	359 , 	206 , 	231 , 	352 , 	65 , 	178 , 	695 , 	21 , 	93 , 	91 , 	59 , 	305 , 	54 , 	354 , 	201 ," 	1,420 "," 	1,397 "," 	1,140 ", 	39 , 	81 ," 	37,278 ",,,,,,,,,,,,,
FM, 	259 , 	404 , 	219 , 	234 ," 	1,080 ", 	245 , 	616 ," 	1,114 "," 	1,333 ", 	928 ," 	1,220 ", 	506 ," 	1,583 "," 	1,317 "," 	2,777 "," 	1,528 "," 	1,205 ", 	506 , 	172 , 	106 , 	100 , 	34 , 	47 , 	120 , 	180 ," 	5,286 "," 	3,413 "," 	3,266 "," 	2,152 ", 	676 , 	376 , 	195 , 	189 , 	313 , 	76 , 	261 , 	661 , 	22 , 	100 , 	29 , 	73 , 	536 , 	39 , 	294 , 	301 ," 	1,509 "," 	2,079 "," 	1,658 ", 	67 , 	141 ," 	41,545 ",,,,,,,,,,,,,
CN, 	335 , 	471 , 	187 , 	219 , 	865 , 	235 ," 	1,701 "," 	1,575 "," 	1,775 ", 	308 , 	417 , 	327 , 	381 , 	306 , 	323 , 	163 , 	142 , 	165 , 	557 ," 	1,311 "," 	3,883 "," 	2,037 ", 	568 ," 	1,096 ", 	300 ," 	5,702 "," 	5,001 "," 	5,291 "," 	4,218 "," 	1,208 "," 	1,047 ", 	479 , 	458 , 	644 , 	208 , 	71 , 	169 , 	514 ," 	2,548 ", 	192 , 	265 ," 	1,819 ", 	222 , 	64 , 	379 , 	93 , 	187 , 	207 ," 	1,552 "," 	1,875 "," 	54,060 ",,,,,,,,,,,,,
PH, 	172 , 	231 , 	179 , 	165 , 	768 , 	245 ," 	1,211 "," 	1,719 "," 	2,067 ", 	162 , 	266 , 	189 , 	211 , 	114 , 	138 , 	126 , 	97 , 	109 ," 	1,266 ", 	353 ," 	1,416 ", 	628 , 	325 ," 	1,266 ", 	218 ," 	8,156 "," 	7,114 "," 	5,829 "," 	4,012 "," 	1,295 ", 	656 , 	408 , 	356 , 	540 , 	70 , 	42 , 	85 , 	274 , 	936 , 	189 , 	195 ," 	2,330 ", 	130 , 	19 , 	569 , 	90 , 	104 , 	129 , 	501 , 	913 ," 	48,583 ",,,,,,,,,,,,,
WC, 	384 , 	464 , 	305 , 	297 ," 	1,374 ", 	209 ," 	1,774 "," 	2,021 "," 	2,363 ", 	291 , 	407 , 	162 , 	324 , 	182 , 	196 , 	151 , 	184 , 	127 ," 	4,227 "," 	1,465 ", 	478 ," 	1,052 ", 	538 ," 	1,918 ", 	189 ," 	9,448 "," 	7,473 "," 	6,200 "," 	4,030 "," 	1,331 ", 	806 , 	520 , 	454 , 	437 , 	165 , 	75 , 	89 , 	520 ," 	2,035 ", 	219 , 	270 ," 	2,945 ", 	223 , 	30 , 	524 , 	56 , 	134 , 	137 , 	759 ," 	1,480 "," 	61,442 ",,,,,,,,,,,,,
LF, 	219 , 	182 , 	163 , 	99 , 	531 , 	113 , 	687 ," 	1,077 ", 	997 , 	91 , 	232 , 	76 , 	52 , 	39 , 	88 , 	41 , 	26 , 	39 ," 	2,412 ", 	795 ," 	1,141 ", 	284 , 	311 , 	995 , 	43 ," 	7,070 "," 	5,365 "," 	3,525 "," 	2,444 ", 	808 , 	498 , 	195 , 	226 , 	165 , 	36 , 	11 , 	15 , 	120 , 	413 , 	56 , 	105 ," 	1,817 ", 	89 , 	5 , 	318 , 	59 , 	37 , 	67 , 	188 , 	266 ," 	34,631 ",,,,,,,,,,,,,
OR, 	151 , 	96 , 	92 , 	100 , 	317 , 	75 , 	417 , 	789 , 	918 , 	72 , 	157 , 	82 , 	89 , 	40 , 	57 , 	8 , 	16 , 	38 , 	514 , 	269 , 	570 , 	259 , 	235 , 	798 , 	80 ," 	6,011 "," 	4,438 "," 	2,866 "," 	2,216 ", 	712 , 	384 , 	295 , 	135 , 	206 , 	23 , 	24 , 	14 , 	44 , 	179 , 	51 , 	49 ," 	1,210 ", 	41 , 	16 , 	153 , 	15 , 	46 , 	53 , 	160 , 	136 ," 	25,716 ",,,,,,,,,,,,,
RR, 	383 , 	475 , 	416 , 	269 , 	483 , 	182 , 	936 ," 	1,769 "," 	1,749 ", 	185 , 	559 , 	199 , 	363 , 	192 , 	158 , 	89 , 	153 , 	112 ," 	1,075 "," 	1,330 "," 	1,813 ", 	933 , 	772 , 	314 , 	361 ," 	9,377 "," 	7,687 "," 	6,683 "," 	5,368 "," 	2,361 "," 	1,560 ", 	760 , 	539 , 	374 , 	75 , 	55 , 	91 , 	174 , 	504 , 	178 , 	149 ," 	2,124 ", 	158 , 	45 , 	216 , 	81 , 	95 , 	129 , 	215 , 	558 ," 	54,826 ",,,,,,,,,,,,,
OW, 	504 , 	513 , 	120 , 	237 , 	880 , 	301 , 	716 , 	747 , 	991 , 	357 ," 	1,663 ", 	912 , 	608 , 	601 , 	516 , 	218 , 	208 , 	174 , 	238 , 	218 , 	199 , 	50 , 	70 , 	324 , 	771 ," 	14,960 "," 	10,547 "," 	13,589 "," 	9,581 "," 	4,894 "," 	3,001 ", 	792 , 	906 , 	634 , 	117 , 	147 , 	448 , 	36 , 	242 , 	230 , 	314 ," 	1,616 ", 	320 , 	119 , 	157 , 	131 , 	124 , 	145 , 	131 , 	277 ," 	75,594 ",,,,,,,,,,,,,
EM," 	4,942 "," 	9,317 "," 	5,732 "," 	6,544 "," 	9,522 "," 	5,554 "," 	9,469 "," 	12,982 "," 	12,225 "," 	7,977 "," 	8,449 "," 	3,430 "," 	8,043 "," 	6,255 "," 	3,993 "," 	3,234 "," 	4,942 "," 	6,076 "," 	6,790 "," 	9,903 "," 	10,998 "," 	8,371 "," 	7,261 "," 	10,542 "," 	17,877 "," 	2,172 ", 	849 ," 	4,419 "," 	4,141 "," 	9,401 "," 	13,754 "," 	9,307 "," 	10,109 "," 	10,524 "," 	3,873 "," 	4,746 "," 	13,506 "," 	1,915 "," 	5,382 "," 	3,456 "," 	3,097 "," 	5,652 "," 	4,177 "," 	5,775 "," 	1,435 "," 	2,187 "," 	3,081 "," 	3,154 ", 	727 ," 	4,645 "," 	331,912 ",,,,,,,,,,,,,
MT," 	4,634 "," 	7,872 "," 	4,852 "," 	5,172 "," 	7,370 "," 	5,243 "," 	8,287 "," 	10,067 "," 	9,466 "," 	6,277 "," 	7,342 "," 	2,929 "," 	6,747 "," 	6,029 "," 	2,946 "," 	2,754 "," 	3,470 "," 	3,645 "," 	5,319 "," 	7,683 "," 	7,732 "," 	5,586 "," 	4,704 "," 	8,190 "," 	12,529 ", 	942 ," 	1,540 "," 	1,166 "," 	2,706 "," 	9,149 "," 	14,524 "," 	10,404 "," 	14,071 "," 	13,026 "," 	4,417 "," 	3,466 "," 	8,905 "," 	1,505 "," 	4,694 "," 	3,738 "," 	3,570 "," 	5,648 "," 	4,439 "," 	3,373 ", 	857 ," 	1,570 "," 	2,220 "," 	2,267 ", 	746 ," 	3,898 "," 	279,686 ",,,,,,,,,,,,,
PL," 	5,408 "," 	9,062 "," 	4,395 "," 	4,144 "," 	7,909 "," 	3,812 "," 	7,538 "," 	8,477 "," 	9,360 "," 	5,952 "," 	8,597 "," 	3,968 "," 	6,771 "," 	6,105 "," 	3,068 "," 	2,269 "," 	2,782 "," 	3,114 "," 	5,043 "," 	5,404 "," 	5,902 "," 	3,729 "," 	2,966 "," 	5,969 "," 	13,773 "," 	5,328 "," 	1,400 "," 	2,899 "," 	3,262 "," 	15,633 "," 	19,564 "," 	13,212 "," 	19,364 "," 	15,849 "," 	4,925 "," 	2,912 "," 	7,899 "," 	1,471 "," 	5,425 "," 	4,272 "," 	4,019 "," 	18,254 "," 	4,811 "," 	2,508 "," 	1,075 "," 	1,264 "," 	1,997 "," 	2,139 "," 	1,087 "," 	3,642 "," 	309,728 ",,,,,,,,,,,,,
CC," 	3,217 "," 	5,826 "," 	3,168 "," 	3,698 "," 	4,538 "," 	3,783 "," 	6,719 "," 	7,162 "," 	6,166 "," 	4,419 "," 	7,148 "," 	2,885 "," 	4,627 "," 	3,524 "," 	2,095 "," 	1,671 "," 	1,921 "," 	1,926 "," 	3,689 "," 	3,555 "," 	3,663 "," 	2,440 "," 	2,159 "," 	4,859 "," 	10,113 "," 	3,636 "," 	2,369 "," 	2,986 "," 	1,682 "," 	6,035 "," 	9,264 "," 	6,964 "," 	9,450 "," 	9,528 "," 	3,723 "," 	2,255 "," 	4,844 "," 	1,199 "," 	3,022 "," 	3,437 "," 	3,314 "," 	6,022 "," 	3,838 "," 	1,765 ", 	501 , 	866 ," 	1,142 "," 	1,264 ", 	600 ," 	3,083 "," 	197,760 ",,,,,,,,,,,,,
16," 	2,303 "," 	2,596 "," 	1,146 "," 	1,778 "," 	2,587 "," 	1,863 "," 	4,008 "," 	4,400 "," 	3,343 "," 	2,412 "," 	3,398 "," 	1,116 "," 	1,743 "," 	1,299 ", 	831 , 	520 , 	688 , 	742 ," 	1,115 "," 	1,168 "," 	1,269 ", 	830 , 	683 ," 	2,281 "," 	5,218 "," 	8,551 "," 	8,885 "," 	16,808 "," 	6,935 ", 	709 ," 	2,552 "," 	4,272 "," 	5,845 "," 	6,074 "," 	2,267 ", 	707 ," 	1,459 ", 	394 ," 	1,636 "," 	1,677 "," 	1,828 "," 	4,017 "," 	2,337 ", 	644 , 	308 , 	366 , 	426 , 	637 , 	326 ," 	1,174 "," 	130,171 ",,,,,,,,,,,,,
24," 	2,409 "," 	2,268 ", 	904 ," 	1,195 "," 	2,271 "," 	1,287 "," 	2,801 "," 	3,113 "," 	2,816 "," 	1,722 "," 	2,782 "," 	1,286 "," 	1,286 ", 	977 , 	511 , 	645 , 	313 , 	414 ," 	1,030 ", 	729 , 	735 , 	514 , 	397 ," 	1,536 "," 	3,488 "," 	12,218 "," 	12,371 "," 	22,611 "," 	11,014 "," 	2,563 ", 	774 ," 	4,083 "," 	4,359 "," 	4,557 "," 	2,230 ", 	396 , 	978 , 	272 ," 	1,305 "," 	1,505 "," 	1,870 "," 	3,103 "," 	1,985 ", 	360 , 	291 , 	202 , 	288 , 	364 , 	204 , 	899 ," 	128,231 ",,,,,,,,,,,,,
GP, 	608 , 	843 , 	398 , 	459 ," 	1,356 ", 	482 , 	883 ," 	1,422 "," 	1,388 ", 	575 , 	731 , 	322 , 	420 , 	425 , 	292 , 	117 , 	213 , 	171 , 	418 , 	360 , 	450 , 	240 , 	223 , 	744 , 	928 ," 	8,353 "," 	9,229 "," 	14,120 "," 	6,812 "," 	4,316 "," 	4,028 ", 	450 , 	985 ," 	1,095 ", 	755 , 	188 , 	477 , 	77 , 	390 , 	541 , 	831 ," 	1,911 "," 	1,116 ", 	187 , 	204 , 	97 , 	142 , 	126 , 	62 , 	526 ," 	71,486 ",,,,,,,,,,,,,
BP, 	717 , 	952 , 	343 , 	303 , 	677 , 	358 , 	791 , 	976 ," 	1,341 ", 	728 , 	966 , 	489 , 	768 , 	426 , 	251 , 	209 , 	200 , 	177 , 	446 , 	343 , 	447 , 	223 , 	155 , 	500 ," 	1,153 "," 	8,491 "," 	9,247 "," 	21,360 "," 	8,721 "," 	5,102 "," 	4,253 ", 	923 , 	408 ," 	1,182 "," 	1,147 ", 	219 , 	428 , 	143 , 	377 , 	814 ," 	1,371 "," 	1,519 "," 	1,258 ", 	190 , 	93 , 	127 , 	164 , 	171 , 	143 , 	375 ," 	82,165 ",,,,,,,,,,,,,
DC, 	834 ," 	1,252 ", 	392 , 	249 , 	825 , 	340 , 	767 ," 	1,068 "," 	1,423 ", 	710 ," 	1,054 ", 	606 , 	853 , 	549 , 	488 , 	255 , 	342 , 	304 , 	594 , 	520 , 	457 , 	157 , 	195 , 	348 , 	768 ," 	9,890 "," 	11,639 "," 	17,727 "," 	9,994 "," 	6,112 "," 	4,849 "," 	1,208 "," 	1,427 ", 	683 , 	665 , 	295 , 	803 , 	144 , 	554 ," 	1,319 "," 	2,111 "," 	4,187 "," 	2,841 ", 	299 , 	162 , 	175 , 	295 , 	286 , 	157 , 	504 ," 	93,676 ",,,,,,,,,,,,,
CM, 	253 , 	300 , 	110 , 	130 , 	242 , 	57 , 	215 , 	366 , 	577 , 	135 , 	150 , 	95 , 	74 , 	85 , 	97 , 	48 , 	47 , 	60 , 	232 , 	95 , 	166 , 	43 , 	31 , 	108 , 	132 ," 	3,743 "," 	3,812 "," 	5,714 "," 	3,716 "," 	2,124 "," 	2,062 ", 	765 ," 	1,176 ", 	569 , 	243 , 	51 , 	90 , 	48 , 	200 , 	226 , 	720 ," 	1,520 ", 	990 , 	14 , 	21 , 	28 , 	13 , 	16 , 	75 , 	283 ," 	32,067 ",,,,,,,,,,,,,
CV, 	87 , 	121 , 	56 , 	35 , 	323 , 	77 , 	133 , 	363 , 	320 ," 	1,224 ", 	836 , 	506 , 	663 , 	595 , 	259 , 	235 , 	196 , 	269 , 	72 , 	50 , 	67 , 	10 , 	23 , 	76 , 	157 ," 	4,100 "," 	3,135 "," 	3,327 "," 	2,414 ", 	771 , 	437 , 	175 , 	260 , 	340 , 	31 , 	193 ," 	1,522 ", 	9 , 	37 , 	59 , 	46 , 	263 , 	69 ," 	1,332 ", 	90 , 	177 , 	155 , 	124 , 	1 , 	51 ," 	25,871 ",,,,,,,,,,,,,
ED, 	151 , 	262 , 	129 , 	104 , 	867 , 	246 , 	523 , 	983 ," 	1,437 "," 	1,798 "," 	1,965 "," 	1,159 "," 	1,887 "," 	1,602 ", 	974 , 	533 , 	696 , 	647 , 	140 , 	65 , 	84 , 	24 , 	8 , 	85 , 	424 ," 	11,723 "," 	8,227 "," 	8,564 "," 	5,034 "," 	1,559 ", 	972 , 	535 , 	442 , 	806 , 	119 ," 	1,514 ", 	741 , 	16 , 	71 , 	148 , 	127 ," 	2,157 ", 	173 , 	438 , 	903 , 	283 , 	535 , 	698 , 	36 , 	82 ," 	62,696 ",,,,,,,,,,,,,
NC, 	57 , 	46 , 	51 , 	23 , 	151 , 	10 , 	304 , 	404 , 	557 , 	121 , 	81 , 	47 , 	93 , 	28 , 	33 , 	41 , 	18 , 	24 , 	483 , 	274 , 	426 , 	89 , 	64 , 	181 , 	41 ," 	1,456 "," 	1,294 "," 	1,587 "," 	1,360 ", 	383 , 	338 , 	94 , 	170 , 	168 , 	37 , 	10 , 	18 , 	98 , 	346 , 	66 , 	94 , 	611 , 	49 , 	10 , 	101 , 	38 , 	19 , 	50 , 	322 , 	308 ," 	12,674 ",,,,,,,,,,,,,
