Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,May 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	8 , 	8 , 	5 , 	5 , 	40 , 	4 , 	11 , 	14 , 	30 , 	7 , 	12 , 	39 , 	3 , 	4 , 	3 , 	2 , 	0 , 	4 , 	35 , 	12 , 	25 , 	9 , 	3 , 	41 , 	8 , 	212 , 	109 , 	213 , 	53 , 	13 , 	18 , 	10 , 	6 , 	12 , 	12 , 	0 , 	4 , 	4 , 	9 ," 	1,011 ",,,FT/ED line," 	17,049 "," 	5,245 "," 	3,705 "," 	4,942 "," 	2,130 "," 	8,905 "," 	143,268 "
RR, 	29 , 	21 , 	19 , 	29 , 	24 , 	7 , 	14 , 	23 , 	77 , 	16 , 	28 , 	56 , 	11 , 	10 , 	3 , 	2 , 	2 , 	10 , 	55 , 	25 , 	39 , 	26 , 	19 , 	6 , 	14 , 	421 , 	305 , 	470 , 	237 , 	36 , 	51 , 	16 , 	3 , 	18 , 	13 , 	2 , 	5 , 	3 , 	19 ," 	2,164 ",,,,,,,,,,
OW, 	33 , 	33 , 	12 , 	11 , 	42 , 	34 , 	40 , 	23 , 	57 , 	11 , 	69 , 	69 , 	19 , 	32 , 	18 , 	9 , 	6 , 	32 , 	14 , 	6 , 	11 , 	5 , 	7 , 	12 , 	6 , 	306 , 	237 , 	586 , 	154 , 	85 , 	90 , 	12 , 	23 , 	22 , 	12 , 	9 , 	29 , 	6 , 	11 ," 	2,194 ",,,,,,,,,,
EM, 	88 , 	373 , 	225 , 	284 , 	492 , 	228 , 	375 , 	216 , 	375 , 	226 , 	297 , 	316 , 	222 , 	217 , 	139 , 	94 , 	181 , 	397 , 	314 , 	469 , 	538 , 	441 , 	316 , 	489 , 	357 , 	60 , 	40 , 	221 , 	110 , 	404 , 	585 , 	362 , 	355 , 	422 , 	323 , 	228 , 	999 , 	198 , 	236 ," 	12,214 ",,,,,,,,,,
MT, 	98 , 	213 , 	148 , 	193 , 	348 , 	143 , 	266 , 	170 , 	368 , 	190 , 	228 , 	170 , 	144 , 	118 , 	69 , 	53 , 	117 , 	213 , 	113 , 	155 , 	181 , 	98 , 	91 , 	252 , 	267 , 	28 , 	39 , 	84 , 	78 , 	514 , 	654 , 	554 ," 	1,441 ", 	313 , 	209 , 	70 , 	248 , 	41 , 	99 ," 	8,774 ",,,,,,,,,,
PL, 	199 , 	524 , 	254 , 	300 , 	941 , 	302 , 	487 , 	310 , 	652 , 	364 , 	557 , 	515 , 	300 , 	256 , 	179 , 	123 , 	228 , 	445 , 	227 , 	337 , 	397 , 	207 , 	244 , 	459 , 	615 , 	189 , 	72 , 	140 , 	206 ," 	1,311 "," 	1,828 "," 	1,050 "," 	1,868 ", 	961 , 	694 , 	164 , 	619 , 	93 , 	249 ," 	18,867 ",,,,,,,,,,
CC, 	73 , 	160 , 	95 , 	145 , 	341 , 	160 , 	249 , 	170 , 	223 , 	139 , 	189 , 	192 , 	93 , 	73 , 	55 , 	37 , 	46 , 	98 , 	83 , 	101 , 	120 , 	62 , 	55 , 	194 , 	160 , 	88 , 	77 , 	199 , 	80 , 	604 , 	827 , 	356 , 	812 , 	283 , 	293 , 	45 , 	168 , 	23 , 	66 ," 	7,236 ",,,,,,,,,,
16, 	75 , 	70 , 	34 , 	60 , 	129 , 	80 , 	112 , 	81 , 	83 , 	60 , 	115 , 	83 , 	46 , 	36 , 	29 , 	20 , 	17 , 	28 , 	33 , 	21 , 	23 , 	14 , 	12 , 	72 , 	88 , 	267 , 	327 ," 	1,226 ", 	640 , 	45 , 	273 , 	205 , 	424 , 	175 , 	127 , 	16 , 	41 , 	8 , 	41 ," 	5,234 ",,,,,,,,,,
24, 	130 , 	108 , 	31 , 	51 , 	122 , 	80 , 	102 , 	63 , 	101 , 	64 , 	195 , 	110 , 	48 , 	47 , 	54 , 	36 , 	21 , 	37 , 	57 , 	35 , 	32 , 	14 , 	9 , 	78 , 	97 , 	404 , 	433 ," 	1,789 ", 	856 , 	226 , 	71 , 	212 , 	467 , 	260 , 	226 , 	10 , 	38 , 	9 , 	75 ," 	6,798 ",,,,,,,,,,
GP, 	21 , 	26 , 	14 , 	11 , 	56 , 	22 , 	31 , 	20 , 	30 , 	23 , 	29 , 	50 , 	19 , 	16 , 	9 , 	7 , 	14 , 	15 , 	33 , 	12 , 	17 , 	10 , 	10 , 	30 , 	20 , 	306 , 	282 ," 	1,237 ", 	300 , 	157 , 	182 , 	31 , 	70 , 	38 , 	59 , 	6 , 	20 , 	6 , 	23 ," 	3,260 ",,,,,,,,,,
