Exit stations,Entry stations->,,WEEKDAY,,,May 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
LF, 	9 , 	11 , 	9 , 	7 , 	76 , 	8 , 	56 , 	157 , 	159 , 	11 , 	14 , 	34 , 	7 , 	5 , 	6 , 	1 , 	3 , 	11 , 	107 , 	67 , 	66 , 	15 , 	18 , 	77 , 	6 , 	912 , 	864 , 	291 , 	302 , 	66 , 	37 , 	22 , 	11 , 	16 , 	4 , 	2 , 	2 , 	13 , 	44 , 	6 , 	10 , 	99 , 	17 , 	1 , 	26 , 	4 ," 	3,689 ",,,,,,,,,,,,,
OR, 	8 , 	12 , 	8 , 	7 , 	44 , 	7 , 	47 , 	107 , 	129 , 	11 , 	23 , 	30 , 	6 , 	2 , 	6 , 	2 , 	5 , 	14 , 	49 , 	30 , 	42 , 	22 , 	12 , 	61 , 	5 , 	812 , 	754 , 	240 , 	248 , 	51 , 	29 , 	26 , 	18 , 	18 , 	4 , 	2 , 	3 , 	7 , 	23 , 	10 , 	7 , 	75 , 	12 , 	1 , 	17 , 	3 ," 	3,048 ",,,,,,,,,,,,,
RR, 	25 , 	35 , 	35 , 	21 , 	47 , 	17 , 	65 , 	205 , 	180 , 	31 , 	53 , 	44 , 	22 , 	10 , 	15 , 	9 , 	12 , 	27 , 	90 , 	121 , 	157 , 	71 , 	62 , 	23 , 	28 ," 	1,124 "," 	1,239 ", 	614 , 	672 , 	209 , 	114 , 	57 , 	41 , 	39 , 	7 , 	5 , 	13 , 	20 , 	62 , 	13 , 	13 , 	152 , 	27 , 	5 , 	23 , 	11 ," 	5,866 ",,,,,,,,,,,,,
OW, 	25 , 	35 , 	16 , 	12 , 	72 , 	29 , 	55 , 	60 , 	105 , 	29 , 	103 , 	107 , 	43 , 	38 , 	33 , 	14 , 	13 , 	17 , 	16 , 	14 , 	17 , 	6 , 	5 , 	27 , 	25 ," 	1,746 "," 	1,558 "," 	1,020 ", 	906 , 	390 , 	208 , 	56 , 	83 , 	57 , 	16 , 	12 , 	28 , 	6 , 	37 , 	20 , 	25 , 	101 , 	37 , 	9 , 	9 , 	12 ," 	7,250 ",,,,,,,,,,,,,
EM, 	477 ," 	1,127 ", 	721 , 	768 ," 	1,204 ", 	960 ," 	1,371 "," 	1,754 "," 	1,693 "," 	1,090 "," 	1,163 ", 	695 , 	977 , 	904 , 	660 , 	526 ," 	1,156 "," 	1,832 "," 	1,170 "," 	2,142 "," 	1,751 "," 	1,069 ", 	945 ," 	1,236 "," 	2,147 ", 	166 , 	128 , 	536 , 	607 ," 	1,142 "," 	1,829 "," 	1,261 "," 	1,569 "," 	1,401 ", 	857 , 	675 ," 	2,523 ", 	616 ," 	1,026 ", 	666 , 	642 , 	473 ," 	1,095 ", 	969 , 	180 , 	665 ," 	48,564 ",,,,,,,,,,,,,
MT, 	462 ," 	1,056 ", 	674 , 	725 , 	990 , 	856 ," 	1,271 "," 	1,482 "," 	1,202 "," 	1,101 "," 	1,085 ", 	582 , 	826 , 	761 , 	573 , 	413 , 	855 ," 	1,259 "," 	1,026 "," 	1,755 "," 	1,385 ", 	797 , 	688 ," 	1,096 "," 	1,742 ", 	145 , 	146 , 	190 , 	562 ," 	1,416 "," 	2,443 "," 	1,736 "," 	2,587 "," 	2,023 "," 	1,160 ", 	563 ," 	1,770 ", 	542 , 	890 , 	912 , 	835 , 	465 ," 	1,530 ", 	720 , 	124 , 	570 ," 	45,989 ",,,,,,,,,,,,,
PL, 	378 , 	691 , 	325 , 	330 , 	701 , 	392 , 	694 , 	821 , 	808 , 	590 , 	753 , 	440 , 	464 , 	456 , 	289 , 	178 , 	288 , 	415 , 	412 , 	486 , 	402 , 	204 , 	183 , 	441 , 	942 , 	774 , 	313 , 	130 , 	361 ," 	1,276 "," 	1,676 "," 	1,102 "," 	2,057 "," 	1,252 ", 	594 , 	229 , 	605 , 	225 , 	547 , 	432 , 	382 ," 	1,317 ", 	646 , 	251 , 	138 , 	171 ," 	26,560 ",,,,,,,,,,,,,
CC, 	307 , 	658 , 	383 , 	425 , 	613 , 	526 , 	808 , 	899 , 	785 , 	558 , 	794 , 	384 , 	456 , 	422 , 	293 , 	218 , 	295 , 	372 , 	439 , 	515 , 	411 , 	260 , 	203 , 	558 , 	906 , 	619 , 	589 , 	329 , 	79 , 	638 ," 	1,057 ", 	816 ," 	1,362 ", 	829 , 	515 , 	240 , 	625 , 	257 , 	550 , 	415 , 	381 , 	503 , 	662 , 	244 , 	71 , 	199 ," 	23,466 ",,,,,,,,,,,,,
16, 	170 , 	217 , 	112 , 	146 , 	300 , 	228 , 	367 , 	439 , 	304 , 	227 , 	285 , 	165 , 	146 , 	124 , 	74 , 	77 , 	65 , 	87 , 	118 , 	136 , 	104 , 	58 , 	46 , 	173 , 	395 ," 	1,178 "," 	1,511 "," 	1,529 ", 	708 , 	32 , 	223 , 	334 , 	641 , 	321 , 	150 , 	60 , 	159 , 	63 , 	178 , 	141 , 	136 , 	205 , 	245 , 	58 , 	28 , 	47 ," 	12,506 ",,,,,,,,,,,,,
24, 	178 , 	177 , 	66 , 	94 , 	247 , 	128 , 	230 , 	332 , 	274 , 	148 , 	212 , 	131 , 	98 , 	81 , 	56 , 	44 , 	37 , 	38 , 	71 , 	77 , 	65 , 	31 , 	28 , 	102 , 	213 ," 	1,577 "," 	2,080 "," 	1,964 "," 	1,115 ", 	216 , 	39 , 	267 , 	564 , 	267 , 	127 , 	27 , 	88 , 	48 , 	138 , 	109 , 	134 , 	178 , 	238 , 	32 , 	27 , 	22 ," 	12,412 ",,,,,,,,,,,,,
