Exit stations,Entry stations->,,WEEKDAY,,,May 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	26 , 	28 , 	27 , 	23 , 	118 , 	19 , 	156 , 	317 , 	325 , 	28 , 	39 , 	51 , 	23 , 	14 , 	15 , 	11 , 	13 , 	12 , 	243 , 	116 , 	21 , 	60 , 	39 , 	152 , 	19 ," 	1,321 "," 	1,319 ", 	504 , 	487 , 	133 , 	74 , 	48 , 	45 , 	59 , 	14 , 	4 , 	4 , 	46 , 	123 , 	23 , 	24 , 	180 , 	24 , 	2 , 	43 , 	14 , 	-   , 	-   , 	52 , 	93 ," 	6,529 ",,,,,,,,,,,,,
LF, 	8 , 	9 , 	8 , 	8 , 	59 , 	7 , 	60 , 	162 , 	159 , 	7 , 	14 , 	32 , 	7 , 	3 , 	7 , 	2 , 	2 , 	6 , 	93 , 	53 , 	56 , 	15 , 	13 , 	71 , 	5 , 	886 , 	843 , 	273 , 	301 , 	73 , 	34 , 	18 , 	11 , 	22 , 	4 , 	1 , 	1 , 	8 , 	26 , 	6 , 	8 , 	103 , 	16 , 	1 , 	25 , 	5 , 	-   , 	-   , 	15 , 	14 ," 	3,559 ",,,,,,,,,,,,,
OR, 	11 , 	15 , 	6 , 	16 , 	46 , 	9 , 	43 , 	123 , 	133 , 	14 , 	18 , 	26 , 	10 , 	6 , 	4 , 	4 , 	3 , 	7 , 	35 , 	33 , 	38 , 	17 , 	17 , 	55 , 	3 , 	803 , 	704 , 	242 , 	253 , 	59 , 	33 , 	28 , 	18 , 	17 , 	3 , 	3 , 	2 , 	7 , 	12 , 	6 , 	7 , 	80 , 	11 , 	1 , 	16 , 	7 , 	-   , 	-   , 	9 , 	11 ," 	3,019 ",,,,,,,,,,,,,
RR, 	24 , 	31 , 	36 , 	18 , 	46 , 	10 , 	54 , 	199 , 	198 , 	31 , 	48 , 	45 , 	21 , 	9 , 	15 , 	8 , 	11 , 	16 , 	81 , 	115 , 	142 , 	62 , 	59 , 	20 , 	20 ," 	1,088 "," 	1,114 ", 	546 , 	645 , 	218 , 	105 , 	54 , 	54 , 	39 , 	4 , 	4 , 	11 , 	22 , 	36 , 	13 , 	12 , 	144 , 	24 , 	6 , 	17 , 	14 , 	-   , 	-   , 	21 , 	36 ," 	5,543 ",,,,,,,,,,,,,
OW, 	26 , 	33 , 	11 , 	15 , 	65 , 	27 , 	49 , 	66 , 	96 , 	27 , 	97 , 	93 , 	40 , 	36 , 	27 , 	13 , 	14 , 	10 , 	15 , 	11 , 	15 , 	6 , 	3 , 	19 , 	26 ," 	1,803 "," 	1,547 "," 	1,061 ", 	916 , 	377 , 	213 , 	63 , 	71 , 	56 , 	14 , 	11 , 	30 , 	7 , 	16 , 	18 , 	25 , 	106 , 	36 , 	9 , 	9 , 	13 , 	-   , 	-   , 	6 , 	17 ," 	7,263 ",,,,,,,,,,,,,
EM, 	534 ," 	1,058 ", 	707 , 	747 ," 	1,085 ", 	949 ," 	1,430 "," 	1,920 "," 	1,725 "," 	1,250 "," 	1,227 ", 	701 ," 	1,010 ", 	876 , 	625 , 	540 ," 	1,061 "," 	1,512 "," 	1,073 "," 	2,065 "," 	1,585 "," 	1,050 ", 	948 ," 	1,262 "," 	2,303 ", 	192 , 	117 , 	504 , 	648 ," 	1,214 "," 	1,948 "," 	1,292 "," 	1,634 "," 	1,420 ", 	891 , 	657 ," 	2,461 ", 	410 , 	627 , 	652 , 	643 , 	420 ," 	1,121 ", 	962 , 	164 , 	877 , 	-   , 	-   , 	156 , 	488 ," 	48,738 ",,,,,,,,,,,,,
MT, 	542 , 	962 , 	663 , 	666 , 	875 , 	794 ," 	1,221 "," 	1,546 "," 	1,193 "," 	1,157 "," 	1,057 ", 	617 , 	907 , 	785 , 	588 , 	469 , 	845 ," 	1,135 ", 	898 ," 	1,753 "," 	1,250 ", 	787 , 	655 ," 	1,033 "," 	1,803 ", 	144 , 	184 , 	178 , 	610 ," 	1,458 "," 	2,431 "," 	1,674 "," 	2,628 "," 	2,030 "," 	1,159 ", 	577 ," 	1,840 ", 	386 , 	575 , 	823 , 	811 , 	429 ," 	1,549 ", 	709 , 	113 , 	810 , 	-   , 	-   , 	139 , 	368 ," 	45,823 ",,,,,,,,,,,,,
PL, 	425 , 	641 , 	324 , 	319 , 	560 , 	370 , 	652 , 	798 , 	772 , 	603 , 	711 , 	456 , 	494 , 	446 , 	292 , 	215 , 	299 , 	331 , 	393 , 	508 , 	372 , 	214 , 	184 , 	422 ," 	1,008 ", 	751 , 	305 , 	140 , 	333 ," 	1,183 "," 	1,557 "," 	1,009 "," 	1,930 "," 	1,210 ", 	543 , 	218 , 	649 , 	180 , 	332 , 	397 , 	396 ," 	1,053 ", 	626 , 	240 , 	114 , 	257 , 	-   , 	-   , 	109 , 	239 ," 	25,580 ",,,,,,,,,,,,,
CC, 	346 , 	633 , 	393 , 	431 , 	556 , 	493 , 	805 , 	900 , 	776 , 	629 , 	771 , 	406 , 	484 , 	428 , 	284 , 	246 , 	332 , 	348 , 	412 , 	554 , 	413 , 	267 , 	220 , 	547 , 	934 , 	632 , 	580 , 	308 , 	104 , 	588 , 	940 , 	774 ," 	1,275 ", 	872 , 	517 , 	253 , 	619 , 	205 , 	318 , 	396 , 	378 , 	448 , 	628 , 	252 , 	62 , 	260 , 	-   , 	-   , 	85 , 	225 ," 	23,326 ",,,,,,,,,,,,,
16, 	175 , 	246 , 	115 , 	150 , 	293 , 	227 , 	373 , 	433 , 	329 , 	250 , 	318 , 	143 , 	152 , 	145 , 	89 , 	76 , 	85 , 	100 , 	121 , 	150 , 	100 , 	57 , 	50 , 	186 , 	380 ," 	1,226 "," 	1,548 "," 	1,388 ", 	661 , 	36 , 	193 , 	317 , 	589 , 	330 , 	160 , 	63 , 	194 , 	56 , 	141 , 	143 , 	141 , 	190 , 	259 , 	73 , 	24 , 	83 , 	-   , 	-   , 	32 , 	95 ," 	12,685 ",,,,,,,,,,,,,
