Avg Saturday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
RR	9	13	13	4	11	5	25	52	39	5	21	20	9	4	4	3	5	2	24	38	66	39	23	18	11	197	110	171	154	82	58	23	12	14	2	2	4	4	11	2	6	68	5	1	10	1	4	11	3	3	"1,413"
OW	10	12	5	5	27	13	24	29	37	13	45	31	17	15	14	3	5	5	6	4	9	3	3	13	21	386	225	432	241	173	132	20	34	23	6	3	13	1	5	4	8	56	7	8	3	1	2	6	5	8	"2,166"
EM	112	189	129	150	370	144	246	291	298	175	177	177	126	130	77	58	121	63	121	179	218	133	115	239	431	95	13	104	86	263	315	159	183	172	46	93	319	41	83	49	59	272	92	102	47	31	13	72	75	98	"7,348"
MT	84	123	93	113	245	104	172	190	167	124	133	115	114	107	42	33	58	34	72	85	97	61	52	140	266	21	44	25	41	185	206	138	232	166	57	58	134	19	54	34	56	202	55	45	26	19	5	31	42	52	"4,767"
PL	131	199	108	114	327	119	215	247	270	146	208	163	157	155	80	43	94	60	96	128	125	74	65	157	428	119	23	100	73	507	596	314	536	408	117	65	200	32	101	96	114	780	147	56	43	27	9	67	53	67	"8,556"
CC	65	104	69	78	167	81	161	184	157	98	133	73	76	55	27	22	62	39	48	73	101	80	59	145	267	61	31	69	47	172	273	142	158	181	75	45	135	17	38	46	79	200	127	37	15	16	6	30	26	48	"4,492"
16	54	61	37	76	139	83	145	171	132	70	112	48	39	28	26	14	19	15	35	19	44	18	26	91	194	245	170	549	215	30	106	123	156	174	62	14	41	6	20	40	56	162	87	21	9	6	4	14	17	27	"4,046"
24	75	77	39	48	94	57	110	121	82	57	85	50	35	31	24	15	19	11	29	23	28	17	18	59	162	267	203	679	327	98	25	145	146	179	68	11	32	7	25	44	66	104	90	11	10	4	6	16	9	17	"3,950"
GP	9	18	9	16	61	11	30	38	30	21	21	22	10	10	5	3	6	2	7	10	15	7	7	25	27	147	105	342	149	117	146	27	24	31	24	5	16	6	12	15	20	63	33	3	7	1	2	7	5	8	"1,728"
BP	16	21	9	10	26	15	21	28	30	16	28	25	18	11	9	4	4	5	8	9	15	4	3	14	33	139	141	566	164	148	140	20	36	28	35	5	16	1	12	18	46	57	28	7	2	4	3	10	5	8	"2,014"
DC	17	20	11	13	36	8	18	21	23	15	23	68	20	17	8	5	8	7	9	12	8	5	6	12	23	145	133	471	214	187	196	30	30	35	20	6	23	2	12	33	58	129	60	6	3	4	2	11	6	9	"2,233"
CM	8	11	3	4	7	3	5	9	8	3	6	5	2	4	3	2	2	1	4	3	5	1	2	3	6	42	42	160	82	59	70	24	37	21	9	1	1	2	7	9	23	58	20	1	1		3	4	1	2	782
CV	2	3	3	1	9	2	2	7	4	34	26	47	22	21	8	5	6	2	2	1	2	1		1	4	79	51	74	42	15	15	6	6	11	1	5	41	0		1	2	9	1	41	5	2	1	1	1	3	619
ED	5	8	6	6	43	8	10	16	15	37	49	158	36	46	27	14	23	13	3	2	3	2	1	5	13	295	118	212	131	42	28	15	19	28	5	38	33	1	2	2	4	75	6	15	23	5	1	4	15	29	"1,688"
NC	1	2	0	1	5	1	4	6	7	0	2	10	2	1	2	1	2	0	12	4	9	5	2	6	1	30	18	35	17	6	7	3	5	5	2		1	6	9	1	2	24	1		3	1	3	7	0	1	267
WP	4	7	2	1	6	1	19	13	9	3	8	21	5	9	3	1	2	0	68	24	43	9	5	16	3	71	50	120	38	21	23	8	15	12	6	1	3	9	10	5	7	42	2	0	5	2	5	7	2	3	744
SS	6	10	5	2	9	1	3	4	10	2	4	5	2	1	2	2	0	1	5	3	5	2	3	2	6	44	34	111	53	41	44	11	22	26	5	2	3	2	7	10	15	33	15	1	1		1	6	2	1	578
SB	11	16	4	5	18	2	5	8	19	4	9	9	5	5	3	2	3	2	9	5	6	2	1	8	8	56	40	129	89	59	63	24	48	56	19	3	4	2	4	15	13	72	10	2	1	0	3	4	1	1	881
SO	39	48	38	43	195	41	44	36	53	16	26	17	11	6	5	4	10	8	48	58	74	44	25	61	66	147	136	537	175	127	67	47	50	113	42	6	49	13	36	26	50	58	236	12	16	5	3	34	5	4	"3,004"
MB	11	11	9	8	47	8	12	12	20	3	9	11	4	1	3	1	1	1	5	2	5	2	2	6	7	76	54	150	113	66	60	25	29	51	17	2	5	1	1	8	14	228	36	2	1		1	3			"1,141"
WD	2	1	1	2	10	1	6	6	3	17	20	49	24	30	14	13	9	4	2	2	1	1		1	7	87	47	71	43	21	8	5	6	7	0	41	13	1	1	1	1	14	1	10	12	2	0	1	7	9	632
OA	4	15	9	13	49	9	7	6	7	7	6	23	3	2	4	4	6	5	7	8	11	6	4	5	2	33	18	37	18	11	6	6	3	5		3	14	2	4	1	1	11	2	7	8	2		5	4	4	422
WS	4	7	1	3	18	4	9	10	7	9	14	42	9	8	13	14	16	16	1	1	1	1		0	2	28	14	34	14	5	8	1	4	6	0	2	4	1	0		1	4	1	2	2	5	1	0	39	39	421
PC	4	4	1	1	4	2	7	7	5	1	3	4	2	3	1	1	1	1	33	15	16	2	2	5	3	11	8	21	12	9	6	2	4	1	2	2	1	6	7	1	1	6	1		2		1	9	1	2	236
AN	7	5	3	2	13	2	20	15	11	5	9	17	6	5	8	4	5	3	37	19	35	8	2	13	8	62	31	75	32	15	18	6	8	15	6	0	2	3	9	4	4	37	2	1	9	1	9	8	3	5	624
ML	7	15	3	8	60	8	13	13	10	16	21	73	21	21	30	20	30	37	5	5	7	2	1	3	3	66	32	60	26	10	8	4	7	9	1	2	14	1	3	1	1	7	0	6	3	33	1	4	26	17	770
BE	10	19	6	8	73	14	21	21	20	24	32	90	27	18	41	23	36	43	4	4	4	4	2	4	8	77	40	92	54	29	21	9	11	16	2	3	30	2	5	1	1	4	1	5	5	36	1	5	16	23	"1,037"
Grand Total	"1,349"	"1,756"	"1,187"	"1,158"	"3,645"	"1,240"	"2,118"	"2,338"	"2,315"	"1,442"	"2,105"	"2,508"	"1,516"	"1,320"	"1,092"	670	"1,032"	685	"1,172"	"1,017"	"1,407"	780	577	"1,462"	"2,351"	"6,350"	"3,929"	"9,167"	"4,775"	"3,894"	"3,760"	"1,724"	"2,178"	"2,188"	714	612	"1,663"	256	742	556	827	"3,678"	"1,250"	606	531	441	169	606	788	"1,007"	"90,647"
