Avg Sunday Trip OD																																																			
																																																			
2024 / 05																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
CV	1	2	2	2	8	2	3	4	6	31	16	39	17	15	5	3	5	4	1	1	3	0		1	4	65	37	66	36	19	18	5	6	8	0	6	37		1	1	1	11	1	37	5	1		2	3	3	538
ED	5	5	3	4	27	7	8	10	7	42	32	110	23	37	29	8	12	9	2	1	1	0	1	5	12	299	109	199	116	53	39	13	15	24	4	32	26	0	3	4	2	68	3	8	27	3		1	13	22	"1,479"
NC	2	1	1	1	3	1	4	5	2		1	9	1	1	2	1	1		10	4	8	3	1	3	1	22	7	25	15	8	8	2	2	3	1	0	1	3	8	0	1	16			2	0	3	6	1	3	195
WP	4	3	2	1	6	1	17	5	8	1	9	15	3	4	3	2	4	1	60	18	37	6	6	14	4	52	34	94	23	33	21	6	10	11	5	0	5	6	9	2	5	41	2	1	8	1	4	9	3	4	617
SS	4	7	1	2	8	2	4	5	8	2	6	3	2	2	1	2	1	1	4	3	5	1	0	4	6	38	23	88	52	38	61	16	19	18	3	1	3	1	1	5	10	33	7	1	1		2	6	2	1	506
SB	6	6	2	2	8	3	5	6	13	2	3	7	3	4	5	1	3	1	6	6	4	1	1	4	8	38	32	121	71	50	70	25	40	42	18	1	2	1	4	11	9	90	7	1	4	1	1	4	1		747
SO	36	32	26	47	119	32	44	29	44	7	17	12	11	4	4	2	5	3	37	50	70	48	31	44	51	187	154	679	163	113	51	37	42	99	25	5	50	12	31	16	40	65	127	12	12	4	3	25	4	3	"2,762"
MB	8	7	7	7	41	9	8	11	15	6	4	7	4	3	2	1	1	1	4	4	5	2	1	5	8	87	40	143	120	87	90	16	28	47	10	1	4	1	3	4	6	300	20	1	1		0	3			"1,177"
WD	3	2	1	2	10	3	7	7	3	18	25	37	23	25	8	7	6	4	1	1	1		1	1	3	95	35	49	31	13	7	5	3	7	0	31	11	0	1	1	0	24	1	5	15	1	1	2	4	6	542
OA	3	10	6	13	36	8	7	8	7	6	3	14	5	4	4	2	4	2	8	7	10	4	3	4	2	44	23	51	17	9	7	7	1	4	0	3	15	3	2	1	1	10	1	7	4	2	1	2	2	2	394
WS	4	7	3	2	10	4	6	5	4	8	12	21	7	8	17	15	17	14	3	1	1	1	0	1	4	40	14	24	13	13	8	3	3	2		2	5	1	1		0	5	1	3	3	7	0	1	25	34	376
PC	4	2	0	1	1	1	7	3	4	2	2	2	1	2	1	0	1		32	14	12	4	3	3	5	11	8	18	6	4	5	2	2	2	1		0	7	4	0	1	4		1	2		1	10	1	1	193
AN	6	5	1	1	5	2	21	11	9	3	6	13	5	4	7	4	5	2	35	17	25	7	6	10	8	51	26	60	21	16	16	10	6	12	3	2	2	6	9	6	3	40	2	1	7	1	7	6	3	4	532
ML	4	8	4	5	33	5	4	12	10	12	14	23	10	14	24	14	22	33	4	3	3		1	2	5	58	29	58	29	18	10	7	5	9	1	3	12	1	2	1	0	8	0	7	4	26	1	2	14	16	584
BE	12	16	6	9	54	12	15	24	15	27	31	42	20	29	38	32	30	34	6	4	11	3	2	5	7	73	43	72	47	32	22	5	10	10	2	5	23	1	4	1	1	7		6	3	34	1	5	16	20	919
Grand Total	"1,111"	"1,432"	897	911	"2,676"	"1,002"	"1,677"	"1,785"	"1,696"	"1,365"	"1,749"	"1,743"	"1,180"	"1,148"	894	536	777	581	988	900	"1,127"	682	489	"1,118"	"2,044"	"5,775"	"2,974"	"7,733"	"4,284"	"4,065"	"3,893"	"1,450"	"1,690"	"2,045"	586	502	"1,491"	203	608	479	667	"3,584"	"1,095"	504	620	354	157	504	617	850	"77,230"
