Exit stations,Entry stations->,,TOTAL,,,Mar 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RR, 	306 , 	482 , 	376 , 	178 , 	501 , 	131 , 	777 ," 	2,112 "," 	2,100 ", 	365 , 	763 , 	310 , 	287 , 	154 , 	221 , 	56 , 	104 , 	133 , 	950 ," 	1,299 "," 	1,517 ", 	715 , 	574 , 	208 , 	379 ," 	8,473 "," 	8,451 "," 	4,656 "," 	5,799 "," 	1,986 "," 	1,184 ", 	466 , 	509 , 	391 , 	44 , 	56 , 	101 , 	196 , 	548 , 	137 , 	174 ," 	1,290 ", 	217 , 	33 , 	151 , 	97 , 	-   , 	-   , 	314 , 	503 ," 	50,774 ",,,,,,,,,,,,,
OW, 	433 , 	489 , 	178 , 	192 , 	905 , 	394 , 	754 , 	887 ," 	1,510 ", 	440 ," 	1,506 "," 	1,341 ", 	661 , 	549 , 	443 , 	226 , 	194 , 	123 , 	296 , 	178 , 	204 , 	52 , 	38 , 	350 , 	369 ," 	17,061 "," 	14,604 "," 	11,297 "," 	9,988 "," 	4,211 "," 	2,636 ", 	812 , 	903 , 	718 , 	211 , 	150 , 	412 , 	71 , 	245 , 	267 , 	360 ," 	1,263 ", 	387 , 	86 , 	89 , 	124 , 	-   , 	-   , 	173 , 	331 ," 	79,111 ",,,,,,,,,,,,,
EM," 	6,309 "," 	10,916 "," 	5,819 "," 	5,379 "," 	8,989 "," 	7,187 "," 	12,303 "," 	18,031 "," 	15,558 "," 	11,262 "," 	11,977 "," 	6,793 "," 	10,052 "," 	8,638 "," 	5,973 "," 	5,218 "," 	6,874 "," 	9,177 "," 	9,912 "," 	16,486 "," 	12,810 "," 	7,463 "," 	7,049 "," 	9,812 "," 	21,840 "," 	1,859 ", 	859 ," 	3,235 "," 	5,012 "," 	10,478 "," 	16,807 "," 	11,007 "," 	16,334 "," 	12,854 "," 	7,905 "," 	5,672 "," 	16,909 "," 	3,287 "," 	6,612 "," 	5,600 "," 	4,691 "," 	3,035 "," 	7,179 "," 	6,578 ", 	908 ," 	5,980 ", 	-   , 	-   ," 	1,754 "," 	5,100 "," 	411,482 ",,,,,,,,,,,,,
MT," 	6,094 "," 	9,676 "," 	5,236 "," 	4,475 "," 	6,979 "," 	6,343 "," 	10,633 "," 	13,683 "," 	10,697 "," 	10,739 "," 	10,667 "," 	5,939 "," 	9,158 "," 	7,955 "," 	5,550 "," 	3,997 "," 	5,928 "," 	7,118 "," 	8,461 "," 	13,552 "," 	9,378 "," 	5,686 "," 	4,727 "," 	7,799 "," 	17,060 "," 	1,045 "," 	1,482 "," 	1,322 "," 	4,649 "," 	13,682 "," 	21,929 "," 	15,276 "," 	27,625 "," 	18,038 "," 	9,657 "," 	4,934 "," 	13,511 "," 	3,259 "," 	5,866 "," 	6,592 "," 	6,656 "," 	3,231 "," 	10,000 "," 	5,021 ", 	720 ," 	5,491 ", 	-   , 	-   ," 	1,536 "," 	4,234 "," 	393,286 ",,,,,,,,,,,,,
PL," 	5,575 "," 	7,569 "," 	2,988 "," 	2,559 "," 	4,774 "," 	3,237 "," 	6,408 "," 	7,903 "," 	7,784 "," 	5,603 "," 	8,113 "," 	4,176 "," 	5,429 "," 	4,945 "," 	3,131 "," 	2,119 "," 	2,342 "," 	2,403 "," 	4,517 "," 	4,829 "," 	3,463 "," 	1,900 "," 	1,424 "," 	3,651 "," 	10,543 "," 	4,540 "," 	2,097 "," 	1,741 "," 	2,724 "," 	12,957 "," 	16,672 "," 	10,576 "," 	21,185 "," 	13,783 "," 	5,645 "," 	2,160 "," 	5,045 "," 	1,689 "," 	4,076 "," 	4,131 "," 	3,426 "," 	7,632 "," 	4,226 "," 	1,725 ", 	588 ," 	1,862 ", 	-   , 	-   ," 	1,549 "," 	2,833 "," 	250,247 ",,,,,,,,,,,,,
CC," 	4,704 "," 	7,076 "," 	3,643 "," 	3,255 "," 	5,075 "," 	4,357 "," 	7,966 "," 	8,544 "," 	7,919 "," 	5,855 "," 	9,195 "," 	4,739 "," 	5,237 "," 	5,232 "," 	3,190 "," 	2,756 "," 	2,750 "," 	2,446 "," 	4,800 "," 	5,096 "," 	3,398 "," 	2,081 "," 	1,698 "," 	4,659 "," 	9,795 "," 	4,787 "," 	4,170 "," 	2,524 "," 	1,260 "," 	7,530 "," 	11,228 "," 	7,958 "," 	15,812 "," 	10,347 "," 	5,326 "," 	2,345 "," 	5,867 "," 	1,915 "," 	3,893 "," 	4,078 "," 	3,671 "," 	4,524 "," 	5,132 "," 	2,050 ", 	380 ," 	1,973 ", 	-   , 	-   ," 	1,167 "," 	3,270 "," 	236,673 ",,,,,,,,,,,,,
16," 	2,648 "," 	3,193 "," 	1,243 "," 	1,307 "," 	2,924 "," 	2,128 "," 	3,725 "," 	4,732 "," 	3,527 "," 	2,571 "," 	3,844 "," 	1,972 "," 	1,789 "," 	1,892 "," 	1,282 ", 	989 , 	991 ," 	1,055 "," 	1,426 "," 	1,657 "," 	1,103 ", 	528 , 	492 ," 	1,634 "," 	4,270 "," 	10,222 "," 	13,496 "," 	15,221 "," 	8,666 ", 	801 ," 	2,513 "," 	3,810 "," 	8,219 "," 	5,002 "," 	2,170 ", 	796 ," 	2,024 ", 	617 ," 	1,793 "," 	1,727 "," 	1,624 "," 	2,270 "," 	2,506 ", 	574 , 	176 , 	729 , 	-   , 	-   , 	686 ," 	1,190 "," 	139,754 ",,,,,,,,,,,,,
24," 	2,562 "," 	2,480 ", 	761 , 	939 ," 	2,116 "," 	1,191 "," 	2,372 "," 	3,292 "," 	2,873 "," 	1,690 "," 	2,910 "," 	1,497 "," 	1,208 ", 	904 , 	725 , 	584 , 	516 , 	401 , 	980 , 	760 , 	685 , 	366 , 	318 ," 	1,076 "," 	2,815 "," 	14,391 "," 	18,500 "," 	19,441 "," 	12,405 "," 	2,553 ", 	765 ," 	3,379 "," 	7,407 "," 	4,157 "," 	1,905 ", 	304 , 	751 , 	441 ," 	1,271 "," 	1,480 "," 	1,621 "," 	2,051 "," 	2,026 ", 	319 , 	173 , 	320 , 	-   , 	-   , 	350 , 	727 ," 	132,758 ",,,,,,,,,,,,,
GP, 	625 , 	820 , 	255 , 	291 ," 	1,083 ", 	328 , 	973 ," 	1,613 "," 	1,685 ", 	536 , 	759 , 	661 , 	423 , 	389 , 	331 , 	230 , 	153 , 	175 , 	575 , 	524 , 	362 , 	183 , 	135 , 	464 , 	816 ," 	10,016 "," 	12,674 "," 	12,443 "," 	7,414 "," 	3,974 "," 	3,322 ", 	502 ," 	1,373 ", 	870 , 	624 , 	171 , 	482 , 	168 , 	484 , 	405 , 	793 ," 	1,300 "," 	1,314 ", 	299 , 	90 , 	170 , 	-   , 	-   , 	171 , 	388 ," 	73,836 ",,,,,,,,,,,,,
BP, 	874 ," 	1,130 ", 	346 , 	379 , 	906 , 	453 , 	864 ," 	1,421 "," 	1,794 ", 	870 ," 	1,143 ", 	717 , 	672 , 	626 , 	367 , 	210 , 	191 , 	174 , 	526 , 	454 , 	472 , 	116 , 	100 , 	436 ," 	1,100 "," 	13,552 "," 	17,515 "," 	26,064 "," 	14,242 "," 	7,363 "," 	7,209 "," 	1,468 ", 	701 ," 	1,254 "," 	1,173 ", 	225 , 	527 , 	129 , 	518 , 	918 ," 	1,421 "," 	2,070 "," 	1,479 ", 	195 , 	79 , 	190 , 	-   , 	-   , 	200 , 	417 ," 	115,250 ",,,,,,,,,,,,,
