Exit stations,Entry stations->,,TOTAL,,,Apr 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	419 ," 	1,491 "," 	1,342 ", 	797 ," 	5,446 "," 	1,127 "," 	1,786 "," 	1,346 "," 	1,531 ", 	491 ," 	1,250 ", 	954 , 	467 , 	275 , 	523 , 	255 , 	205 , 	189 , 	366 , 	190 , 	292 , 	163 , 	102 , 	263 , 	354 ," 	4,433 "," 	3,228 "," 	5,808 "," 	3,333 "," 	2,755 "," 	2,562 ", 	691 , 	717 , 	901 , 	258 , 	66 , 	92 , 	55 , 	160 , 	192 , 	302 , 	738 , 	254 , 	77 , 	188 , 	334 , 	142 , 	241 , 	180 , 	194 ," 	49,525 ",,,,,,,,,,,,,
LF, 	151 , 	146 , 	85 , 	72 , 	483 , 	83 , 	442 , 	755 , 	808 , 	107 , 	298 , 	228 , 	56 , 	18 , 	55 , 	15 , 	38 , 	38 ," 	1,501 ", 	735 , 	840 , 	185 , 	239 , 	795 , 	60 ," 	5,956 "," 	4,038 "," 	1,788 "," 	2,027 ", 	664 , 	460 , 	184 , 	88 , 	163 , 	62 , 	12 , 	27 , 	84 , 	458 , 	34 , 	98 ," 	1,359 ", 	92 , 	9 , 	294 , 	8 , 	32 , 	58 , 	217 , 	326 ," 	26,771 ",,,,,,,,,,,,,
OR, 	109 , 	125 , 	39 , 	87 , 	346 , 	61 , 	415 , 	614 , 	703 , 	46 , 	251 , 	164 , 	51 , 	75 , 	56 , 	24 , 	20 , 	44 , 	391 , 	286 , 	496 , 	229 , 	189 , 	627 , 	54 ," 	4,987 "," 	3,362 "," 	1,665 "," 	1,482 ", 	505 , 	266 , 	159 , 	162 , 	183 , 	30 , 	63 , 	16 , 	36 , 	113 , 	36 , 	41 , 	885 , 	54 , 	4 , 	195 , 	18 , 	43 , 	49 , 	150 , 	150 ," 	20,156 ",,,,,,,,,,,,,
RR, 	261 , 	398 , 	373 , 	206 , 	417 , 	106 , 	804 ," 	1,647 "," 	1,385 ", 	241 , 	626 , 	381 , 	246 , 	150 , 	159 , 	59 , 	107 , 	129 , 	944 ," 	1,186 "," 	1,456 ", 	821 , 	766 , 	299 , 	370 ," 	8,129 "," 	5,704 "," 	4,746 "," 	4,935 "," 	2,483 "," 	1,382 ", 	558 , 	694 , 	365 , 	62 , 	78 , 	102 , 	275 , 	594 , 	113 , 	158 ," 	1,677 ", 	142 , 	36 , 	215 , 	77 , 	95 , 	93 , 	197 , 	535 ," 	46,982 ",,,,,,,,,,,,,
OW, 	430 , 	387 , 	149 , 	178 , 	986 , 	520 , 	732 , 	635 ," 	1,095 ", 	374 ," 	1,681 "," 	1,215 ", 	630 , 	452 , 	480 , 	223 , 	202 , 	203 , 	288 , 	225 , 	286 , 	65 , 	41 , 	355 , 	441 ," 	14,499 "," 	9,158 "," 	10,915 "," 	8,448 "," 	4,386 "," 	2,729 ", 	747 , 	781 , 	701 , 	213 , 	157 , 	367 , 	34 , 	214 , 	213 , 	249 ," 	1,267 ", 	330 , 	153 , 	188 , 	156 , 	71 , 	141 , 	170 , 	254 ," 	68,814 ",,,,,,,,,,,,,
EM," 	5,242 "," 	9,643 "," 	5,569 "," 	5,869 "," 	11,317 "," 	5,388 "," 	10,042 "," 	12,119 "," 	11,314 "," 	8,079 "," 	9,338 "," 	5,307 "," 	8,045 "," 	6,509 "," 	4,362 "," 	3,776 "," 	4,481 "," 	4,999 "," 	7,663 "," 	10,167 "," 	9,828 "," 	7,135 "," 	5,928 "," 	9,105 "," 	17,101 "," 	3,019 ", 	542 ," 	3,132 "," 	3,386 "," 	8,829 "," 	12,667 "," 	8,115 "," 	10,840 "," 	9,938 "," 	4,142 "," 	4,212 "," 	13,753 "," 	2,383 "," 	5,008 "," 	3,342 "," 	2,838 "," 	5,770 "," 	3,966 "," 	4,832 "," 	1,608 "," 	1,681 "," 	2,207 "," 	2,347 "," 	1,175 "," 	5,942 "," 	324,000 ",,,,,,,,,,,,,
MT," 	4,458 "," 	7,282 "," 	4,005 "," 	3,847 "," 	7,975 "," 	3,872 "," 	7,601 "," 	8,650 "," 	8,406 "," 	6,320 "," 	6,827 "," 	3,502 "," 	7,045 "," 	5,627 "," 	3,004 "," 	2,506 "," 	3,050 "," 	3,270 "," 	5,357 "," 	7,551 "," 	6,201 "," 	4,162 "," 	3,460 "," 	6,083 "," 	11,052 ", 	654 ," 	1,600 ", 	899 ," 	2,252 "," 	8,942 "," 	13,582 "," 	9,265 "," 	15,397 "," 	11,604 "," 	4,620 "," 	3,624 "," 	7,561 "," 	1,560 "," 	4,346 "," 	3,974 "," 	3,301 "," 	5,432 "," 	4,403 "," 	2,668 ", 	998 ," 	1,272 "," 	1,658 "," 	1,904 "," 	1,036 "," 	4,532 "," 	258,197 ",,,,,,,,,,,,,
PL," 	4,598 "," 	7,428 "," 	2,705 "," 	2,490 "," 	8,074 "," 	2,839 "," 	5,607 "," 	6,287 "," 	7,337 "," 	5,092 "," 	7,515 "," 	4,300 "," 	5,357 "," 	4,873 "," 	2,541 "," 	2,031 "," 	1,937 "," 	2,139 "," 	4,012 "," 	3,649 "," 	3,339 "," 	1,600 "," 	1,501 "," 	3,872 "," 	9,972 "," 	3,630 "," 	1,041 "," 	2,002 "," 	1,981 "," 	11,929 "," 	15,377 "," 	8,739 "," 	15,920 "," 	11,792 "," 	4,601 "," 	2,031 "," 	5,081 "," 	1,336 "," 	4,351 "," 	3,586 "," 	3,271 "," 	14,767 "," 	3,450 "," 	1,712 "," 	1,271 ", 	758 ," 	1,150 "," 	1,357 "," 	1,011 "," 	3,709 "," 	236,948 ",,,,,,,,,,,,,
CC," 	2,833 "," 	4,899 "," 	2,540 "," 	2,872 "," 	4,972 "," 	3,136 "," 	5,997 "," 	5,812 "," 	5,184 "," 	4,506 "," 	6,831 "," 	3,060 "," 	3,551 "," 	3,246 "," 	1,990 "," 	1,475 "," 	1,342 "," 	1,527 "," 	3,191 "," 	2,822 "," 	2,828 "," 	1,600 "," 	1,257 "," 	3,785 "," 	7,571 "," 	3,055 "," 	1,863 "," 	1,774 "," 	1,394 "," 	5,381 "," 	8,195 "," 	5,856 "," 	9,042 "," 	7,735 "," 	3,630 "," 	1,701 "," 	3,532 ", 	957 ," 	2,705 "," 	2,783 "," 	2,907 "," 	4,670 "," 	3,367 "," 	1,306 ", 	569 , 	647 , 	745 ," 	1,006 ", 	682 ," 	2,710 "," 	167,039 ",,,,,,,,,,,,,
16," 	2,318 "," 	2,657 "," 	1,248 "," 	1,642 "," 	4,000 "," 	1,940 "," 	4,180 "," 	4,449 "," 	3,358 "," 	2,635 "," 	3,325 "," 	1,476 "," 	1,888 "," 	1,439 ", 	968 , 	676 , 	729 , 	637 ," 	1,274 "," 	1,051 "," 	1,052 ", 	620 , 	473 ," 	2,358 "," 	4,542 "," 	8,686 "," 	8,496 "," 	14,040 "," 	6,710 ", 	845 ," 	2,452 "," 	3,864 "," 	6,268 "," 	5,261 "," 	2,328 ", 	657 ," 	1,328 ", 	460 ," 	1,283 "," 	1,645 "," 	1,855 "," 	3,684 "," 	2,172 ", 	647 , 	352 , 	279 , 	312 , 	440 , 	469 ," 	1,337 "," 	126,805 ",,,,,,,,,,,,,
24," 	2,414 "," 	2,230 ", 	856 , 	991 ," 	3,020 "," 	1,197 "," 	2,684 "," 	2,846 "," 	2,576 "," 	1,807 "," 	2,810 "," 	1,520 "," 	1,327 ", 	885 , 	700 , 	675 , 	408 , 	430 ," 	1,105 ", 	732 , 	807 , 	549 , 	300 ," 	1,364 "," 	3,014 "," 	11,838 "," 	11,440 "," 	18,892 "," 	10,052 "," 	2,462 ", 	763 ," 	3,282 "," 	5,155 "," 	4,522 "," 	2,411 ", 	288 , 	837 , 	416 ," 	1,202 "," 	1,611 "," 	1,945 "," 	2,527 "," 	2,103 ", 	346 , 	349 , 	160 , 	204 , 	296 , 	353 ," 	1,028 "," 	121,729 ",,,,,,,,,,,,,
GP, 	575 , 	686 , 	303 , 	324 ," 	1,608 ", 	349 , 	803 ," 	1,022 "," 	1,069 ", 	649 , 	581 , 	538 , 	426 , 	350 , 	304 , 	273 , 	164 , 	144 , 	490 , 	383 , 	392 , 	181 , 	178 , 	549 , 	869 ," 	7,530 "," 	7,756 "," 	10,578 "," 	5,867 "," 	3,928 "," 	3,391 ", 	342 ," 	1,194 "," 	1,026 ", 	631 , 	147 , 	327 , 	94 , 	446 , 	635 , 	759 ," 	1,631 "," 	1,085 ", 	148 , 	214 , 	112 , 	65 , 	98 , 	150 , 	445 ," 	61,809 ",,,,,,,,,,,,,
BP, 	750 ," 	1,031 ", 	266 , 	311 ," 	1,001 ", 	377 , 	834 , 	967 ," 	1,252 ", 	859 , 	916 , 	670 , 	705 , 	550 , 	326 , 	244 , 	205 , 	194 , 	516 , 	299 , 	243 , 	85 , 	153 , 	600 ," 	1,099 "," 	9,212 "," 	9,357 "," 	19,870 "," 	8,994 "," 	5,321 "," 	5,206 "," 	1,038 ", 	430 , 	981 ," 	1,152 ", 	162 , 	399 , 	94 , 	556 , 	871 ," 	1,533 "," 	1,906 "," 	1,287 ", 	170 , 	139 , 	77 , 	126 , 	134 , 	137 , 	511 ," 	84,116 ",,,,,,,,,,,,,
DC, 	939 ," 	1,549 ", 	641 , 	383 ," 	1,241 ", 	445 , 	699 , 	923 ," 	1,625 ", 	944 ," 	1,648 "," 	1,015 "," 	1,065 ", 	801 , 	608 , 	467 , 	475 , 	459 , 	801 , 	615 , 	547 , 	185 , 	162 , 	388 , 	786 ," 	9,601 "," 	9,737 "," 	14,559 "," 	8,397 "," 	5,436 "," 	5,003 "," 	1,163 "," 	1,175 ", 	512 , 	652 , 	374 , 	929 , 	200 , 	812 ," 	1,115 "," 	1,725 "," 	3,599 "," 	2,307 ", 	345 , 	187 , 	281 , 	244 , 	312 , 	320 , 	933 ," 	89,329 ",,,,,,,,,,,,,
CM, 	189 , 	250 , 	60 , 	84 , 	328 , 	76 , 	207 , 	287 , 	606 , 	76 , 	214 , 	122 , 	100 , 	139 , 	98 , 	81 , 	106 , 	65 , 	196 , 	128 , 	209 , 	62 , 	40 , 	59 , 	206 ," 	3,870 "," 	3,833 "," 	5,974 "," 	3,935 "," 	2,211 "," 	2,245 ", 	744 ," 	1,201 ", 	660 , 	250 , 	34 , 	80 , 	57 , 	271 , 	250 , 	607 ," 	2,620 ", 	871 , 	13 , 	28 , 	35 , 	40 , 	11 , 	93 , 	251 ," 	34,172 ",,,,,,,,,,,,,
CV, 	61 , 	74 , 	81 , 	64 , 	386 , 	67 , 	134 , 	276 , 	345 ," 	1,207 ", 	708 , 	846 , 	800 , 	585 , 	297 , 	231 , 	230 , 	181 , 	42 , 	11 , 	37 , 	16 , 	60 , 	57 , 	177 ," 	3,701 "," 	3,264 "," 	2,502 "," 	2,175 ", 	664 , 	281 , 	179 , 	174 , 	358 , 	33 , 	156 ," 	1,209 ", 	15 , 	34 , 	89 , 	53 , 	217 , 	32 , 	849 , 	98 , 	138 , 	76 , 	121 , 	8 , 	26 ," 	23,425 ",,,,,,,,,,,,,
ED, 	105 , 	266 , 	95 , 	146 ," 	1,080 ", 	232 , 	412 , 	683 , 	774 ," 	1,911 "," 	1,695 "," 	2,159 "," 	1,300 "," 	1,388 ", 	704 , 	303 , 	599 , 	455 , 	147 , 	60 , 	57 , 	47 , 	18 , 	81 , 	344 ," 	11,871 "," 	7,031 "," 	6,059 "," 	4,239 "," 	1,380 ", 	850 , 	404 , 	452 , 	937 , 	75 ," 	1,162 ", 	553 , 	13 , 	64 , 	80 , 	69 ," 	1,497 ", 	135 , 	419 ," 	1,034 ", 	251 , 	312 , 	401 , 	22 , 	51 ," 	54,422 ",,,,,,,,,,,,,
