Exit stations,Entry stations->,,SATURDAY,,,Dec 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WP, 	6 , 	9 , 	3 , 	4 , 	16 , 	6 , 	24 , 	15 , 	22 , 	6 , 	17 , 	12 , 	7 , 	6 , 	8 , 	4 , 	5 , 	4 , 	71 , 	34 , 	57 , 	13 , 	9 , 	14 , 	7 , 	96 , 	83 , 	214 , 	55 , 	35 , 	39 , 	12 , 	16 , 	19 , 	9 , 	2 , 	3 , 	9 , 	20 , 	6 , 	11 , 	77 , 	6 , 	2 , 	7 , 	7 , 	-   , 	-   , 	5 , 	10 ," 	1,114 ",,,,,,,,,,
SS, 	5 , 	8 , 	4 , 	3 , 	11 , 	4 , 	5 , 	9 , 	16 , 	2 , 	7 , 	4 , 	3 , 	4 , 	2 , 	2 , 	2 , 	2 , 	6 , 	4 , 	7 , 	2 , 	6 , 	3 , 	8 , 	69 , 	69 , 	304 , 	87 , 	52 , 	48 , 	17 , 	24 , 	23 , 	8 , 	2 , 	5 , 	2 , 	5 , 	9 , 	24 , 	48 , 	17 , 	2 , 	2 , 	1 , 	-   , 	-   , 	2 , 	6 , 	946 ,,,,,,,,,,
SB, 	10 , 	18 , 	7 , 	5 , 	17 , 	5 , 	11 , 	10 , 	16 , 	9 , 	11 , 	11 , 	5 , 	6 , 	6 , 	8 , 	4 , 	2 , 	18 , 	6 , 	8 , 	5 , 	3 , 	6 , 	16 , 	78 , 	87 , 	310 , 	135 , 	89 , 	96 , 	42 , 	81 , 	90 , 	32 , 	5 , 	8 , 	4 , 	12 , 	22 , 	12 , 	53 , 	21 , 	3 , 	3 , 	2 , 	-   , 	-   , 	5 , 	6 ," 	1,412 ",,,,,,,,,,
SO, 	54 , 	76 , 	55 , 	68 , 	241 , 	59 , 	93 , 	71 , 	70 , 	20 , 	40 , 	23 , 	24 , 	21 , 	11 , 	10 , 	10 , 	18 , 	73 , 	102 , 	97 , 	56 , 	47 , 	128 , 	88 , 	171 , 	212 ," 	1,000 ", 	393 , 	141 , 	125 , 	72 , 	101 , 	173 , 	115 , 	11 , 	65 , 	27 , 	76 , 	35 , 	34 , 	52 , 	159 , 	20 , 	11 , 	7 , 	-   , 	-   , 	13 , 	46 ," 	4,610 ",,,,,,,,,,
MB, 	10 , 	21 , 	13 , 	10 , 	72 , 	11 , 	22 , 	22 , 	33 , 	7 , 	9 , 	7 , 	5 , 	6 , 	3 , 	3 , 	2 , 	2 , 	11 , 	9 , 	13 , 	7 , 	5 , 	18 , 	17 , 	148 , 	150 , 	582 , 	250 , 	137 , 	102 , 	54 , 	62 , 	76 , 	22 , 	3 , 	6 , 	3 , 	8 , 	15 , 	18 , 	159 , 	23 , 	3 , 	3 , 	1 , 	-   , 	-   , 	3 , 	6 ," 	2,162 ",,,,,,,,,,
WD, 	5 , 	7 , 	3 , 	2 , 	21 , 	7 , 	11 , 	14 , 	13 , 	32 , 	47 , 	25 , 	44 , 	70 , 	23 , 	14 , 	12 , 	11 , 	2 , 	3 , 	1 , 	0 , 	1 , 	2 , 	7 , 	159 , 	95 , 	244 , 	112 , 	34 , 	17 , 	15 , 	8 , 	19 , 	3 , 	69 , 	27 , 	-   , 	3 , 	1 , 	2 , 	28 , 	4 , 	12 , 	19 , 	13 , 	-   , 	-   , 	-   , 	2 ," 	1,260 ",,,,,,,,,,
OA, 	5 , 	19 , 	16 , 	16 , 	89 , 	20 , 	14 , 	13 , 	14 , 	10 , 	7 , 	13 , 	6 , 	3 , 	4 , 	3 , 	10 , 	8 , 	13 , 	18 , 	18 , 	9 , 	3 , 	13 , 	4 , 	51 , 	39 , 	75 , 	35 , 	17 , 	17 , 	14 , 	9 , 	12 , 	0 , 	5 , 	25 , 	5 , 	6 , 	3 , 	1 , 	15 , 	2 , 	13 , 	2 , 	8 , 	-   , 	-   , 	1 , 	5 , 	700 ,,,,,,,,,,
WS, 	11 , 	27 , 	15 , 	22 , 	142 , 	22 , 	27 , 	35 , 	35 , 	53 , 	45 , 	31 , 	29 , 	42 , 	44 , 	37 , 	30 , 	40 , 	12 , 	10 , 	11 , 	3 , 	3 , 	10 , 	14 , 	151 , 	104 , 	250 , 	101 , 	39 , 	17 , 	11 , 	15 , 	19 , 	2 , 	8 , 	23 , 	4 , 	8 , 	2 , 	2 , 	12 , 	2 , 	8 , 	7 , 	14 , 	-   , 	-   , 	4 , 	9 ," 	1,556 ",,,,,,,,,,
ML, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
BE, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
