Exit stations,Entry stations->,,SUNDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	16 , 	18 , 	7 , 	38 , 	11 , 	18 , 	15 , 	15 , 	13 , 	21 , 	16 , 	10 , 	5 , 	7 , 	3 , 	2 , 	2 , 	4 , 	2 , 	4 , 	1 , 	0 , 	3 , 	3 , 	35 , 	28 , 	75 , 	30 , 	31 , 	36 , 	7 , 	12 , 	5 , 	2 , 	1 , 	2 , 	1 , 	3 , 	2 , 	3 , 	10 , 	3 , 	-   , 	4 , 	3 , 	1 , 	4 , 	2 , 	3 , 	548 ,,,,,,,,,,,
CL, 	17 , 	26 , 	13 , 	14 , 	19 , 	16 , 	34 , 	29 , 	31 , 	51 , 	52 , 	16 , 	49 , 	40 , 	31 , 	24 , 	10 , 	20 , 	14 , 	11 , 	12 , 	6 , 	7 , 	10 , 	14 , 	38 , 	27 , 	73 , 	40 , 	26 , 	22 , 	10 , 	10 , 	10 , 	1 , 	23 , 	81 , 	5 , 	10 , 	1 , 	3 , 	5 , 	2 , 	25 , 	19 , 	12 , 	7 , 	19 , 	2 , 	12 ," 	1,052 ",,,,,,,,,,,
SL, 	6 , 	7 , 	3 , 	3 , 	14 , 	8 , 	9 , 	14 , 	15 , 	29 , 	39 , 	49 , 	7 , 	29 , 	27 , 	7 , 	7 , 	8 , 	2 , 	1 , 	3 , 	2 , 	0 , 	5 , 	5 , 	46 , 	39 , 	59 , 	28 , 	18 , 	18 , 	4 , 	5 , 	8 , 	1 , 	9 , 	18 , 	0 , 	2 , 	1 , 	2 , 	9 , 	1 , 	14 , 	5 , 	4 , 	4 , 	7 , 	1 , 	3 , 	605 ,,,,,,,,,,,
BF, 	10 , 	9 , 	3 , 	4 , 	9 , 	13 , 	8 , 	15 , 	18 , 	35 , 	64 , 	46 , 	30 , 	9 , 	22 , 	6 , 	9 , 	11 , 	5 , 	1 , 	4 , 	1 , 	2 , 	3 , 	8 , 	42 , 	46 , 	70 , 	24 , 	15 , 	14 , 	5 , 	7 , 	6 , 	4 , 	13 , 	22 , 	-   , 	2 , 	0 , 	2 , 	6 , 	1 , 	15 , 	2 , 	6 , 	4 , 	10 , 	1 , 	4 , 	666 ,,,,,,,,,,,
HY, 	5 , 	9 , 	2 , 	3 , 	8 , 	4 , 	8 , 	7 , 	12 , 	15 , 	31 , 	33 , 	26 , 	25 , 	6 , 	17 , 	13 , 	19 , 	5 , 	5 , 	4 , 	1 , 	0 , 	0 , 	4 , 	21 , 	8 , 	28 , 	10 , 	6 , 	5 , 	2 , 	4 , 	3 , 	1 , 	2 , 	8 , 	1 , 	2 , 	1 , 	1 , 	3 , 	0 , 	6 , 	2 , 	6 , 	9 , 	14 , 	-   , 	3 , 	408 ,,,,,,,,,,,
SH, 	2 , 	3 , 	3 , 	2 , 	7 , 	3 , 	5 , 	4 , 	9 , 	13 , 	16 , 	21 , 	10 , 	11 , 	17 , 	6 , 	4 , 	8 , 	3 , 	1 , 	1 , 	1 , 	-   , 	2 , 	4 , 	18 , 	9 , 	19 , 	12 , 	5 , 	4 , 	1 , 	2 , 	4 , 	1 , 	3 , 	4 , 	1 , 	1 , 	0 , 	1 , 	3 , 	1 , 	3 , 	6 , 	5 , 	6 , 	11 , 	1 , 	2 , 	282 ,,,,,,,,,,,
UC, 	1 , 	2 , 	1 , 	1 , 	4 , 	3 , 	3 , 	3 , 	6 , 	5 , 	8 , 	11 , 	6 , 	8 , 	13 , 	3 , 	3 , 	15 , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	2 , 	12 , 	10 , 	10 , 	6 , 	4 , 	2 , 	1 , 	1 , 	1 , 	-   , 	2 , 	4 , 	0 , 	1 , 	0 , 	1 , 	3 , 	-   , 	3 , 	3 , 	9 , 	8 , 	13 , 	1 , 	2 , 	198 ,,,,,,,,,,,
FM, 	3 , 	2 , 	1 , 	1 , 	7 , 	2 , 	5 , 	2 , 	4 , 	6 , 	13 , 	18 , 	8 , 	11 , 	19 , 	6 , 	14 , 	6 , 	2 , 	2 , 	0 , 	-   , 	1 , 	1 , 	3 , 	19 , 	12 , 	16 , 	8 , 	4 , 	4 , 	1 , 	2 , 	3 , 	1 , 	2 , 	4 , 	-   , 	2 , 	0 , 	1 , 	3 , 	1 , 	2 , 	3 , 	7 , 	11 , 	17 , 	0 , 	1 , 	261 ,,,,,,,,,,,
CN, 	6 , 	6 , 	2 , 	2 , 	6 , 	3 , 	14 , 	6 , 	9 , 	2 , 	10 , 	13 , 	3 , 	6 , 	3 , 	3 , 	2 , 	2 , 	6 , 	13 , 	41 , 	26 , 	4 , 	10 , 	2 , 	43 , 	22 , 	46 , 	17 , 	16 , 	15 , 	3 , 	6 , 	3 , 	2 , 	1 , 	2 , 	4 , 	27 , 	2 , 	2 , 	27 , 	2 , 	0 , 	11 , 	1 , 	1 , 	4 , 	18 , 	18 , 	493 ,,,,,,,,,,,
PH, 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	8 , 	7 , 	9 , 	2 , 	2 , 	10 , 	3 , 	0 , 	3 , 	1 , 	0 , 	1 , 	14 , 	5 , 	22 , 	8 , 	5 , 	11 , 	2 , 	42 , 	18 , 	36 , 	18 , 	13 , 	5 , 	5 , 	4 , 	3 , 	0 , 	1 , 	1 , 	4 , 	10 , 	2 , 	4 , 	26 , 	2 , 	0 , 	12 , 	1 , 	0 , 	1 , 	7 , 	8 , 	347 ,,,,,,,,,,,
WC, 	4 , 	3 , 	2 , 	2 , 	6 , 	3 , 	8 , 	13 , 	8 , 	4 , 	5 , 	11 , 	4 , 	3 , 	2 , 	3 , 	1 , 	0 , 	58 , 	24 , 	6 , 	11 , 	8 , 	22 , 	2 , 	55 , 	24 , 	40 , 	23 , 	17 , 	11 , 	5 , 	6 , 	7 , 	2 , 	0 , 	0 , 	5 , 	19 , 	2 , 	3 , 	33 , 	3 , 	0 , 	8 , 	0 , 	2 , 	2 , 	10 , 	14 , 	504 ,,,,,,,,,,,
LF, 	1 , 	1 , 	3 , 	0 , 	3 , 	0 , 	4 , 	3 , 	4 , 	0 , 	3 , 	6 , 	2 , 	1 , 	0 , 	0 , 	-   , 	-   , 	31 , 	9 , 	8 , 	3 , 	4 , 	7 , 	2 , 	27 , 	15 , 	17 , 	13 , 	6 , 	4 , 	4 , 	2 , 	2 , 	0 , 	1 , 	0 , 	3 , 	3 , 	0 , 	1 , 	15 , 	1 , 	-   , 	4 , 	0 , 	-   , 	2 , 	5 , 	2 , 	221 ,,,,,,,,,,,
OR, 	0 , 	0 , 	1 , 	1 , 	1 , 	-   , 	3 , 	6 , 	3 , 	0 , 	3 , 	6 , 	0 , 	2 , 	-   , 	-   , 	0 , 	0 , 	6 , 	5 , 	10 , 	2 , 	2 , 	7 , 	2 , 	24 , 	13 , 	21 , 	12 , 	14 , 	4 , 	3 , 	3 , 	2 , 	1 , 	-   , 	1 , 	1 , 	2 , 	0 , 	1 , 	10 , 	0 , 	0 , 	2 , 	0 , 	0 , 	1 , 	3 , 	2 , 	182 ,,,,,,,,,,,
RR, 	3 , 	5 , 	3 , 	3 , 	1 , 	1 , 	8 , 	11 , 	12 , 	4 , 	10 , 	11 , 	6 , 	3 , 	1 , 	1 , 	1 , 	1 , 	9 , 	15 , 	21 , 	9 , 	7 , 	4 , 	4 , 	49 , 	30 , 	47 , 	25 , 	31 , 	17 , 	9 , 	4 , 	3 , 	1 , 	2 , 	2 , 	1 , 	6 , 	0 , 	1 , 	18 , 	2 , 	-   , 	5 , 	0 , 	2 , 	2 , 	1 , 	6 , 	419 ,,,,,,,,,,,
OW, 	4 , 	5 , 	0 , 	2 , 	9 , 	5 , 	9 , 	5 , 	9 , 	7 , 	19 , 	13 , 	6 , 	5 , 	5 , 	2 , 	0 , 	2 , 	2 , 	1 , 	3 , 	1 , 	2 , 	4 , 	10 , 	115 , 	65 , 	136 , 	77 , 	65 , 	34 , 	10 , 	12 , 	9 , 	5 , 	4 , 	4 , 	1 , 	1 , 	3 , 	3 , 	28 , 	2 , 	1 , 	4 , 	1 , 	1 , 	2 , 	2 , 	4 , 	720 ,,,,,,,,,,,
EM, 	35 , 	56 , 	32 , 	33 , 	63 , 	31 , 	62 , 	65 , 	77 , 	53 , 	60 , 	56 , 	47 , 	41 , 	20 , 	20 , 	14 , 	19 , 	46 , 	42 , 	54 , 	29 , 	30 , 	57 , 	128 , 	44 , 	5 , 	19 , 	17 , 	46 , 	55 , 	31 , 	49 , 	44 , 	16 , 	27 , 	111 , 	18 , 	31 , 	11 , 	15 , 	55 , 	16 , 	34 , 	23 , 	5 , 	18 , 	17 , 	9 , 	29 ," 	1,914 ",,,,,,,,,,,
MT, 	41 , 	44 , 	24 , 	17 , 	39 , 	23 , 	52 , 	47 , 	62 , 	72 , 	80 , 	39 , 	46 , 	61 , 	17 , 	14 , 	11 , 	15 , 	33 , 	23 , 	25 , 	14 , 	13 , 	36 , 	87 , 	7 , 	22 , 	8 , 	11 , 	47 , 	52 , 	30 , 	79 , 	40 , 	21 , 	21 , 	54 , 	5 , 	21 , 	7 , 	19 , 	55 , 	11 , 	12 , 	15 , 	6 , 	8 , 	10 , 	4 , 	21 ," 	1,521 ",,,,,,,,,,,
PL, 	60 , 	63 , 	26 , 	21 , 	61 , 	35 , 	62 , 	82 , 	79 , 	62 , 	104 , 	59 , 	44 , 	43 , 	23 , 	12 , 	7 , 	16 , 	34 , 	34 , 	31 , 	15 , 	15 , 	31 , 	126 , 	23 , 	6 , 	61 , 	16 , 	127 , 	159 , 	80 , 	177 , 	125 , 	51 , 	16 , 	44 , 	14 , 	34 , 	28 , 	36 , 	102 , 	21 , 	14 , 	10 , 	3 , 	6 , 	15 , 	8 , 	21 ," 	2,343 ",,,,,,,,,,,
CC, 	27 , 	36 , 	21 , 	20 , 	48 , 	22 , 	52 , 	59 , 	60 , 	47 , 	77 , 	35 , 	21 , 	20 , 	16 , 	7 , 	4 , 	7 , 	20 , 	19 , 	28 , 	12 , 	9 , 	30 , 	81 , 	12 , 	9 , 	18 , 	29 , 	36 , 	49 , 	36 , 	72 , 	56 , 	29 , 	11 , 	21 , 	3 , 	11 , 	16 , 	23 , 	81 , 	22 , 	6 , 	9 , 	3 , 	6 , 	9 , 	4 , 	18 ," 	1,367 ",,,,,,,,,,,
16, 	31 , 	25 , 	12 , 	20 , 	35 , 	23 , 	47 , 	53 , 	51 , 	44 , 	43 , 	23 , 	21 , 	9 , 	7 , 	5 , 	4 , 	3 , 	15 , 	13 , 	17 , 	8 , 	10 , 	31 , 	68 , 	37 , 	36 , 	158 , 	44 , 	25 , 	16 , 	25 , 	53 , 	56 , 	23 , 	5 , 	16 , 	5 , 	11 , 	10 , 	27 , 	56 , 	21 , 	7 , 	10 , 	2 , 	3 , 	8 , 	5 , 	6 ," 	1,282 ",,,,,,,,,,,
24, 	28 , 	22 , 	6 , 	13 , 	22 , 	13 , 	29 , 	32 , 	27 , 	30 , 	36 , 	23 , 	12 , 	16 , 	5 , 	4 , 	4 , 	5 , 	16 , 	9 , 	9 , 	3 , 	5 , 	19 , 	43 , 	52 , 	39 , 	188 , 	68 , 	14 , 	25 , 	26 , 	57 , 	43 , 	26 , 	4 , 	12 , 	3 , 	11 , 	17 , 	32 , 	39 , 	17 , 	3 , 	5 , 	1 , 	2 , 	6 , 	3 , 	6 ," 	1,130 ",,,,,,,,,,,
GP, 	7 , 	10 , 	3 , 	4 , 	8 , 	5 , 	14 , 	10 , 	14 , 	6 , 	7 , 	12 , 	5 , 	3 , 	1 , 	2 , 	1 , 	1 , 	5 , 	4 , 	7 , 	3 , 	3 , 	9 , 	13 , 	33 , 	26 , 	88 , 	33 , 	25 , 	28 , 	12 , 	5 , 	10 , 	8 , 	1 , 	4 , 	1 , 	2 , 	4 , 	13 , 	30 , 	8 , 	0 , 	5 , 	0 , 	2 , 	2 , 	1 , 	4 , 	502 ,,,,,,,,,,,
BP, 	8 , 	9 , 	3 , 	2 , 	7 , 	4 , 	8 , 	8 , 	10 , 	11 , 	12 , 	8 , 	6 , 	6 , 	2 , 	2 , 	1 , 	2 , 	6 , 	3 , 	5 , 	1 , 	3 , 	3 , 	13 , 	56 , 	44 , 	217 , 	71 , 	55 , 	49 , 	5 , 	13 , 	8 , 	17 , 	2 , 	6 , 	1 , 	6 , 	7 , 	20 , 	31 , 	11 , 	4 , 	2 , 	1 , 	2 , 	5 , 	2 , 	4 , 	780 ,,,,,,,,,,,
DC, 	6 , 	9 , 	1 , 	3 , 	6 , 	3 , 	5 , 	8 , 	9 , 	6 , 	14 , 	8 , 	6 , 	6 , 	5 , 	4 , 	3 , 	1 , 	4 , 	5 , 	7 , 	2 , 	2 , 	4 , 	14 , 	40 , 	34 , 	171 , 	60 , 	52 , 	48 , 	9 , 	9 , 	14 , 	5 , 	1 , 	10 , 	2 , 	5 , 	6 , 	25 , 	48 , 	11 , 	2 , 	6 , 	3 , 	2 , 	1 , 	1 , 	4 , 	714 ,,,,,,,,,,,
CM, 	3 , 	5 , 	1 , 	1 , 	1 , 	2 , 	1 , 	5 , 	6 , 	2 , 	1 , 	2 , 	3 , 	2 , 	1 , 	0 , 	0 , 	1 , 	2 , 	1 , 	1 , 	-   , 	0 , 	1 , 	3 , 	13 , 	15 , 	67 , 	29 , 	25 , 	32 , 	9 , 	17 , 	7 , 	4 , 	0 , 	1 , 	0 , 	6 , 	2 , 	9 , 	39 , 	6 , 	0 , 	0 , 	1 , 	1 , 	-   , 	1 , 	3 , 	332 ,,,,,,,,,,,
CV, 	1 , 	2 , 	-   , 	0 , 	3 , 	1 , 	2 , 	1 , 	1 , 	15 , 	9 , 	24 , 	12 , 	11 , 	3 , 	1 , 	2 , 	1 , 	-   , 	0 , 	1 , 	0 , 	0 , 	1 , 	4 , 	21 , 	21 , 	22 , 	11 , 	4 , 	4 , 	1 , 	3 , 	2 , 	0 , 	1 , 	14 , 	-   , 	-   , 	-   , 	1 , 	3 , 	0 , 	16 , 	3 , 	1 , 	1 , 	2 , 	0 , 	1 , 	228 ,,,,,,,,,,,
ED, 	3 , 	4 , 	1 , 	1 , 	8 , 	2 , 	6 , 	3 , 	3 , 	22 , 	20 , 	72 , 	15 , 	17 , 	9 , 	5 , 	3 , 	3 , 	2 , 	2 , 	0 , 	0 , 	1 , 	1 , 	5 , 	113 , 	39 , 	57 , 	25 , 	17 , 	11 , 	8 , 	6 , 	8 , 	1 , 	13 , 	18 , 	0 , 	0 , 	0 , 	1 , 	19 , 	1 , 	4 , 	17 , 	2 , 	3 , 	4 , 	1 , 	0 , 	576 ,,,,,,,,,,,
NC, 	1 , 	-   , 	1 , 	0 , 	1 , 	0 , 	3 , 	2 , 	2 , 	0 , 	1 , 	4 , 	0 , 	0 , 	1 , 	-   , 	-   , 	0 , 	3 , 	3 , 	2 , 	2 , 	1 , 	3 , 	-   , 	15 , 	3 , 	16 , 	4 , 	7 , 	2 , 	1 , 	2 , 	2 , 	0 , 	-   , 	1 , 	2 , 	7 , 	1 , 	0 , 	8 , 	0 , 	-   , 	2 , 	-   , 	0 , 	0 , 	2 , 	2 , 	109 ,,,,,,,,,,,
WP, 	3 , 	2 , 	2 , 	0 , 	3 , 	0 , 	12 , 	5 , 	6 , 	1 , 	6 , 	9 , 	2 , 	1 , 	2 , 	2 , 	1 , 	2 , 	35 , 	9 , 	21 , 	4 , 	1 , 	4 , 	3 , 	26 , 	15 , 	41 , 	9 , 	8 , 	9 , 	2 , 	6 , 	7 , 	3 , 	-   , 	1 , 	4 , 	3 , 	2 , 	2 , 	25 , 	1 , 	-   , 	9 , 	0 , 	0 , 	2 , 	2 , 	6 , 	320 ,,,,,,,,,,,
SS, 	2 , 	2 , 	0 , 	0 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	3 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	3 , 	2 , 	3 , 	-   , 	0 , 	1 , 	2 , 	12 , 	8 , 	33 , 	16 , 	7 , 	18 , 	5 , 	5 , 	7 , 	2 , 	-   , 	1 , 	0 , 	2 , 	1 , 	5 , 	18 , 	2 , 	-   , 	1 , 	-   , 	-   , 	2 , 	-   , 	1 , 	180 ,,,,,,,,,,,
SB, 	5 , 	3 , 	1 , 	1 , 	4 , 	1 , 	2 , 	2 , 	6 , 	2 , 	2 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	4 , 	3 , 	0 , 	1 , 	1 , 	4 , 	17 , 	11 , 	49 , 	24 , 	25 , 	37 , 	12 , 	24 , 	24 , 	8 , 	0 , 	1 , 	0 , 	3 , 	7 , 	5 , 	15 , 	2 , 	0 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	325 ,,,,,,,,,,,
SO, 	6 , 	12 , 	4 , 	4 , 	12 , 	4 , 	13 , 	9 , 	9 , 	2 , 	4 , 	3 , 	3 , 	4 , 	2 , 	2 , 	1 , 	1 , 	17 , 	14 , 	20 , 	8 , 	6 , 	15 , 	15 , 	43 , 	43 , 	131 , 	44 , 	34 , 	19 , 	9 , 	19 , 	30 , 	26 , 	0 , 	9 , 	6 , 	15 , 	14 , 	8 , 	19 , 	27 , 	2 , 	5 , 	0 , 	1 , 	0 , 	4 , 	12 , 	711 ,,,,,,,,,,,
MB, 	4 , 	4 , 	2 , 	2 , 	3 , 	2 , 	2 , 	3 , 	5 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	4 , 	14 , 	11 , 	30 , 	21 , 	14 , 	15 , 	4 , 	9 , 	13 , 	5 , 	0 , 	1 , 	2 , 	1 , 	2 , 	3 , 	78 , 	7 , 	0 , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	284 ,,,,,,,,,,,
WD, 	1 , 	1 , 	1 , 	0 , 	2 , 	1 , 	4 , 	2 , 	1 , 	9 , 	15 , 	22 , 	11 , 	12 , 	5 , 	2 , 	2 , 	2 , 	0 , 	0 , 	0 , 	-   , 	-   , 	0 , 	2 , 	26 , 	14 , 	21 , 	10 , 	4 , 	4 , 	1 , 	1 , 	3 , 	-   , 	16 , 	9 , 	-   , 	0 , 	0 , 	0 , 	8 , 	0 , 	2 , 	6 , 	0 , 	2 , 	1 , 	-   , 	1 , 	227 ,,,,,,,,,,,
OA, 	1 , 	4 , 	3 , 	4 , 	7 , 	2 , 	3 , 	5 , 	4 , 	4 , 	4 , 	8 , 	1 , 	2 , 	0 , 	0 , 	0 , 	1 , 	2 , 	7 , 	6 , 	2 , 	1 , 	1 , 	1 , 	17 , 	13 , 	23 , 	9 , 	4 , 	2 , 	1 , 	1 , 	1 , 	0 , 	1 , 	6 , 	1 , 	4 , 	1 , 	0 , 	6 , 	0 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	4 , 	176 ,,,,,,,,,,,
WS, 	3 , 	1 , 	1 , 	1 , 	6 , 	1 , 	1 , 	2 , 	2 , 	4 , 	6 , 	12 , 	5 , 	5 , 	6 , 	4 , 	13 , 	5 , 	-   , 	1 , 	-   , 	1 , 	-   , 	0 , 	0 , 	6 , 	4 , 	5 , 	4 , 	2 , 	4 , 	1 , 	0 , 	2 , 	0 , 	1 , 	2 , 	1 , 	-   , 	-   , 	-   , 	1 , 	0 , 	-   , 	1 , 	2 , 	4 , 	6 , 	-   , 	1 , 	127 ,,,,,,,,,,,
ML, 	2 , 	4 , 	3 , 	2 , 	9 , 	4 , 	3 , 	3 , 	4 , 	5 , 	5 , 	7 , 	3 , 	3 , 	6 , 	5 , 	9 , 	15 , 	0 , 	0 , 	2 , 	0 , 	0 , 	1 , 	1 , 	18 , 	6 , 	8 , 	6 , 	5 , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	3 , 	0 , 	1 , 	0 , 	0 , 	2 , 	1 , 	1 , 	3 , 	5 , 	7 , 	8 , 	0 , 	1 , 	179 ,,,,,,,,,,,
BE, 	3 , 	5 , 	4 , 	3 , 	14 , 	5 , 	8 , 	7 , 	6 , 	8 , 	16 , 	17 , 	7 , 	8 , 	16 , 	12 , 	17 , 	18 , 	5 , 	2 , 	1 , 	1 , 	1 , 	1 , 	2 , 	17 , 	7 , 	16 , 	8 , 	6 , 	7 , 	3 , 	4 , 	2 , 	0 , 	1 , 	5 , 	0 , 	3 , 	2 , 	0 , 	1 , 	0 , 	1 , 	4 , 	9 , 	9 , 	5 , 	1 , 	1 , 	300 ,,,,,,,,,,,
