Exit stations,Entry stations->,,SATURDAY,,,May 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	9 , 	17 , 	21 , 	14 , 	58 , 	20 , 	26 , 	19 , 	20 , 	8 , 	27 , 	22 , 	10 , 	6 , 	5 , 	3 , 	1 , 	4 , 	4 , 	3 , 	2 , 	1 , 	2 , 	3 , 	7 , 	47 , 	35 , 	103 , 	44 , 	45 , 	51 , 	13 , 	17 , 	9 , 	3 , 	0 , 	5 , 	1 , 	3 , 	2 , 	5 , 	11 , 	5 , 	1 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	727 ,,,,,,,,,,
CV, 	1 , 	0 , 	1 , 	0 , 	2 , 	1 , 	4 , 	3 , 	3 , 	11 , 	15 , 	30 , 	13 , 	14 , 	5 , 	2 , 	2 , 	1 , 	0 , 	0 , 	1 , 	0 , 	0 , 	1 , 	3 , 	31 , 	18 , 	44 , 	16 , 	9 , 	7 , 	4 , 	3 , 	5 , 	-   , 	3 , 	19 , 	-   , 	1 , 	1 , 	3 , 	3 , 	1 , 	17 , 	3 , 	1 , 	1 , 	1 , 	0 , 	-   , 	306 ,,,,,,,,,,
ED, 	2 , 	4 , 	1 , 	1 , 	10 , 	4 , 	5 , 	7 , 	6 , 	22 , 	31 , 	88 , 	18 , 	24 , 	9 , 	5 , 	3 , 	7 , 	1 , 	1 , 	0 , 	1 , 	-   , 	1 , 	8 , 	124 , 	44 , 	80 , 	29 , 	22 , 	17 , 	9 , 	12 , 	11 , 	1 , 	17 , 	20 , 	-   , 	1 , 	1 , 	1 , 	23 , 	3 , 	8 , 	12 , 	2 , 	3 , 	5 , 	0 , 	1 , 	705 ,,,,,,,,,,
NC, 	1 , 	1 , 	0 , 	0 , 	1 , 	0 , 	3 , 	2 , 	2 , 	1 , 	2 , 	7 , 	1 , 	1 , 	1 , 	1 , 	0 , 	-   , 	9 , 	4 , 	2 , 	2 , 	1 , 	2 , 	1 , 	18 , 	7 , 	19 , 	5 , 	9 , 	3 , 	3 , 	3 , 	2 , 	1 , 	-   , 	1 , 	2 , 	6 , 	0 , 	1 , 	10 , 	1 , 	-   , 	3 , 	0 , 	0 , 	-   , 	3 , 	4 , 	149 ,,,,,,,,,,
WP, 	3 , 	2 , 	1 , 	-   , 	9 , 	1 , 	9 , 	8 , 	7 , 	1 , 	4 , 	11 , 	2 , 	4 , 	2 , 	4 , 	1 , 	2 , 	35 , 	15 , 	27 , 	6 , 	2 , 	5 , 	3 , 	32 , 	19 , 	60 , 	16 , 	15 , 	19 , 	5 , 	11 , 	4 , 	4 , 	0 , 	1 , 	6 , 	6 , 	5 , 	5 , 	22 , 	2 , 	-   , 	8 , 	-   , 	1 , 	1 , 	2 , 	6 , 	415 ,,,,,,,,,,
SS, 	1 , 	2 , 	3 , 	1 , 	2 , 	1 , 	2 , 	1 , 	3 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	0 , 	4 , 	1 , 	3 , 	-   , 	1 , 	1 , 	3 , 	18 , 	8 , 	50 , 	17 , 	21 , 	24 , 	7 , 	9 , 	9 , 	2 , 	1 , 	3 , 	1 , 	4 , 	4 , 	6 , 	14 , 	3 , 	0 , 	0 , 	1 , 	0 , 	0 , 	1 , 	3 , 	246 ,,,,,,,,,,
SB, 	6 , 	7 , 	1 , 	2 , 	4 , 	1 , 	3 , 	2 , 	11 , 	2 , 	4 , 	3 , 	3 , 	3 , 	2 , 	2 , 	1 , 	1 , 	4 , 	4 , 	5 , 	0 , 	0 , 	3 , 	6 , 	19 , 	17 , 	72 , 	41 , 	38 , 	44 , 	17 , 	32 , 	29 , 	9 , 	2 , 	1 , 	1 , 	4 , 	6 , 	8 , 	13 , 	4 , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	2 , 	443 ,,,,,,,,,,
SO, 	7 , 	11 , 	5 , 	7 , 	18 , 	3 , 	15 , 	11 , 	11 , 	3 , 	7 , 	4 , 	6 , 	4 , 	3 , 	2 , 	1 , 	2 , 	20 , 	20 , 	23 , 	14 , 	6 , 	17 , 	19 , 	35 , 	37 , 	106 , 	43 , 	36 , 	22 , 	13 , 	21 , 	31 , 	26 , 	1 , 	14 , 	6 , 	20 , 	12 , 	11 , 	14 , 	30 , 	2 , 	4 , 	0 , 	1 , 	1 , 	3 , 	18 , 	748 ,,,,,,,,,,
MB, 	3 , 	4 , 	2 , 	2 , 	6 , 	1 , 	6 , 	3 , 	7 , 	1 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	0 , 	3 , 	2 , 	2 , 	1 , 	1 , 	3 , 	2 , 	19 , 	18 , 	42 , 	28 , 	28 , 	21 , 	10 , 	12 , 	15 , 	6 , 	1 , 	2 , 	0 , 	3 , 	4 , 	4 , 	51 , 	9 , 	0 , 	2 , 	0 , 	-   , 	-   , 	1 , 	1 , 	336 ,,,,,,,,,,
WD, 	0 , 	1 , 	3 , 	1 , 	4 , 	2 , 	3 , 	1 , 	1 , 	10 , 	26 , 	34 , 	16 , 	15 , 	10 , 	4 , 	2 , 	4 , 	0 , 	-   , 	0 , 	-   , 	-   , 	0 , 	3 , 	36 , 	15 , 	33 , 	13 , 	8 , 	3 , 	3 , 	2 , 	4 , 	0 , 	18 , 	13 , 	-   , 	-   , 	0 , 	1 , 	7 , 	0 , 	9 , 	4 , 	-   , 	2 , 	1 , 	-   , 	0 , 	316 ,,,,,,,,,,
OA, 	2 , 	4 , 	2 , 	4 , 	9 , 	3 , 	4 , 	4 , 	3 , 	3 , 	2 , 	8 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	3 , 	5 , 	5 , 	4 , 	1 , 	1 , 	1 , 	13 , 	6 , 	11 , 	7 , 	4 , 	3 , 	2 , 	2 , 	0 , 	0 , 	1 , 	6 , 	1 , 	3 , 	1 , 	0 , 	4 , 	0 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	147 ,,,,,,,,,,
WS, 	1 , 	3 , 	0 , 	3 , 	5 , 	2 , 	1 , 	5 , 	4 , 	5 , 	8 , 	17 , 	3 , 	4 , 	6 , 	5 , 	13 , 	5 , 	1 , 	1 , 	0 , 	0 , 	1 , 	0 , 	0 , 	11 , 	3 , 	10 , 	4 , 	3 , 	2 , 	1 , 	1 , 	1 , 	0 , 	1 , 	2 , 	0 , 	0 , 	0 , 	0 , 	1 , 	-   , 	1 , 	-   , 	6 , 	9 , 	5 , 	-   , 	1 , 	155 ,,,,,,,,,,
ML, 	2 , 	3 , 	1 , 	2 , 	12 , 	3 , 	5 , 	4 , 	4 , 	5 , 	7 , 	14 , 	7 , 	6 , 	8 , 	4 , 	16 , 	18 , 	1 , 	1 , 	2 , 	0 , 	0 , 	1 , 	1 , 	13 , 	6 , 	16 , 	7 , 	5 , 	6 , 	2 , 	1 , 	2 , 	1 , 	2 , 	6 , 	-   , 	1 , 	0 , 	1 , 	2 , 	-   , 	0 , 	1 , 	7 , 	9 , 	6 , 	0 , 	1 , 	222 ,,,,,,,,,,
