Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	3 , 	3 , 	2 , 	3 , 	13 , 	4 , 	9 , 	11 , 	15 , 	0 , 	7 , 	64 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	19 , 	10 , 	13 , 	8 , 	3 , 	19 , 	1 , 	69 , 	72 , 	221 , 	76 , 	8 , 	6 , 	5 , 	8 , 	5 , 	7 , 	-   , 	1 , 	3 , 	2 , 	700 ,,,FT/ED line," 	12,897 "," 	3,547 "," 	2,741 "," 	3,735 "," 	2,033 "," 	6,805 "," 	95,738 "
RR, 	9 , 	9 , 	11 , 	8 , 	21 , 	8 , 	24 , 	27 , 	44 , 	10 , 	22 , 	74 , 	10 , 	7 , 	3 , 	1 , 	5 , 	11 , 	20 , 	26 , 	45 , 	26 , 	18 , 	8 , 	4 , 	139 , 	153 , 	487 , 	186 , 	53 , 	51 , 	24 , 	12 , 	18 , 	25 , 	2 , 	6 , 	5 , 	14 ," 	1,628 ",,,,,,,,,,
OW, 	24 , 	18 , 	3 , 	5 , 	48 , 	21 , 	22 , 	16 , 	29 , 	13 , 	41 , 	43 , 	13 , 	25 , 	10 , 	6 , 	5 , 	4 , 	4 , 	1 , 	6 , 	2 , 	2 , 	3 , 	2 , 	111 , 	144 , 	451 , 	105 , 	36 , 	32 , 	10 , 	18 , 	6 , 	9 , 	1 , 	10 , 	1 , 	7 ," 	1,305 ",,,,,,,,,,
EM, 	60 , 	96 , 	81 , 	111 , 	210 , 	88 , 	140 , 	99 , 	210 , 	94 , 	108 , 	324 , 	84 , 	73 , 	39 , 	27 , 	59 , 	125 , 	104 , 	137 , 	168 , 	98 , 	79 , 	171 , 	138 , 	26 , 	26 , 	167 , 	52 , 	179 , 	233 , 	108 , 	160 , 	110 , 	89 , 	63 , 	210 , 	28 , 	89 ," 	4,464 ",,,,,,,,,,
MT, 	82 , 	141 , 	97 , 	123 , 	184 , 	78 , 	145 , 	114 , 	195 , 	122 , 	156 , 	202 , 	100 , 	81 , 	44 , 	32 , 	74 , 	115 , 	76 , 	116 , 	117 , 	85 , 	83 , 	151 , 	154 , 	45 , 	26 , 	70 , 	40 , 	266 , 	330 , 	323 , 	856 , 	140 , 	132 , 	64 , 	211 , 	29 , 	71 ," 	5,470 ",,,,,,,,,,
PL, 	126 , 	364 , 	225 , 	258 , 	493 , 	226 , 	399 , 	228 , 	500 , 	286 , 	429 , 	436 , 	261 , 	210 , 	129 , 	88 , 	176 , 	366 , 	186 , 	287 , 	414 , 	244 , 	222 , 	473 , 	501 , 	151 , 	50 , 	138 , 	200 , 	825 ," 	1,382 ", 	784 ," 	1,203 ", 	763 , 	541 , 	180 , 	718 , 	94 , 	246 ," 	14,803 ",,,,,,,,,,
CC, 	48 , 	73 , 	65 , 	111 , 	172 , 	100 , 	158 , 	91 , 	148 , 	79 ," 	1,009 ", 	231 , 	69 , 	49 , 	26 , 	17 , 	33 , 	82 , 	62 , 	69 , 	111 , 	67 , 	72 , 	153 , 	106 , 	39 , 	35 , 	172 , 	51 , 	382 , 	508 , 	195 , 	427 , 	176 , 	234 , 	49 , 	154 , 	23 , 	54 ," 	5,701 ",,,,,,,,,,
16, 	51 , 	34 , 	19 , 	32 , 	73 , 	40 , 	74 , 	42 , 	56 , 	45 , 	64 , 	79 , 	19 , 	22 , 	12 , 	7 , 	8 , 	19 , 	24 , 	10 , 	15 , 	12 , 	6 , 	49 , 	37 , 	145 , 	187 , 	920 , 	438 , 	39 , 	135 , 	92 , 	197 , 	125 , 	108 , 	12 , 	25 , 	5 , 	28 ," 	3,306 ",,,,,,,,,,
24, 	61 , 	57 , 	18 , 	31 , 	60 , 	39 , 	66 , 	37 , 	51 , 	43 , 	100 , 	101 , 	33 , 	20 , 	24 , 	17 , 	15 , 	18 , 	33 , 	16 , 	19 , 	9 , 	6 , 	36 , 	32 , 	204 , 	239 ," 	1,424 ", 	588 , 	120 , 	42 , 	108 , 	254 , 	158 , 	162 , 	7 , 	27 , 	9 , 	47 ," 	4,334 ",,,,,,,,,,
GP, 	8 , 	18 , 	8 , 	16 , 	24 , 	9 , 	15 , 	11 , 	23 , 	15 , 	19 , 	58 , 	10 , 	9 , 	5 , 	3 , 	5 , 	10 , 	14 , 	11 , 	11 , 	5 , 	7 , 	19 , 	16 , 	106 , 	135 , 	997 , 	188 , 	95 , 	94 , 	22 , 	39 , 	25 , 	49 , 	7 , 	13 , 	5 , 	21 ," 	2,143 ",,,,,,,,,,
BP, 	23 , 	36 , 	8 , 	14 , 	22 , 	13 , 	19 , 	13 , 	40 , 	19 , 	36 , 	42 , 	16 , 	20 , 	13 , 	5 , 	12 , 	13 , 	27 , 	17 , 	13 , 	10 , 	8 , 	14 , 	22 , 	151 , 	223 ," 	1,998 ", 	396 , 	197 , 	266 , 	39 , 	38 , 	47 , 	102 , 	8 , 	40 , 	14 , 	40 ," 	4,031 ",,,,,,,,,,
DC, 	17 , 	24 , 	13 , 	9 , 	33 , 	12 , 	17 , 	15 , 	33 , 	20 , 	24 , 	81 , 	13 , 	15 , 	8 , 	6 , 	10 , 	19 , 	20 , 	22 , 	19 , 	7 , 	8 , 	16 , 	13 , 	107 , 	117 , 	798 , 	184 , 	113 , 	169 , 	32 , 	54 , 	13 , 	47 , 	6 , 	31 , 	6 , 	29 ," 	2,181 ",,,,,,,,,,
CM, 	16 , 	31 , 	9 , 	15 , 	43 , 	15 , 	23 , 	16 , 	39 , 	10 , 	16 , 	67 , 	9 , 	11 , 	10 , 	7 , 	8 , 	15 , 	28 , 	27 , 	22 , 	11 , 	10 , 	17 , 	11 , 	101 , 	89 , 	681 , 	250 , 	105 , 	176 , 	56 , 	99 , 	50 , 	16 , 	4 , 	26 , 	8 , 	39 ," 	2,184 ",,,,,,,,,,
