Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Dec 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
WC, 	29 , 	41 , 	25 , 	22 , 	112 , 	26 , 	92 , 	199 , 	317 , 	24 , 	33 , 	82 , 	22 , 	19 , 	14 , 	16 , 	15 , 	23 , 	542 , 	124 , 	10 , 	75 , 	36 , 	135 , 	21 , 	960 , 	884 , 	522 , 	325 , 	40 , 	53 , 	45 , 	32 , 	71 , 	49 , 	5 , 	6 , 	78 , 	220 ," 	5,342 ",,,RM line," 	21,369 "," 	9,669 "," 	4,861 "," 	6,297 ",,,,
LF, 	11 , 	9 , 	6 , 	7 , 	53 , 	7 , 	24 , 	107 , 	168 , 	9 , 	19 , 	39 , 	5 , 	3 , 	4 , 	2 , 	5 , 	6 , 	120 , 	74 , 	84 , 	5 , 	16 , 	64 , 	5 , 	699 , 	616 , 	322 , 	184 , 	16 , 	26 , 	15 , 	6 , 	27 , 	14 , 	2 , 	4 , 	11 , 	33 ," 	2,825 ",,,WP line," 	34,361 "," 	7,524 "," 	4,184 "," 	2,505 "," 	5,760 ",,,
OR, 	8 , 	10 , 	9 , 	11 , 	46 , 	12 , 	32 , 	68 , 	142 , 	10 , 	28 , 	35 , 	7 , 	5 , 	4 , 	2 , 	4 , 	11 , 	63 , 	40 , 	36 , 	14 , 	5 , 	55 , 	3 , 	627 , 	585 , 	295 , 	180 , 	18 , 	22 , 	14 , 	13 , 	25 , 	15 , 	1 , 	2 , 	10 , 	22 ," 	2,490 ",,,FT/ED line," 	37,760 "," 	13,938 "," 	5,504 "," 	7,166 "," 	2,998 "," 	12,074 "," 	282,622 ",
RR, 	23 , 	26 , 	15 , 	22 , 	51 , 	12 , 	46 , 	104 , 	207 , 	38 , 	54 , 	61 , 	21 , 	13 , 	10 , 	5 , 	9 , 	21 , 	91 , 	90 , 	132 , 	63 , 	57 , 	11 , 	12 , 	817 , 	917 , 	660 , 	439 , 	85 , 	73 , 	36 , 	45 , 	59 , 	29 , 	5 , 	13 , 	20 , 	40 ," 	4,431 ",,,,,,,,,,,
OW, 	41 , 	42 , 	8 , 	11 , 	72 , 	36 , 	50 , 	49 , 	70 , 	22 , 	96 , 	81 , 	33 , 	40 , 	36 , 	24 , 	16 , 	16 , 	12 , 	10 , 	16 , 	4 , 	3 , 	8 , 	3 ," 	1,058 "," 	1,018 ", 	630 , 	374 , 	86 , 	76 , 	24 , 	43 , 	37 , 	18 , 	8 , 	26 , 	2 , 	26 ," 	4,223 ",,,,,,,,,,,
EM, 	223 , 	795 , 	419 , 	444 , 	616 , 	448 , 	688 , 	804 ," 	1,141 ", 	512 , 	567 , 	581 , 	607 , 	522 , 	409 , 	301 , 	531 , 	763 , 	737 ," 	1,517 "," 	1,134 ", 	722 , 	665 , 	838 ," 	1,156 ", 	86 , 	149 , 	467 , 	266 , 	699 ," 	1,187 ", 	998 ," 	1,356 "," 	1,092 "," 	1,131 ", 	431 ," 	1,155 ", 	346 , 	680 ," 	27,183 ",,,,,,,,,,,
MT, 	430 , 	884 , 	507 , 	439 , 	614 , 	459 , 	708 , 	626 , 	767 , 	409 , 	717 , 	513 , 	586 , 	515 , 	324 , 	269 , 	433 , 	691 , 	693 ," 	1,199 ", 	857 , 	542 , 	546 , 	701 , 	949 , 	326 , 	81 , 	267 , 	284 ," 	1,076 "," 	1,768 "," 	1,568 "," 	2,776 "," 	1,255 "," 	1,322 ", 	370 , 	921 , 	277 , 	530 ," 	28,200 ",,,,,,,,,,,
PL, 	252 , 	644 , 	333 , 	344 , 	742 , 	328 , 	594 , 	556 , 	930 , 	441 , 	626 , 	592 , 	386 , 	349 , 	245 , 	196 , 	302 , 	490 , 	385 , 	537 , 	490 , 	288 , 	271 , 	549 , 	605 , 	661 , 	360 , 	121 , 	383 ," 	1,229 "," 	1,909 "," 	1,276 "," 	2,472 "," 	1,144 ", 	922 , 	216 , 	743 , 	179 , 	360 ," 	23,451 ",,,,,,,,,,,
CC, 	158 , 	492 , 	229 , 	251 , 	398 , 	254 , 	437 , 	364 , 	520 , 	281 ," 	2,627 ", 	346 , 	284 , 	236 , 	184 , 	158 , 	202 , 	262 , 	297 , 	359 , 	268 , 	160 , 	154 , 	349 , 	364 , 	260 , 	264 , 	323 , 	106 , 	718 ," 	1,087 ", 	722 ," 	1,669 ", 	662 , 	675 , 	140 , 	394 , 	120 , 	297 ," 	17,073 ",,,,,,,,,,,
16, 	82 , 	81 , 	38 , 	71 , 	157 , 	83 , 	144 , 	117 , 	168 , 	78 , 	132 , 	109 , 	47 , 	48 , 	39 , 	28 , 	23 , 	34 , 	48 , 	45 , 	41 , 	17 , 	14 , 	76 , 	91 , 	590 , 	841 ," 	1,419 ", 	770 , 	31 , 	275 , 	267 , 	659 , 	219 , 	180 , 	15 , 	61 , 	18 , 	67 ," 	7,223 ",,,,,,,,,,,
24, 	114 , 	135 , 	38 , 	55 , 	182 , 	79 , 	123 , 	123 , 	203 , 	71 , 	178 , 	129 , 	65 , 	47 , 	43 , 	35 , 	29 , 	34 , 	76 , 	52 , 	53 , 	27 , 	23 , 	73 , 	79 ," 	1,002 "," 	1,393 "," 	2,177 "," 	1,169 ", 	273 , 	47 , 	268 , 	712 , 	288 , 	236 , 	22 , 	58 , 	22 , 	97 ," 	9,828 ",,,,,,,,,,,
GP, 	22 , 	54 , 	24 , 	31 , 	99 , 	25 , 	57 , 	96 , 	143 , 	40 , 	50 , 	72 , 	26 , 	23 , 	21 , 	10 , 	15 , 	23 , 	37 , 	48 , 	46 , 	17 , 	16 , 	37 , 	31 , 	941 ," 	1,210 "," 	1,606 ", 	678 , 	272 , 	263 , 	34 , 	149 , 	77 , 	90 , 	11 , 	57 , 	10 , 	39 ," 	6,500 ",,,,,,,,,,,
BP, 	38 , 	78 , 	27 , 	30 , 	80 , 	30 , 	62 , 	94 , 	153 , 	52 , 	77 , 	71 , 	48 , 	29 , 	26 , 	15 , 	22 , 	21 , 	36 , 	39 , 	29 , 	7 , 	14 , 	49 , 	48 ," 	1,187 "," 	1,626 "," 	3,479 "," 	1,634 ", 	645 , 	760 , 	149 , 	46 , 	131 , 	176 , 	12 , 	36 , 	12 , 	50 ," 	11,118 ",,,,,,,,,,,
DC, 	49 , 	133 , 	58 , 	61 , 	152 , 	58 , 	96 , 	143 , 	229 , 	100 , 	99 , 	106 , 	63 , 	58 , 	32 , 	31 , 	39 , 	62 , 	84 , 	106 , 	72 , 	27 , 	24 , 	57 , 	69 ," 	1,043 "," 	1,317 "," 	1,276 ", 	668 , 	227 , 	300 , 	82 , 	149 , 	17 , 	78 , 	27 , 	91 , 	39 , 	72 ," 	7,394 ",,,,,,,,,,,
CM, 	22 , 	57 , 	17 , 	18 , 	87 , 	23 , 	45 , 	143 , 	205 , 	28 , 	37 , 	68 , 	30 , 	25 , 	20 , 	12 , 	16 , 	17 , 	57 , 	80 , 	51 , 	18 , 	17 , 	33 , 	23 ," 	1,124 "," 	1,261 "," 	1,037 ", 	709 , 	168 , 	249 , 	95 , 	199 , 	57 , 	12 , 	9 , 	59 , 	19 , 	82 ," 	6,227 ",,,,,,,,,,,
CV, 	6 , 	6 , 	5 , 	3 , 	29 , 	7 , 	15 , 	41 , 	75 , 	61 , 	49 , 	65 , 	34 , 	58 , 	20 , 	16 , 	11 , 	22 , 	5 , 	2 , 	4 , 	1 , 	2 , 	5 , 	10 , 	376 , 	373 , 	229 , 	157 , 	14 , 	18 , 	12 , 	11 , 	26 , 	11 , 	4 , 	116 , 	2 , 	4 ," 	1,904 ",,,,,,,,,,,
ED, 	22 , 	32 , 	16 , 	16 , 	91 , 	28 , 	42 , 	141 , 	256 , 	176 , 	154 , 	232 , 	89 , 	240 , 	86 , 	57 , 	47 , 	72 , 	13 , 	8 , 	7 , 	3 , 	4 , 	13 , 	27 ," 	1,042 ", 	940 , 	757 , 	431 , 	62 , 	61 , 	62 , 	41 , 	99 , 	52 , 	138 , 	19 , 	3 , 	9 ," 	5,589 ",,,,,,,,,,,
NC, 	8 , 	7 , 	3 , 	2 , 	30 , 	4 , 	26 , 	96 , 	107 , 	6 , 	6 , 	26 , 	7 , 	5 , 	8 , 	4 , 	5 , 	6 , 	62 , 	33 , 	60 , 	11 , 	9 , 	18 , 	3 , 	287 , 	278 , 	191 , 	131 , 	17 , 	19 , 	12 , 	11 , 	40 , 	17 , 	1 , 	2 , 	4 , 	70 ," 	1,635 ",,,,,,,,,,,
WP, 	27 , 	29 , 	11 , 	7 , 	69 , 	19 , 	99 , 	185 , 	264 , 	22 , 	38 , 	83 , 	30 , 	15 , 	30 , 	17 , 	18 , 	29 , 	462 , 	159 , 	221 , 	28 , 	23 , 	46 , 	25 , 	557 , 	524 , 	421 , 	350 , 	68 , 	101 , 	42 , 	46 , 	77 , 	82 , 	3 , 	8 , 	78 , 	26 ," 	4,339 ",,,,,,,,,,,
Entries," 	3,510 "," 	6,736 "," 	3,493 "," 	3,076 "," 	8,727 "," 	3,631 "," 	5,583 "," 	7,562 "," 	11,402 "," 	4,172 "," 	8,283 "," 	6,269 "," 	4,543 "," 	4,656 "," 	4,214 "," 	2,748 "," 	3,453 "," 	5,307 "," 	5,054 "," 	5,894 "," 	5,269 "," 	2,684 "," 	2,429 "," 	3,963 "," 	4,264 "," 	24,293 "," 	25,815 "," 	26,394 "," 	16,713 "," 	7,428 "," 	10,216 "," 	6,709 "," 	11,483 "," 	7,127 "," 	6,107 "," 	1,935 "," 	5,502 "," 	1,705 "," 	4,270 "," 	282,622 ",,,,,,,,,,,
