Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,May 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	5 , 	7 , 	4 , 	5 , 	37 , 	7 , 	14 , 	12 , 	17 , 	5 , 	15 , 	84 , 	2 , 	4 , 	1 , 	1 , 	3 , 	4 , 	71 , 	16 , 	34 , 	3 , 	8 , 	45 , 	1 , 	196 , 	81 , 	202 , 	130 , 	42 , 	19 , 	10 , 	4 , 	13 , 	0 , 	2 , 	2 , 	5 , 	15 , 	1 , 	4 , 	51 , 	6 ," 	1,182 ",,,CM line," 	28,467 "," 	3,513 "," 	6,067 ",,,,,
OR, 	4 , 	5 , 	6 , 	4 , 	32 , 	9 , 	15 , 	11 , 	19 , 	2 , 	14 , 	68 , 	3 , 	4 , 	3 , 	1 , 	1 , 	6 , 	24 , 	16 , 	22 , 	8 , 	2 , 	39 , 	2 , 	158 , 	77 , 	174 , 	84 , 	28 , 	22 , 	8 , 	5 , 	9 , 	4 , 	2 , 	1 , 	3 , 	8 , 	2 , 	2 , 	36 , 	6 , 	943 ,,,RM line," 	10,264 "," 	3,131 "," 	3,447 "," 	2,818 ",,,,
RR, 	9 , 	14 , 	23 , 	12 , 	36 , 	16 , 	30 , 	29 , 	40 , 	12 , 	29 , 	110 , 	7 , 	7 , 	9 , 	2 , 	3 , 	16 , 	38 , 	44 , 	75 , 	54 , 	41 , 	5 , 	11 , 	265 , 	180 , 	467 , 	333 , 	153 , 	112 , 	24 , 	16 , 	19 , 	3 , 	5 , 	9 , 	7 , 	18 , 	2 , 	3 , 	90 , 	19 ," 	2,393 ",,,WP line," 	11,363 "," 	1,416 "," 	2,543 "," 	1,243 "," 	2,350 ",,,
OW, 	14 , 	17 , 	6 , 	8 , 	37 , 	30 , 	37 , 	20 , 	43 , 	19 , 	80 , 	58 , 	14 , 	23 , 	21 , 	4 , 	7 , 	8 , 	7 , 	3 , 	5 , 	1 , 	1 , 	11 , 	6 , 	242 , 	164 , 	486 , 	213 , 	195 , 	128 , 	16 , 	24 , 	21 , 	7 , 	6 , 	12 , 	3 , 	17 , 	3 , 	6 , 	34 , 	7 ," 	2,059 ",,,FT/ED line," 	15,763 "," 	4,242 "," 	4,616 "," 	4,714 "," 	2,927 "," 	9,034 ",,
EM, 	102 , 	307 , 	197 , 	284 , 	475 , 	225 , 	393 , 	181 , 	254 , 	229 , 	251 , 	443 , 	186 , 	203 , 	112 , 	70 , 	150 , 	369 , 	219 , 	369 , 	503 , 	275 , 	235 , 	445 , 	390 , 	55 , 	31 , 	246 , 	173 , 	475 , 	584 , 	299 , 	349 , 	386 , 	109 , 	182 , 	940 , 	123 , 	226 , 	92 , 	85 , 	336 , 	382 ," 	11,932 ",,,SFIA," 	8,531 ", 	573 ," 	3,881 "," 	1,018 "," 	1,250 "," 	1,145 ", 	815 ," 	147,826 "
MT, 	50 , 	124 , 	82 , 	129 , 	255 , 	102 , 	193 , 	110 , 	204 , 	159 , 	145 , 	203 , 	87 , 	85 , 	45 , 	27 , 	52 , 	112 , 	72 , 	107 , 	128 , 	63 , 	67 , 	168 , 	178 , 	34 , 	30 , 	57 , 	99 , 	457 , 	517 , 	375 ," 	1,002 ", 	214 , 	74 , 	57 , 	169 , 	27 , 	88 , 	55 , 	46 , 	309 , 	127 ," 	6,679 ",,,,,,,,,,,
PL, 	152 , 	340 , 	183 , 	250 , 	681 , 	244 , 	434 , 	241 , 	430 , 	385 , 	398 , 	505 , 	232 , 	249 , 	138 , 	84 , 	124 , 	283 , 	175 , 	225 , 	297 , 	170 , 	136 , 	368 , 	470 , 	215 , 	64 , 	117 , 	233 ," 	1,529 "," 	1,723 ", 	831 ," 	1,576 ", 	670 , 	255 , 	132 , 	560 , 	60 , 	217 , 	189 , 	171 ," 	1,063 ", 	408 ," 	17,199 ",,,,,,,,,,,
CC, 	62 , 	122 , 	98 , 	170 , 	308 , 	184 , 	271 , 	157 , 	160 , 	172 , 	215 , 	221 , 	91 , 	89 , 	59 , 	26 , 	51 , 	135 , 	79 , 	124 , 	154 , 	103 , 	63 , 	228 , 	189 , 	138 , 	81 , 	240 , 	83 , 	814 , 	877 , 	332 , 	681 , 	284 , 	152 , 	58 , 	205 , 	30 , 	93 , 	75 , 	102 , 	503 , 	259 ," 	8,534 ",,,,,,,,,,,
16, 	80 , 	94 , 	59 , 	97 , 	179 , 	149 , 	226 , 	105 , 	113 , 	124 , 	217 , 	141 , 	52 , 	50 , 	49 , 	34 , 	27 , 	90 , 	41 , 	45 , 	45 , 	40 , 	29 , 	137 , 	216 , 	326 , 	310 ," 	1,537 ", 	906 , 	57 , 	305 , 	260 , 	468 , 	195 , 	93 , 	41 , 	77 , 	13 , 	58 , 	57 , 	90 , 	208 , 	148 ," 	7,583 ",,,,,,,,,,,
24, 	77 , 	118 , 	52 , 	91 , 	127 , 	120 , 	161 , 	92 , 	71 , 	132 , 	217 , 	173 , 	70 , 	81 , 	46 , 	32 , 	30 , 	57 , 	63 , 	34 , 	48 , 	25 , 	27 , 	113 , 	162 , 	385 , 	324 ," 	1,865 ", 	954 , 	309 , 	72 , 	316 , 	599 , 	324 , 	146 , 	25 , 	83 , 	11 , 	86 , 	89 , 	159 , 	206 , 	227 ," 	8,392 ",,,,,,,,,,,
