Exit stations,Entry stations->,,SATURDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
LF, 	5 , 	3 , 	3 , 	4 , 	20 , 	3 , 	11 , 	12 , 	12 , 	2 , 	6 , 	23 , 	1 , 	2 , 	1 , 	0 , 	0 , 	2 , 	44 , 	17 , 	16 , 	5 , 	5 , 	25 , 	1 , 	66 , 	38 , 	46 , 	32 , 	16 , 	11 , 	7 , 	2 , 	4 , 	0 , 	1 , 	-   , 	3 , 	11 , 	0 , 	1 , 	27 , 	2 , 	-   , 	6 , 	0 , 	1 , 	3 , 	7 , 	6 , 	509 ,,,,,,,,,,
OR, 	2 , 	1 , 	2 , 	2 , 	18 , 	2 , 	11 , 	11 , 	8 , 	1 , 	6 , 	11 , 	-   , 	1 , 	1 , 	-   , 	1 , 	0 , 	6 , 	4 , 	14 , 	6 , 	5 , 	20 , 	1 , 	61 , 	30 , 	38 , 	29 , 	14 , 	8 , 	2 , 	3 , 	2 , 	1 , 	-   , 	-   , 	1 , 	3 , 	0 , 	1 , 	17 , 	2 , 	0 , 	4 , 	-   , 	1 , 	1 , 	6 , 	2 , 	356 ,,,,,,,,,,
RR, 	9 , 	9 , 	10 , 	6 , 	6 , 	5 , 	25 , 	33 , 	21 , 	8 , 	21 , 	28 , 	8 , 	6 , 	3 , 	3 , 	3 , 	2 , 	26 , 	25 , 	41 , 	29 , 	19 , 	11 , 	9 , 	126 , 	76 , 	132 , 	80 , 	71 , 	39 , 	23 , 	5 , 	15 , 	4 , 	2 , 	4 , 	6 , 	8 , 	2 , 	2 , 	35 , 	4 , 	-   , 	9 , 	1 , 	2 , 	3 , 	2 , 	11 ," 	1,018 ",,,,,,,,,,
OW, 	6 , 	10 , 	4 , 	4 , 	22 , 	9 , 	15 , 	17 , 	29 , 	7 , 	32 , 	61 , 	14 , 	15 , 	7 , 	5 , 	3 , 	2 , 	5 , 	5 , 	8 , 	1 , 	1 , 	8 , 	9 , 	239 , 	149 , 	306 , 	149 , 	107 , 	78 , 	14 , 	20 , 	15 , 	4 , 	2 , 	8 , 	1 , 	4 , 	4 , 	9 , 	32 , 	7 , 	5 , 	4 , 	4 , 	2 , 	2 , 	1 , 	7 ," 	1,466 ",,,,,,,,,,
EM, 	79 , 	130 , 	85 , 	116 , 	334 , 	99 , 	171 , 	211 , 	185 , 	127 , 	135 , 	218 , 	111 , 	102 , 	49 , 	42 , 	59 , 	86 , 	108 , 	136 , 	148 , 	86 , 	67 , 	137 , 	281 , 	84 , 	12 , 	107 , 	63 , 	189 , 	223 , 	111 , 	163 , 	136 , 	34 , 	59 , 	274 , 	36 , 	60 , 	32 , 	51 , 	175 , 	67 , 	85 , 	60 , 	36 , 	59 , 	58 , 	10 , 	51 ," 	5,532 ",,,,,,,,,,
MT, 	61 , 	109 , 	53 , 	62 , 	263 , 	71 , 	124 , 	169 , 	134 , 	101 , 	105 , 	135 , 	89 , 	84 , 	37 , 	22 , 	33 , 	47 , 	64 , 	63 , 	73 , 	37 , 	38 , 	116 , 	190 , 	18 , 	55 , 	19 , 	36 , 	133 , 	182 , 	108 , 	216 , 	129 , 	46 , 	35 , 	100 , 	18 , 	43 , 	30 , 	34 , 	153 , 	53 , 	33 , 	27 , 	20 , 	30 , 	39 , 	8 , 	31 ," 	3,870 ",,,,,,,,,,
PL, 	125 , 	176 , 	89 , 	74 , 	331 , 	83 , 	148 , 	190 , 	186 , 	125 , 	183 , 	236 , 	134 , 	112 , 	56 , 	41 , 	48 , 	53 , 	100 , 	87 , 	91 , 	49 , 	29 , 	101 , 	284 , 	93 , 	18 , 	102 , 	65 , 	385 , 	466 , 	225 , 	399 , 	333 , 	122 , 	38 , 	145 , 	38 , 	91 , 	77 , 	80 , 	486 , 	103 , 	47 , 	47 , 	18 , 	43 , 	50 , 	17 , 	45 ," 	6,658 ",,,,,,,,,,
CC, 	53 , 	72 , 	45 , 	61 , 	187 , 	73 , 	123 , 	174 , 	123 , 	87 , 	143 , 	162 , 	57 , 	45 , 	30 , 	20 , 	24 , 	28 , 	37 , 	48 , 	71 , 	38 , 	23 , 	80 , 	162 , 	62 , 	30 , 	62 , 	52 , 	149 , 	177 , 	99 , 	125 , 	132 , 	60 , 	31 , 	79 , 	12 , 	30 , 	35 , 	58 , 	175 , 	78 , 	33 , 	21 , 	13 , 	24 , 	29 , 	9 , 	25 ," 	3,563 ",,,,,,,,,,
16, 	52 , 	49 , 	33 , 	54 , 	138 , 	53 , 	125 , 	193 , 	97 , 	71 , 	68 , 	90 , 	33 , 	22 , 	14 , 	11 , 	16 , 	15 , 	25 , 	19 , 	31 , 	14 , 	15 , 	71 , 	115 , 	164 , 	117 , 	427 , 	137 , 	33 , 	63 , 	79 , 	112 , 	111 , 	57 , 	12 , 	39 , 	5 , 	17 , 	25 , 	45 , 	104 , 	75 , 	11 , 	8 , 	5 , 	14 , 	17 , 	6 , 	13 ," 	3,114 ",,,,,,,,,,
24, 	68 , 	47 , 	19 , 	27 , 	91 , 	44 , 	71 , 	96 , 	62 , 	43 , 	63 , 	102 , 	26 , 	23 , 	17 , 	12 , 	10 , 	10 , 	22 , 	14 , 	21 , 	10 , 	9 , 	41 , 	77 , 	198 , 	150 , 	536 , 	189 , 	48 , 	39 , 	86 , 	97 , 	105 , 	51 , 	7 , 	17 , 	7 , 	21 , 	38 , 	63 , 	61 , 	55 , 	8 , 	9 , 	3 , 	6 , 	15 , 	6 , 	13 ," 	2,846 ",,,,,,,,,,
