Exit stations,Entry stations->,,SATURDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
MB, 	13 , 	23 , 	12 , 	18 , 	136 , 	21 , 	23 , 	34 , 	41 , 	15 , 	17 , 	34 , 	9 , 	4 , 	6 , 	2 , 	6 , 	4 , 	15 , 	14 , 	20 , 	8 , 	9 , 	22 , 	17 , 	223 , 	176 , 	600 , 	313 , 	193 , 	176 , 	70 , 	90 , 	135 , 	36 , 	1 , 	10 , 	2 , 	14 , 	16 , 	26 , 	264 , 	27 , 	3 , 	5 , 	-   ," 	2,906 ",,,,,,,,,,
WD, 	3 , 	9 , 	5 , 	4 , 	41 , 	5 , 	10 , 	14 , 	9 , 	34 , 	46 , 	211 , 	21 , 	106 , 	51 , 	18 , 	15 , 	28 , 	4 , 	1 , 	2 , 	1 , 	1 , 	0 , 	6 , 	162 , 	90 , 	194 , 	78 , 	29 , 	18 , 	8 , 	8 , 	25 , 	2 , 	78 , 	61 , 	1 , 	4 , 	1 , 	3 , 	27 , 	3 , 	23 , 	18 , 	-   ," 	1,479 ",,,,,,,,,,
OA, 	6 , 	17 , 	17 , 	25 , 	99 , 	18 , 	17 , 	19 , 	35 , 	13 , 	10 , 	37 , 	8 , 	4 , 	7 , 	4 , 	7 , 	14 , 	12 , 	19 , 	18 , 	12 , 	5 , 	12 , 	6 , 	61 , 	36 , 	98 , 	35 , 	13 , 	12 , 	9 , 	2 , 	6 , 	1 , 	4 , 	28 , 	5 , 	9 , 	2 , 	1 , 	19 , 	3 , 	12 , 	11 , 	-   , 	805 ,,,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
Entries," 	2,125 "," 	4,022 "," 	2,491 "," 	2,610 "," 	9,037 "," 	3,055 "," 	4,334 "," 	4,821 "," 	4,740 "," 	3,266 "," 	4,708 "," 	6,964 "," 	3,298 "," 	2,328 "," 	1,890 "," 	1,040 "," 	1,563 "," 	3,250 "," 	2,397 "," 	2,216 "," 	3,018 "," 	1,593 "," 	1,261 "," 	3,109 "," 	4,408 "," 	11,671 "," 	8,869 "," 	23,869 "," 	10,862 "," 	8,204 "," 	7,941 "," 	3,851 "," 	6,248 "," 	4,907 "," 	1,524 "," 	1,243 "," 	3,454 ", 	840 ," 	2,232 "," 	1,221 "," 	1,706 "," 	5,200 "," 	3,013 "," 	1,391 ", 	976 , 	-   ," 	192,764 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
