Exit stations,Entry stations->,,SUNDAY,,,Apr 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
LF, 	7 , 	9 , 	6 , 	5 , 	36 , 	9 , 	14 , 	25 , 	19 , 	3 , 	6 , 	55 , 	2 , 	2 , 	1 , 	1 , 	2 , 	5 , 	52 , 	23 , 	27 , 	12 , 	7 , 	37 , 	8 , 	176 , 	93 , 	145 , 	106 , 	25 , 	18 , 	9 , 	4 , 	12 , 	3 , 	1 , 	2 , 	3 , 	19 , 	1 , 	2 , 	96 , 	8 , 	1 , 	20 , 	-   ," 	1,110 ",,,,,,,,,,,
OR, 	6 , 	7 , 	6 , 	6 , 	20 , 	6 , 	19 , 	15 , 	28 , 	6 , 	4 , 	29 , 	3 , 	1 , 	1 , 	0 , 	1 , 	2 , 	16 , 	11 , 	16 , 	9 , 	6 , 	32 , 	2 , 	142 , 	80 , 	134 , 	81 , 	26 , 	20 , 	8 , 	6 , 	17 , 	2 , 	0 , 	1 , 	1 , 	11 , 	2 , 	2 , 	80 , 	5 , 	1 , 	13 , 	-   , 	880 ,,,,,,,,,,,
RR, 	13 , 	16 , 	21 , 	7 , 	38 , 	8 , 	31 , 	70 , 	54 , 	12 , 	29 , 	42 , 	12 , 	6 , 	6 , 	2 , 	4 , 	15 , 	33 , 	46 , 	59 , 	41 , 	32 , 	17 , 	13 , 	276 , 	167 , 	356 , 	275 , 	142 , 	95 , 	29 , 	18 , 	27 , 	4 , 	1 , 	5 , 	10 , 	19 , 	6 , 	7 , 	147 , 	26 , 	1 , 	30 , 	-   ," 	2,263 ",,,,,,,,,,,
OW, 	9 , 	17 , 	7 , 	6 , 	48 , 	20 , 	32 , 	39 , 	52 , 	26 , 	65 , 	63 , 	26 , 	13 , 	9 , 	7 , 	2 , 	7 , 	7 , 	7 , 	7 , 	4 , 	3 , 	12 , 	15 , 	403 , 	300 , 	660 , 	369 , 	227 , 	145 , 	36 , 	35 , 	27 , 	6 , 	6 , 	11 , 	2 , 	19 , 	5 , 	8 , 	91 , 	7 , 	4 , 	10 , 	-   ," 	2,872 ",,,,,,,,,,,
EM, 	112 , 	240 , 	138 , 	233 , 	487 , 	195 , 	303 , 	315 , 	300 , 	264 , 	263 , 	252 , 	294 , 	78 , 	68 , 	48 , 	90 , 	169 , 	178 , 	236 , 	371 , 	211 , 	166 , 	306 , 	501 , 	76 , 	18 , 	154 , 	96 , 	300 , 	361 , 	211 , 	325 , 	211 , 	73 , 	73 , 	497 , 	104 , 	186 , 	58 , 	75 , 	325 , 	135 , 	119 , 	98 , 	-   ," 	9,302 ",,,,,,,,,,,
MT, 	90 , 	174 , 	103 , 	139 , 	295 , 	135 , 	228 , 	221 , 	237 , 	229 , 	219 , 	156 , 	202 , 	67 , 	49 , 	29 , 	57 , 	115 , 	123 , 	118 , 	173 , 	85 , 	80 , 	180 , 	336 , 	25 , 	38 , 	38 , 	62 , 	283 , 	319 , 	239 , 	622 , 	262 , 	92 , 	46 , 	162 , 	57 , 	100 , 	68 , 	61 , 	278 , 	106 , 	48 , 	57 , 	-   ," 	6,799 ",,,,,,,,,,,
PL, 	169 , 	358 , 	166 , 	201 , 	544 , 	211 , 	358 , 	353 , 	366 , 	370 , 	416 , 	330 , 	354 , 	133 , 	91 , 	60 , 	95 , 	219 , 	171 , 	169 , 	248 , 	120 , 	106 , 	275 , 	641 , 	169 , 	37 , 	118 , 	146 , 	909 ," 	1,048 ", 	593 ," 	1,155 ", 	796 , 	227 , 	90 , 	283 , 	74 , 	198 , 	175 , 	193 , 	951 , 	329 , 	102 , 	84 , 	-   ," 	14,197 ",,,,,,,,,,,
CC, 	73 , 	142 , 	111 , 	183 , 	336 , 	162 , 	284 , 	275 , 	203 , 	198 , 	247 , 	142 , 	159 , 	50 , 	40 , 	15 , 	33 , 	106 , 	75 , 	107 , 	167 , 	99 , 	74 , 	229 , 	343 , 	85 , 	40 , 	117 , 	53 , 	367 , 	468 , 	255 , 	441 , 	288 , 	121 , 	38 , 	143 , 	37 , 	66 , 	78 , 	114 , 	396 , 	238 , 	38 , 	53 , 	-   ," 	7,281 ",,,,,,,,,,,
16, 	59 , 	66 , 	49 , 	92 , 	225 , 	142 , 	207 , 	210 , 	140 , 	141 , 	135 , 	80 , 	70 , 	21 , 	17 , 	10 , 	20 , 	39 , 	40 , 	46 , 	50 , 	28 , 	31 , 	136 , 	236 , 	297 , 	248 , 	990 , 	405 , 	50 , 	170 , 	206 , 	338 , 	212 , 	71 , 	14 , 	43 , 	10 , 	38 , 	47 , 	76 , 	219 , 	134 , 	16 , 	30 , 	-   ," 	5,900 ",,,,,,,,,,,
24, 	67 , 	82 , 	46 , 	75 , 	160 , 	93 , 	166 , 	150 , 	112 , 	110 , 	123 , 	85 , 	78 , 	20 , 	18 , 	15 , 	13 , 	34 , 	48 , 	36 , 	46 , 	22 , 	15 , 	89 , 	174 , 	378 , 	258 ," 	1,190 ", 	552 , 	141 , 	44 , 	184 , 	305 , 	191 , 	66 , 	12 , 	43 , 	16 , 	61 , 	51 , 	115 , 	203 , 	122 , 	6 , 	30 , 	-   ," 	5,840 ",,,,,,,,,,,
