Exit stations,Entry stations->,,SATURDAY,,,Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
LF, 	6 , 	6 , 	8 , 	7 , 	43 , 	8 , 	22 , 	28 , 	40 , 	7 , 	7 , 	78 , 	5 , 	3 , 	3 , 	1 , 	2 , 	7 , 	66 , 	25 , 	34 , 	9 , 	11 , 	45 , 	2 , 	210 , 	165 , 	291 , 	160 , 	40 , 	26 , 	13 , 	7 , 	13 , 	2 , 	1 , 	1 , 	5 , 	21 , 	3 , 	5 , 	54 , 	8 , 	1 , 	11 , 	-   ," 	1,505 ",,,,,,,,,,
OR, 	9 , 	7 , 	7 , 	4 , 	33 , 	4 , 	16 , 	17 , 	29 , 	9 , 	8 , 	49 , 	6 , 	2 , 	2 , 	1 , 	2 , 	3 , 	19 , 	14 , 	28 , 	10 , 	6 , 	38 , 	3 , 	167 , 	181 , 	239 , 	108 , 	35 , 	30 , 	10 , 	6 , 	11 , 	2 , 	2 , 	3 , 	3 , 	9 , 	3 , 	2 , 	43 , 	9 , 	0 , 	11 , 	-   ," 	1,194 ",,,,,,,,,,
RR, 	19 , 	31 , 	34 , 	18 , 	42 , 	10 , 	51 , 	77 , 	79 , 	19 , 	36 , 	45 , 	13 , 	9 , 	12 , 	5 , 	7 , 	16 , 	42 , 	49 , 	99 , 	52 , 	38 , 	21 , 	24 , 	356 , 	342 , 	576 , 	408 , 	168 , 	111 , 	33 , 	18 , 	19 , 	7 , 	3 , 	9 , 	10 , 	43 , 	5 , 	6 , 	89 , 	23 , 	4 , 	12 , 	-   ," 	3,086 ",,,,,,,,,,
OW, 	19 , 	21 , 	11 , 	9 , 	55 , 	25 , 	32 , 	44 , 	68 , 	21 , 	67 , 	69 , 	33 , 	24 , 	19 , 	6 , 	8 , 	13 , 	10 , 	10 , 	9 , 	3 , 	2 , 	20 , 	16 , 	557 , 	598 ," 	1,034 ", 	536 , 	283 , 	203 , 	36 , 	44 , 	33 , 	10 , 	12 , 	18 , 	2 , 	19 , 	6 , 	15 , 	60 , 	17 , 	7 , 	4 , 	-   ," 	4,100 ",,,,,,,,,,
EM, 	164 , 	415 , 	248 , 	316 , 	768 , 	280 , 	436 , 	430 , 	432 , 	382 , 	413 , 	299 , 	247 , 	257 , 	144 , 	99 , 	179 , 	413 , 	253 , 	351 , 	451 , 	249 , 	199 , 	453 , 	707 , 	76 , 	50 , 	316 , 	169 , 	468 , 	598 , 	349 , 	479 , 	377 , 	119 , 	190 , 	645 , 	115 , 	260 , 	93 , 	99 , 	306 , 	243 , 	226 , 	78 , 	-   ," 	13,832 ",,,,,,,,,,
MT, 	150 , 	392 , 	241 , 	315 , 	615 , 	258 , 	453 , 	420 , 	390 , 	395 , 	430 , 	222 , 	277 , 	294 , 	158 , 	104 , 	214 , 	362 , 	232 , 	286 , 	367 , 	212 , 	196 , 	435 , 	781 , 	52 , 	63 , 	80 , 	142 , 	513 , 	643 , 	482 , 	999 , 	601 , 	167 , 	182 , 	422 , 	100 , 	248 , 	155 , 	146 , 	268 , 	398 , 	152 , 	51 , 	-   ," 	14,057 ",,,,,,,,,,
PL, 	265 , 	620 , 	335 , 	387 , 	922 , 	341 , 	599 , 	528 , 	551 , 	523 , 	692 , 	427 , 	406 , 	396 , 	241 , 	146 , 	235 , 	484 , 	298 , 	350 , 	478 , 	270 , 	245 , 	517 ," 	1,047 ", 	363 , 	131 , 	135 , 	248 ," 	1,373 "," 	1,580 ", 	980 ," 	1,604 "," 	1,270 ", 	332 , 	227 , 	707 , 	165 , 	380 , 	264 , 	307 ," 	1,162 ", 	700 , 	239 , 	100 , 	-   ," 	23,565 ",,,,,,,,,,
CC, 	99 , 	236 , 	193 , 	327 , 	571 , 	295 , 	428 , 	421 , 	354 , 	298 , 	379 , 	198 , 	154 , 	142 , 	84 , 	57 , 	97 , 	217 , 	142 , 	157 , 	257 , 	169 , 	127 , 	412 , 	617 , 	164 , 	165 , 	288 , 	61 , 	529 , 	728 , 	390 , 	499 , 	495 , 	144 , 	107 , 	286 , 	51 , 	116 , 	112 , 	148 , 	356 , 	468 , 	121 , 	37 , 	-   ," 	11,691 ",,,,,,,,,,
16, 	93 , 	109 , 	76 , 	147 , 	351 , 	185 , 	309 , 	273 , 	202 , 	176 , 	187 , 	124 , 	81 , 	53 , 	48 , 	30 , 	31 , 	78 , 	54 , 	64 , 	86 , 	46 , 	40 , 	183 , 	337 , 	453 , 	504 ," 	1,521 ", 	589 , 	44 , 	231 , 	241 , 	404 , 	290 , 	85 , 	37 , 	88 , 	20 , 	57 , 	77 , 	97 , 	145 , 	226 , 	31 , 	14 , 	-   ," 	8,512 ",,,,,,,,,,
24, 	108 , 	129 , 	55 , 	92 , 	215 , 	118 , 	184 , 	233 , 	141 , 	137 , 	183 , 	122 , 	63 , 	52 , 	38 , 	23 , 	21 , 	46 , 	42 , 	38 , 	50 , 	30 , 	33 , 	116 , 	227 , 	533 , 	547 ," 	1,731 ", 	829 , 	225 , 	39 , 	213 , 	343 , 	233 , 	84 , 	28 , 	53 , 	15 , 	68 , 	69 , 	111 , 	129 , 	178 , 	18 , 	11 , 	-   ," 	7,947 ",,,,,,,,,,
