Exit stations,Entry stations->,,SATURDAY,,,Oct 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
OW, 	20 , 	32 , 	13 , 	13 , 	80 , 	42 , 	56 , 	47 , 	88 , 	20 , 	88 , 	81 , 	29 , 	34 , 	25 , 	10 , 	8 , 	15 , 	10 , 	8 , 	12 , 	4 , 	5 , 	17 , 	14 , 	736 , 	493 ," 	1,050 ", 	578 , 	312 , 	192 , 	39 , 	51 , 	37 , 	10 , 	3 , 	17 , 	5 , 	23 , 	8 , 	17 , 	54 , 	21 , 	9 , 	-   , 	-   ," 	4,417 ",,,FT/ED line," 	25,330 "," 	6,192 "," 	4,442 "," 	6,787 "," 	2,194 "," 	8,144 ",,
EM, 	202 , 	565 , 	324 , 	459 ," 	1,319 ", 	421 , 	648 , 	541 , 	678 , 	492 , 	612 , 	433 , 	412 , 	384 , 	270 , 	182 , 	360 , 	741 , 	424 , 	553 , 	784 , 	503 , 	404 , 	667 , 	935 , 	101 , 	55 , 	435 , 	200 , 	638 , 	752 , 	486 , 	655 , 	665 , 	208 , 	318 ," 	1,129 ", 	225 , 	395 , 	188 , 	226 , 	567 , 	645 , 	414 , 	-   , 	-   ," 	21,608 ",,,SFIA," 	12,902 "," 	1,041 "," 	5,042 "," 	1,657 "," 	1,698 "," 	1,114 "," 	1,000 "," 	224,170 "
MT, 	151 , 	334 , 	194 , 	257 , 	722 , 	249 , 	376 , 	383 , 	397 , 	349 , 	404 , 	216 , 	199 , 	221 , 	120 , 	85 , 	157 , 	268 , 	197 , 	242 , 	317 , 	186 , 	150 , 	386 , 	615 , 	47 , 	54 , 	88 , 	116 , 	547 , 	669 , 	485 ," 	1,231 ", 	524 , 	161 , 	120 , 	358 , 	88 , 	178 , 	132 , 	124 , 	393 , 	281 , 	143 , 	-   , 	-   ," 	12,905 ",,,,,,,,,,,
PL, 	297 , 	697 , 	330 , 	417 ," 	1,565 ", 	428 , 	662 , 	591 , 	706 , 	551 , 	712 , 	508 , 	420 , 	422 , 	273 , 	166 , 	264 , 	520 , 	292 , 	369 , 	474 , 	286 , 	255 , 	599 ," 	1,013 ", 	482 , 	80 , 	143 , 	267 ," 	1,650 "," 	1,847 "," 	1,112 "," 	2,098 "," 	1,404 ", 	458 , 	258 , 	687 , 	163 , 	388 , 	325 , 	369 ," 	1,637 ", 	776 , 	268 , 	-   , 	-   ," 	27,223 ",,,,,,,,,,,
CC, 	125 , 	235 , 	166 , 	309 , 	871 , 	383 , 	550 , 	484 , 	376 , 	320 , 	424 , 	219 , 	140 , 	160 , 	108 , 	62 , 	91 , 	205 , 	151 , 	172 , 	245 , 	155 , 	122 , 	406 , 	627 , 	208 , 	124 , 	268 , 	78 , 	668 , 	870 , 	412 , 	674 , 	512 , 	190 , 	100 , 	252 , 	59 , 	137 , 	141 , 	214 , 	543 , 	447 , 	109 , 	-   , 	-   ," 	13,108 ",,,,,,,,,,,
16, 	93 , 	128 , 	66 , 	181 , 	437 , 	264 , 	373 , 	323 , 	214 , 	189 , 	226 , 	86 , 	57 , 	71 , 	52 , 	31 , 	41 , 	71 , 	48 , 	61 , 	83 , 	53 , 	44 , 	237 , 	350 , 	610 , 	470 ," 	1,720 ", 	694 , 	51 , 	305 , 	341 , 	570 , 	338 , 	111 , 	35 , 	83 , 	17 , 	63 , 	86 , 	128 , 	226 , 	277 , 	32 , 	-   , 	-   ," 	9,929 ",,,,,,,,,,,
24, 	117 , 	126 , 	56 , 	111 , 	325 , 	151 , 	231 , 	200 , 	161 , 	119 , 	177 , 	84 , 	60 , 	51 , 	36 , 	25 , 	24 , 	38 , 	49 , 	43 , 	50 , 	25 , 	25 , 	144 , 	207 , 	641 , 	533 ," 	2,001 ", 	960 , 	279 , 	48 , 	267 , 	515 , 	284 , 	141 , 	26 , 	60 , 	16 , 	61 , 	80 , 	136 , 	181 , 	180 , 	17 , 	-   , 	-   ," 	9,056 ",,,,,,,,,,,
GP, 	22 , 	36 , 	20 , 	33 , 	150 , 	32 , 	49 , 	43 , 	58 , 	34 , 	40 , 	32 , 	17 , 	15 , 	11 , 	7 , 	11 , 	16 , 	21 , 	18 , 	24 , 	13 , 	13 , 	42 , 	52 , 	365 , 	349 ," 	1,249 ", 	382 , 	283 , 	271 , 	27 , 	86 , 	62 , 	40 , 	7 , 	22 , 	5 , 	26 , 	25 , 	76 , 	97 , 	79 , 	9 , 	-   , 	-   ," 	4,263 ",,,,,,,,,,,
BP, 	42 , 	59 , 	17 , 	18 , 	93 , 	27 , 	47 , 	55 , 	65 , 	36 , 	63 , 	47 , 	27 , 	27 , 	16 , 	10 , 	15 , 	28 , 	25 , 	14 , 	15 , 	8 , 	7 , 	22 , 	54 , 	534 , 	578 ," 	2,453 ", 	585 , 	464 , 	459 , 	78 , 	47 , 	90 , 	65 , 	7 , 	37 , 	6 , 	39 , 	40 , 	121 , 	90 , 	95 , 	11 , 	-   , 	-   ," 	6,631 ",,,,,,,,,,,
DC, 	33 , 	63 , 	20 , 	24 , 	189 , 	21 , 	41 , 	43 , 	57 , 	34 , 	56 , 	63 , 	28 , 	37 , 	23 , 	20 , 	25 , 	29 , 	25 , 	23 , 	26 , 	10 , 	13 , 	36 , 	41 , 	602 , 	418 ," 	1,576 ", 	462 , 	322 , 	297 , 	74 , 	107 , 	26 , 	33 , 	18 , 	40 , 	10 , 	41 , 	44 , 	124 , 	168 , 	125 , 	17 , 	-   , 	-   ," 	5,476 ",,,,,,,,,,,
